id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
59a42398b5f6aff9f69c654428bbbb5f9c02d250,1218,199,358,190,1,36,330,0.009
0bdbaf9c40098cb31ae3ea02f90ec72d8d9221ac,4002,8,19,29,1,11,13,0.011
a52eb8dcb198fe5d8a0f15bc19296a5a3aac1fb5,2438,19,189,159,0,0,1610,0.012
ece8b3a360965d804338185cde105c1676db2b4c,7999,504,2583,488,10,1758,4863,0.013
1d7f21a4f7b25030b2fb8cb60790e751b7d41e9d,5718,290,519,631,0,0,1153,0.020
213b8d03f3b017924796f80d53076f0e543273af,69,25,8,11,0,0,11,0.023
178b1840ff68df3bd2f20b4a12c9e35ccd921971,-1,-1,-1,-1,-1,-1,-1,0.024
253d0c48536359bdc6da19a42f1f3e033200a216,1071,63,394,65,7,1169,158,0.025
2084cf6d3b50bc8b77167cc59e274e5285a77a5c,9755,41,2163,51,3,9,671,0.025
e05fd818220bc129208e393b4f95d9ed4f1e02d8,-1,-1,-1,-1,-1,-1,-1,0.027
46098d67c5a0ebe71556339ebc402adfb86961fb,-1,-1,-1,-1,-1,-1,-1,0.028
d1507745d03dd172f924379296a3e5bb7d582215,-1,-1,-1,-1,-1,-1,-1,0.029
9ef30a75c26246e81fdc58fa92be1c8dd71538de,5738,403,1358,1199,0,0,194,0.029
15a6cf816ccd6d8502a0d4159bcb025eb960ea62,4601,349,3874,520,0,0,152,0.029
1cd4f1f95c9216627fb2071dac84f675cffddd7c,4314,3,1171,471,0,0,4,0.033
363f0b03e95910af91d1ead4ab5bb09b639f77d2,-1,-1,-1,-1,-1,-1,-1,0.049
50cd2890a23d4945ce743532f7135a3df9e172f3,5081,46,291,158,0,0,2281,0.051
dee7004dea79885cb355b74393a1ba90a5ea3a7e,8381,545,366,639,0,0,4322,0.052
ae8fcfbcb35c1b901df2fe8e7d5c89e9793bebba,-1,-1,-1,-1,-1,-1,-1,0.058
043f4e8ba88edf75070c8c30c979207def80b6b5,-1,-1,-1,-1,-1,-1,-1,0.058
30aa3ed050a0034de4cc9d277580d6dbb85afb6a,5012,400,2589,1020,0,0,3219,0.079
0ec52b8c4de1f4e5a6a0cfe8d62d5774aaf0a436,7041,108,60,1262,0,0,56,0.083
437403268548c5456dd3c04120f7837d3ca79ae0,1590,203,580,12,0,0,133,0.087
27dbaa6084ebe058c61e33c26a0ea23904c6c964,3922,99,125,757,1,17,121,0.097
dc987e4f6b22b4d81abc2c82261b2a9e8483cfaf,-1,-1,-1,-1,-1,-1,-1,0.100
cb7f808ce77a0f7c79bec390f539871942434ac4,1107,13,113,1245,0,0,6,0.118
2c7b3384e05d17e2d5e914cf9fc0699a8b9644ac,4040,1000,50,1007,4,19,1010,0.131
eaf20a4a2d16632ba22a1c549aa56977418eb1fe,-1,-1,-1,-1,-1,-1,-1,0.133
53fd1191203cf39e4040702253565e91785dfa02,4722,105,4935,94,0,0,24353,0.136
c1e2f7daf3e8a8a4f849c4a3c1dc9b5aef5d48c1,447,181,111,86,6,5,383,0.137
3a9b987970986eaf8612cce16f2a6e80e8d041f4,9977,70,603,30,5,68,2560,0.145
75a4c9a902ddc26d26b8feb319339aae352dc9f4,2189,1000,45,1345,1,119,1,0.152
9cafa41d78f3a483b64918f0e85cd8203f575310,4603,576,843,809,1,2,658,0.167
c3488ed25371a54909c6390b4206ad433c3c6231,9175,4,6768,343,0,0,105,0.170
4d9222a4ff9b2ecb50605cd0ba4d834aeb215401,8941,14,1331,53,1,1,1816,0.170
5362d4fdfb1fdc3410dd2f7a6830bcce6eab0607,149,12,4310,30,0,0,14,0.175
aca7700c2a2d3d6d01a1be8cb19f73226515de0f,204,111,69,70,8,59,105,0.177
99c386d0250006c710912745e5ca0941b2bc04df,2789,1000,420,883,3,1114,6924,0.177
4d1395cfc972d3c7a747b3ae824c0df0b7d09aac,-1,-1,-1,-1,-1,-1,-1,0.184
aa7606c0ed689623aa028ce6d4a182e136179a8b,5135,308,47,723,2,0,287,0.185
9d7fc44b6b9335ee1d734be4bc94b450d8a2fb4f,9390,350,276,524,1,2,470,0.191
1f80b71de95d8978a3c5f368bbc1901666ba0666,1870,264,51379,268,5,80,431,0.193
10cb2314164f3ef78d30d7927403ce7c4c3b48ce,2004,105,769,53,2,2,2368,0.200
5b469f811d4394219bf8c2e9157751c1c2904336,-1,-1,-1,-1,-1,-1,-1,0.210
ad12a7a41286ecdde1f5866339aa88698cc75b5f,6492,1000,1704,1497,3,740,2917,0.219
a9124fb288e1502612f727d2ee6cc7492be50769,2447,69,9469,1947,5,1,373,0.234
aa804f95afbb20c2b7c1243a80c910c236562f8f,1737,379,197,366,0,0,3387,0.242
a01614c9bdd9055d38ba3c2e516c8abcccd8e358,-1,-1,-1,-1,-1,-1,-1,0.245
b98aa7b1f8a88abdcff519e053cbe1d61be503c8,38,37,4,22,0,0,6,0.247
95f232e3dfd392f6ec1f6ff863e7f4cf844f98c6,154,28,16,19,7,1,97,0.254
606b5183cbd829ac33381dae43a74f22abf765f5,-1,-1,-1,-1,-1,-1,-1,0.257
588c2abb8dd027380d9897748d2a506cae876ad5,2494,535,202,328,4,79,401,0.259
f58ae9db7be5263f02424c6d827cbe7996178f07,1330,1201,311,1131,8,51,259,0.265
7745427139c6573ca55bc47e8bd418536964024a,7967,43,9497,41,17,2543,766,0.278
b9016b995089edb4042610dff0109bce34c9b0db,506,29,159,30,1,21,861,0.278
