id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
c434b847b347bdbafe1920d40df7a5c7e9c60684,358,39,411,38,1,17,860,0.003
7bf102826bf4529ffdcecdb270b25efb91c7ad4a,3292,1000,163,401,0,0,1672,0.006
76133c9493ecae2e54d07b1cf3a7235b9cccf2dc,5839,11,5846,113,2,0,551,0.081
969604d3b76547a22dfeb45bd0473833572a6927,7031,1,1606,1278,3,44,82,0.204
59cdffed6ee679d2246dc60cd01ad72edc1a0025,4974,0,3745,2,2,5,234,0.230
b5043e0cc076904eb2f8b5b41ea638cffbe12d72,-1,-1,-1,-1,-1,-1,-1,0.249
3d44a80c8a51852d4ce9c4917bb5f666ffea9548,3049,1000,728,2119,3,1,2462,0.255
2a372b711e70f3af9e9230076edf1f504cd081d2,124,40,12,38,1,0,3,0.310
dbf035878666c61dffca8ab59dad4673ee3fdd58,137,171,388,160,3,0,3,0.317
792e3e088721d24ad010eb1695f93b96f34d1165,6331,33,37,32,1,19,12,0.348
2c89765a25b1afb56b0af04d6e1d081cc34bb5eb,481,368,278,152,1,0,1585,0.391
b195cd8da0a11294eccbecd9f96337514dba3c39,2455,71,157,38,6,255,168,0.420
be72f293f64668ec12375c5c7a544bb86461f6bc,-1,-1,-1,-1,-1,-1,-1,0.434
a991ecc51d0e3072792770e7fda0ab62e2cd9960,-1,-1,-1,-1,-1,-1,-1,0.447
d09c5eaa77121776359288428460ab294e046281,583,1000,1616,964,6,89,221,0.459
6821cedf0d91d601d14c8cb841e456e00489eabe,2494,71,156,41,7,314,455,0.460
1be41cd0b5aea41e3dec90d5cd47daf55aee37d7,-1,-1,-1,-1,-1,-1,-1,0.485
6991c4faab81bba1f2c73d7fe2b972a1067cc762,144,1,5,0,0,0,12,0.521
ccd362871be8c6c41f63c1a903cead2c6f507bb2,-1,50,23,137,18,0,12,0.535
fb2de9fda44bc64a954659f1db9c1269143c83be,89,272,33,260,3,2,87,0.573
e99976693349c385d95aee77369153fa3544c779,294,144,153,207,0,0,83,0.593
dabebef6070d1a6d1b9675699a07f9386b8198a1,-1,-1,-1,-1,-1,-1,-1,0.644
838a3022ca1f43e730322410750222ffd9943eb9,-1,-1,-1,-1,-1,-1,-1,0.661
3346983a2473bb450902320d0e22b46974463607,1241,115,12,103,0,0,129,0.667
8ffe9e3b3e760701e514f7560b5de3bbfc3a638d,137,2,55,2,1,0,10,0.676
401cce8c2cfb817494cdafe739eee023fc722d22,75,196,25,190,1,1,35,0.693
ce980ba1c22e537b64592d6029363575d8f155b9,4672,124,7,82,3,28,60,0.697
158c58df774bf68e1a45499f5288d7b1318a289b,-1,-1,-1,-1,-1,-1,-1,0.716
d16c4a32d318eb4e11648d8b978e15ede7d5fdde,-1,-1,-1,-1,-1,-1,-1,0.719
0e8abc1c51af9787b6aef952ccdf2c89210dc0bd,-1,-1,-1,-1,-1,-1,-1,0.722
fcaa3d9b2c9a3b7f0094c6fbfa75281396c7545e,-1,-1,-1,-1,-1,-1,-1,0.749
bf16eb094fccaf12e87c2d8345a121126c851408,30,91,1,74,0,0,33,0.759
4415e0442d00f923ad2b76aa1dff9453c2d86bbb,4573,67,8690,64,0,0,39,0.760
0fd4fae0ba1f66e46d59724a07f83ef20d33a317,-1,-1,-1,-1,-1,-1,-1,0.762
123c54328813d9ca95cc064eb766cc3403a37875,-1,-1,-1,-1,-1,-1,-1,0.770
f29f4eee21999e85921f4a6a602813bf39c79657,288,407,23,392,0,0,46,0.775
dc11b8b5af516511e940a9c57d28eb48b03a31b9,160,1,1,1,0,0,9,0.780
0055f6d8228bb26de6ef2e51fbf10639ec6746ad,-1,-1,-1,-1,-1,-1,-1,0.784
d85404b937bcb1244e94c642284170d590794fa1,2382,53,894,41,0,0,5,0.784
fdddf3b5a9779bac81e778df48fe20053719800a,985,11,700,75,2,28,15,0.785
ca4850f94650588132e464e3520dc4ea87888654,9809,11,2135,14,0,0,5,0.798
2a73187bdeaa560a3a401f7a4fdb15064a436ae0,4804,47,139,346,2,0,22,0.848
108e19523eba840dfa437c162e6f2f9b7423f573,789,217,434,21,1,26,18,0.852
9545fcf6d7c4ec9f775c7f76e4261e20964b2f55,353,143,332,14,1,26,13,0.856
2c67427398ec1f6ca6e10ba2794db361419cc0bf,-1,-1,-1,-1,-1,-1,-1,0.858
08b51bd8b374e850cb0ee07e1833d06a60d40dd0,-1,-1,-1,-1,-1,-1,-1,0.858
426b4781906ed4f6060f6afcacaf119486457f86,47,0,14,1,1,2,6,0.867
7e10bba45a40085643c8c867a0326de935aa96ca,649,349,510,25,1,126,15,0.872
d41877f1cf2efbc08c5d79ef67362e1bb23cf78f,263,243,371,46,1,126,16,0.872
a134e9cfe49d4d2550d7c8c4a1f04929d6c9a74d,1116,367,638,55,1,126,14,0.873
c7472b0236f8dcc011321430f1485df09be914cb,878,424,599,29,1,127,14,0.873
87da165ed4658574b9c9db91021a68e9109a8e77,1655,122,1,54,1,5,50,0.874
19160534f0053552201cef367aea8a3fb599b8a4,71,44,2194,39,0,0,5,0.874
f7ce99dc1e30b375c8e04f2cc9f06506404176fc,-1,-1,-1,-1,-1,-1,-1,0.874
ae66fe253a3ed7fa04588a61fdea847333467cf2,467,390,103,167,0,0,1443,0.877
766aa4dceafed71fc962f8f25d34bb9999288de0,303,365,492,18,1,126,11,0.880
31a8a8e74e7228e96ef372d17cc180b22125b548,-1,-1,-1,-1,-1,-1,-1,0.880
56bcf79ff998df1f2b9f4126dca1e668ee7c3de6,-1,-1,-1,-1,-1,-1,-1,0.880
ee56469ce828297bbc7c2747eb03e3623246e8c5,22,8,3,8,0,0,3,0.884
13be59b9fa686f8abbfb0e8cab18cb6f70e0c254,49,138,0,158,2,0,1,0.884
d7d7cbd7e922cfa94eebe8ac046a9e533ce0ca3e,16,11,0,9,0,0,4,0.886
b52b6fc397752bebc2b3079adabb9e3d1ad592d8,24,117,2,123,0,0,51,0.887
4d1eed621a9e8347daea1472d73511d5fa2cd4c0,-1,-1,-1,-1,-1,-1,-1,0.892
c0536630d25313dfba692b6d47cfb789cad6f9a7,1008,96,85,90,2,7,40,0.909
d998a5f7c390a363efb9fb4f2d7a79b075959f59,11,2,0,1,0,0,2,0.911
d14d89bcf2a02fc0cee9278d6f219f9856385fbc,22,13,7,10,0,0,9,0.914
6df5889421aee567c4db8b38d87072b25d60d19d,-1,-1,-1,-1,-1,-1,-1,0.916
139b1574951310bbbb8f8f2292821f4396af64f5,-1,-1,-1,-1,-1,-1,-1,0.921
3e92fc8835211b5ef3023a8c309c02de267793e4,7601,25,2050,111,0,0,1,0.922
fde4eadfc66f05b600842723a948d73b11713eb8,-1,-1,-1,-1,-1,-1,-1,0.926
24bfad2bc7b428ac94da243c53683d5066a2b1a7,-1,-1,-1,-1,-1,-1,-1,0.930
949a9293199f86f7a8b621fe6cc1f04cce56a814,1399,12,154,32,0,0,685,0.936
5622385b37cae0e4062ef03aabf63adddf152961,-1,-1,-1,-1,-1,-1,-1,0.941
8a826b49606d9da93c1b5476bbf209f09caad162,93,122,58,30,0,0,11,0.947
2ba341e190ad6166b1ddb3661ed69d5d279b37ee,-1,-1,-1,-1,-1,-1,-1,0.947
207a0c52644e004562cd59cc6fbbf86aa0fa4589,88,877,11,459,0,0,101,0.947
5d8e82b104e30a833fe31a70b11c0964d883e072,3830,143,1948,973,0,0,160,0.947
89f8fbe73a60db76080b853a6374548fde005cc1,608,27,11,18,0,0,20,0.947
79dbddada0e170a56e3d90ad83e74080b6e29a6e,505,22,736,30,0,0,0,0.950
0a91a65af5b383e05511949a8ec029d09e5dc989,79,995,2,545,0,0,34,0.950
25c84f01b8e50fa4fd7a73909ada3a8261251605,84,988,3,534,0,0,31,0.950
0cef184e6a18edd2ecfdd9a47f29dc33545df58b,-1,-1,-1,-1,-1,-1,-1,0.951
0de8f3046a7d7acdd63527c03932c316ae7a9642,-1,-1,-1,-1,-1,-1,-1,0.951
0c179b428b3a862dabfb6fb3ccd6adf81bee6e53,-1,-1,-1,-1,-1,-1,-1,0.951
0e8e3a9fcd8e50b99c9552a15595bb73c49d672a,241,3,68,4,0,0,1,0.951
f19e3880ead0c34961d759b222662342790f7e15,85,1000,6,557,0,0,35,0.952
9ca95c662fddd09a1958efd4c3c2c0a2d977a971,82,1000,4,541,0,0,39,0.952
43a8ebee02de9f244a6aa968430d34d4b77b9e1e,402,562,1,245,0,0,130,0.952
9a565ef7bed3dfe9b6ccda73b8be9d84d31d011b,96,1000,9,576,0,0,24,0.954
00ddd24866eb5a8144deadeab8bf95946c6f9da0,89,1000,8,584,0,0,21,0.954
0037ff2f342928b95a24d31f570e8602af3862da,100,1000,16,594,0,0,24,0.954
577770b76a51c7516cee87015f3c32fe778b7683,121,342,22,246,0,0,148,0.955
0474d1adf4d78e4a1f7cbea94d4444612a358293,-1,-1,-1,-1,-1,-1,-1,0.955
888d4dafbdf2309abbcb4ac1d072f29a23e8805a,-1,-1,-1,-1,-1,-1,-1,0.956
a4f44793692d6157cf12a9855f303dc24ea7b17e,-1,-1,-1,-1,-1,-1,-1,0.956
c5ed186df5a8b59405ddbddc2e42cf84870fd490,215,11,43,13,0,0,11,0.956
76a4bf8c0e6b984045695415cc8ff0205e82793b,99,871,15,500,0,0,165,0.956
eb8488c588db4cb02a19aafc3dbf055baf474f94,441,158,59,158,1,1,1,0.957
1e24da76b7e5f3bc94a5101fac27f413ddf9ec9c,-1,-1,-1,-1,-1,-1,-1,0.957
ec6ae038ae0737ee8b236da48330219fbfefd0c0,-1,-1,-1,-1,-1,-1,-1,0.957
0531004c3a03c7e80f266a614d8eba7490ff19fa,19,13,7,11,0,0,2,0.957
