id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
7a26a65cf6966b8aba140fae3918c72192073f48,516,73,876,83,3,165,273,0.015
cc9cdc16549bf27f0fb6fa3c54d8e8fdc64feea0,44,26,79,22,0,0,321,0.016
2bc6788193fc4edec542d7ccd4ce41e864f8cbc9,297,113,582,106,2,60,566,0.020
5534ee905181c00b150fa6526c94aa841825a02e,278,80,148,78,3,4,66,0.024
c93160b875473879c40df82d25defa0d4dc5abf8,123,77,71,75,0,0,48,0.130
14e80b40cab65e5bb0a1d9ddbd7d84c5f72333b6,130,115,28,113,4,305,7850,0.187
691a53080a8d974fd9dbeaffb0363a088da3a391,621,144,554,143,2,57,993,0.213
3badbc5c378d3f9504b9fed0de4149c469969df1,77,20,132,9,3,31,32,0.248
679e21f97c1ddc37cb49b5161df3b3393faea898,205,232,137,221,3,0,7,0.251
5d26172eade549a4c21a69ff801fa8e063cfb638,-1,-1,-1,-1,-1,-1,-1,0.308
f40d3999e26ba3bb702d327f7b0052122a4c51d2,54,28,123,21,0,0,3,0.320
dbbe3b5be475d75f732afeba0ef2538970b2b125,45,454,96,553,0,0,9,0.350
00d72b7ce78e46d6f0519005e852fa3e7958b755,198,31,104,25,7,297,51,0.414
a1e7ca3f0101818dcc5267481922a09fabf8c97d,134,387,304,389,2,0,3,0.426
b4ab6a7353b8298f37dad86a9cbf0e2d09dbc05f,269,143,232,125,5,0,651,0.432
227705ae5e0843ba97abcd7ce3b621d1e43e0bb2,456,11,701,12,0,0,0,0.439
575a8963852165e7a8181a819dd83833a18d1764,131,90,200,81,0,0,1,0.441
a62439ba3e6d4eaa93527d81b5faab1e1a602be6,26,5,84,4,1,0,1,0.445
01bd2db9816585951c20b534a19625b723eb0bbc,146,102,344,99,0,0,0,0.456
73bd8d0b8e809828e19fd25bba3b4c619612598a,193,158,107,171,0,0,2,0.465
3592cbcb214d2d2d2317026529594efb46790408,-1,-1,-1,-1,-1,-1,-1,0.478
452aa83bbde9aaa27cb2223a85813feb6f8f8fbc,545,375,74,298,0,0,26,0.481
12438d7ced62cadf641f92933d06ffc46c1c6434,157,55,82,44,2,0,3,0.483
1be41cd0b5aea41e3dec90d5cd47daf55aee37d7,-1,-1,-1,-1,-1,-1,-1,0.485
29179ef8711f7f7e9b50e6b4f56f6ca3b2513e50,104,49,19,42,2,0,0,0.489
