id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
e217d6d547a50116c5da63262a46ad3ab16bf585,3468,61,1746,64,1,9,1412,0.004
7bf102826bf4529ffdcecdb270b25efb91c7ad4a,3292,1000,163,401,0,0,1672,0.006
bf82d465a138d9e4770d447b784817f85665f352,3460,947,521,675,8,2,174,0.025
0e4adac3b8906c9f7d36e6ca2d4a2b6894e54c94,2993,41,5,41,0,0,0,0.035
4c9ffb7ecb4cfa6a5685c906259399f8283a53a2,9094,5,23728,4,0,0,92,0.041
111012dac58ae082706130d06f110b5bee138215,3570,259,82,291,1,4,70,0.068
8caeaa8bfc5ae2d01dc9eef0cafff02fc310be42,-1,-1,-1,-1,-1,-1,-1,0.068
088f1ccc1672faa2c70747b6c3256ba0d6a56832,2718,131,119,128,3,6,1417,0.072
76133c9493ecae2e54d07b1cf3a7235b9cccf2dc,5839,11,5846,113,2,0,551,0.081
94cb0d294c65546ba75e7ea869ff89580bcc3a67,2783,351,887,331,0,0,909,0.087
1b8919b9f2f5295087dbc9b4e9ff1b18c3d8cd5c,4809,1045,1710,1189,0,0,3056,0.109
eee8199a5d50b6f4f0694e0eb68fb69f2da7cae8,6133,18,3485,16,1,0,359,0.131
78dbd563a1ee5555babdcd310eda3164a631e8f5,4179,454,10942,880,0,0,34,0.221
f591491c1f19b113c6b4caf437c26b6aa1f9478d,5236,10,514,10,0,0,6534,0.230
59cdffed6ee679d2246dc60cd01ad72edc1a0025,4974,0,3745,2,2,5,234,0.230
e7dd280efd5d441da353c4fe3a93ab70828a6aaf,8319,25,4226,160,3,23,243,0.233
984bca6076a5a44ddd52b5605bb73852f4489c67,6984,523,706,971,1,1,47,0.281
5cfbf6b4f9358c256299ef3fdddbc315c0af0db3,-1,-1,-1,-1,-1,-1,-1,0.284
e174c7fcb65eabeb76a0da552b30952318d0a7d5,-1,-1,-1,-1,-1,-1,-1,0.293
aeb1df642588c0d992c7917e1c65986c1faa65a4,2281,231,2061,561,2,13,154,0.295
8526d9eac5337b9da3c43e7769753434193b2cd0,4429,20,25251,468,1,8,28,0.301
33d7789b1042a7ecc60130b8c5e029d704b965bb,7061,812,3545,1373,0,0,3060,0.318
0d061150d0db1b7609e1a670bebb8f0ab5ad34b7,4938,45,323,447,42,176865,5,0.326
8503eb9fabe843e16f0e3420ce57e52556c33aaf,383,2,11,9,1,11,41,0.326
01e63f9b08f62326d9d9e790ecaf3099b788f637,2233,1000,2825,1129,6,188,2982,0.335
920b55799e806066f392ef80b191a71315f6d1b6,-1,-1,-1,-1,-1,-1,-1,0.340
98ce4b4c6ce1adbcad71a457db6039f3c0c72c90,8075,0,6526,0,1,5,44,0.341
792e3e088721d24ad010eb1695f93b96f34d1165,6331,33,37,32,1,19,12,0.348
1237b6792fdc29eb66ae603e987ce7c2584d09e5,-1,-1,-1,-1,-1,-1,-1,0.366
e2e4f6726cf741e16c8eb69bc8761345ffc1f3f4,2943,16,1405,136,3,17,846,0.369
a224db61381b38f9815821ed3117625bc6c17508,3116,1143,258,1041,1,0,14,0.380
b195cd8da0a11294eccbecd9f96337514dba3c39,2455,71,157,38,6,255,168,0.420
be72f293f64668ec12375c5c7a544bb86461f6bc,-1,-1,-1,-1,-1,-1,-1,0.434
6821cedf0d91d601d14c8cb841e456e00489eabe,2494,71,156,41,7,314,455,0.460
7d4ebf43e7bf6850ca03dad62bf4930d10626a64,-1,-1,-1,-1,-1,-1,-1,0.464
