id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
9fe67dcab9526f9f4fc5fd4c2684a5934780ab0b,25,26,71,23,0,0,328,0.023
71e0d62ecab761d05801a53e3e3a85bc99e42957,6969,78,5,757,0,0,48,0.100
bf438cb811408a8201bb63ed512b7bca6576737d,469,419,427,382,0,0,147,0.190
daac71cb20cfc810b1f68dba0804402f04b3323e,-1,-1,-1,-1,-1,-1,-1,0.266
52757e090e16740c057d1d0ba70533fef6151b59,172,67,554,67,0,0,63,0.283
347f7febcc8074751b47a5e1c70d387077dc17e4,-1,-1,-1,-1,-1,-1,-1,0.287
16473e81a7be422c9ff3fc6ce75bd660aab625ec,3786,9,169,760,1,0,119,0.315
c71db292bdd0af0765ae2c1b6055d106b9d2d821,277,295,55,156,0,0,91,0.316
6652e02a0b4851aa51aa33e908d80d18bab60d17,-1,-1,-1,-1,-1,-1,-1,0.317
ef7bc1be1a34bb74c2e889dbfef3380d1f95a42d,1105,13,207,16,1,27,0,0.337
792e3e088721d24ad010eb1695f93b96f34d1165,6331,33,37,32,1,19,12,0.348
bb321187b9610e072e136284782b9103d3ca9718,-1,-1,-1,-1,-1,-1,-1,0.352
db0b7f396b99cd5ad952103c839e0417978310b9,1622,160,999,207,0,0,1,0.375
13587496eaf3413121a871fae024f65d8ccfedcf,-1,-1,-1,-1,-1,-1,-1,0.411
b136d749af0bb74f79bf35ddb4544be00dad5556,58,208,87,201,5,9,10,0.418
845962809c2d356a864ee2d719c626072f5ad20d,194,8,58,3,1,1,16,0.419
8e17110e6ffe659252f55eb63718124d886768c0,72,199,111,245,14,0,1,0.426
963390adc605327d7f48f2b64c70ecc9ba50e2ae,141,8,40,6,0,0,118,0.444
b3fc503de05a04c64ef85db4804eec3cea84aee2,258,45,197,48,0,0,13,0.444
72a830ce5de0b7aa07da249d93a41fa688be7ead,9946,5,21266,20,0,0,75,0.454
d09c5eaa77121776359288428460ab294e046281,583,1000,1616,964,6,89,221,0.459
8eb452fceba1ed2512388179287d7bd72e4b874e,126,122,14,63,4,13,98,0.463
