id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
e7dd280efd5d441da353c4fe3a93ab70828a6aaf,8319,25,4226,160,3,23,243,0.233
eb7740f3c87c47dc78d0206af43b55827fcb927a,-1,-1,-1,-1,-1,-1,-1,0.269
984bca6076a5a44ddd52b5605bb73852f4489c67,6984,523,706,971,1,1,47,0.281
0fc0c4a83a2c465b7256ac6c5413f68b81a88da0,2197,96,182,87,2,34,824,0.313
da6720e245bf22c4a5da08dcc18acbd96c69a25a,-1,-1,-1,-1,-1,-1,-1,0.352
35460d82bdb3acec7fb04a3d6a7eea98c21d2578,-1,-1,-1,-1,-1,-1,-1,0.437
95133b120bd409acd1d0cbab9e8c95c0cf93843a,-1,-1,-1,-1,-1,-1,-1,0.468
38b54ed5508dc1740d5983847b7e280b4f1c596e,151,459,77,429,0,0,2,0.522
124da4a89e23fed8a78129799802c530a94f1851,-1,-1,-1,-1,-1,-1,-1,0.532
fb4fa25cb443414659c24d7de3b7ecece21749cb,-1,-1,-1,-1,-1,-1,-1,0.549
9d1ce7bc3a8c605d6af80e7aa990d79518863bc8,1412,14,725,12,1,5,3,0.579
7ce5ef0fa4eac804f1898fb5f433eedf94c0b3c2,472,114,197,113,0,0,246,0.708
b021de9ded9b853370a52376b7b64bf9b5902b83,3580,24,1007,27,0,0,0,0.829
49215dbac1a479a6eb67b5695b506f3b691c9c2f,-1,-1,-1,-1,-1,-1,-1,0.859
9598be04bb0aa55451050b8ca25630ee0b137414,72,3,2683,2,1,0,2,0.861
19160534f0053552201cef367aea8a3fb599b8a4,71,44,2194,39,0,0,5,0.874
47fc9b60b4de772c5111ccc589773e0fc1e24cde,4917,10,2597,10,0,0,294,0.874
8abe1caa04af4d669a450229f92d7614aff12d44,552,37,2,31,0,0,12,0.889
9811d15ee925e7b83ac098cfe51e2f89583536ec,33,18,14,18,1,20,18,0.913
99e400836c679ba218c1fd89626b6ce9af2ff26c,214,0,265,1,2,6,9,0.917
949a9293199f86f7a8b621fe6cc1f04cce56a814,1399,12,154,32,0,0,685,0.936
13c137c9efa37cb6c0ac83ff51e6306c318b48ae,-1,-1,-1,-1,-1,-1,-1,0.941
92db2d1378eb15ef330daf6fdfbdcc36f92f0afd,-1,-1,-1,-1,-1,-1,-1,0.947
4ce87979e110f0e30a37563b1d014c7f006f15e9,-1,904,45,1051,0,0,402,0.949
bf01b8a397d0417c34df58c74c964502a460094d,-1,-1,-1,-1,-1,-1,-1,0.950
7ddc99bfa8344b907fd5f3c36587da30108fa715,183,0,199,1,0,0,4,0.953
0dc0b97c708c13c2458a821e0a38242500e74665,-1,-1,-1,-1,-1,-1,-1,0.956
c5ed186df5a8b59405ddbddc2e42cf84870fd490,215,11,43,13,0,0,11,0.956
29ebf49b38b32a79047de0480f62d4f3af7a4f05,-1,-1,-1,-1,-1,-1,-1,0.956
1455e95b87588477b98fa95b827bbde22fc0aa60,-1,-1,-1,-1,-1,-1,-1,0.957
3606d67f8107b802625c5896a33014c6f7405b06,-1,-1,-1,-1,-1,-1,-1,0.957
75686caf9b2e5857485f188111c36a8ab63705b3,272,1000,75,2509,0,0,1315,0.957
0a05739e8b87344e8d53bd816c3b3bef9182cd77,-1,-1,-1,-1,-1,-1,-1,0.960
