id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
a7ae6be1a2105066d96f5573f385e16c001fe800,79,68,76,60,1,6,122,0.001
a70de07d14ec9884101395e4895dbff3accd7263,77,67,91,58,1,6,15,0.001
e217d6d547a50116c5da63262a46ad3ab16bf585,3468,61,1746,64,1,9,1412,0.004
9fa9c996447eaaa1c13b44edb4bae7fd5e3ebeb9,224,13,1230,14,3,51,1339,0.004
8a6f6f1557ac9fd174e54094ca4e96fa27c81bae,-1,-1,-1,-1,-1,-1,-1,0.005
28ee55642c2c7b77a0ef26551ac16e3f05b26123,293,138,236,25,2,55,926,0.012
b28232d93d1622ee60b88e5f480732fd4acae203,554,22,4296,20,0,0,26,0.012
710a99166d03599c30a67a0fc65894b86c6a3f85,248,0,21,0,0,0,32,0.013
d35c2e963977a7c4d7bb11d98aa09b856b2302ba,1076,28,737,198,0,0,27,0.018
521f0d93bbf7d73f8f3f7cff47ba1f13a886a099,-1,-1,-1,-1,-1,-1,-1,0.019
7588aa6f29397227c606fafdbc8c387b398531c7,237,3,37,1,0,0,31,0.021
a1cc2bbbf2c8166b88e2dc16d00da3d6e59216fb,-1,-1,-1,-1,-1,-1,-1,0.021
46427989476dae6345fb3922925bfb2632536b31,5327,46,146,427,0,0,623,0.027
afc0390d3827446e10c28c4d7eacf103baa58049,-1,-1,-1,-1,-1,-1,-1,0.033
278afd59751e52ef7fb76401301fd505258b0088,240,0,13,0,0,0,32,0.041
9921d4432047a98771c3f22cf270f5383a281e9e,-1,-1,-1,-1,-1,-1,-1,0.044
0a666020e8a87e078834c7549a5b8549479c05ba,264,4,38,0,0,0,31,0.047
5d1457468627cbbf8a12343fb0a063d2a06091d3,212,9,392,3,1,0,73,0.048
e7d63bebf40fb83474640a3052c28611a15f641c,2620,45,17,424,1,18,2658,0.048
4d025c73c7b5a943dde946767b7865e44fe9cac2,7612,680,467,400,8,2312,17095,0.051
55049de49aa2d64ebc751654212b599b93b032c5,4613,183,22,907,0,0,2475,0.056
ba0ffce186c585ee7504bf7d1437bf6efcd58c0c,7644,3,8644,3,0,0,4,0.056
d808ac684c961505a8eaa0bf4266bd124c8b0e66,2518,343,1752,418,1,119,1019,0.062
fcacb69c7aca42eb6a7387fecbda7cd8e582ff67,253,0,12,0,0,0,28,0.064
0ec90f2fea4cb112f37c3d943118a57cd726c7fc,4502,19,5,21,2,0,36,0.066
088f1ccc1672faa2c70747b6c3256ba0d6a56832,2718,131,119,128,3,6,1417,0.072
bac25a01cfa8da60a6dfd140ad2c7fea0b133aa4,6090,928,2109,2032,2,0,446,0.086
cfb2d004513a4c22021c2f9ab4d9b8d80c97a169,6005,48,1547,166,9,218,2423,0.088
c7d3aac64cc31c4255f9fdaf0847a7cec4572c2e,250,71,16,32,0,0,32,0.094
04204c6e9451ec0438f59928b7cfa9a95ee5603f,770,275,13440,274,1,0,9,0.104
0aa22629155084beead399f75d9034256ca0d146,574,207,11,271,2,5,122,0.120
0765f60fe8c73ad3915a07ca38fa197d0a615162,201,0,286,3,0,0,49,0.127
93dbefd27c08068cd9de5423fe362e6bd6aaaa09,260,0,174,0,0,0,52,0.130
889661fed7c77edd2009b77e201b266d93299d4f,1173,327,72,237,1,0,4,0.133
f9a76d06153a302680d023fa4c7a71f15acded3a,634,120,3,92,0,0,10,0.159
668316b074248dd6a8a693417d84563e7b964468,832,716,46,708,5,41,49,0.161
2a42726612b3aa0911a30dfcf92eedcdee70530a,1156,39,22,292,1,8,30,0.168
115518c88b0df2b5c66048acb0507fbcb0aa9de5,4378,78,7,556,4,93,347,0.174
77fa81e76ad6c10fc1cbc925f4207104f01b7fa4,589,52,1340,40,0,0,17,0.178
2e5abf4ee3932b95c0741347b95db245fc320149,216,3,271,4,0,0,61,0.187
53fbeb5be5cd1690fc2231822523184b56f1f9d2,245,0,23,1,0,0,31,0.196
ff3221c56b5f3ad1520d413b6ea83cd902b48dc6,2352,66,5,91,0,0,3,0.204
f92721717919045295d5c88e9e211e887cf193e3,674,462,202,891,0,0,62,0.211
fe4170d52dd3756c7a5756bf5c4da1d21a6b95b6,-1,-1,-1,-1,-1,-1,-1,0.215
662b0a9bc43175c9683bc7c2ff32f68adde423ef,3813,71,81,168,4,112,706,0.223
5e5d66f193856c7628ddc6b8f4fb0948d894e6eb,5846,364,356,1233,28,4,15,0.226
719f5d872d5c45d6a637454cbf59375f2c4ac5e8,282,0,116,5,0,0,76,0.227
7650c9c1483073e1f4d97f266594a1ff5ce991a8,6104,15,24,225,2,54,2,0.227
f591491c1f19b113c6b4caf437c26b6aa1f9478d,5236,10,514,10,0,0,6534,0.230
d61163e9d7641560f6bb3468c3e5181203f0b8c6,5343,255,1,462,6,30,1,0.234
17e044fefc89d8601561e16f7837209e7b96446c,7824,180,249,983,1,0,35,0.240
079021cf08ae1777fae5b84c5a60bee4324c928c,760,269,1214,266,12,115,2048,0.242
403a34e3850a7a48a65f00d0e98af12ca2dd2e86,1077,826,470,1364,0,0,1290,0.243
e4cd6599a64ff54ccd375b32296334cbe2e6a59d,9426,91,0,85,0,0,15157,0.251
a7507e765c5d6cad97bb42256169d4c7f927ca82,-1,-1,-1,-1,-1,-1,-1,0.253
f417d8c99ffbbaa48fc4f89a75f7374b202fd04e,-1,-1,-1,-1,-1,-1,-1,0.256
27c0219d821867a7c4fd876b83c326656f192d55,203,1,277,1,1,1,36,0.260
258753d580ef7f5e518c5a814ab7a0eb2f4b06da,-1,-1,-1,-1,-1,-1,-1,0.262
cc010b9677997b34a1ad5c992713c67a1a73a608,-1,-1,-1,-1,-1,-1,-1,0.263
cbbf1517a492dad4e6bff4d36f04f1c4c82db697,-1,-1,-1,-1,-1,-1,-1,0.269
93aed9514c511c9568b7f8a7459a517755982709,252,20,15,37,1,0,35,0.269
e266ad90944494b1ff77aa39670548ca0e18155b,259,19,215,11,0,0,75,0.269
22d63ac71b73badc8c1ddb47ea332c04fae71fa8,407,72,17,110,3,6,423,0.272
32fc10a859503669114faa1256f5ba36855bc1bf,-1,-1,-1,-1,-1,-1,-1,0.274
a67360cd74712c2cf82c99c54dfa2c977d952409,1916,1000,700,1640,4,15,887,0.283
90c3e615180748b799512fc3d7ba2998df2fb369,248,1,358,1,0,0,84,0.283
e4ec2cef20968911b1925f7afb0588f02aba57c5,205,59,295,29,0,0,62,0.285
e723d0e036d77cff307b03fe60f7fc45f97a4b71,2083,56,1472,490,2,0,4052,0.286
d60b162753b634ca653ba51c2a314d14a5189850,-1,-1,-1,-1,-1,-1,-1,0.287
99bfcb0b2c9ba16194b217d06b4d43e937afebae,257,6,264,2,0,0,77,0.295
b531ffb4a897e09690593838d86aa681d79ffdda,203,0,320,0,1,3,56,0.298
cbd874631f3d20d8611d4e2de7fedce2f7daaa15,9960,68,1446,72,0,0,25,0.298
eccf140c067783fe34d2250fab469711222a12f9,254,0,11,1,0,0,31,0.300
142bcd9207f1b060f9fd146be6f23c7bc95b1914,253,1,21,1,0,0,31,0.304
8a7ee4f5f4a9530fd137142dc623ada55d64a8ea,1080,41,1412,426,0,0,15,0.312
277349f0bc7f4bbfb928155593006e543fc37aa1,-1,-1,-1,-1,-1,-1,-1,0.315
f6d5966e2a7ad3b10a684a153039c4998aa3d669,201,0,143,10,0,0,64,0.318
3def198959d9c84628756b139728b7ea6708304f,-1,-1,-1,-1,-1,-1,-1,0.325
66cde7bb70bce4e9a594988286bfc557c19e6a3c,2361,123,134,157,0,0,405,0.326
19b3878ffce0a12333f6fdaeccf077fd15e09f8b,-1,-1,-1,-1,-1,-1,-1,0.333
0b76a3fea91718b5d663743153197a862c130c90,1997,165,15,104,0,0,391,0.335
164bae5e465d939090d4193d9de96fc6bdb25657,2008,86,1234,84,3,69,1,0.338
b02de23c6c6b51438eb304535d423cde49845787,-1,-1,-1,-1,-1,-1,-1,0.342
6808288c183f8a7cd4c90cafffbc96206052cdfb,1548,179,360,523,3,633,570,0.344
b54bd1325f15a1ca4eb199337cfda688a8912e39,244,0,13,1,0,0,32,0.345
7f983d022dc1bcec17165f768fc98786bbcfca05,230,1,52,2,0,0,37,0.349
7a8cda7302b2f78ca16ca9a107eb5da7bab2e414,-1,-1,-1,-1,-1,-1,-1,0.355
669491c17adc10eb29023eea62d59f1da467cef3,4045,1000,10,1683,1,0,218,0.357
6775cceac73d0af95f2fd9c8124e1c9008682a6e,-1,-1,-1,-1,-1,-1,-1,0.357
4e3a0a346e8d3680846943025f552db7c84c4b9a,1106,1000,3,1011,0,0,15363,0.359
4e5a2b07236f6cee85daaf93a4d29749bec3f8ae,2643,16,24,28,0,0,37,0.366
1237b6792fdc29eb66ae603e987ce7c2584d09e5,-1,-1,-1,-1,-1,-1,-1,0.366
e020af90aaf096456289388b262ec8e60de56057,420,159,24,92,2,100,298,0.367
