id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
8d07ece654cdccfb886610eb2000e4470a77ed01,-1,-1,-1,-1,-1,-1,-1,0.000
908eb4be7a3ec057646881ce2f2465988035e7f2,8692,1934,674,2143,1,1,66,0.000
5e53e425c906c4559b4ff3237c31bf496bd8c990,7992,53,24,568,4,230,244,0.003
9cf19281da46ccc0920a1ada6b708499452144d7,3026,111,524,778,24,30813,4691,0.018
3950e44e2614a70f7bebe2871938d3a4725a05bd,2372,69,1497,307,0,0,47,0.021
c1e86404e0a275c2cee048a24ed217b40aa7044f,1709,137,863,184,1,100,3085,0.024
8ac0b538470dbbb9169d98d3d9891c0c64ee58e8,-1,-1,-1,-1,-1,-1,-1,0.024
f133b61b4128dca4517092754b270183c2ed626f,-1,-1,-1,-1,-1,-1,-1,0.027
8312e06fec9086d8adead98941db7e9584f3217e,595,66,503,59,2,19,15,0.032
e70df915a8a6ddbd9c3cd581332b086826096bb6,2170,305,154,950,3,27,25,0.040
6eb0163d641b3734467d8e0419a3157af97704d3,511,11,453,7,0,0,259,0.057
0ec90f2fea4cb112f37c3d943118a57cd726c7fc,4510,19,0,19,2,0,36,0.066
9508fcc4a298a5c0ab4f04b0361fa1310a88d7ba,8355,249,1234,659,2,0,1548,0.071
76133c9493ecae2e54d07b1cf3a7235b9cccf2dc,5838,11,5852,110,2,0,544,0.081
f4d4b0326eec141095abd18657d6b0f1b7502d03,9858,514,326,474,1,58,5932,0.106
7f2b37bbe9df5acfac806f5d37c090b4765c986f,6653,54,3044,1706,2,4,1776,0.113
911213427cad2ada2bb75eaf54f0cd13c16e46b5,2593,185,973,516,6,326,126,0.127
238d33b4588de52b59b80ed391f98219d3baa762,1185,153,66,324,3,7,1,0.134
7b457fb355dca58c785f628be2bcfa699065d30c,2957,45,346,48,0,0,29,0.173
b9b9a8937a8016fb0222f6ea44647b61249a8a60,2798,208,0,2765,0,0,2400,0.179
921720c62d1d1191ee6e9c656ee57ef18200338e,-1,-1,-1,-1,-1,-1,-1,0.190
85e560cc64850989b9b4234b2ecb059fe017e127,1609,595,110,1006,11,60,1415,0.199
674329d6564a561103597a09ec7ae0cffa6ce111,1230,664,162,127,36,14,633,0.204
572742f13c3945f10c11d3a1ed6e14e4ff9c7ac8,521,138,22,228,1,42,482,0.215
2cf827f27ae09aaead476333bd276c0554e2ee89,1236,24,175,103,0,0,390,0.216
59cdffed6ee679d2246dc60cd01ad72edc1a0025,4983,0,3745,4,2,5,234,0.230
0da0e941791d0b987114cf0027102613c454ed2b,5392,1000,11,711,13,529,10503,0.234
8815f1cddfc07543d931a5de11e1bc9b94c2887c,372,0,137,21,0,0,48,0.238
997a74f1ae3f3ef54d388a549c05d7fd2c1cbdc0,208,79,33,82,0,0,527,0.260
f0ec3745ff62123b32eb6607776e71513a149011,-1,-1,-1,-1,-1,-1,-1,0.260
0b8e9a7bfd8fafc48f8cb2faa4fa38032cfdacfb,-1,-1,-1,-1,-1,-1,-1,0.262
c9bcb5bf1d25b690ff3bbfdb4c3d8987f344c765,-1,-1,-1,-1,-1,-1,-1,0.267
6c06da4e671f436fff5cfec98139f670638167c2,2637,19,2470,66,2,0,196,0.267
9180fb86cdbc92a39b1e40910ea7b68a5d0e25f8,-1,-1,-1,-1,-1,-1,-1,0.274
a2c1365d0213e10c6c6221650715fffa57af5eac,-1,-1,-1,-1,-1,-1,-1,0.276
d37687da89a7f0a931477733cda5c28bf5546058,649,84,443,111,0,0,51,0.277
10d3aba66a9ce9edf850d739ad61c37c934b5934,524,32,10,27,1,24,180,0.284
d78cb45f4a56c4c95da41cb345baa8701246c3f9,3992,0,139,197,21,10464,2239,0.285
50315493eda4a276c2a6a32b96d2bce65cc44ffe,902,29,11169,1691,12,125,1067,0.287
9398f488854894a36792ec4f32871c54b11a0b83,-1,-1,-1,-1,-1,-1,-1,0.294
21bc70e8142746989f8dea385ae49f45ca396070,-1,-1,-1,-1,-1,-1,-1,0.303
b9ce3aa674e46b41f376acf8a20c6b26eab7c380,6476,344,29,300,0,0,6,0.304
05217abbfc2eef45aa919aee4657cde34814affd,-1,-1,-1,-1,-1,-1,-1,0.307
7dd11dc19014fdb5676fd1808cf98c7a1b39512c,8192,117,222,141,2,22,550,0.308
a25eb19ac24f0560e237d0dc00888c44758bb2be,2885,1326,801,2484,0,0,321,0.314
e601a240a6f93f2547044196f9112b628013aa1d,211,0,266,16,0,0,58,0.332
dbca82e789303c59160ccdce79018af680204893,3429,614,12384,544,1,43,470,0.332
c1324a5daa30d88c19274c7fe1c3412dc3698f26,1735,13,692,28,6,127,400,0.335
53413a6740eb80046b9baea3855774ab92c0e2d8,-1,-1,-1,-1,-1,-1,-1,0.335
7b68cd7ba6e3bb6042cd4d87d05df5bb8d6a9c07,-1,-1,-1,-1,-1,-1,-1,0.337
2ca2d7c0df4cc1f8c54f99bbac8fd3e35261a895,8887,560,69,618,17,3227,3032,0.339
7c6f31ecb5ccc0febd22fbb50efe33cd120b9a78,4134,756,189,463,6,289,496,0.343
792e3e088721d24ad010eb1695f93b96f34d1165,6322,26,36,25,1,19,12,0.348
2c1d443d9b88612ba3dff7f737bdbf9e8e80179b,1324,130,345,206,0,0,325,0.354
17f5374f77b4f9297e31ddb24d5413080288a721,-1,-1,-1,-1,-1,-1,-1,0.355
2599f5e28f1e0974900db3b15196a146031d4909,-1,-1,-1,-1,-1,-1,-1,0.359
a5ca22bc3f9461885c5d46147c2b911f38c0f7da,-1,-1,-1,-1,-1,-1,-1,0.362
f75510f1c726fd9b1a7436443b48bcbfefa079c6,-1,-1,-1,-1,-1,-1,-1,0.364
daae107329e146afa7aa6b0af103c7bdc5459db6,4006,93,1346,517,1,0,373,0.376
d576844df3b29aec858b272c33dd28eb9c273fbd,-1,-1,-1,-1,-1,-1,-1,0.379
7674619a8f7da66d21b0186020af96865dab3295,4288,75,111,663,1,16,927,0.382
e9d96697ea594031971af2fd91ad379a8495ceb4,5604,9,0,19,0,0,15,0.388
9355463c5564b2b88e24700457ce4197fea87f2b,9999,6,2223,5,0,0,1,0.388
23cc9ad26754aab5740d2f148f97d4a1e7b76752,870,38,232,152,0,0,434,0.393
e024c37ac8f2d632952a37a5dfe3f467e63ec0a8,-1,-1,-1,-1,-1,-1,-1,0.393
d2b3ad0a522eb25995e5238067733ba4b06026b1,2571,133,1361,134,1,0,67,0.396
