id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
69be65362ff8f1cb6e42a608beb935eb256e12c5,139,0,2,1,0,0,12,0.022
afc0390d3827446e10c28c4d7eacf103baa58049,-1,-1,-1,-1,-1,-1,-1,0.033
50cd2890a23d4945ce743532f7135a3df9e172f3,5083,46,282,155,0,0,2270,0.051
dc9a301ca760fbf0752afabd254e15c0be1f102f,207,1,1,0,0,0,21,0.055
e73a355232df5a30382dc664d5d9aebb653a02dd,3047,5,33,9,1,0,250,0.125
a6b21bf3d5852b829fc6c7aaf0e27b9fdbdf693d,44,64,7,22,0,0,5,0.171
aab6befa6674c4da5faf50b2ee18d674cf52f514,8568,294,10122,263,0,0,23,0.186
ff3221c56b5f3ad1520d413b6ea83cd902b48dc6,2308,65,9,87,0,0,2,0.204
79f3797e82b5e29b2ab2bf1827758f87a6d6d1d4,-1,-1,-1,-1,-1,-1,-1,0.235
22272e794f9c0ce793556e681f9cb5370c38ebe7,141,2,3,6,1,0,9,0.245
02dfbd9de3c2360db46ee684d7c4656ec74bd747,198,43,154,87,1,15,49,0.269
206c1264a85749eb84ff15d0ac02887acfe04790,9148,977,8069,597,0,0,438,0.284
4c71a97b8c73f1e8922863c313af661681e31a01,-1,-1,-1,-1,-1,-1,-1,0.305
2684e0fa186c8de7b986684b8e81490609a47553,2476,739,2347,1224,7,70,22,0.310
98ce4b4c6ce1adbcad71a457db6039f3c0c72c90,8764,21,5019,20,1,5,41,0.341
ad0842e9bdecb92cbf81ab13c93f1452cca5c786,1737,14,166,591,0,0,1,0.349
e3c069fd40cdf766db21e7eb78e50304402ecc90,-1,-1,-1,-1,-1,-1,-1,0.357
98c81342559712ce6597ed6fe4818686e26fed30,1827,6,194,607,0,0,1,0.385
21f641df273b8ff8be81bd18b66c3708e7481f07,218,42,4,3,0,0,19,0.394
2e61d5ab90e90902259dc04ff0e7cc9c67aae263,2463,1392,1462,1271,0,0,10326,0.394
f4c92b66a9f0ec0887055ca4bbd3c23b3c2884aa,1089,11,668,52,2,28,11,0.397
de2771a55fac0201da7f2068298daba63ed9ffe3,4291,104,22,285,1,0,797,0.401
10fe8ac0a4ae31e02c8cafab0855cf85b5a28b98,-1,-1,-1,-1,-1,-1,-1,0.401
af86fbacc0e5ac36b98fb74fa25b3c9f1aa4fbc7,2450,40,290,57,1,54,18,0.408
ec1602ad82091df5ab7d1f777913cbabd3a08793,-1,-1,-1,-1,-1,-1,-1,0.411
638fc5353460759eac454ec4f7e40bb1abb2a367,144,152,3,98,0,0,4,0.418
eb537ed6ecea0c4f4dfa350e9b66ff5a44716468,-1,-1,-1,-1,-1,-1,-1,0.420
8fdf20c0296adb9ba55b1b0a639df327a1096649,2936,336,111,508,5,0,154,0.420
3175a3945a27d94760c76809e3e57d1ee5c32e39,-1,-1,-1,-1,-1,-1,-1,0.432
be72f293f64668ec12375c5c7a544bb86461f6bc,-1,-1,-1,-1,-1,-1,-1,0.434
4e32094aa40b07e46b0717f1ce2586c54302178f,4128,585,194,364,5,264,359,0.435
87b94287eed2918be635a157806fea8b8d17dd91,4049,511,190,322,5,472,398,0.442
907e46e37c2c36b6f611f05ced57c2a3f94d6b58,4075,728,205,444,5,323,468,0.448
