id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
814fe6d7113d052e1ccc190af86b144ce321890a,5374,61,2624,60,8,237,2059,0.036
4c9ffb7ecb4cfa6a5685c906259399f8283a53a2,8886,5,23813,4,0,0,85,0.041
2d6dec583f3fe6a63026903df3dfde6dfe132b51,48,595,36,184,1,1,519,0.100
b165a2381db931cb193823c1252bf3df4aca5849,139,0,5,0,0,0,16,0.246
8bf0b3f6ae2f14c66ae1b904140fb1716896e71b,-1,-1,-1,-1,-1,-1,-1,0.267
e2e4f6726cf741e16c8eb69bc8761345ffc1f3f4,2952,16,1411,126,3,17,846,0.369
67fe70d1b9b204d1a6690e6b2d0677db2a672715,-1,-1,-1,-1,-1,-1,-1,0.378
be72f293f64668ec12375c5c7a544bb86461f6bc,-1,-1,-1,-1,-1,-1,-1,0.434
272a0d744b533a059aba33f399dd9b34c70d17d4,506,1000,1783,1111,1,4,297,0.458
6821cedf0d91d601d14c8cb841e456e00489eabe,1446,1000,931,925,7,314,423,0.460
fe6ea11f7eea7c4afe22a599dda6893ea85b35ef,9600,1000,8432,1630,0,0,1117,0.573
65b5352ed3862ae226f41d169c9f94e30b8fbcaf,2481,209,104,293,2,10,541,0.576
5fe2fda9990a9ab13160d5d72c96f79156a546f4,7914,977,597,629,0,0,114,0.584
e99976693349c385d95aee77369153fa3544c779,295,144,151,207,0,0,83,0.593
42058ece0f882e03d1759c77abeb002cb79f9320,4325,303,19,1470,5,0,3,0.604
d7470e9c7d9e5692bfff33afe596525929c7ffcd,101,260,20,102,0,0,151,0.619
23451cc746e46fb757db5ea2ffe91a71ac13efb0,877,122,1853,122,4,0,6,0.625
0e8bf869fbe2ec669c32996863235226263cc12f,437,468,13,528,0,0,70,0.626
db5d6c772cff95130f6459dc9e2e8b69c855a7f2,-1,-1,-1,-1,-1,-1,-1,0.632
8747eab05d1141bf13f4f706025dd3c7668a6ead,106,497,7,289,1,0,41,0.633
39fa3847bc8595687cb394c5c348b95204b0dc5f,57,479,7,225,1,3,50,0.636
