id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
85fc58b174dd50454e431c4d364c87b7611a415f,1146,52,770,88,2,99,34,0.018
69be65362ff8f1cb6e42a608beb935eb256e12c5,139,0,2,1,0,0,12,0.022
bf82d465a138d9e4770d447b784817f85665f352,3405,947,523,667,8,2,176,0.025
d6c337a34ee70369ab6974312ab37f9fc481b87d,2730,41,381,177,13,166,1192,0.036
50cd2890a23d4945ce743532f7135a3df9e172f3,5083,46,282,155,0,0,2270,0.051
0bb7399664dcc43fac8f404a2a9905895f986e4d,-1,-1,-1,-1,-1,-1,-1,0.059
f51661a7858edd0d798462a657cdb4cdc3626fc0,2547,917,1756,757,10,342,3631,0.062
25e1af9650212aefe99cd86b3e3d313d3c0f48f4,0,0,8058,0,0,0,1,0.081
349f9c7b9800f0d78f1d85b293a17807514e12aa,230,4,241,4,0,0,30,0.125
78dbd563a1ee5555babdcd310eda3164a631e8f5,4077,448,11128,873,0,0,31,0.221
31f6fd60a29d7c2e2e4593ddf1c6d1e47d1d1046,4951,1608,639,3253,7,57,6969,0.233
e7dd280efd5d441da353c4fe3a93ab70828a6aaf,8227,25,4277,130,3,23,241,0.233
22272e794f9c0ce793556e681f9cb5370c38ebe7,141,2,3,6,1,0,9,0.245
b5cbb93e49c6bc08bb0206067a0c3db076747795,-1,-1,-1,-1,-1,-1,-1,0.293
e6868c953a583bfa43ebad2e07f28ad07d1330a1,2560,71,59,631,1,12,10,0.343
7c6f31ecb5ccc0febd22fbb50efe33cd120b9a78,4134,756,189,463,6,289,496,0.343
792e3e088721d24ad010eb1695f93b96f34d1165,6322,26,36,25,1,19,12,0.348
13e26b637db90f65d29f72724a9c76a7250797c6,2199,343,205,430,0,0,47,0.355
7a5db40c60ef12b63f4f85f9afd664dee6c9cabf,4107,1000,189,675,5,202,856,0.373
4546d20741e368e4cdba160058fab75303bf3575,2341,71,711,632,0,0,482,0.385
885d388a50820fe765a70ba5e1260f6dd9361d3d,2971,118,2,302,1,1,1472,0.388
d779781b236dbab3ac4013e61bd8c8e51fac16c6,5620,1000,185,799,5,212,852,0.389
2c8ba632d847b9e2cbb1fc2a5306b61a4ea8a188,5960,67,685,1548,0,0,25,0.416
