id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
b487401e085b740c1da292141d0c2fed374539c2,2305,133,153,304,0,0,1125,0.001
4b16c8471af5ccbc673c60aa055982ed8b1c745e,-1,-1,-1,-1,-1,-1,-1,0.001
e9d5b8603b517ef72345358dec293b1ae68962b7,-1,-1,-1,-1,-1,-1,-1,0.004
c7a8c839bd4f96a383f186de9b8a62ad6e9c264c,289,19,364,10,1,27,218,0.006
a46c28b93c4ab91c11354cc1366d6fcb545e38bb,346,1,269,5,0,0,120,0.007
fd4cad6beff7f3053ef92faa9700174d66901b75,1232,102,688,178,2,109,12,0.008
39c35dd98dbbbce658ccc4acab83bc607037a395,1034,4,196,15,1,0,1,0.009
d63adb5cf5803fe8d8bd4c79cc0bc296b5b2b149,5591,176,406,820,1,0,8,0.015
e1ce6f60c1c335872012eff1cbd5a7db77b8d774,1639,20,357,22,0,0,0,0.018
8b96a48db2117ed7c970d12b45d341f4e5610550,3072,4,9839,3,0,0,283,0.020
dd9230fbaa11fc2c838e6295c6ab55596319bcc0,4877,24,2177,24,1,43,7,0.021
2603917d0ac88454e11357d09d3ce6709d686ff3,-1,-1,-1,-1,-1,-1,-1,0.022
253d0c48536359bdc6da19a42f1f3e033200a216,1073,64,387,66,7,1157,158,0.025
00be7524023267ef7192ed4dcbad577a29a65006,84,42,73,29,0,0,34,0.026
1fa6dc4f012b5f36a4cab1ec3752406dda04a428,9931,2,11528,2,34,1879,3255,0.026
64bb5aefee2120032d3615811d7c357fa6258a5c,1350,46,22,79,0,0,6637,0.027
69fdcf222e0f28e87118f58d39297879bea36572,-1,-1,-1,-1,-1,-1,-1,0.033
d4b79d27341c1f2e07b420d5bf8b7a1dfbdf784d,-1,-1,-1,-1,-1,-1,-1,0.035
d6c337a34ee70369ab6974312ab37f9fc481b87d,2730,41,381,177,13,166,1192,0.036
cb883364369b1a6178a8d23711380885c2c94f1b,781,408,160,150,21,364,410,0.036
7687dc40f67b43e2a6bde5848a21f1b20609c155,1060,1000,3,1829,0,0,252,0.044
b5378b8cbc7962a0822811eb372e3a03547d16bb,1470,154,3216,644,2,17,468,0.049
4d025c73c7b5a943dde946767b7865e44fe9cac2,7582,711,467,395,8,2312,17051,0.051
8b0fe2854362edd973f0bab10537d16ced9988f9,-1,-1,-1,-1,-1,-1,-1,0.055
0d8bee3959dc140c6ebe514fa36bbc8e97055a5f,2669,2,279,3,0,0,975,0.066
476b4d09db054caefeb97b6e0f1b97ded119d414,-1,-1,-1,-1,-1,-1,-1,0.071
820d891617450a4de5500da27410b9e8f04a92fc,219,4,302,10,0,0,73,0.071
9aa2b4e77760a18f5be4369e1b184d42a8c7a980,1487,12,32,14,0,0,152,0.072
c465f453d1e897bdc5920b12b5018c6e3c4d0333,-1,-1,-1,-1,-1,-1,-1,0.072
dee5562cfd57500208fe9444d56523bb35cde0a6,-1,-1,-1,-1,-1,-1,-1,0.073
ad3a9635d5a4a3a9b98b665a7a82470123587246,4243,328,462,641,12,158,1439,0.073
c567d7e8edb564db119d224db3ee006a52abf84d,3844,305,9833,615,36,1477,4826,0.074
1e600e9c82aaadc6de6fee64e81dec6e03aa313e,229,86,333,3,0,0,205,0.075
76133c9493ecae2e54d07b1cf3a7235b9cccf2dc,5838,11,5852,110,2,0,544,0.081
94cb0d294c65546ba75e7ea869ff89580bcc3a67,2757,351,887,332,0,0,880,0.087
