id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
7bf102826bf4529ffdcecdb270b25efb91c7ad4a,3280,1000,143,591,0,0,1683,0.006
dc36eccac97edd8dc1a66e3c27bb71d1bbfe864d,9695,379,1217,366,5,17,11215,0.026
75f2b415947ad6a12b5c642414ac2a09cea699e6,3650,86,6,261,11,560,989,0.038
50cd2890a23d4945ce743532f7135a3df9e172f3,5083,46,282,155,0,0,2270,0.051
25e1af9650212aefe99cd86b3e3d313d3c0f48f4,0,0,8058,0,0,0,1,0.081
0d71c83137b4f31cf10307fb388809ebcd7ddfce,-1,-1,-1,-1,-1,-1,-1,0.106
7637ed08cf000fefdc084b1dc809531231818520,4403,1000,209,907,5,81,929,0.110
44e5a1110bc8d3593d886a431254811a25682f6b,7,8,12762,8,2,0,3,0.202
9e24fb650185d08ec03f022b368c59cc01050684,2059,1519,590,1764,0,0,1201,0.269
8a7ee4f5f4a9530fd137142dc623ada55d64a8ea,783,18,1399,405,0,0,20,0.312
e788a259cbc98652d43beb03cdb7276dc99ecaf6,-1,-1,-1,-1,-1,-1,-1,0.314
19b3878ffce0a12333f6fdaeccf077fd15e09f8b,-1,-1,-1,-1,-1,-1,-1,0.333
356a65ea61504fab64265ab4905377ffc32d0f73,3763,32,0,32,0,0,5,0.339
87e2d4f7a93d13b6fcdcafad52a46915b5bbbf7e,303,34,470,33,0,0,27,0.341
98ce4b4c6ce1adbcad71a457db6039f3c0c72c90,8764,21,5019,20,1,5,41,0.341
7c6f31ecb5ccc0febd22fbb50efe33cd120b9a78,4134,756,189,463,6,289,496,0.343
792e3e088721d24ad010eb1695f93b96f34d1165,6322,26,36,25,1,19,12,0.348
53439c89a47fc439c98ea82d39fed53c96bd57bb,-1,-1,-1,-1,-1,-1,-1,0.348
71e19354d20d8e36ab3de20a9f9815e8fc88a5ff,875,176,775,170,2,1,1,0.359
