id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
b487401e085b740c1da292141d0c2fed374539c2,2305,133,153,304,0,0,1125,0.001
e53695185ad25233ba41f9a6780ca6868be5ed77,1040,316,1700,300,2,77,2008,0.002
48c9d53499da79939922b6cd19866f44d83d8738,7990,241,979,1001,0,0,3899,0.010
a3549970059c0b1c1d3ce3c914d007e2a13e8959,6861,3,2,20,2,791,1434,0.012
1e5d0cb5ed0baafbbcac94300aee483c4d794f6b,4455,30,1,37,13,53,885,0.020
a6a07dc89185affb3989309d269eba931a908fca,-1,-1,-1,-1,-1,-1,-1,0.020
dd9230fbaa11fc2c838e6295c6ab55596319bcc0,4877,24,2177,24,1,43,7,0.021
0b683d0f27c7979f4bf3c02588d44c1ad4c26aeb,2935,29,214,68,10,149,1054,0.024
58b3aa0a41d79aa45851129adc5708142c9c119a,412,90,538,59,0,0,138,0.027
e7460f02bf429df50f8a4c6ba7f1f0572cecedc6,5126,120,33,111,0,0,5014,0.030
68cd500309da6f3a0a22f05249118f821e4371b4,1055,71,1204,98,11,856,878,0.031
d6c337a34ee70369ab6974312ab37f9fc481b87d,2730,41,381,177,13,166,1192,0.036
9995ff3a22073c109839f5b23c85e72effb0d3be,5803,2,32,112,1,6,366,0.042
8bf93ca75d6682ba3afa24de5176624233b95c98,2897,11,51,173,1,3,13,0.044
1382ba77958afa82187d9852986de0d505285e73,3809,1000,1197,1684,9,439,4331,0.048
330fb1003cc1385cb4d826f0a61d1810f33daf1a,6785,9,364,1221,0,0,73,0.048
bcb5737f79d2df1ec10b137488dfde353889b649,1265,206,138,248,69,1522,1677,0.060
0d8bee3959dc140c6ebe514fa36bbc8e97055a5f,2669,2,279,3,0,0,975,0.066
0ec90f2fea4cb112f37c3d943118a57cd726c7fc,4510,19,0,19,2,0,36,0.066
910c08049eec7f6d78ebf5a952b0acc44c9a9506,2673,180,183,8,0,0,14,0.067
5f35040a4d507ce585d192bf966c85550cb46eb3,3941,592,396,486,7,289,2,0.077
cc5ff2da13c78ffd92b560bdfa61ffd513659bfc,2770,13,837,181,1,0,2,0.087
1fd78b1d94815d06d046b3f8a2c85ea68b08524a,5615,3,4139,34,0,0,1103,0.096
6f20abad50f61154a99e8d6f28f5f84b4366542f,33,5,13,8,0,0,39,0.100
66da8083d55861786d75544a2cd138d8c95efae7,3238,112,99,153,8,144,430,0.104
203dfed55b922fa5ac2f1f01e42ba241112b2977,193,386,1205,452,0,0,82,0.111
5802edfb4967f6299c91eeafb44738474d50c1ca,-1,-1,-1,-1,-1,-1,-1,0.113
02bfb1e6bd1116f8fdd8e49db9cffaa8fc32bc07,3325,61,562,59,0,0,211,0.126
e8759e9b9150923d58f4dc4ebb2f80cd6dd81d15,5264,24,0,24,0,0,70,0.136
b9417711c47d8ea384a1c8c6e49ecbccc6a333a3,8774,115,7346,113,0,0,18,0.138
f686276f10a0458a283abe016442d5d1762e41e3,2533,130,143,388,0,0,372,0.153
f18e8ea9e8acb8bb2e65d85d6fa9f6ca496ff5cd,1032,374,625,375,0,0,1147,0.155
f9a76d06153a302680d023fa4c7a71f15acded3a,628,120,0,90,0,0,10,0.159
bd40b496657e5cf8ecfa0a0f83fb6e1ad59de59e,811,46,194,71,0,0,27,0.164
48f1aa1496a59c7b5ed1fb8ab44623ef78e39053,727,303,33,407,1,0,460,0.165
d552ac7480848dbfcc98973d83bfd08259facad1,2757,106,264,243,0,0,5679,0.166
fee4a512443623d3aae93cb630cee8263ebe4622,2724,5,6,2,0,0,22,0.186
9b7685e7244a736cc6360e3180172c761d6d5876,-1,-1,-1,-1,-1,-1,-1,0.197
da779f7036c552efc30d324585bba5d57a9ce456,1223,17,51,21,1,4,62,0.206
68d84769829a6f0898793b70976fece03c01b0c3,9973,98,12380,105,6,178,67,0.220
8741040f97b2ba3d72b302d24b19278a711fea5d,5010,32,308,2041,0,0,258,0.220
662b0a9bc43175c9683bc7c2ff32f68adde423ef,3490,69,86,153,4,112,695,0.223
4b20d93cf7ea6b8e5d5850d3e4e7911eca2aed67,1861,20,214,134,2,1,146,0.227
4f13e00d503c620122455b1c9661f012654fe956,9990,233,1024,222,2,1,7,0.228
84cc4dd62ef28fe626385ce49bf2027dbdd9688a,1400,359,405,335,0,0,224,0.247
8c92448ac4ca072deafed4871222e937f0d192f9,2196,29,229,581,3,322,17888,0.266
ff85b122916a93603a54e19bbf668024c37e7ca4,31,0,8,0,0,0,0,0.270
ce63213746c7a615241b6f1185475ea90500e9b3,1642,128,8,619,7,5,1347,0.275
92cb1c05fba7073fcd2e0cd748ed962e0e8d9a4a,-1,-1,-1,-1,-1,-1,-1,0.279
47d89b409d4b55d28600c0a88c326b4c29b984a8,2404,93,113,183,0,0,73,0.279
4352ce917d5473c6d070479edcf6d0525965f2bf,4425,32,0,19,2,107,2,0.281
ededa007ab5650ed88899cd993b84e2539200dd8,0,0,194,0,0,0,0,0.283
cd789fd32872c4866029107a3551da8728375a82,212,68,28,66,1,0,10,0.289
b7d70eb071d4e3def14f70d0874a7a9a06ac4ee3,107,27,597,24,1,0,99,0.291
ef224d2ec8211b382aecd13b1bd073e029a9c572,8389,165,693,169,0,0,10,0.293
bf384a60aca53cd0a583bee02ec3e48cfa63b1c9,1271,306,186,245,2,36,1401,0.294
3b7d4e4b74d8ef60b9d47a1a1cf12faf5a102a3b,1511,25,853,24,10,219,937,0.304
98489b98dd3cb108b609334f51ac970c541d6c88,-1,-1,-1,-1,-1,-1,-1,0.307
7a54bc75deb553cf52612ec6fcae863ba16989c3,1366,9,18,41,0,0,62,0.323
b4f0e1d795e9d5e8f779035b584d3fecf0d86379,1093,0,2572,0,0,0,0,0.328
d0d819cf46794c6acb828fa518b3faeb3d57580f,-1,-1,-1,-1,-1,-1,-1,0.333
0db18b76ad72e853627092e71c91b703e4ab59c6,-1,-1,-1,-1,-1,-1,-1,0.337
4f3f7630a73b90f82718d0f6ac07c557abca4a78,-1,-1,-1,-1,-1,-1,-1,0.338
3b46e53df60d6ef2ac7ecf2ced80c7069e4da67e,222,17,402,4,0,0,61,0.339
6b01f2ab31a6a55d8622252ab6716bda894de941,1556,1000,8,1434,2,0,441,0.340
7c6f31ecb5ccc0febd22fbb50efe33cd120b9a78,4134,756,189,463,6,289,496,0.343
44a5c779be0a2b14ef98d1283bb742eaaad48ce0,910,512,1,543,1,1,110,0.345
b734541147efd8f5298145e399659299b31b51b6,0,5,14152,4,0,0,2,0.348
da713ca3213b54087c0136383897e6d38344282c,920,217,51,388,1,12,345,0.353
9c85a50f0551c1d017b32b45c7cda6d87fb76bb6,599,421,116,395,0,0,19,0.361
24e320e65aff3e3b85ae0715945ba8c5b4682dd1,5578,76,474,793,2,0,271,0.364
867064ad5cce84440bcd0faafa7de39f465e8153,77,15,7,18,2,43,19,0.366
e898bc250b23e69ffb99a008bb019c66a6365490,-1,-1,-1,-1,-1,-1,-1,0.367
50341b6983eb1018b4a4d1c719bf3ba0a4487c3d,3934,106,1467,74,2,27,108,0.367
03aa198b970d5a14ff550e5156b73e7771db09c5,9597,554,5946,541,3,3,14,0.373
0c875cb2189ef2cfe2bf1420e280fd9d93390847,205,177,347,55,0,0,69,0.375
