id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
76691e7709844fb8c3638fdd42b99881d900fbda,3439,231,1429,506,7,226,357,0.001
9285d01ca39c7211fa3c91f626382c2f5e29ecbd,2583,8,3084,443,0,0,310,0.002
93e7b6e6566a42568fe4e97ab17c22d9946b2c99,7477,199,777,1049,46,4234,2709,0.003
60b5e359cd43ab2585dcb425a32f9b1ff383826b,1339,189,512,182,3,252,193,0.003
ceb40ed103d7d4d66c4038fc88c8509244fa00f5,2393,534,381,717,1,1,4411,0.004
6f9ae4db9446945dff19bbc75493d606403d06df,7291,323,1712,1007,8,152,419,0.004
01b581c31fb1755cb6100e05ae643b1f76469be3,3210,264,250,2149,0,0,0,0.005
7bf102826bf4529ffdcecdb270b25efb91c7ad4a,3280,1000,143,591,0,0,1683,0.006
937b93aec2db1a1930e4e0a86d7970f9626c22fb,1511,146,164,601,1,14,2055,0.007
9991f7f50a72038ec68af5f268efb25ddfa58010,9695,13,3080,14,0,0,83,0.008
9d7dd8af738c2cf02575b3779934053a303276cb,783,31,8,200,1,119,112,0.009
a589fde3a17594e207301be4d300af07af8050cb,1442,49,360,205,0,0,893,0.010
c6d757b8cd46c11d994dc43a4535b89a2b1ddf45,7848,100,2152,669,2,2,626,0.010
95c4d23ffd399c792700c2b1688c911cff4a5355,218,0,146,2,0,0,6,0.010
d5295c5c3ae64a63a0e89f5cf0958d6386e5c0e6,3280,67,10172,64,1,15,1462,0.010
0dcdc9679fb8423d753bc86e4519ce63eea32e05,2383,329,268,481,5,148,890,0.011
8d434264957f2a1e60e54a704564cb44c58701fe,2056,176,363,780,9,31,208,0.012
db1b4999ece3f54dd86a16e80ffed49b773664da,2746,156,69,400,1,1,5872,0.012
5720f1677776d3677162c31593e7ffda66c2a44a,1149,809,3964,814,21,1585,8233,0.012
00069577cba1af61f27956cd3279792fe7285329,783,7,163,46,1,27,8,0.012
285beabb09003fd14f3ba532c4e9290a357bf2b0,661,154,1523,144,11,316,297,0.013
5ca488ce8fdf0aaac02fd2990c128e5dfc74aef9,9974,4,3728,22,0,0,184,0.013
13a8507f9d6e16183f699ad21db482435365d31d,539,173,383,167,12,71,4219,0.013
4c6533bc49720818c2b98442846dfb5577360b63,3065,17,664,16,1,1,18,0.013
0b3bb3ddb055ffd07614251a0615fdec214f2b82,5058,47,67,742,2,11,861,0.014
a72878dfe8d594532b5d99c3bf9b2f66ce64748d,3616,308,4,1833,6,73,376,0.015
9373e864705e2370bf1ddba9de2db9704db28045,-1,-1,-1,-1,-1,-1,-1,0.016
92624eff77cc9b57967632b9c93df2413265b634,205,66,9,38,0,0,3,0.016
f0fdbd45d57fb3071ab6897cfdb9c28d3e55f2bc,6205,645,251,904,6,39,1378,0.016
5156c8dd8609d3133dcf24247c61ba66a37b099b,186,23,77,47,1,0,59,0.016
4818672cecaf59182af507b431098b474195c839,-1,-1,-1,-1,-1,-1,-1,0.017
1e25270f2b1792cadb2cfec7187ba89b8ac0fb64,1514,122,335,389,7,13,1359,0.018
055989d90f752ec38bd175670214774a20e62bc6,2183,28,25,175,5,17,342,0.019
e9efe9fb4ca448b3e075b9a4252c4ad44c736d58,1623,58,45,295,2,6,106,0.020
e1fde755cfb2fa9dc744348b7a7ffa94af5e4304,2647,82,9,863,1,1,652,0.021
74652efabbb2178c3bd296d15197ca98e474aa37,6142,152,862,285,5,468,2604,0.021
114d1b23b60f08c94d6bf5420c931efc1caf546e,2428,392,113,425,0,0,916,0.022
8c0a5549c45f572ce7f8ffcf87ae4f0036a108d3,7048,613,2193,1131,9,1292,156,0.023
abd52362bbbfd7b77011e1005f4d42314f010ae4,4896,196,2865,292,1,25,4083,0.023
45a1ab96fc73a4bb9d755e5af8c2dd5eb2cbf81f,7187,319,6829,1540,5,40,1013,0.024
9b091eedfe18507d97a87dbf15473c780cfe5374,2946,108,109,604,0,0,14,0.024
4c8db40de96e6fb6254b17c17ffa266fae85d37c,1989,150,416,137,0,0,192,0.025
bf82d465a138d9e4770d447b784817f85665f352,3405,947,523,667,8,2,176,0.025
a22a7bcaa284627b7acee46773dc8aa51fcf5be0,4691,91,30854,87,14,291,1815,0.027
3ea0b033c5111d441298bad3dd53bd70a9997451,375,61,29,117,0,0,250,0.028
ce4414a3406640f3ef26ed8f0c2c250eec78d59f,8582,10,3921,112,2,2,468,0.029
284d8ffac328a2f3f10f996889aba7b0e9adf315,8859,143,169,135,12,520,711,0.031
5c602084f5760d00d2e3fd55702aafcd0d247564,2312,7,0,45,5,212,79,0.031
70717ab7644bdc287e88a3d4066aa5804916271d,2131,104,123,101,0,0,52,0.031
74dc26ebd2e68bece1a337618707b9b584b8d219,4033,53,448,1428,0,0,185,0.032
9624d95da93e5f8deed1dddc1cab07386d9489c6,6282,46,21,854,0,0,45,0.033
8143366d3b6c9bd53f3f645018db3ac61b5d89f2,4195,308,1356,937,6,0,7418,0.034
0e4adac3b8906c9f7d36e6ca2d4a2b6894e54c94,2589,41,54,41,0,0,0,0.035
6a6b50937574c9c3fc27cfd0be21b375bc33f31d,651,350,115,243,1,32,3220,0.037
5efce5282528206dc2e170182699c0b3ff82ae64,1375,190,174,462,3,113,800,0.037
6ad4897bdb78033c1f9a29a5764282063a593bf5,6136,391,2,978,6,12,3580,0.037
11525e2a1d19322a65f3c1da9da074d213d8d021,905,57,226,318,4,48,873,0.038
eeb9e5212ce0c3bbc519fb40559f2d13a4e5e0a4,4934,23,127,574,1,10,10,0.040
75045252c46d17cd278d3345b30b9799e5fcf1de,1276,35,910,179,4,1370,601,0.041
4d39bcba6cd6b45dbf4d51ef201b8fad8dd1ca16,3252,1000,168,528,3,14,618,0.043
8bf93ca75d6682ba3afa24de5176624233b95c98,2897,11,51,173,1,3,13,0.044
63ce18d4431b71e6a49dc76c379ce2da21a0eb56,1392,87,152,177,1,4,24,0.044
36eab1daab4568d990a1214807f26877f0456c90,1089,259,163,301,13,382,3179,0.045
21224e6bb1d8f85460bc2b688a30e0f3e79192e6,2710,198,22,552,2,44,479,0.045
e70df586499f4af38fa6811ae7c4616f048c2063,8885,34,6248,608,7,166,877,0.046
79a130fbc6c972fa5201478bf3b444b84e33c103,1217,71,447,198,5,28,196,0.048
e275e13a583941042267b6bb9c73d5ee837ff13b,4946,213,409,831,0,0,1350,0.048
005e18ceb0f49c3920647281659daacd6698a30a,5961,74,1531,1526,6,15,2343,0.048
36e10ca44c754a0b9f24e4bd01d1c04d32805b09,4220,164,5063,33,7,47,1441,0.048
00343cb6008fe64e8d3d7e933dab95d30e257fe4,2903,153,1036,191,4,60,2922,0.049
52917cb66c3160dec40ebe8f1845c258a34211b7,2225,30,102,53,0,0,21,0.049
440f30868785c72b3c5bed48402e2596c0374d4d,7209,22,776,1799,2,0,24,0.049
229352dd467d2c581f75c38ebf4de325ae3eba2e,5624,54,24,1071,1,5,46,0.051
1132a2e201ad5d026a1788cd9425b8349247913d,7200,236,3549,1794,1,10,1070,0.051
5be4722eb4e1c5e47bf5ffcc86adc9b227b43c48,4457,3,743,1262,1,122,10499,0.052
b0e9eb967c40dd0a551588a18e64355082b62e9a,2862,127,465,581,5,15,76,0.052
b859c33b3cf88face683d686c722338c9133c093,94,61,22,60,1,0,165,0.053
521e6a6abe1865d63ac75ac949f39107785fd321,1702,15,280,265,0,0,3,0.054
ac5fe338b6fd81c5b4c11810bd7ae0485e15edcf,291,91,11,72,3,2,338,0.056
fe94ac2580e445bbcfd1b62859d693116d8e1eb5,310,176,105,164,3,14,213,0.057
8222e89ae0fd36868eb96fd5b8ca315c45a245ed,8528,1000,5462,1699,8,276,906,0.057
74953d624b776d81f789ca70e1f993a4b705b478,9480,218,8675,225,9,231,2427,0.059
0edd8f0f771d4013dba551ccdd2427c327532ff0,9005,1000,774,1778,3,18,2188,0.059
afeb5f516c4f91a10e98aa2039551c5460ce0fff,4419,318,134,1214,8,135,117,0.059
97b437ff67ee8478886b0c33deb3fc06704da869,6578,21,2621,18,1,0,30,0.061
e56a14a93d0d4671703f9a750c8c2b95d2f467b4,4788,400,678,963,4,125,1140,0.061
8277e1f3ccfdb911a92b436c3ad1f2ce548dddda,-1,-1,-1,-1,-1,-1,-1,0.062
4d238d28c54e20c4fadf0076c207e40c19dccb9e,2399,75,306,72,10,511,1497,0.062
52ebb7dd289e91ac5d782de31210bfed57edd473,-1,-1,-1,-1,-1,-1,-1,0.062
3e2e45c333d314f2b87d696f18c74866b9b9931c,6739,18,1344,898,1,0,269,0.063
48c385c2526f49f5bafd2a26ac71c4a8c4a665f3,3868,40,2284,231,1,0,189,0.067
760ae94f8eeaf0aec66d49c76a495a37a6de7bd0,434,46,62,106,7,47,624,0.073
4d80a5e258e9553979efd79cf52df29b5c0af6f6,4352,60,740,533,0,0,16,0.074
912f49e50bf56b53ab9df397097d7f68ed6cbcd3,8328,22,294,811,0,0,341,0.075
e59b4ecb998aa00043b8f86d558efcf27835f3ee,3226,185,232,427,14,240,300,0.076
a497cb238f223b1b3f2f5a47b941f5512a53981b,6030,46,671,148,37,955,4213,0.077
723e0e7fa85aa0de042e3c7fd227cb264fac6f7f,4448,3,517,8,2,17,61,0.078
60f6cdf0eb961ef11a03254a9590581dcd935330,795,15,15,130,0,0,104,0.080
25e1af9650212aefe99cd86b3e3d313d3c0f48f4,0,0,8058,0,0,0,1,0.081
dff07e8923319249431abedce126baaefbb3f6ee,4652,19,194,211,7,284,2290,0.081
a35b95b80b3f37d0a71b58cd55d57b2d8bcae542,298,70,15,83,4,38,104,0.081
f0ae060ff9f5c2bcc6ce0a9399748d398bacbbee,4397,10,5099,14,1,5,180,0.081
c5044b1c692cc970af3aabee8942d2e73cd74c06,6875,130,704,1137,1,0,434,0.082
3236cfad9408b1face20bc3c09dd4a16c01711f5,5576,23,2390,1254,1,17,43,0.084
34cbdaf81ccfd796b42a9972c507ba9b3c811c5a,1954,87,120,316,1,1,458,0.084
4e82e0c2975ca698c841601402a5945276d1230b,337,1323,198,1690,0,0,686,0.084
c8aa51cccdd382a4c8c7e5fe90eb152c4c40cd65,2263,103,186,359,8,155,2059,0.086
e9f877b5497b1d2197ac2f531ee6b7770ba13c68,5978,112,17,1324,1,58,93,0.087
338f93bc26855d045797c9bea39cfec0070c2901,2468,185,658,170,2,12,65,0.088
11a436d19eb6ce36d9f2df1c5a090be6f733ed1a,9076,11,1101,127,3,156,246,0.089
