id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
4c9ffb7ecb4cfa6a5685c906259399f8283a53a2,8886,5,23813,4,0,0,85,0.041
7db82656cd9e22315f2ff84c82dc101266e82f29,42,35,89,36,2,0,0,0.194
59cdffed6ee679d2246dc60cd01ad72edc1a0025,4983,0,3745,4,2,5,234,0.230
0191be1bb8a9606e048768a58da3cb0d38920458,78,155,77,153,0,0,0,0.237
7a18c95a12381731a0ad29497bf3be93837f72c7,1486,101,1636,98,0,0,2,0.245
0eaa04737bbfd1ab0cb4fd7b3bd324865a78d4bd,144,81,388,79,0,0,2,0.266
3f9175e8d0ae928f5b8777ee93bc6c55dcb91043,-1,-1,-1,-1,-1,-1,-1,0.340
83f9efccb3bcbf7fca64cef076bea13079a4205e,-1,-1,-1,-1,-1,-1,-1,0.343
792e3e088721d24ad010eb1695f93b96f34d1165,6322,26,36,25,1,19,12,0.348
63af9f00b14db98ea476531a61181b9b8cac6dcc,-1,-1,-1,-1,-1,-1,-1,0.396
cd84064228b4025687ae3783ac2056a5f77cd5fe,1768,992,83,1121,1,4,674,0.397
2507d6284e3492cb25106c893b01b32f7516e663,-1,-1,-1,-1,-1,-1,-1,0.403
b195cd8da0a11294eccbecd9f96337514dba3c39,1796,902,560,553,6,255,137,0.420
9ddda92b7c361358a3adef381efe6453c89d4ccf,95,556,399,528,0,0,6,0.433
e083b318553225e5c680644cf8bbabbb1c775db9,8667,133,3136,389,0,0,30,0.439
272a0d744b533a059aba33f399dd9b34c70d17d4,506,1000,1783,1111,1,4,297,0.458
6821cedf0d91d601d14c8cb841e456e00489eabe,1446,1000,931,925,7,314,423,0.460
9a28a4c52c5416798861da5d9843fdca531c0e32,427,57,0,54,1,0,6,0.470
b1bb1afb5c8fca2296c246131b55b03ba4209dfb,4629,1000,1517,1953,0,0,1235,0.474
543865e8f69bd34afa1a999fc96aeb0a3db14ae5,898,76,750,216,74,9946,3731,0.481
83c21e2e7ae208c3b3db7a77eb70df6cd40098ed,40,49,60,49,0,0,207,0.486
a673fe6e7d708f5422660ef132c6828a6c5672f0,105,68,99,61,0,0,11,0.487
949b622c293680a8d8809877ead8119323ecb980,8488,1219,747,1134,1,19,1480,0.489
eb6318113a99dc851c87a84b3e6a6b9b7335efd0,3043,1000,514,1495,10,4153,15,0.495
475a5261a6842356bdbd6690b8f8cdac8e573382,24,6,14,4,0,0,3,0.508
feb3e46532ee341181f94ceba3db5aacacfd7741,2677,262,4825,463,1,95,8,0.508
13bf141d6a88dce2973be0357a1957d61547db19,-1,-1,-1,-1,-1,-1,-1,0.509
61ea6ec2675b8c35e6e8ebc5bfad115b4191af89,19,50,1,24,1,1,136,0.512
6ceb0c15878ee93e9297c949f863dc9ba4578d70,64,105,89,63,2,0,30,0.514
a2b58d6271096c4a03caaa3a51f88a04b6289e2d,648,32,0,33,1,0,5,0.521
328ebc405663c4001bc2a2d7a33f9d4756bddc80,5043,0,966,175,0,0,12,0.521
82157bb366436f96c319753ce013e58e13ed311d,354,41,14,147,0,0,116,0.525
bbeacfa01ff4d9e40433ad90be45c9c0e1d2ea07,136,270,2,327,2,293,1107,0.537
dfbcc875222ccb47b1ee9fffdf3b41ee05ab732e,156,81,86,75,0,0,3,0.539
df31b6a046d49835801befa0e6c4981850f896f7,-1,-1,-1,-1,-1,-1,-1,0.545
52e2ae40da6f588d1a44e30c42aab845b60dcb4b,8852,206,1726,864,0,0,25,0.547
3c39ca925bd0f34747137f7b390570cbcc311344,1894,27,2344,58,1,4,769,0.547
4541696aa2b8911f87bc1d555fefa50b264a474f,5975,84,10936,455,0,0,5,0.550
71f4976c8d25120a4a2db773decc1a27b7a5f839,-1,-1,-1,-1,-1,-1,-1,0.551
baa5451152504c61964e865ed953c020b0c41c7a,174,73,8,102,2,35,83,0.552
0353cd0cb885198f030261cd60849f5b786a0fb1,41,131,12,92,0,0,138,0.555
9ca8b37741d9fb367ee3e735c3cedf1e8b638aac,497,7,3,13,0,0,1,0.556
7ad3fa10df67b30f733943f846d572b40924e4e2,220,153,35,265,1,1,984,0.562
44134d4ba44fd0706580a08342987fc649921182,955,22,31,205,2,32,123,0.579
9d1ce7bc3a8c605d6af80e7aa990d79518863bc8,1417,14,728,12,1,5,2,0.579
3e86869aff62dd822fd33d437c3f819bf17fedbd,47,11,42,10,0,0,135,0.580
5c659b0bdc5a4d0a739901ac7b00a724dcca4848,17,134,2,135,0,0,39,0.588
45eee38937f879102e0e14e4b3fbeb3a99d83903,-1,-1,-1,-1,-1,-1,-1,0.596
b9a80367b8aa800c20c7dc443e938e93fcc62f69,-1,-1,-1,-1,-1,-1,-1,0.596
87c02cd4f88a0a90b4b4f9e1122bc5734df74e03,-1,-1,-1,-1,-1,-1,-1,0.596
827a66026ef6cc2396ab834f017b489ec4dacd86,-1,-1,-1,-1,-1,-1,-1,0.596
0eeba9a9a6db1b2fa4b4154e20fccf8ee221810a,-1,-1,-1,-1,-1,-1,-1,0.596
c535a310bc6001b92d3090d9859cce247781903a,25,4,3,5,0,0,132,0.599
5ed7b222e84ffeb468892f17d8e0305590d20abc,-1,-1,-1,-1,-1,-1,-1,0.602
451d81b6be2a42f8b3ec7c1630af6a9db782872a,-1,-1,-1,-1,-1,-1,-1,0.603
2ead04572f0a7ac566789520db15623b516cdf18,-1,-1,-1,-1,-1,-1,-1,0.605
ced25dd859cfaf458b20f9e008ad4c75d2721226,-1,-1,-1,-1,-1,-1,-1,0.611
27e136de351ea9de765aecfe864ceb91479cc46b,-1,-1,-1,-1,-1,-1,-1,0.612
c2668432f0506fb04cc28c721b3834a38d86f2df,-1,-1,-1,-1,-1,-1,-1,0.612
