id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
3b3509ac2379104ceacfcd9b889f30449a562b41,-1,-1,-1,-1,-1,-1,-1,0.002
168c27dd3019a7a9362df7376423acddf006456a,2573,3,67,4,0,0,1,0.006
3aa8adc71bcf382d271ea3e127d2d237e6225654,9036,38,2343,62,39,166,1458,0.017
85fc58b174dd50454e431c4d364c87b7611a415f,1146,52,770,88,2,99,34,0.018
dad8ee0703eb8df412f3d84db830becf83b5a8af,1733,36,192,36,4,701,233,0.029
75f2b415947ad6a12b5c642414ac2a09cea699e6,3650,86,6,261,11,560,989,0.038
dd2b2ef5c6e74f85537280d7f7911c0a9c0ffba8,-1,-1,-1,-1,-1,-1,-1,0.052
088f1ccc1672faa2c70747b6c3256ba0d6a56832,2702,127,118,125,3,6,1402,0.072
78dae4295346fcc54326afa4c0b755751309c32c,994,58,49,69,0,0,723,0.072
94cb0d294c65546ba75e7ea869ff89580bcc3a67,2757,351,887,332,0,0,880,0.087
a1504d98c85be19ad507c47a8658f0de8595b80e,9999,3011,20437,2753,1,9,421,0.095
af333b4704ab57d8ef67688e517563d7a2618e68,7700,1176,979,1912,2,0,11,0.117
112fc0d358d4fefaec7f850f21d54a70110e5b3f,1500,1000,11,846,7,9,2448,0.138
e34b943391e33c2d7cb32a0b6b0d6f8675ca2df1,665,1000,475,637,0,0,4,0.151
75a4c9a902ddc26d26b8feb319339aae352dc9f4,2154,1000,49,1342,1,119,31,0.152
19f74c54a2e7e3fa2f1504779d3230459e2dbbcc,2656,625,268,604,0,0,2034,0.175
c43c4f9d3fdfd9df7fb3868b854228dadfe00913,7294,1000,468,1541,3,3,3713,0.201
cdf28422dc07103ba66c70e50f5d3e489519a4fe,2236,6,20069,6,1,8,0,0.216
eb7a9d4c20a1333dbc57587ab68761e145bd37e5,1892,1,12874,0,2,2,44,0.227
4f13e00d503c620122455b1c9661f012654fe956,9990,233,1024,222,2,1,7,0.228
d61163e9d7641560f6bb3468c3e5181203f0b8c6,5335,254,0,450,6,30,1,0.234
5c9ffac0a586ec9409bf51dc41d87cc400269cc9,1210,1000,2242,1226,1,0,9,0.235
c88e9aaa0b1765d673046e2efcc10c60d38f1cdf,334,133,357,130,1,1,57,0.236
17e044fefc89d8601561e16f7837209e7b96446c,8026,179,242,891,1,0,29,0.240
