id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
7bf102826bf4529ffdcecdb270b25efb91c7ad4a,3280,1000,143,591,0,0,1683,0.006
4c9ffb7ecb4cfa6a5685c906259399f8283a53a2,8886,5,23813,4,0,0,85,0.041
e05744e040171f0adccfb072f1083cb82026b843,4353,101,258,1677,0,0,38,0.074
8dcf84d7a6471c7431158d64dc6272ddd5ec3d74,6455,67,250,69,1,5,197,0.084
a7fa56c2128bea76881ae43e1f1c7d1b4713d125,8621,150,2234,167,1,0,8,0.168
361c4fef739ee397b216e1b69381788af8192049,250,118,84,110,0,0,0,0.184
565caa9407484e0863a629f1753085473688cbe6,-1,-1,-1,-1,-1,-1,-1,0.208
208a3f046cec55ea480745e27c4cddb448038798,243,429,80,368,0,0,7,0.232
41a6c0dabcec14a0249daeec5e6ba99cf3e7d716,48,18,150,18,0,0,3,0.256
3c4a9270766e9de2eb8dc5106b597ea6af08ed5a,127,278,122,259,1,0,202,0.267
a76d70348f6c38d6eef946c7c964fef7893d1961,786,71,5,298,2,0,150,0.271
cf976df51bcbd4af5a32bb111455eab1f4e25b03,619,3,2253,2,0,0,11,0.276
741e5e4b5f28c1f759874494ad4e4044abcf7d66,343,103,70,121,0,0,2063,0.278
cabc96bcb37b5c1885b0c91eccdc7c156622f0a4,162,72,47,60,0,0,2,0.295
4b6f6c5ba23bdc8f2be6f2cc75248106492fa79d,341,11,3714,11,1,0,5,0.332
d0ea6055d4eebd281cdad1a51718d7a6445b1fcc,-1,-1,-1,-1,-1,-1,-1,0.386
020b1b1331e48cbb5f6cd7c8c71c7577c049b5fd,517,169,532,159,7,20,1243,0.409
3a00a34cf0f777a9cf934867a67431e0bba30d2b,2473,488,203,316,6,265,515,0.418
5655fd04371a80f85e793e4f24012baf6a9f0449,190,434,122,722,0,0,34,0.422
d113428028715bf1f294233bebd1df9c4e84b760,-1,-1,-1,-1,-1,-1,-1,0.426
10ec671a4f934cd0e107daa85cce4a65f477074c,2286,3,1035,35,0,0,10,0.432
4e40299fce52e0f3e0cd692b69a9944e4c032304,-1,-1,-1,-1,-1,-1,-1,0.433
420ca49f16231600932a50bcab568f10e9ca8b31,230,196,506,189,0,0,61,0.466
45a7bab2dd97cfb69e72975a0b8d146b2b4c0dff,-1,-1,-1,-1,-1,-1,-1,0.468
b7e9ff480253e1dbffa3fd6bdd406e5a199aa0b3,1343,43,102,18,1,136,2,0.485
c0cde5fbab5c38722fd93e4d180e31a08f7b4ff6,2434,230,196,556,3,4,30,0.491
887349b186acdc0249a24176c09c67ec398a6664,239,0,5,14,0,0,21,0.502
bedae929011deb9e65f74b8b57b658d0b5075477,3438,2039,228,3017,2,0,35,0.510
c2d5cfa3d4260b7c7cfb0c704450cb305df22688,5152,43,72,1153,9,96,181,0.521
6991c4faab81bba1f2c73d7fe2b972a1067cc762,145,1,5,0,0,0,12,0.521
37278a3457c96302df25df31d16e6f018f0cb718,624,15,237,19,0,0,2,0.522
b34bd1db3657e7c83a7661142158b0088c07a6bb,5432,147,2773,131,1,0,83,0.523
e301ebd9b01c3fbf7877f9f67f696a7a0cba05a6,1007,115,184,101,0,0,6,0.526
05a39319afb8f8c77e90f18ef4b04042f0dea217,6955,9,9,10,0,0,319,0.529
eb000c7b3d8749559addf044184e410ffc2ba369,-1,-1,-1,-1,-1,-1,-1,0.534
61b81967aeb8350cb522b7cd4ce9b8295b42e888,9496,8,1585,109,0,0,2,0.538
3c3499a10767307c9c46931317aecacc3e9a6b6f,6178,71,21,170,18,171942,3594,0.551
4a64d3c02276cf5e25ddc9a9e66248df68399da0,-1,-1,-1,-1,-1,-1,-1,0.551
208f6c2f6d41d44078d4760f59fe17cb3edb6a9a,138,126,72,124,1,0,1,0.561
93628700edfe6ccabcc44591a77d7f3c5bb37dfa,1908,322,201,375,1,0,1,0.564
b2cec22f2f63a7b66fc43dc4a83de72677d8ff79,-1,-1,-1,-1,-1,-1,-1,0.566
f3492be039dc373aedec40c5d7895a394df9bbf4,6733,478,360,123,6,619,442,0.571
343aabc0462731271c889c1e61da292521301a0e,727,1,6,36,15,15,357,0.575
cb110dd2560354a1fb6986d7cb0d6ea9a42c837b,8746,1,2047,4,1,0,13,0.575
fb01f94139af5196dda86a1bd1be55e7d00b7f25,1716,147,0,86,1,0,2592,0.577
b813d4b02c19535671f8744b1e21704a3fdfab29,-1,-1,-1,-1,-1,-1,-1,0.578
9d1ce7bc3a8c605d6af80e7aa990d79518863bc8,1417,14,728,12,1,5,2,0.579
82e2ba00816fecc7fa809b90bfa83a5c08538425,-1,-1,-1,-1,-1,-1,-1,0.587
a8f5235c2947819240df817c60e2268ab563fd87,22,17,10,15,1,4,49,0.595
1139253b9a299533c3383acbbc79eac3d4a7d5bd,7893,494,247,571,0,0,4,0.597
db542303819ab180e3d852fcb45fcb43e6c4ae49,646,0,4,548,0,0,0,0.599
bdb27902c2553c627b771361c6b5741e4ee604a8,1070,9,15,99,0,0,763,0.601
8f649533ec30bf895b4eebbbd16252968f72d997,1724,170,2694,165,0,0,7,0.603
6fcca5a7e73f1211b6317b4e463e0021be1c116d,5071,505,106,1853,1,21,322,0.603
2bd9e79799024ea7da29b2f24859e99b1a670442,244,304,78,287,0,0,135,0.605
88a9bbebdbcefafed093a90b6a50ecb208b9e065,1245,59,780,57,5,4,25,0.607
3aad3e5067643e72cb3e0068e343e564a85569b6,-1,-1,-1,-1,-1,-1,-1,0.619
02543dcc61d689ffcbb6785a2f01ba50db8371f7,77,61,12,40,1,0,0,0.622
bbdc42a8c56e3966d5fb4e213a48d03682a72fe0,2705,1316,6912,1415,10,0,2,0.625
98ae53679310ee448c9586642c667c43b3fe51af,7209,10,34,1062,0,0,53,0.626
da5e8cdc241fa942ced4c8cec8374c3b8505062e,6120,35,5,25,0,0,616,0.630
baea25b9c9fefa3937eeca53dc9501272bdc5d5b,6016,24,5678,93,3,0,3,0.637
86a3519e0b32b0338a7b48b323e5a017b0dcf43b,7302,18,6778,1103,0,0,10,0.646
94df00a1f910f3d03b59c88d304cfab69718e9fc,1747,8,285,283,0,0,4,0.647
61e24529aeda61d8eae54f44a70b77e156ba13b1,9479,80,7618,218,0,0,79,0.648
40cccbb1c62be2dc45635db8d478f33f8d68075b,103,34,23,34,0,0,15,0.654
7826b1e3f4cbe678bd9b0cee80bb727128f83865,2490,6,15,121,0,0,431,0.655
d5616ca035253ecf002bc848d771af55276bbfd2,2999,145,3,375,4,0,468,0.656
3ff8730eb187d252539641c6f7f5fe41a072d57f,5883,73,308,848,0,0,95,0.657
d10dc7335259f11e9e0c693b6faa2ef3bcf1c847,88,82,15,52,0,0,2,0.659
802fda45d9fe27e94e19a2f3ba98a920a9aff785,180,214,53,208,0,0,584,0.662
ca529f6aef2b4cf448e92272c183181a018b7cfd,999,204,34,189,5,0,20,0.663
b954c20d7ee700bb93b6c8075111d8333fcf696c,296,11,7087,11,0,0,2,0.667
3346983a2473bb450902320d0e22b46974463607,1234,100,10,136,0,0,121,0.667
57d2d85b541e2e811d3ec8646fb33ea470849fdd,2088,38,149,326,3,4,16,0.673
8251d85baf7e175389e74caadb8b99cc24fad1ed,180,244,4,177,0,0,196,0.675
2ac620918ca4009afa4d4a0e910597d97283247c,23,27,3,33,0,0,3,0.675
c535e9adca1205a15b9273203d7085d07b0e73f4,4883,0,1355,877,0,0,148,0.677
ad55b87acb11ef839a016b07d3988c6c7471844d,170,40,62,126,0,0,176,0.685
41f04a566a0edb47750577143ec52bf3e5539b9a,3859,45,6,703,0,0,4,0.687
ebd8c4bfdc19612ba328a5217f8ca6123b3cebc9,4217,4,351,800,0,0,7,0.689
9061ec78520eb8eaa5c1ed164e328eee157d813e,1385,261,26,467,2,0,20,0.691
420b3d106d32903aa365adec3b86e2155ba60b9e,-1,-1,-1,-1,-1,-1,-1,0.695
e26bdd1c3c05a176fc504a1d6d7ab4575cdc5387,7001,1495,738,2882,0,0,545,0.695
ae0d3f6ed235c4e815003423a3f6c74473a40bd1,4,23,5,24,0,0,4,0.695
f608f6c68e76fd3a66583e6f4edc45765c26208e,-1,-1,-1,-1,-1,-1,-1,0.698
27c54534dcd10da70292eb7be57257b949c0b286,-1,-1,-1,-1,-1,-1,-1,0.698
fed671f7212c5f5c2f311305aecb566afc2ed1de,-1,-1,-1,-1,-1,-1,-1,0.699
5c12db8321aa13f57200d415428ef5e76f436d6c,-1,-1,-1,-1,-1,-1,-1,0.703
2924885ec1ea606595ebe30fa34ed9d7f41c3055,125,61,8,92,0,0,3,0.703
15b6e09dff0fab5567a368ffcc0ff07fac4155e6,1093,27,66,15,0,0,6,0.707
d2d740467622aca3b04ab56ecc2a31f8654b5c01,-1,-1,-1,-1,-1,-1,-1,0.707
31084abae84c99beb5a49bcbab9c4dd469d2ddbf,6307,25,609,25,0,0,3,0.708
0e9b5de69192e999b8266033377829667687403f,734,62,1,651,0,0,27,0.711
f3836e00f3bd608cf9234da0ea94c9adaee326ef,75,10,12,11,0,0,5,0.714
98e5511366326f1fb6ea8d9d818c771194d35cd1,6465,3,1372,1938,0,0,0,0.718
78943456093416bdac20b8fa7a5a10cc54988208,3058,23,221,182,1,0,8,0.719
