id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
bf82d465a138d9e4770d447b784817f85665f352,3405,947,523,667,8,2,176,0.025
4c9ffb7ecb4cfa6a5685c906259399f8283a53a2,8886,5,23813,4,0,0,85,0.041
f51661a7858edd0d798462a657cdb4cdc3626fc0,2547,917,1756,757,10,342,3631,0.062
76133c9493ecae2e54d07b1cf3a7235b9cccf2dc,5838,11,5852,110,2,0,544,0.081
59cdffed6ee679d2246dc60cd01ad72edc1a0025,4983,0,3745,4,2,5,234,0.230
970ba291660c8d85bff5eeff0a4ffe8f3771de99,-1,-1,-1,-1,-1,-1,-1,0.279
984bca6076a5a44ddd52b5605bb73852f4489c67,6872,521,777,948,1,1,49,0.281
aeb1df642588c0d992c7917e1c65986c1faa65a4,2257,232,1958,538,2,13,143,0.295
2585f227b7039237abef37910d249c166e61baf6,69,96,331,87,2,0,4,0.316
792e3e088721d24ad010eb1695f93b96f34d1165,6322,26,36,25,1,19,12,0.348
2c8ba632d847b9e2cbb1fc2a5306b61a4ea8a188,5960,67,685,1548,0,0,25,0.416
b195cd8da0a11294eccbecd9f96337514dba3c39,1796,902,560,553,6,255,137,0.420
d09c5eaa77121776359288428460ab294e046281,566,1000,1399,878,6,89,212,0.459
6821cedf0d91d601d14c8cb841e456e00489eabe,1446,1000,931,925,7,314,423,0.460
9d1ce7bc3a8c605d6af80e7aa990d79518863bc8,1417,14,728,12,1,5,2,0.579
2245df59727e4f4bd9c5904355bdfb4c2a3cd3f9,-1,-1,-1,-1,-1,-1,-1,0.631
3d3c5701b10eae70e681c3a6468ffd3a14a29303,740,16,106,61,0,0,7,0.663
3346983a2473bb450902320d0e22b46974463607,1234,100,10,136,0,0,121,0.667
d69ff28583ff63f9be39a69398cb46a53663e84f,100,296,2948,294,9,0,15,0.693
158c58df774bf68e1a45499f5288d7b1318a289b,7195,2,4754,1,1,0,201,0.716
4415e0442d00f923ad2b76aa1dff9453c2d86bbb,4294,64,8693,61,0,0,37,0.760
7277204a5cc00527411302149450edfc25715478,2108,83,10,127,1,0,8,0.766
b021de9ded9b853370a52376b7b64bf9b5902b83,3514,4,999,20,0,0,0,0.829
1ac1532bbecdaa6c7ad3e7f02af5398bbc88d989,118,18,1,18,5,14,14,0.857
19160534f0053552201cef367aea8a3fb599b8a4,68,23,2238,18,0,0,1,0.874
f61ebac6ae3d34899fe05a4783e21a230c546e6c,3072,5,71,38,1,26,36,0.881
892694f92036bd6aab4f19f303f3733abdd34538,45,23,1218,13,0,0,5,0.896
97472077f40e8640075ccd6b1c3fec144b430571,-1,-1,-1,-1,-1,-1,-1,0.912
139b1574951310bbbb8f8f2292821f4396af64f5,-1,-1,-1,-1,-1,-1,-1,0.921
3e92fc8835211b5ef3023a8c309c02de267793e4,7536,25,2125,80,0,0,1,0.922
949a9293199f86f7a8b621fe6cc1f04cce56a814,1402,12,151,30,0,0,685,0.936
90b97d80be037101efede8cf2bb4b03ca1efe530,1,10,748,20,0,0,0,0.943
3008b8878b61785cbf0cac1bd27fbbf366ee2a3d,208,710,21,852,0,0,257,0.947
12e07136293313261f8c25f0a2addebc7fe96eaa,3,0,1,0,0,0,1,0.954
a1f4cb989ddc2b4e60ffcdccf97acab66ac6bfba,6,0,0,0,0,0,1,0.954
64c516b1ed321620d168b60803411f782293ad75,-1,-1,-1,-1,-1,-1,-1,0.954
e69ca74cfe8cb803acb37673196766ddc63a260a,28,31,19,24,1,4,7,0.954
8b441a305c13f5550744cc9e047d91ce0fb423a6,8,5,4,5,0,0,1,0.954
446a162624a8165f135276d5170639673ea51e74,-1,-1,-1,-1,-1,-1,-1,0.954
7c226e8fef28a7095a92b8784dfc4de42252eb75,8,3,2,4,0,0,7,0.954
d6ce4252c76ba539a0d509cb44bdb2c36a210d61,3,0,0,0,0,0,3,0.954
4973adb1199a2672d31043dd7845404139ec5df0,-1,-1,-1,-1,-1,-1,-1,0.954
a54c856cb476930ca114a982d81eef73309f946b,-1,-1,-1,-1,-1,-1,-1,0.954
74d8c7f0702f4868fcd19138267b59bb065d5851,-1,-1,-1,-1,-1,-1,-1,0.954
e10a0e052a52f4d6f916c33704feea721e4c3369,2,0,4,3,0,0,1,0.954
a4bc906701f689c2479584aa74d26562ea0ac9c2,-1,-1,-1,-1,-1,-1,-1,0.954
aa79483aa9f05acd836641fe77cebbc067ebef11,24,44,0,43,0,0,5,0.954
3ab7fb7bb94f8aefeab7a7ad038b6c8c24b6af12,-1,-1,-1,-1,-1,-1,-1,0.954
5f0b55adc6104794a94786be1de275d9dfd3fc0e,8,2,7,2,0,0,2,0.954
a9a73805fe5bd4ae00f183d591e457896717b6a4,1,0,0,3,0,0,1,0.954
14a902c8a0819b3e44463997cbe6460b54c52666,2,0,1,6,0,0,1,0.954
e52aeb586e7ab5e2b62a3f5776e430cf49db007a,8,6,1,21,1,17,1,0.954
c726e84654d296ed7be8c7fa1c955aac02342a33,6,0,1,0,0,0,1,0.954
af81c45cbf09d7feda9e483a2b1b6bed99b6e362,1,4,1,3,0,0,1,0.954
18f6c0e9de4e22961765c60490f68669c71f6f2b,24,3,1,2,0,0,8,0.954
8f4cce852328c31974460c912ec8a3fbb41760e5,10,1,0,1,0,0,8,0.954
6387ac1544c7901af41cb1d4d2f06d99d9cfb351,-1,-1,-1,-1,-1,-1,-1,0.954
1a80a792835c73f60334efbfc3dfb866a0a6b1e1,1,1,2,1,0,0,0,0.954
9c1a9b5902a12a49633ee6bb08b2918c1197493e,6,7,0,8,0,0,1,0.954
71d1eec991ca60543a1b0cac97f0301c2ea8ff50,4,3,0,13,0,0,2,0.954
9b32e23a9150eaac828b02595389416a5b5537d7,31,3,8,14,0,0,9,0.954
33b6946156b7117b4169edeb9dc8841c40d73f59,5,1,4,1,0,0,2,0.954
8ee558fb006bd209e79a7550fc416f895518f303,2,0,1,2,0,0,5,0.954
b7b64416ae90a069d90ad5882fa3d86c7a47ffa0,5,2,2,15,0,0,4,0.954
df3c703795eb8a58db5b1dbaead15d7f1d1fd1ad,-1,-1,-1,-1,-1,-1,-1,0.954
3cc3c61e9a9f96880617d16eac21ed2a56c03fc0,14,3,1,1,1,1,2,0.954
21545ccec2690cae312ae9269ca0549c99c7bab2,634,100,46,337,0,0,1,0.954
4d75b3742efeb20d820d6eb8ff65e84b84215212,4,1,0,35,0,0,4,0.954
c92927a2a5093b1aa807b781130ed0365c2f188c,4,3,0,3,0,0,2,0.954
bfebd3d65c0a576bb81c8399efbc8c126dd737ab,-1,-1,-1,-1,-1,-1,-1,0.954
54659acc4f6fa1672adaa1b0a5b3b5ef2ede84ae,-1,-1,-1,-1,-1,-1,-1,0.955
2e7a99c1dfdea744eda626f5aacc98b789042b68,1164,9,35,181,1,0,185,0.959
45a1f61573ed3ea3d3a9bdcf7bb56374e31907e0,7891,15,989,15,0,0,27,0.961
6e928067c9af0f0316d363dd4b0eaa960805ab21,-1,-1,-1,-1,-1,-1,-1,0.964
