id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
73f595387b0701a95696606670418f0b29a39b97,1734,55,135,66,1,21,107,0.003
fd2b0640c180606278e8e1787eb2480d86b76457,1662,74,1161,72,0,0,491,0.005
78853a6ffb5818158e7679cb6690d30b55c79b01,-1,-1,-1,-1,-1,-1,-1,0.006
39c35dd98dbbbce658ccc4acab83bc607037a395,1034,4,196,15,1,0,1,0.009
820bb9f61ba5576d595b08c086a945925b90a2c1,-1,-1,-1,-1,-1,-1,-1,0.019
bcf44e4a67ee51eb402636bab38d5a1e37c1acd1,9671,85,4333,120,0,0,43,0.044
baa541c4275536923c2e22440a5c2b4757517e45,-1,-1,-1,-1,-1,-1,-1,0.048
4d025c73c7b5a943dde946767b7865e44fe9cac2,7582,711,467,395,8,2312,17051,0.051
bcb5737f79d2df1ec10b137488dfde353889b649,1262,206,138,248,69,1522,1612,0.060
9ddaeef17ef0241957babad7b3cba57e38e4f9c6,3323,29,8,14,2,33,152,0.079
8af0ce07300f5409c563edcf171017b2ca9bd396,-1,-1,-1,-1,-1,-1,-1,0.112
0aa22629155084beead399f75d9034256ca0d146,578,208,10,267,2,5,122,0.120
c955c599542ed0f2078fc66c4fa55d047b20f3ec,9957,289,380,280,2,5,46,0.204
95188eeedf16b0d35a20f4f5fed73001db48da00,6249,918,1402,598,0,0,224,0.223
31f6fd60a29d7c2e2e4593ddf1c6d1e47d1d1046,4951,1608,639,3253,7,57,6969,0.233
dbf232231ef8c150afcfd9c0366e7b110087d47a,985,183,329,126,1,2,345,0.283
390e089b0dd7f7845968a7e2b3e020ca6c1aa681,349,5,247,10,0,0,37,0.290
da6bfed9e134c68268f4abfb33c61c61b4665e87,2203,52,200,54,3,18,180,0.291
3996bf5b6b9f374fbe8d3c393e8a4798cbd301a8,2398,92,12,109,0,0,36,0.307
64460ea2a1ed25317412ccf5e3bfaadff319f9ad,1851,54,1586,328,1,0,680,0.312
b7b633b0bde4338f325b883d48cd6bc2c6668823,288,1,256,4,0,0,98,0.315
ef887523ca15ae204fb171484785f0acb204ccde,450,84,859,75,0,0,541,0.331
2d1d1e1d6e56c96c1ccc08943cb6aee52f3c65fa,-1,-1,-1,-1,-1,-1,-1,0.351
b532019a97357b57517cc135ba7c544c607f00bf,-1,-1,-1,-1,-1,-1,-1,0.360
6a3b261875ffc19540a7735c4d143b3166a51bbf,-1,-1,-1,-1,-1,-1,-1,0.372
a0626611207338e72dafbbf115e0ef5ddb6ac281,1174,283,44,267,5,0,1,0.375
1931816126ce764a3d22120b34d889e295e5f437,2061,61,665,63,1,1,655,0.390
5251a9f74db37aecea646b069e4311ff8ed295fd,-1,-1,-1,-1,-1,-1,-1,0.434
b8482e394b6a5140e0d3d84a36941bd20efd1fcf,-1,-1,-1,-1,-1,-1,-1,0.442
fce4884ef7baad4984f7a2500959538d06ae0fdd,1043,37,79,234,0,0,11,0.446
5fea0091b7d93e6cbfffaa686fa64f744fcbc226,224,0,225,0,0,0,35,0.447
9188972f2cbfa9ad4c2c24be4de12161c7f6e231,286,0,185,2,0,0,38,0.447
65a33daae35c3f0222bf3e5e55f26276fe0b9901,1011,7,82,32,18,163,26,0.451
5744f993cfc0d6f8070664c33492597458c7cd93,4002,12,222,12,1,0,263,0.454
55e377293bf8a4028d6af21488fbbfdf630c7bf7,606,61,0,69,1,0,2,0.456
a24c31296fb9dc702076ead756eb79786092ba48,2513,427,169,325,7,262,387,0.458
5c1959c033ce0dc00da604e794bc451f90f8f2b5,2343,489,188,309,6,325,412,0.458
d09c5eaa77121776359288428460ab294e046281,566,1000,1399,878,6,89,212,0.459
6412971e3fcec5f97b53bc05f5bbac7a21d1d2fe,285,1,233,3,3,16,565,0.473
0f1a4be9fca31cdecb98d968a8e06870207bf9a1,-1,-1,-1,-1,-1,-1,-1,0.473
19c126da660ad3834648330503b03ad82f89dbf4,1133,617,47,631,5,0,1,0.482
9c4ed35a0bb992fb4e18879f329e45de73182a78,-1,-1,-1,-1,-1,-1,-1,0.495
10c99a64b9e82608ed4903d5d2de9fa3d07a9da7,1544,238,5,188,17,0,1,0.507
f31c497f4c72c39d61b6cafd0d794e4a1007ed8a,267,2,169,2,1,0,125,0.528
fb0775102af0bdf66a1eacadf42340888e5f4a6f,6161,7,3,2140,2,0,145,0.531
f690bf41d61b70254c958c88e18bbe3eb030feb2,-1,-1,-1,-1,-1,-1,-1,0.536
3e917c8645e82556887b6e35b3ad6d5d4d0e1a1b,-1,-1,-1,-1,-1,-1,-1,0.539
804715e4ca611808197d810f7b6793ce8acf7d75,6784,165,42649,801,3,3,1552,0.545
9aa8d456020bd8aa3a560732ab8ad62821b3fec6,655,26,98,8,0,0,44,0.551
b566a93b1d6a2a1bd199550c9c37680e1ce24e60,159,12,5,12,1,41,18,0.553
3f6099345d95bc3a8c16a7c9f75d96114da034dc,9898,1825,1,1751,0,0,5,0.559
ae0d4670687ad8406d5eb201cf68e765fef6f96e,244,1,179,27,0,0,137,0.559
471e5c870ee2dea18d5e932f1c729267a1b97d19,-1,-1,-1,-1,-1,-1,-1,0.563
285f16ba293d6b14ef2725fb760ec7575f8a4838,-1,-1,-1,-1,-1,-1,-1,0.566
3191dabf33044be830aeb231b4e44766d9d61880,-1,-1,-1,-1,-1,-1,-1,0.569
ef48358c8f79dab2cb41e40b33ca29f6e57a22d8,261,0,346,0,0,0,87,0.570
62b675d5d79f3ba69f071a97914303c0732db0a1,3769,86,505,415,1,12,250,0.577
4f4a791012bae66c99b16da1d8a90f7f20d614df,9998,920,983,800,2,0,102,0.578
826d6e25b0d5f033f046d8efacef2152550c899a,2041,25,60,31,1,36,116,0.578
a6bdba6d224ec6bbcec4e2875a1b3a30be0f4b46,8081,549,2,501,2,0,6,0.583
77fc9ace0630651d85deff483c27ae8f31d0a614,8697,79,12767,113,1,73,307,0.592
e0a75045269c2ad43dc9edf69a913e8987294b5d,307,2,5,25,0,0,0,0.605
3380b516c3da28ea7a37ec339b5fd7f56ffdcbdf,8472,31,2976,34,0,0,152,0.608
c3a88b663984b849ea7521bcb8bc8b5e6f48686f,534,65,396,31,3,77,111,0.609
dd9301718def02d9114738e14331380878a58167,5863,119,325,116,9,4,5,0.616
96de6b00a90df30935e4ee3164fec20589731868,3259,257,1380,282,0,0,11,0.622
dd5b7ae5950a26597541766fc1cfb51fbf85d43c,4634,13,107,21,0,0,15,0.622
08c67f8c116194b7e6c6bf7c4e3cce964a247087,-1,-1,-1,-1,-1,-1,-1,0.622
6c9df8161083e8a120a0030da968582015627380,-1,-1,-1,-1,-1,-1,-1,0.647
c39e475d462e3c0578fc4e1ac0f9fa193ac50ce2,8424,491,12,1231,6,0,12,0.648
1e0817ffdc95db53e0489b91f0f1a8895affa6ec,3257,92,99,39,0,0,303,0.650
d612e0ac15486dd390b3fe32ef514e3cfabd6b8b,5909,16,0,199,0,0,1035,0.666
cef999d0c06e753f9251e26b4f117cc2b34216a9,-1,-1,-1,-1,-1,-1,-1,0.671
59937ae5a9c0e32769874d1cad463d47f3238019,-1,-1,-1,-1,-1,-1,-1,0.673
dab95cb6a4dc11f77d5f5dba913282a17c06ee4b,2104,17,19,29,0,0,56,0.685
5c899a6337431d8355e1154e55964b0cd5d44ffb,1463,8,361,135,0,0,1,0.686
d89fc0826104a30c87dcfbaa88673ae531fa850f,1826,647,54,604,1,0,2,0.690
89b9ac00dc9a6f7052caaa53c59873a7a33faad5,5831,139,899,491,1,133,750,0.702
b87e0e5e967c7d9a47b3a45d2869ddc4bb70ac42,380,5,36,32,0,0,0,0.702
62a8e7ccda7b93f9c7b96e156c7988261a1cb2b9,374,0,190,2,0,0,53,0.705
bdc889194951cad19681b49a2c89e088fce3eadf,-1,-1,-1,-1,-1,-1,-1,0.706
b6b4bcc6dea2974a99c2370fdb01dfde64dcfa08,3936,6,979,353,1,5,204,0.707
28d01c7df4e867fdb9f912095e5313f41a2eaffc,2560,135,308,164,0,0,4,0.710
813e02f0bfc9ee16eff6c4e8a9ff9133a977495d,327,427,373,343,7,1,17,0.735
1f15f926b850c7989ceb6d6fc083505b6fcc5766,3404,639,7,346,0,0,83,0.739
8961a04b59dff88d2b60e2c54f05b6d7d93bba7d,9444,15,3293,308,1,36,6,0.740
a102c2ae73d8689a3b96a99904c8b9f07e16e06b,-1,-1,-1,-1,-1,-1,-1,0.741
16e7a3fb1351955e40664d5aae16240e06eac82d,935,35,0,28,0,0,88,0.743
385cbfcb242357891287f385b688231d7b1ed057,1255,332,0,303,0,0,2,0.753
42198802db36a37971f1c9e3a5401806aec2de96,1133,2,36,53,0,0,2,0.755
54ba885a0cf9fc179416bacec4908ec14430b864,221,4,264,4,0,0,14,0.758
0efc8e1d9be4118a66b4fd4562b7036a644cffa0,5509,0,14,0,1,1,0,0.767
83d157451e133a83ecd4849dea7cf5a3c0730360,551,22,38,54,0,0,372,0.774
