id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
7bf102826bf4529ffdcecdb270b25efb91c7ad4a,3280,1000,143,591,0,0,1683,0.006
36ff02663a7f1edb70052ed0089a34b89c517c94,788,73,48,37,4,59,775,0.033
50cd2890a23d4945ce743532f7135a3df9e172f3,5083,46,282,155,0,0,2270,0.051
304d39400020dcde8b092b6bd086cc684973f17d,-1,-1,-1,-1,-1,-1,-1,0.215
d0137d4fbc75ef4769c13d58bca98f2809090130,235,11,0,6,1,0,11,0.235
c0357611750c8a88cf88fe53665d4e2d37be9094,-1,-1,-1,-1,-1,-1,-1,0.268
915383d8a56aa361e788ac61631156f1f83a2924,95,1322,2289,1650,1,0,1,0.367
8c390729bed5898eae0b04060060accd67c974b4,-1,-1,-1,-1,-1,-1,-1,0.416
4b74541e45133d9fc0877b623e37fb517610d853,501,7,115,13,1,0,37,0.421
468973eb3bf35a03fba64de2e38a322e4d43f46c,-1,-1,-1,-1,-1,-1,-1,0.426
11fe973ddde640b0f648a4698e9933e2e739d989,-1,-1,-1,-1,-1,-1,-1,0.435
4e32094aa40b07e46b0717f1ce2586c54302178f,4128,585,194,364,5,264,359,0.435
affa033e6905773ee5fc59afc9114472786db367,-1,-1,-1,-1,-1,-1,-1,0.445
a75cd15db7ef76df023eda3c402da4c97e5dbe6a,197,0,0,4,0,0,12,0.447
1be41cd0b5aea41e3dec90d5cd47daf55aee37d7,-1,-1,-1,-1,-1,-1,-1,0.485
a1df8496698061b4f021f2057f94654d4fd489b2,2561,39,9,39,0,0,17,0.487
5a83d33dfc0fc02e85726520ced9e33edef9eca6,75,144,65,105,2,84,363,0.498
66f3eae68d5cd10e0c59ba92bfa65496ffde8849,408,145,4,141,0,0,361,0.504
ec3953f9c979a0cf49be58f3e55a431973965ac4,56,24,113,25,18,0,0,0.517
aaec7094e712241422cf25f88feba1322d9253d5,385,5,6,2,57,21181,691,0.522
513aa48ed171bc5c125506503209fca3d967bb45,369,1000,2,773,1,4,615,0.529
b921aa93f95bfc74876580852a593b4a52010af2,228,25,0,10,0,0,9,0.537
6a5d26e5f5843b2c4af02c1b1660f78d0f0d3f31,-1,-1,-1,-1,-1,-1,-1,0.544
3ed98370e6acf2c54ebb076ed9231b95bebabea6,-1,-1,-1,-1,-1,-1,-1,0.549
428d7ed94d759774aa7cdcf45d4c52e2521f9609,268,46,0,65,0,0,8,0.558
1af9913b22cb752b43e10568525ae9e1fd3c87d9,-1,-1,-1,-1,-1,-1,-1,0.608
88eec54234ef20516a7b7e662f9726cde5a3da9c,6607,990,217,598,2,0,30,0.615
555f63cd18af41189c27dab9dbcabb6409d48d7f,-1,-1,-1,-1,-1,-1,-1,0.622
d28914f0c3c5ab45900f9b3aa156869c4bae7669,133,295,76,278,4,0,2,0.624
f96c0620616676ddf42468ef200d9ff63b139dc0,144,221,60,232,1,17,431,0.625
234816d689fb29bf8cbd6a3bf5e5b8c0a128c3cd,-1,-1,-1,-1,-1,-1,-1,0.627
ca611aa4ff057de3884e33df86957d1f66519674,285,42,61,76,2,0,1,0.641
05685e93177505c8f0a4e39c61c3594b0fd512b2,-1,-1,-1,-1,-1,-1,-1,0.644
7dac34d048fef5afb2e7abdeca2a3581d03873fd,-1,-1,-1,-1,-1,-1,-1,0.646
cde5a2f43537bf4165952d458a2eedda6e856fcd,197,432,19,241,0,0,713,0.664
bf3379b2ec8954aed6a4d090889dbd495c86c7bf,1342,521,124,985,0,0,546,0.675
b82e5cbc5367522f2e0bc25212767575d2c980f5,-1,-1,-1,-1,-1,-1,-1,0.675
c57d9ab72b295ec9f77facb66c57d7025d77f490,45,19,342,13,0,0,4,0.701
5c12db8321aa13f57200d415428ef5e76f436d6c,-1,-1,-1,-1,-1,-1,-1,0.703
