id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
7bf102826bf4529ffdcecdb270b25efb91c7ad4a,3280,1000,144,0,0,0,1683,0.006
0e4adac3b8906c9f7d36e6ca2d4a2b6894e54c94,2589,41,54,41,0,0,0,0.035
a8343ab61de3a4a8ee35085f6db9ed6c167cc4c2,5196,78,5476,92,4,774,3589,0.037
4c9ffb7ecb4cfa6a5685c906259399f8283a53a2,8886,5,23813,4,0,0,85,0.041
50cd2890a23d4945ce743532f7135a3df9e172f3,5083,46,282,155,0,0,2270,0.051
0ec90f2fea4cb112f37c3d943118a57cd726c7fc,4510,19,0,19,2,0,36,0.066
7a1989ae2cf7ae045e51a5da62b6b4ac77ce66cc,-1,-1,-1,-1,-1,-1,-1,0.096
3b1c4a04158bffc0772cea1d520ac272285edeb4,-1,-1,-1,-1,-1,-1,-1,0.158
0665d20dff3b4cf033608a1c5a4281317e59dbe4,-1,-1,-1,-1,-1,-1,-1,0.182
304d39400020dcde8b092b6bd086cc684973f17d,-1,-1,-1,-1,-1,-1,-1,0.215
59cdffed6ee679d2246dc60cd01ad72edc1a0025,4983,0,3745,4,2,5,234,0.230
d0137d4fbc75ef4769c13d58bca98f2809090130,235,11,0,6,1,0,11,0.235
17e044fefc89d8601561e16f7837209e7b96446c,8026,179,242,891,1,0,29,0.240
7a18c95a12381731a0ad29497bf3be93837f72c7,1486,101,1636,98,0,0,2,0.245
2ae7e99f835a3b5c9b3fc91c34e4077a0ccc3e7a,149,0,0,17,0,0,20,0.258
5d11cf443a7a5685aa4b398e1e936fe3b8a2f10c,9387,5,12674,68,1,0,221,0.265
d208f904c686b9a62df3dce7aed2f961427a068f,3572,8,0,9,0,0,2,0.295
aeb1df642588c0d992c7917e1c65986c1faa65a4,2257,232,1958,538,2,13,143,0.295
52025da8c06d5bfb3ff2b5af577b32cb6bb74cfe,227,13,11,50,1,6,7,0.326
7be6bfdc9dc665a7006f3be7d6afc20a33e602a6,-1,-1,-1,-1,-1,-1,-1,0.331
792e3e088721d24ad010eb1695f93b96f34d1165,6323,26,36,25,1,19,12,0.348
e2e4f6726cf741e16c8eb69bc8761345ffc1f3f4,2952,16,1411,126,3,17,846,0.369
3e1adcca11ea3c26efde0079631b3c996bdda114,145,1,3,0,0,0,18,0.374
ca00ddf36681f79e1f8585976d5bc149de762bf0,-1,-1,-1,-1,-1,-1,-1,0.384
3a00a34cf0f777a9cf934867a67431e0bba30d2b,2473,488,203,316,6,265,515,0.418
b195cd8da0a11294eccbecd9f96337514dba3c39,1796,902,562,552,6,255,137,0.420
be72f293f64668ec12375c5c7a544bb86461f6bc,-1,-1,-1,-1,-1,-1,-1,0.434
87b94287eed2918be635a157806fea8b8d17dd91,4049,510,190,321,5,472,398,0.442
