id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
bf82d465a138d9e4770d447b784817f85665f352,3404,947,521,668,8,2,176,0.025
4d76e2a6ff1c59ca319c95d5b9ab4dcadc711610,39,51,71,51,1,25,159,0.037
e7e7b19aa3b86d6ee7999a62571c0f6ebb9c5d3f,185,49,137,46,0,0,1430,0.051
76133c9493ecae2e54d07b1cf3a7235b9cccf2dc,5841,11,5852,109,2,0,543,0.081
565caa9407484e0863a629f1753085473688cbe6,-1,-1,-1,-1,-1,-1,-1,0.208
5abc51c79099b54efafc735b261c8729511f00ff,9925,2,29883,2,0,0,3,0.217
59cdffed6ee679d2246dc60cd01ad72edc1a0025,4993,0,3746,2,2,5,231,0.230
9608d673f5c80f322c2fcf73435a7ed9bcd5c3a5,1488,1000,860,405,19,2408,191,0.235
7a18c95a12381731a0ad29497bf3be93837f72c7,1410,101,1595,99,0,0,2,0.245
00323d5add695ebfaf2f8b560ce55f773300e0a6,80,64,2115,63,0,0,0,0.272
984bca6076a5a44ddd52b5605bb73852f4489c67,6844,518,781,934,1,1,49,0.281
e662a638cbc7f6dbd52cf89f7f8ff08c0e61d8e2,1574,129,72,137,0,0,240,0.315
29a3a0a0ca79b47fe2f7f82f532620501df72373,470,0,34,113,1,5,17,0.321
98ce4b4c6ce1adbcad71a457db6039f3c0c72c90,8747,20,4893,20,0,0,40,0.341
aff31f9f4754a268599f1c08dffff105c3885caf,1259,53,0,75,0,0,19,0.373
2c8ba632d847b9e2cbb1fc2a5306b61a4ea8a188,5973,68,685,1544,0,0,23,0.416
e045eae17a40906f29638af0916e8e42b2f335be,55,11,1,11,1,35,24,0.416
b195cd8da0a11294eccbecd9f96337514dba3c39,1800,904,498,552,6,255,137,0.420
c2db28e6fb2dda5da28deb4c5e9a8ff823911a5b,-1,-1,-1,-1,-1,-1,-1,0.424
41e31e30f2172273e60534cdd53754258dfb49c0,-1,-1,-1,-1,-1,-1,-1,0.431
be72f293f64668ec12375c5c7a544bb86461f6bc,-1,-1,-1,-1,-1,-1,-1,0.434
35460d82bdb3acec7fb04a3d6a7eea98c21d2578,50,15,4,15,1,31,20,0.437
d97260477c95366c2a02ece6817ce0c18fd9e7c8,57,10,2,10,1,32,23,0.443
6821cedf0d91d601d14c8cb841e456e00489eabe,1445,1000,876,924,7,314,423,0.460
cff9c38795a1390782d9ce41c3b1b3debb6f7b99,837,68,30,382,2,7,43,0.516
69a58afed077d37ca161b9545de99b5a60d5dee2,-1,-1,-1,-1,-1,-1,-1,0.562
9db2580733dfc28e5a7f9d9d87a32d534e921e14,58,22,5,24,1,34,21,0.567
8cc467fbe01bfe633020918d0c85fe1c0480ddf1,65,14,2,14,1,31,22,0.571
3d3c5701b10eae70e681c3a6468ffd3a14a29303,722,16,104,55,0,0,7,0.663
57698db086517cb9dc303a7ddc9bc1037e881b57,206,111,34,166,1,11,34,0.681
d69ff28583ff63f9be39a69398cb46a53663e84f,99,295,2890,293,9,1,16,0.693
ce980ba1c22e537b64592d6029363575d8f155b9,4661,121,6,75,3,26,58,0.697
50087f0fcc76294ab31df6eeb1a03779764ea149,-1,-1,-1,-1,-1,-1,-1,0.729
688c1443161426b030eca059cd93daf63976cbcf,9113,828,1739,385,0,0,75,0.744
b5dd54485d6de8fce9eec8b7d68f99e1f2685eb2,2005,3,98,124,1,0,104,0.749
4415e0442d00f923ad2b76aa1dff9453c2d86bbb,-1,-1,-1,-1,-1,-1,-1,0.760
251ed82ef8fbf8abfa2fd74157ee20083b8b4525,-1,-1,-1,-1,-1,-1,-1,0.764
8b3e11f03880860a31a39f05a6f3c5838f52eea3,-1,-1,-1,-1,-1,-1,-1,0.768
208e1bd1f22362ab778c2f1f517381e605fe28b6,-1,-1,-1,-1,-1,-1,-1,0.769
68acef9ca686701accfc74acc1cd7cf8bcd53f61,17,4,2,6,1,0,4,0.775
5c5c2a522ddcf474fce364f9abf82882039f7a25,-1,-1,-1,-1,-1,-1,-1,0.777
