id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
3b3509ac2379104ceacfcd9b889f30449a562b41,-1,-1,-1,-1,-1,-1,-1,0.002
c3afb5caaf68f8f9c4eda83b79b630b9a645522b,6505,19,256,259,1,6,5794,0.011
0fc3a8341406dbd9852d1bb6b922182f7b6c6f66,450,25,218,23,21,487,2835,0.012
bd79ef03efc6bc2546b3b32432923a39651c0dcb,-1,-1,-1,-1,-1,-1,-1,0.015
4aa0c2e87e3bd92eac67b470d69e574ae428dc7d,255,372,90,395,47,1260,1191,0.020
a6a07dc89185affb3989309d269eba931a908fca,-1,-1,-1,-1,-1,-1,-1,0.020
d8ae3c48fdad516ae310d411f6481ab2e5be3316,441,75,179,74,1,8,21,0.021
d1a20a756cc4c78fe43bbc948ebf851354f123d7,211,77,212,46,1,18,44,0.021
8d573ca52bf501a2c940ff172ede3895cb3d119d,1051,101,255,92,2,159,507,0.025
58b3aa0a41d79aa45851129adc5708142c9c119a,412,90,538,59,0,0,138,0.027
9f7fab922511e1e22d4cbb8e7dd80623fb83cde9,-1,-1,-1,-1,-1,-1,-1,0.027
68cd500309da6f3a0a22f05249118f821e4371b4,1054,73,1204,101,11,856,877,0.031
afc0390d3827446e10c28c4d7eacf103baa58049,-1,-1,-1,-1,-1,-1,-1,0.033
93a6a0b0b00dc22699a0abf38b4181c82410c980,9993,1000,12724,361,28,900,1275,0.034
da8b14e3092d5620e255330a52308980d1384b8c,-1,-1,-1,-1,-1,-1,-1,0.035
d6c337a34ee70369ab6974312ab37f9fc481b87d,2733,41,374,173,13,166,1191,0.036
cb883364369b1a6178a8d23711380885c2c94f1b,778,405,161,150,21,364,409,0.036
a8343ab61de3a4a8ee35085f6db9ed6c167cc4c2,5203,78,5484,80,4,774,3545,0.037
8bf93ca75d6682ba3afa24de5176624233b95c98,2893,11,52,172,1,3,13,0.044
1382ba77958afa82187d9852986de0d505285e73,3808,1000,1196,1682,9,439,4323,0.048
330fb1003cc1385cb4d826f0a61d1810f33daf1a,6780,10,362,1192,0,0,73,0.048
6cf64d88efba213a381c7102ebffe775dbe7e745,2302,266,472,451,3,9,516,0.053
dc9a301ca760fbf0752afabd254e15c0be1f102f,208,1,0,0,0,0,21,0.055
3addb033160ffecb695d08e87ad45065c0ce9fe8,1392,124,359,68,8,28,2,0.058
0d8bee3959dc140c6ebe514fa36bbc8e97055a5f,2675,2,278,32,0,0,974,0.066
89fd4c833cf2e89ba4e38fd2c95087992e62101d,231,12,224,28,1,0,223,0.076
83228dca88f34c0271c8906101c767e116f9aa14,2926,55,1082,590,8,26,1037,0.081
42085e39444bdc7ffbf033b0be6cdea42be69a6d,999,10,380,12,0,0,54,0.083
ef54f9ecbe8cff8228e1ddfe3d5bd84e709e158f,691,55,308,84,7,67,144,0.088
c543c95bde71966e2a2e91b9477f59372b3db4e0,838,341,589,318,6,237,3730,0.090
6f7d20df23da24d5efc671c511a6f87445e18ab9,1087,18,13,58,1,5,28,0.094
bdc7ef40dcb8ce9ad0bda63ff15f7c364c6b9f4c,3076,19,638,907,1,0,764,0.099
66da8083d55861786d75544a2cd138d8c95efae7,3236,112,99,151,8,144,430,0.104
a686b716d08a4e6c606a2ed5c24cd640c8879aa0,2076,34,153,74,2,124,2047,0.107
be0b38882fcdd75e24c6d8dbd81364cfdb8fb2b7,483,112,153,103,10,38,241,0.111
5802edfb4967f6299c91eeafb44738474d50c1ca,-1,-1,-1,-1,-1,-1,-1,0.113
e73a355232df5a30382dc664d5d9aebb653a02dd,3050,5,12,7,1,0,249,0.125
02bfb1e6bd1116f8fdd8e49db9cffaa8fc32bc07,3325,61,560,58,0,0,211,0.126
cb8628db5ba4a4fbe08a67145e9e826d1a963448,1413,3,3493,3,0,0,3,0.152
f686276f10a0458a283abe016442d5d1762e41e3,2533,130,143,387,0,0,371,0.153
80d94561b03b1eb7c5329a7bb07be5f9f3d88b96,248,18,203,44,0,0,198,0.155
8016b7eb7290c07fccbf2e4ddd1b23be9beff37e,-1,-1,-1,-1,-1,-1,-1,0.162
d552ac7480848dbfcc98973d83bfd08259facad1,2758,106,263,242,0,0,5667,0.166
eba9eeacfd4fab52d399e1b507ddbf40443ee863,6858,1829,103,1684,5,576,6654,0.169
74711a82656f6c706785487abb724eafe461e385,4136,15,231,32,0,0,20,0.189
8365fac1a11b54b084a4dd2c3ef59b511d0b4513,5398,1000,1069,1143,6,42,4920,0.194
78dbd563a1ee5555babdcd310eda3164a631e8f5,3997,446,11205,871,0,0,25,0.221
56b5383c547fbdb84d755ed050041281d738da97,2835,83,3890,78,7,845,831,0.221
9b82e9f40862ee825a0c4ff1dcf618bf6a9c4f2f,4083,263,3,261,49,2913,1283,0.230
207802b1c98a860436c4e6a84650ef20a7ed95a2,-1,-1,-1,-1,-1,-1,-1,0.241
b631bf9010082e62dbfee6fee8c520014b7c4658,2166,723,0,596,85,112,512,0.249
4553f06917e8d3ae2496f64fb27d11afc755ec9e,8702,20,4438,21,2,0,38,0.253
6bbc21666c565d6936c67644e84837856b5d6298,213,1,3,1,0,0,16,0.256
