id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
908eb4be7a3ec057646881ce2f2465988035e7f2,8830,1935,531,2150,1,1,66,0.000
588c6adc16d228ca0cb28451132556ded359eb52,375,118,128,129,0,0,151,0.063
76133c9493ecae2e54d07b1cf3a7235b9cccf2dc,5835,11,5853,109,2,0,540,0.081
f0037822b982c7c7791bd9a9e8183be346bc2fce,10000,110,1388,96,0,0,16,0.089
d4cd0c3f1031449a5c374858eff0b55868544fa1,-1,-1,-1,-1,-1,-1,-1,0.229
5064c49827b93a05923ca45bbf346569e74554ec,3639,5,120,96,4,34,48,0.232
fedc4a2e79bb3e9263cbca0150fca05b7999f20a,168,113,722,112,1,0,41,0.249
af41a6d96c0e3db0db951ee20740abbf3644d5d0,-1,-1,-1,-1,-1,-1,-1,0.267
136c9e2f63119a5608f624f66ea9c4b89bca451d,-1,-1,-1,-1,-1,-1,-1,0.279
9734231c0abf92821521e782cad557c97f9f92cf,6746,25,193,50,0,0,253,0.291
becc4bd067a909db656347c1635aabb097ced441,127,59,312,53,1,0,9,0.292
c4e017bac1883e06ffaead6514fe93858c0cb4fd,1626,17,204,165,0,0,57,0.292
41482c79f729b57b518d221f994e694bf840b10c,223,77,129,60,0,0,4,0.297
461720f928c7ca9a5dc5193932bc9a39af75b7ed,310,96,100,112,1,0,753,0.307
23c31ac1a9f44460b0d1df9cf33f9cbd99626284,43,29,146,29,2,0,2,0.309
33c7b314cae6e51a9e1fb39384862904bb16025b,176,81,124,85,0,0,2095,0.325
b6465cbbe02e2033caccbf93dced3e65b9e2e61a,131,121,137,83,1,0,28,0.329
60db0f01f8c12cf2b07f264bd617c221865c5736,180,41,257,40,0,0,107,0.330
010aa32cbe77c3cbc235158d311267a4d4a7808e,1174,162,3343,356,1,0,17,0.339
758932299054859107cb33a86e80ac202c3e71dc,142,18,32,12,1,1,35,0.342
44a5c779be0a2b14ef98d1283bb742eaaad48ce0,908,510,2,540,1,1,110,0.345
792e3e088721d24ad010eb1695f93b96f34d1165,6320,22,35,21,1,19,11,0.348
b734541147efd8f5298145e399659299b31b51b6,9006,178,5964,428,0,0,5,0.348
65c1745b2e3a9a68fab246337e8cdcda8db01564,186,2,2,2,1,0,1,0.350
ae0d1bceb923a4e0fae8159e82bca9fe402b88cd,208,191,462,180,0,0,53,0.350
6c1e6ec374353d12e41473a6604d0eb080189919,157,16,22,15,0,0,137,0.360
fe965459924c56c914edd55d0a560a68164bbb25,184,50,93,44,5,0,202,0.361
bd9673b59a81ba9539eb1ee562ae746341b2225a,144,19,692,19,0,0,1,0.366
