id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
6cf64d88efba213a381c7102ebffe775dbe7e745,2306,265,471,450,3,9,516,0.053
75a4c9a902ddc26d26b8feb319339aae352dc9f4,2149,1000,48,1339,1,119,31,0.152
4f13e00d503c620122455b1c9661f012654fe956,9991,232,950,222,1,0,7,0.228
792e3e088721d24ad010eb1695f93b96f34d1165,6322,23,35,21,1,19,11,0.348
3a00a34cf0f777a9cf934867a67431e0bba30d2b,2476,453,196,293,6,265,501,0.418
b195cd8da0a11294eccbecd9f96337514dba3c39,1802,854,390,516,6,255,133,0.420
eb48ad0470cd2c1bf5d01f6143086565faea01a7,-1,-1,-1,-1,-1,-1,-1,0.427
a24c31296fb9dc702076ead756eb79786092ba48,2508,274,166,218,7,262,367,0.458
1be41cd0b5aea41e3dec90d5cd47daf55aee37d7,-1,-1,-1,-1,-1,-1,-1,0.485
23901ff2c9bff1120d1bea36b24fe8cc1bda7370,1068,59,1,66,0,0,3,0.530
bc7298adb307afb700c2f65dbde36613ecab32d4,90,128,38,121,0,0,1,0.552
9d1ce7bc3a8c605d6af80e7aa990d79518863bc8,1448,14,704,12,1,5,2,0.579
e99976693349c385d95aee77369153fa3544c779,294,144,151,207,0,0,82,0.593
ce980ba1c22e537b64592d6029363575d8f155b9,4643,121,6,74,3,24,55,0.697
158c58df774bf68e1a45499f5288d7b1318a289b,7312,2,4620,1,1,0,199,0.716
688c1443161426b030eca059cd93daf63976cbcf,9123,829,1759,286,0,0,73,0.744
4415e0442d00f923ad2b76aa1dff9453c2d86bbb,-1,-1,-1,-1,-1,-1,-1,0.760
c35b3c17d11b6b82fb058eacbe3ed56ae1d988bb,5555,23,18,37,4,46,60,0.761
23145f1037cf0cb79b5f775f46f86573ed598879,-1,-1,-1,-1,-1,-1,-1,0.778
bc2dceda241a743adf4e525207c7ec08e44a4c0c,-1,-1,-1,-1,-1,-1,-1,0.843
19160534f0053552201cef367aea8a3fb599b8a4,2347,27,7,25,0,0,1,0.874
e4a6627b76de0442335cb146c5fa403bf3daa100,1147,0,468,2,0,0,0,0.918
3e92fc8835211b5ef3023a8c309c02de267793e4,7611,25,2121,57,0,0,1,0.922
4d03de9bdd13d54e5bec3ba33dcae35a1eafd670,1085,81,350,61,1,0,574,0.933
5622385b37cae0e4062ef03aabf63adddf152961,-1,-1,-1,-1,-1,-1,-1,0.941
ff15c4b9be7522c868f11f5434c0af59b6b18655,2063,37,438,190,0,0,13,0.943
fa0b34e7273e05ecb143f477cb5fa52f3f828713,-1,-1,-1,-1,-1,-1,-1,0.944
2389ca22336ff880771d55f8d67151c178dd0727,290,8,174,5,0,0,5,0.947
d0acb89e96ba71b3797c18a07367038f09003da9,120,17,39,8,0,0,3,0.949
0ebc316069a10a31df09e58149445a356da512c4,78,1000,2,561,0,0,36,0.950
99c47f1b49ff177643861e8518e181655a815b03,81,1000,2,573,0,0,32,0.950
cfdadadc60e177bb9ba8c5ce26fb393bda049e75,82,992,2,538,0,0,36,0.950
7b6288ea8c7c82e7d022ae0418a9fff4af89ae15,83,1000,2,560,0,0,41,0.950
fdcfe77d183958fbeae1d7cb193ccef4864eea76,95,1000,7,539,0,0,31,0.950
53ea002f9ad32dbe1bcf5206e8d3542a6e8038f5,88,1000,6,550,0,0,32,0.950
9f4cf7a1348e0b37e2b2986b4753230a24f58efc,-1,-1,-1,-1,-1,-1,-1,0.950
410cd4e4e995362c3e17fc5052be18e6aa15ca2c,-1,-1,-1,-1,-1,-1,-1,0.951
1f8703e899a04c9bce8b9d54ad2e6dc884e8be58,85,1000,7,542,0,0,34,0.951
6d9b6c0b0189e949721aea75733ea5a038f3548c,80,975,4,554,0,0,33,0.951
43a8ebee02de9f244a6aa968430d34d4b77b9e1e,403,565,0,288,0,0,130,0.952
8e019b54ebf06e7265b73db59d4442a9b80e8b8c,-1,-1,-1,-1,-1,-1,-1,0.954
1e0d4b4c8f21cd63ece99a846ade5fb939a090db,-1,-1,-1,-1,-1,-1,-1,0.954
cca5704196bab7bb2980253b0e1d3144e5571191,-1,-1,-1,-1,-1,-1,-1,0.954
01346215a6086cc9fb17a236a6cc686e93b99cff,-1,-1,-1,-1,-1,-1,-1,0.954
d17bf67e02704c389a697ebdb59116c84afdb4f0,-1,-1,-1,-1,-1,-1,-1,0.954
3a868a15d7505928db7322c2c0a2bc48d9069bdb,-1,-1,-1,-1,-1,-1,-1,0.954
