id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
5e2c1d6cd68a0c2883409e7bd63f063e50907105,1695,229,498,204,5,292,180,0.001
8676ffbf83df014b26f0127de0674259eb5e5ead,6152,1604,6783,2312,1,35,3217,0.001
a99c65e861917e1538aa4d49bafbd5e209aed551,9164,25,15892,560,0,0,66,0.001
0bf90a9f3092cef9d5e4f889da5343e35530ffde,4286,182,4284,455,0,0,41,0.009
0743fad9ebd83997cd262e21731cd14dfc891f4a,359,366,405,1252,7,230,565,0.012
cf5633ec4fead566abe2f98f9e2a2fdeac724e94,1856,711,320,501,6,13,83,0.014
ae5f61e4c5012a1b7922da605918518ab6a18211,4894,469,948,599,3,8,956,0.015
d6d7915fe71ca4861f6dae9b36318580a01bc371,168,4,139,110,8,553,1133,0.019
ef17984c376a1228ba6021fff6c2a7e257466fce,-1,-1,-1,-1,-1,-1,-1,0.020
6f260464d473b58b2aa399c89ac86083bbfc0174,-1,-1,-1,-1,-1,-1,-1,0.021
1a6c02a1d0be747abb4453e5fe058055c7008a17,792,1000,283,1247,11,54,414,0.026
ffd617bd36efacee3e65bb0d8aeb515aabbeab79,152,998,200,912,5,47,934,0.027
4d592c34da50c17d3ab51b6c21f49bc620e21732,232,1266,38,1357,0,0,586,0.027
4d2c57c36b877f6197093f5f3f47465d613315b3,-1,-1,-1,-1,-1,-1,-1,0.030
4508de3e1a8d4f977d7a32f1ea4c6c27e6b66b3c,159,1000,115,2270,0,0,837,0.036
cb8330b81781ab12b9bae3640411a546a2dc2727,4293,58,300,454,12,399,51,0.039
e6fb24b1d134054a2dc6ad5aa5fc437259883340,355,47,931,48,1,0,1,0.048
4c13bf8ebfda1984c712b28c2bf61e41b96734bd,60,9,39,11,0,0,43,0.049
0c69f62392627900fd604b930abf21502712e977,-1,-1,-1,-1,-1,-1,-1,0.050
477a3106927ef8b983bcbcab1bfa2f5c86be880d,-1,-1,-1,-1,-1,-1,-1,0.051
50cd2890a23d4945ce743532f7135a3df9e172f3,5082,46,279,155,0,0,2265,0.051
b20bf37a2c55587c1555acaa28713ca2f1a5a1c8,106,269,371,375,0,0,827,0.054
ba0ffce186c585ee7504bf7d1437bf6efcd58c0c,7769,8,8649,8,0,0,3,0.056
eb520696628d2ffa7e05ea3ca1dc0165b46a30c0,270,112,498,203,3,2,15,0.063
f821eb80ae91b2154a9d7a12cd683727936f3362,-1,-1,-1,-1,-1,-1,-1,0.064
dbb7cf9e42e7b9139ccbadc76be9d77b34d4b2b9,-1,-1,-1,-1,-1,-1,-1,0.068
31943ed80f4edcd840f71a6f4117bf41133bd06f,547,376,581,400,15,465,276,0.075
7ea614a0e1fb62b976eb889ecf05c78082cb7f87,546,1048,496,1187,0,0,479,0.080
189daab63ff8a51637197dc469264db03fece229,-1,-1,-1,-1,-1,-1,-1,0.081
76133c9493ecae2e54d07b1cf3a7235b9cccf2dc,5843,11,5851,109,2,0,542,0.081
a41e007c6d0df6f1d6e055148459e5a177a50fb2,6149,15,2219,23,1,28,7,0.082
cdb9e47ec81ae7dc1216eb706fd6bee72637438f,-1,-1,-1,-1,-1,-1,-1,0.083
8d3404bf94704d88479c295085b3e0c58fb92b05,-1,-1,-1,-1,-1,-1,-1,0.085
f1cb6b5e4c125606ec5dcc89b886e2da28627a83,-1,-1,-1,-1,-1,-1,-1,0.088
a256e6f4f029b5007335cd5855eac40830a7d37c,47,63,906,30,18,224,99,0.094
5d26a0909860d74e80233bfafafe25d9e6e30a7e,-1,-1,-1,-1,-1,-1,-1,0.096
e1bdbe4abdf4825debad77aab73cc894d317dd99,399,1061,633,1171,5,334,6880,0.101
9cf75bbf90e451b21ab219d3809aea4279a00793,166,1246,978,1409,23,0,820,0.102
