id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
3dbb19a0b59a0604ffba7a4b8acceb4bfdd6eac6,7313,17,833,746,6,58,3034,0.004
ea139b5c5a08770b82b8f9cd2d5f522c28c72e3e,794,139,937,165,0,0,15874,0.007
6f9983ca1b000d9f786e4c2100bc0d8f061668fb,999,317,182,318,0,0,1,0.016
bf82d465a138d9e4770d447b784817f85665f352,3389,944,521,660,8,2,175,0.025
20eacef57606905e838433dcf888c4177562cf20,-1,-1,-1,-1,-1,-1,-1,0.030
50cd2890a23d4945ce743532f7135a3df9e172f3,5074,46,271,155,0,0,2262,0.051
0ec90f2fea4cb112f37c3d943118a57cd726c7fc,4506,19,7,25,2,0,36,0.066
76133c9493ecae2e54d07b1cf3a7235b9cccf2dc,5835,11,5853,109,2,0,540,0.081
1131406ccadcc9d2804707da8aed050622368e7a,2301,179,571,184,7,278,2480,0.091
27566b798ed4dff54e4b2419d0a5f9e591a99848,9093,74,67,68,9,103,876,0.097
2aece39d63368cb6b84dd642eb3faecad5cfe8b3,469,147,114,184,1,5,20,0.103
690d0d63f63729665434773d47590a1d9aaea1d2,-1,-1,-1,-1,-1,-1,-1,0.109
896718146b63dc99d678ca7510163e48effd6bca,-1,-1,-1,-1,-1,-1,-1,0.144
01d30e94c05ac48a93f4669a9eb5aa89d02d1687,471,1000,85,575,5,25,1062,0.153
82bacbf858bca5deaec792ac981478f159262bdd,1693,99,274,424,0,0,15,0.155
9a324d6b98f3137a70bae5d71b7f5f40150512b3,2978,19,594,93,0,0,215,0.183
eb6115be0ac45847a0aac6999884bfc23584ee70,269,28,56,27,2,22,46,0.185
14f294ef1ca97c6e31be1b1bf9d1e118f33f2e13,-1,-1,-1,-1,-1,-1,-1,0.197
69cff03e476186a4188fc20bdfeb33c076201d89,612,416,64,569,8,12,564,0.226
8dceb9db85b30aa23c35c14306a6f3ef376aea30,-1,-1,-1,-1,-1,-1,-1,0.229
59cdffed6ee679d2246dc60cd01ad72edc1a0025,4997,0,3750,1,2,5,230,0.230
7dbab3c91a15293a9274ac85c5ac3b0ac4524ca2,2967,71,42,236,0,0,3745,0.245
48f87bc6951c89ffef36af44e0702afb3d8b9a1e,7158,71,7384,64,1,2,3508,0.254
66c3612575bce70e6bca565da6ae03b7493869ca,5203,1000,241,720,5,249,1743,0.262
d08596d0da71014f1d9f24b9b4dc1e6eed4509aa,-1,-1,-1,-1,-1,-1,-1,0.269
b253b51a4445d1170a2b77c05fffebacebc32e8d,2552,41,106,886,2,28,3330,0.277
98609cb2f5ef82a4669a7e22104d9c9e7d6e5217,-1,-1,-1,-1,-1,-1,-1,0.278
984bca6076a5a44ddd52b5605bb73852f4489c67,6812,516,776,926,1,1,49,0.281
7357ad91a480fea17588175e1fc20815984c27d8,208,0,21,3,0,0,25,0.288
3567b4c0d7047410c01c41a419deb720397d8f8e,-1,-1,-1,-1,-1,-1,-1,0.308
c4da840ede8395483b94daa9165efcd5368d2c6c,-1,-1,-1,-1,-1,-1,-1,0.317
09499c67264b1702e6fcf08462d783bf3012c9a0,-1,-1,-1,-1,-1,-1,-1,0.322
05884c076955582f3d9a35dd6901a127a8fbc8b4,-1,-1,-1,-1,-1,-1,-1,0.327
01e63f9b08f62326d9d9e790ecaf3099b788f637,2258,1000,2143,1150,6,186,2968,0.335
3a564035fc80f4050cb991f64f20a2aad2da6bdc,172,777,136,545,0,0,1137,0.342
792e3e088721d24ad010eb1695f93b96f34d1165,6320,22,35,21,1,19,11,0.348
437fad85bf7aef0a9e574529fc3b7af18ce4d4f1,393,69,22,166,0,0,28,0.368
99191fbecfa482986297419e7154fc1dca116e49,-1,-1,-1,-1,-1,-1,-1,0.369
2e4a4fda70f06f6c76a796271484e95e4a98126c,-1,-1,-1,-1,-1,-1,-1,0.406
f62f81cfee782727c50ddd46dbb32800f87ac1ba,3322,7,85,81,0,0,95,0.413
2c8ba632d847b9e2cbb1fc2a5306b61a4ea8a188,5984,66,686,1534,0,0,23,0.416
3a00a34cf0f777a9cf934867a67431e0bba30d2b,2476,446,195,290,6,265,500,0.418
21e4fc97099f5a7538a76fc6829cf1955b44609d,-1,-1,-1,-1,-1,-1,-1,0.418
b195cd8da0a11294eccbecd9f96337514dba3c39,1803,854,363,516,6,255,133,0.420
fa228a639f7027a263d77f25cbe3b83b980e6bc4,-1,-1,-1,-1,-1,-1,-1,0.424
e3aea3c50b46e1923065e22024b32062017c73b6,-1,-1,-1,-1,-1,-1,-1,0.427
c17dfb0d498a3465e193feda6fa461f6eca8a2e8,1010,930,103,1368,7,14,928,0.439
329617d2fcb7e18493f10f069fa1e5a784128412,-1,-1,-1,-1,-1,-1,-1,0.441
