id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
c798825237acc1181c4d2f61a50c0f8a31e0988c,109,62,135,60,5,6,15,0.028
50cd2890a23d4945ce743532f7135a3df9e172f3,5082,46,277,155,0,0,2265,0.051
1f5e80324bcf3a88afe840bde92d2d7f55d181b2,-1,-1,-1,-1,-1,-1,-1,0.054
dc9a301ca760fbf0752afabd254e15c0be1f102f,208,1,0,0,0,0,21,0.055
382f737a292d6f33c023fc3d315bf876d7538228,719,67,2,56,0,0,58,0.058
0ec90f2fea4cb112f37c3d943118a57cd726c7fc,4504,19,7,25,2,0,36,0.066
7e457b4221feaf88e8770317727ef9591c767727,811,1000,175,1588,2,53,1719,0.072
76133c9493ecae2e54d07b1cf3a7235b9cccf2dc,5838,11,5851,109,2,0,542,0.081
e1b1de177c6ade3a78685c45ee80d9de53756527,-1,-1,-1,-1,-1,-1,-1,0.087
b64f4ba0c89b79337f214ee523db5d991ba1e338,-1,-1,-1,-1,-1,-1,-1,0.091
7637ed08cf000fefdc084b1dc809531231818520,4406,1000,207,878,5,81,903,0.110
b1b87106f34ca2d75cded2ed5bfa4914aa542333,1164,48,1831,34,1,4,1,0.115
50ab533229495ebd1a2063c3d98343cfce154f57,820,918,445,920,3,5,274,0.120
719b6af6a043545a4b89cc85a01d17444020b812,-1,-1,-1,-1,-1,-1,-1,0.121
ad0f6d862a2c9b3e5ec61cfb43bdb12dab7e3ce0,1793,82,366,280,1,8,151,0.141
19f74c54a2e7e3fa2f1504779d3230459e2dbbcc,2649,625,251,577,0,0,2024,0.175
c2557304138f04c4a817da1388e312a4b8267b36,208,122,16,133,1,3,77,0.199
3164b9b6ef17c0b3a47ecd9e0ad19079cadba8a7,7151,1592,614,1588,3,3,4972,0.205
b6e7c569ed845a0408bfcb7d17375ec5140dbae2,5913,196,1649,1780,0,0,100,0.223
a146613c4d0bae932b5f6008af26fc2925856705,-1,-1,-1,-1,-1,-1,-1,0.226
462fa1b0f18f652d76f2f185fa257d070d3cefde,3127,171,1,341,1,1,21,0.229
59cdffed6ee679d2246dc60cd01ad72edc1a0025,4987,0,3752,5,2,5,230,0.230
0ff5cf22c4007c99e6b0e6dc68d1f06503317f6b,1244,31,188,1154,0,0,5,0.231
25745ad8fa1355b1f588777edc03b1204f126a18,-1,-1,-1,-1,-1,-1,-1,0.235
a01614c9bdd9055d38ba3c2e516c8abcccd8e358,-1,-1,-1,-1,-1,-1,-1,0.245
9d641f8d60f86b37428031c1edfff741ebef41b3,75,5,215,4,0,0,4,0.246
41ca389f3a2c419123022d0260b695c4d29cec1f,-1,-1,-1,-1,-1,-1,-1,0.250
3d44a80c8a51852d4ce9c4917bb5f666ffea9548,3054,1000,729,2113,3,1,2449,0.255
5fe5ee98f8beae1a4f3c014ecb2665e411485c0c,1180,150,465,194,0,0,3,0.256
6bbc21666c565d6936c67644e84837856b5d6298,211,1,3,1,0,0,16,0.256
4d0315e72ff8eed2aaadb6dad6fecb77581c7cd9,-1,-1,-1,-1,-1,-1,-1,0.259
5bc501d58ada22d209e1b3099ec62384f7173ec0,7801,18,5785,171,1,0,5940,0.265
3717272c261a1c5c36727d8253f8a33293032939,-1,-1,-1,-1,-1,-1,-1,0.279
b6457faf829e9c9a598f90bdc4db1cfa20e1da8e,117,120,4,134,0,0,400,0.287
18e79e72c878e99a010fc160630d11618bca4ef8,-1,-1,-1,-1,-1,-1,-1,0.290
c92b97b4bcf9edec830567838facf9ddfd36c5c3,388,11,700,8,0,0,148,0.300
305f8700e4f79b10fd5c4189f7a0e22cc1f7d39e,2065,625,74,293,2,1,65,0.302
24374ffca516d4f004c40112d8f05f8858f0a2b4,-1,-1,-1,-1,-1,-1,-1,0.314
c1324a5daa30d88c19274c7fe1c3412dc3698f26,1735,13,693,28,6,127,399,0.335
0be7bd4b802dcacd0dc95aa38433c9a2983e2cc9,-1,-1,-1,-1,-1,-1,-1,0.338
9387c91770a2cc69883958e91a1790f56c5b79d9,2846,112,0,267,0,0,889,0.343
792e3e088721d24ad010eb1695f93b96f34d1165,6324,25,34,25,1,19,11,0.348
0c72176dc14aa742dc8167238397687000e91842,2479,334,386,3204,0,0,6414,0.352
bac9ca5452356830cf1841ef2efe254593b71a10,167,13,2459,144,1,13,20,0.355
abf0bb4341db2440dbce82aa7de8024630bf0ac5,-1,-1,-1,-1,-1,-1,-1,0.358
85ed8968b4c5366748ce575e6b168fa0c60c421c,746,251,489,219,0,0,696,0.375
e96b745eabe11a19b927d229424a2272dc25a61b,-1,-1,-1,-1,-1,-1,-1,0.381
6e840442ed1052961f3c706b978e5d3cda02e5df,-1,-1,-1,-1,-1,-1,-1,0.383
58212e49145a9de5f2fd2295e1c9f1f52881c462,2601,526,64,509,0,0,534,0.385
21f641df273b8ff8be81bd18b66c3708e7481f07,219,42,3,3,0,0,19,0.394
10f0e855e3c0dc62faedfa91b3267f4bf88acc9e,4270,1000,259,736,6,182,846,0.394
d2b3ad0a522eb25995e5238067733ba4b06026b1,2572,133,1360,132,1,0,64,0.396
f0c790e49c2318e05f96c1965c7afc2e99017cfa,2551,3,847,657,0,0,1956,0.396
124292bfdb31cc6c13a29ece170c812568dd37da,-1,-1,-1,-1,-1,-1,-1,0.404
5e20165a203a20fc32f06f03be5c726dc65a1788,-1,-1,-1,-1,-1,-1,-1,0.411
c964e4b2b1a53a6d88549b57052ec75f049d6cdc,4925,101,3855,124,3,11,1678,0.415
f8bd7c9a07608b82215aa4281efc7b15f4ef784a,806,688,23,301,1,9,6,0.417
c4aeae40a2e4c59c7ec5ec9909e0753b672b5bae,-1,-1,-1,-1,-1,-1,-1,0.417
77a70921368fe4ef10001d257844a2b00a96ac65,4003,1000,194,648,6,164,655,0.418
3a00a34cf0f777a9cf934867a67431e0bba30d2b,2474,472,202,305,6,265,505,0.418
07a756a6ea4d59e123d789fcbf75db69756a5580,4002,1000,255,620,6,275,745,0.423
2c257f40ed551e7c68a03cd2d95b4ea05657a58e,-1,-1,-1,-1,-1,-1,-1,0.425
5eaed28df7a4cef7b31f97597940eab52815cc03,1664,7,3368,10,0,0,4020,0.426
d113428028715bf1f294233bebd1df9c4e84b760,-1,-1,-1,-1,-1,-1,-1,0.426
c51faeac2c7be37c2877b6a52f7636e8711a8f64,-1,-1,-1,-1,-1,-1,-1,0.430
be72f293f64668ec12375c5c7a544bb86461f6bc,-1,-1,-1,-1,-1,-1,-1,0.434
89394f554e488387ecc09235869b6021ca4e35cf,-1,-1,-1,-1,-1,-1,-1,0.439
70f6e05877b1a188e32bb1eef4994aa1dc104a68,682,696,236,1556,3,5,160,0.453
3afccbb99a9f062ea24b2d3ef9f0b33a16e89fcf,1988,1000,407,5324,0,0,1817,0.454
eff8a14666211555949bb49f8bdea27269cf9b8f,8024,56,559,54,21,99997,1,0.456
5c1959c033ce0dc00da604e794bc451f90f8f2b5,2347,464,190,290,6,325,404,0.458
