id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
908eb4be7a3ec057646881ce2f2465988035e7f2,8793,1934,541,2160,1,1,66,0.000
be2602c0366e9facec257b7868f983a34f6af539,372,0,478,1,0,0,1,0.038
50cd2890a23d4945ce743532f7135a3df9e172f3,5081,46,275,155,0,0,2263,0.051
cc7e5153e5864d34c26b0a157162c59d5beb0e2d,-1,-1,-1,-1,-1,-1,-1,0.068
76133c9493ecae2e54d07b1cf3a7235b9cccf2dc,5842,11,5852,109,2,0,541,0.081
7637ed08cf000fefdc084b1dc809531231818520,4406,1000,205,876,5,81,898,0.110
04200473546a0179ca55f0c6055825173a20cbd3,218,54,23,26,0,0,573,0.131
2aab3630cf22a24f6efe3f8bda5c1e666fa7f754,529,289,165,330,12,45,287,0.190
6e63df4a0c0ccf334073a00340baa64e9cb1475e,1115,1775,51,2396,0,0,2380,0.221
1e41828282ea41a3d69ea693ce2f882f2b1f8206,6624,43,12927,41,0,0,10,0.223
7c6f31ecb5ccc0febd22fbb50efe33cd120b9a78,4137,726,189,443,6,289,480,0.343
f2299ec606a8e4571320f71721d8d99af5e921ee,13,4,2,5,0,0,18,0.357
87cb91e6d0019853f378c524228ae21d9dbbdd7e,356,1000,20,1339,0,0,485,0.360
e2e4f6726cf741e16c8eb69bc8761345ffc1f3f4,2954,15,1410,123,3,17,846,0.369
31f954da0e0a07750239abb3b84e70903785a678,4882,2,518,96,1,0,764,0.378
b195cd8da0a11294eccbecd9f96337514dba3c39,1803,905,420,551,6,255,137,0.420
07a756a6ea4d59e123d789fcbf75db69756a5580,4002,1000,256,618,6,275,742,0.423
be72f293f64668ec12375c5c7a544bb86461f6bc,-1,-1,-1,-1,-1,-1,-1,0.434
4e32094aa40b07e46b0717f1ce2586c54302178f,4133,554,190,338,5,264,348,0.435
87b94287eed2918be635a157806fea8b8d17dd91,4057,476,188,298,5,472,385,0.442
907e46e37c2c36b6f611f05ced57c2a3f94d6b58,4079,697,203,420,5,323,455,0.448
a24c31296fb9dc702076ead756eb79786092ba48,2507,292,166,237,7,262,369,0.458
5c1959c033ce0dc00da604e794bc451f90f8f2b5,2349,452,190,280,6,325,400,0.458
d09c5eaa77121776359288428460ab294e046281,565,1000,1258,827,6,89,203,0.459
58e1904e1257b1fd7b2b51415d827629761582bc,4119,725,205,426,6,259,623,0.459
00e289131c107e03ec503a41f3819ea021ef4f32,4092,610,189,359,6,308,574,0.460
6821cedf0d91d601d14c8cb841e456e00489eabe,1447,1000,752,898,7,314,416,0.460
f66366610c677d4d79f6b1c0085861c33edff747,4024,422,168,282,5,298,437,0.460
fd2d4ca0da245d6e0f6ee781fb9276a13069627a,540,1510,122,2164,1,0,191,0.470
9a56847e11491bdd6daf29106837b32d37f2cea3,-1,-1,-1,-1,-1,-1,-1,0.478
1be41cd0b5aea41e3dec90d5cd47daf55aee37d7,-1,-1,-1,-1,-1,-1,-1,0.485
4146dbf471255665e046674c46bd7ea13519e23b,92,26,334,24,3,186,22,0.488
e66499f21a6f0af0cfda241408be8d3d7c23a2fa,-1,-1,-1,-1,-1,-1,-1,0.514
6e8748954e82a07c005b50ac746a7e3f21c805a8,73,410,4,214,0,0,123,0.519
e4a01de83b30545deccb0be59ef5aabbfb4162da,3551,1000,624,3720,0,0,1987,0.542
d38693266fc67871bdb3e515fa4a6b78881db22d,342,392,136,379,0,0,45,0.557
aad58c328957f318d642b69e263c75ca17484621,1922,65,5,14,0,0,140,0.566
b868b1c5d7fc6eda6914915d2e5bc4212cc3b40a,886,8,76,11,2,23,2250,0.566
aad82092ccb0d8616acd36a235da8483d3c857ce,6575,1733,2,1535,0,0,336,0.571
9d1ce7bc3a8c605d6af80e7aa990d79518863bc8,1447,14,704,13,1,5,2,0.579
739befe88004b911c7232a537e442a0fcd3b59a6,644,453,24,567,0,0,96,0.594
8dae639e0b7e22515f1e9998d13e5a625bdce312,139,1000,28,1275,0,0,238,0.596
e59aa980814b554e651e716e07f5f9f3b2c156a1,4110,20,104,19,0,0,3,0.607
85dcf99f97273596ef04004145805e26e7486000,2070,45,214,45,0,0,2379,0.612
902f30eb29fe576bf49ec9eaba60c23f68b5fa66,-1,-1,-1,-1,-1,-1,-1,0.643
3d9f8b4f0b470dc45bde87ae2b9f5ecd71e2d3d2,-1,-1,-1,-1,-1,-1,-1,0.654
3346983a2473bb450902320d0e22b46974463607,1232,99,8,136,0,0,118,0.667
ce980ba1c22e537b64592d6029363575d8f155b9,4662,121,7,75,3,27,59,0.697
da56828950d7c246d29cbeb46f357376f3a6c00b,-1,-1,-1,-1,-1,-1,-1,0.700
158c58df774bf68e1a45499f5288d7b1318a289b,7399,2,4537,1,1,0,199,0.716
ecb9bd7f880fb7b792e1de45e2eb1eb8e7cf5e85,496,1000,1,1714,0,0,46,0.726
44b4189ca0077f4dd8024cd1be73a5b0cde9bfa0,2295,1000,6,1581,0,0,577,0.731
54ba885a0cf9fc179416bacec4908ec14430b864,222,4,265,4,0,0,14,0.758
742d10f09103a151e9ee5dabbeeadb238ed52d1d,80,773,9,486,2,5,139,0.758
4415e0442d00f923ad2b76aa1dff9453c2d86bbb,-1,-1,-1,-1,-1,-1,-1,0.760
6a0e04ed8fe9b0d7cf7594ec5c4a86e0bd894e07,313,37,30,31,0,0,7,0.762
bbc58054c12cc12a07941a20da0d337d150b5c8b,-1,-1,-1,-1,-1,-1,-1,0.764
208e1bd1f22362ab778c2f1f517381e605fe28b6,-1,-1,-1,-1,-1,-1,-1,0.769
57b92da63a16987ca19c012bf4572198681b0f11,-1,-1,-1,-1,-1,-1,-1,0.774
619d93f910874389e66847734a1bdd123ba4d86f,847,16,164,200,0,0,2162,0.785
f13ede8c34693cfa4a060bccbce7ce8ead0ec91b,-1,-1,-1,-1,-1,-1,-1,0.792
aa12c844c46f2762f501d09c2bf2821abc020b1a,-1,-1,-1,-1,-1,-1,-1,0.793
cfdd010641655b1f994f328ba3902f51e76a8c4a,3107,89,0,83,2,4,65,0.796
c94eaf891bf96264d21fa6502614ccbd5b51c552,-1,-1,-1,-1,-1,-1,-1,0.798
dd6c3f1036afa12912c0ce660146ff9c646796f4,9830,21,26,23,0,0,46287,0.801
3f81d47b07028ce4045222f0a6bb90a73891903d,610,575,42,716,0,0,97,0.803
5771b3cb47a4c98649f53d5659ca3a250bff9d6d,1965,52,558,86,6,0,23,0.810
c2dde61afb8f9dcaf910a7c59fff4b837f3e458b,769,196,18,198,0,0,45,0.811
6312bb460b9a1c11adac14c4a3f9709a426a3547,213,1000,100,1041,3,40,9,0.815
f7931784b423cb5b22b54d0ae79cb7972e994d40,152,367,30,457,8,16,249,0.819
b021de9ded9b853370a52376b7b64bf9b5902b83,3200,4,997,30,0,0,0,0.829
f83c71a471c03ba79a31ac442570cddddedb0a13,-1,-1,-1,-1,-1,-1,-1,0.834
43d89b86591cd3bdfd152b75e4493bbcc2a07b34,706,3,62,43,0,0,92,0.838
042e1ccfae0966a0366fe7944a2d02e91fb44486,1218,94,519,107,4,8,706,0.843
2c67427398ec1f6ca6e10ba2794db361419cc0bf,-1,-1,-1,-1,-1,-1,-1,0.858
86a035972a112ff646d6dbc2ac5bf03d9a47acf7,1519,33,1,123,0,0,5,0.858
a4eb1a67bbc2d358bf51fe67f55bb5e0ca3fcf2a,1234,7,44,318,0,0,29,0.862
b56a9e200a37bb61ba590a7ec22647a5a87d1b54,525,1000,98,2085,0,0,516,0.862
19598d4350467ea86b3bbce3308116c7452e0173,-1,-1,-1,-1,-1,-1,-1,0.865
28ac98742fc25ab43e311914ab221edc4090d870,-1,-1,-1,-1,-1,-1,-1,0.869
29b6f7426d699c647015a81a72b43e8bccd7d385,-1,-1,-1,-1,-1,-1,-1,0.870
19160534f0053552201cef367aea8a3fb599b8a4,68,27,7,25,0,0,1,0.874
ae66fe253a3ed7fa04588a61fdea847333467cf2,470,407,101,178,0,0,1443,0.877
