id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
9fc2bf7e29c25e1c012ce88ab63423232445625f,-1,-1,-1,-1,-1,-1,-1,0.000
908eb4be7a3ec057646881ce2f2465988035e7f2,8804,1934,541,2112,1,1,66,0.000
c90359e0f1a6839b2ce75c1d86a74634773318f5,-1,-1,-1,-1,-1,-1,-1,0.001
c3db527f25d4139edb17d07beca8fd76208503b4,-1,-1,-1,-1,-1,-1,-1,0.001
ce7dc217c6388ea6247b527164fe87e22c4e6ee6,1281,29,606,194,0,0,2,0.001
ea8128c91c85bcb5e824c6e0217293e8ac6c1e4f,774,444,3171,404,0,0,795,0.002
e0a6f222b2234683cc576d1be9c95db01e9b1d10,1079,11,565,19,3,174,118,0.004
3edfd3dc2f77b2865eed0369689d0135596d2471,6462,88,1670,92,3,26,32,0.004
0c9e83bf10befff24f95afc13337e2265b623e7a,557,502,858,469,5,55,28562,0.004
aad4601280d64c07fd5bdfb6b6af9a7f7c05cb34,143,164,1107,137,1,3,3372,0.004
7bf102826bf4529ffdcecdb270b25efb91c7ad4a,3266,1000,144,594,0,0,1679,0.006
425bb682aa82c4c292a5d10a8171ca6f03309512,4132,369,6444,1480,2,22,667,0.006
42f1207f68fe16e70784d7229bb3e3ac86978a4f,5302,142,12279,135,0,0,1489,0.007
d70a2dd63bc644f988a82a5016ded74d5482873f,-1,-1,-1,-1,-1,-1,-1,0.007
2be7c323889cd69777318422c6478feb13cf0084,369,45,297,44,2,69,79,0.008
63de78a87e7cd5a0bdd41838a5e33f78b07bd3a4,495,21,407,47,2,3,309,0.010
99c790eb2d48ea5c27ca546750fa48d16733ac53,315,273,314,257,0,0,1249,0.010
e99ce94b613e1b3b09989633877ca55651a9b02c,3012,98,190,457,1,30,916,0.010
54c56a9093c98cbdfc24051e899b1d04fab9f516,6379,16,2459,67,10,506,2358,0.010
92270780fe3035f9bc8c7e63a5551b92bf290327,-1,-1,-1,-1,-1,-1,-1,0.011
25f757387767d334da9322570a683da235820f45,88,4,197,2,4,29,4,0.013
2062e2ba19b59c0f7084779df5bb51987660393d,1191,887,88,378,8,154,6709,0.013
daea37e0f35b3b2c9e84487f0994e97afaa2ae40,1090,339,4493,748,5,21,917,0.014
c3c63413019a5574d54d98e93151e45d2902f94b,6158,47,5284,27,13,260,1254,0.015
4280bc421c35d7b2532768e529b0782b5708e2cf,-1,-1,-1,-1,-1,-1,-1,0.017
820bb9f61ba5576d595b08c086a945925b90a2c1,873,52,603,50,6,88,825,0.019
3a06bd6a032cc020b57d67ab9e3a125bd8852f9b,-1,-1,-1,-1,-1,-1,-1,0.019
3ec3dc19a0241fd5263ca06584a70b8f283181a8,7162,1253,3750,2298,0,0,530,0.019
73df1045ae9106d73991c80031f586b7f26cbed1,2003,15,1263,15,0,0,139,0.022
5eb2afd3a2f16c65aad2b210dd97cb3c92b6e13d,7100,50,21223,91,3,37,2515,0.024
18300c221d0c3c1ab6cf7d7cd6e446b158c2679d,-1,-1,-1,-1,-1,-1,-1,0.024
c81d65b9dd482e013913640ee8a6926123edd3a7,9044,38,4768,55,4,33,3626,0.025
036d754ae4c63e6ff119ad5e0ecfc4f60e7fa9e8,4158,309,10718,281,1,5,730,0.028
85f732604abb226c0a24d6a373b0c6ab55c584b3,3854,1000,458,1558,1,4,692,0.030
97028819664404fcdfdc7e86976c87e3ef24a23f,4865,212,20056,837,59,1906,1349,0.031
91040618fefdf80fa44ebd54f742c40ce8b00620,5718,112,2539,100,1,23,47506,0.032
92ded176f80ae9e6a3f08e9308175b9fa77bc1f7,2335,149,15,159,0,0,7,0.032
7a1a7b9284ed4d9cc8ec9ef39dd47e41c133ac24,-1,-1,-1,-1,-1,-1,-1,0.032
369334daf72261476e5b7be6f83c2aa5a6dce63f,6718,612,7387,763,11,285,2784,0.032
0cdca681b59af2ac372d7fe42e0c3f81abf3c373,6012,79,9074,74,6,163,460,0.035
e60b967a56dd0e887eedb193341654c021a7e138,-1,-1,-1,-1,-1,-1,-1,0.036
474bf76ffb10aa2749c6bbc9ee7b48d9dda6ad72,119,41,722,42,0,0,687,0.036
78ea415230476f59b609ae3eb1e6798b2167dfe4,2126,318,3130,276,3,5,1267,0.036
f26f639594e2d47697de3c92a4e49f8c2f5da429,-1,-1,-1,-1,-1,-1,-1,0.038
a56de83d9f763021f6a2967aa5c65ec0e2738a9b,5484,1000,17166,906,1,1,1279,0.039
a90eb995b103a396b36c00100ef600f9fdf46998,1955,32,700,48,0,0,8,0.040
23b57cf3554429ccccd7e2060eb7b90840613720,-1,-1,-1,-1,-1,-1,-1,0.040
3f85b73182754a038f1807864748bc8407a81941,-1,-1,-1,-1,-1,-1,-1,0.042
15d05f38554185851bd5a15d0da502234d829a28,5818,4,23,187,1,0,117,0.043
0d037d4f02a086a86c92f691ccfb9a325e800f48,-1,-1,-1,-1,-1,-1,-1,0.044
893eee90e3253133238936291c019387c9915726,952,677,550,601,1,12,1172,0.044
f9960b0d9c4598df40524e3c27568b11439525a2,3270,189,397,180,3,22,13538,0.045
0d0eecb63af0788b0f90364e6562285b101a7057,4742,1000,2186,419,5,1,69,0.047
e6c41247fb28eb097977c1a6156f507e080147b6,1953,97,253,124,0,0,9,0.048
06dc2b04298f20ac549b078497ffaa2eb62bffdc,485,190,161,186,5,258,61,0.049
393f871182622ed0e0f13fa102265f5d447c12e3,69,17,205,14,0,0,4,0.050
712cda8504a8b91432a997ef7f9254173a46c9f6,4668,22,2017,651,0,0,497,0.051
982dea8a246799d6a295f3209b29e11b7c09a7c7,-1,-1,-1,-1,-1,-1,-1,0.051
50cd2890a23d4945ce743532f7135a3df9e172f3,5079,46,273,155,0,0,2263,0.051
37a677fcca3226f3509d3b6994a52147e91719c2,9383,507,555,573,6,628,9695,0.053
5b2f74656003cd0251d9423f5c92f395c7d9aba3,5920,6,1526,3,3,396,65,0.054
ca112acf50e21bde86885fe5d90074904bd9931c,290,57,565,51,1,21,805,0.055
ec598487d221929484b44da2693db7db727146bf,6682,53,2,1063,0,0,153,0.058
0edd8f0f771d4013dba551ccdd2427c327532ff0,9005,1000,767,1744,3,18,2147,0.059
0f63dc9b6ae51526ba94b80a134fabffcc0f63bc,-1,-1,-1,-1,-1,-1,-1,0.060
4d238d28c54e20c4fadf0076c207e40c19dccb9e,2395,74,305,69,10,511,1486,0.062
135ea238bd9589f1c6c5b677ab3e2a75bf3147ab,504,39,554,39,2,0,26,0.062
5f6559f85274db609ac3a44aa75bcc8f865c3ae1,1410,334,65,326,1,0,99,0.065
e1b66039d50144b9f06eed303cba5733f0ea7a0a,557,488,545,123,17,704,2165,0.071
f47c63cdf0cdfb8f1fee776dfdbf2688a6560b85,448,145,360,467,0,0,81,0.071
334634f9ec85f7af635fe9058e600b33e709b177,-1,-1,-1,-1,-1,-1,-1,0.074
d8700291dd120cfdd560a66278f308e01a5cae20,992,45,17,57,2,11,1828,0.075
05ec7791fe054a14d77a9ec904d2b0ff333d698c,-1,-1,-1,-1,-1,-1,-1,0.075
a497cb238f223b1b3f2f5a47b941f5512a53981b,6027,46,670,146,37,955,4207,0.077
ae6654e86ddc0197f56762631e2438b9c62e5ef6,-1,-1,-1,-1,-1,-1,-1,0.077
a14e628963ab62888e4d30308005dc3a2efb53f5,9543,31,3005,37,6,60,1053,0.078
1629104cb62001b8a87116cdbcecdd7de5997d6c,2281,17,89,27,2,14,525,0.078
db3436edc10b6e0307fc235ce45bcf0a89ff1cec,5001,20,620,19,2,7,41,0.079
d2d443bbf166c31e111da53398497c7c0402fe2c,4588,1000,275,829,6,73,1534,0.082
f87fc75e8e8bba3c4716ad462e0700c445858fd8,6018,16,107,149,2,0,27,0.085
3252abbed3e9a0f2377ac6e0b7fe46bacc082d6d,1694,72,298,618,9,319,904,0.086
e4035df619cce123a2e02f3008a06ee6667cf122,-1,-1,-1,-1,-1,-1,-1,0.086
e9205f05284efd5690e2de7d81f23b089ed53bcb,-1,-1,-1,-1,-1,-1,-1,0.086
59ce593ca43abf2843c360b04e913740664315fb,9984,33,3336,17,3,31,446,0.087
2ab2f99b9a120cf7c3602ca9bdf9170931a76b9d,4297,261,28,1306,2,26,141,0.089
