id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
ed236445909331a0df044e84e152a99c8c41f0e5,-1,-1,-1,-1,-1,-1,-1,0.015
190562394b4b7c810807214e6ad819834ee87853,3832,244,99,1139,1,0,152,0.017
a8ddbd42685502c9aaf8f3274ccc71430f774465,679,88,14,210,0,0,60,0.018
665a95f3728f07c142b3df1a224f5c3a24bcbfe9,884,13,171,16,2,28,2615,0.024
8b18ec0ba559a53620b1a5677475aefd94eb5048,5512,558,826,1009,0,0,521,0.025
902a9ace0348b9da89bd1ece5c332522fc20e648,4336,1000,332,727,17,513,3245,0.036
75f2b415947ad6a12b5c642414ac2a09cea699e6,3534,86,4,259,11,560,988,0.038
4d025c73c7b5a943dde946767b7865e44fe9cac2,7582,709,467,394,8,2312,17041,0.051
0d5ca75e88d11242492f397fa723d0626c41356f,1068,81,797,165,0,0,10,0.056
ba0ffce186c585ee7504bf7d1437bf6efcd58c0c,7766,9,8649,9,0,0,3,0.056
7b4470210a6d4abc0147e4fa19ff647fb0457875,-1,-1,-1,-1,-1,-1,-1,0.063
5d60d910ddd4a24f2615372dcd4eef9705f1639a,245,27,0,26,18,170567,88,0.080
37a38945837f3f0e844d3893d4355c6c3bb15050,-1,-1,-1,-1,-1,-1,-1,0.090
e31b99e8f51bd798f5ea906620bcc0ac8fdbd6ae,581,9,11,143,1,4,31,0.091
3dcaaf861d4e7f26a74d4abf6719d9e7a8ec39f1,-1,-1,-1,-1,-1,-1,-1,0.092
2f63db8354eb97f43566924d36823fcfde511cf9,2041,147,26,270,27,2548,1182,0.122
0296784b9a060730033b13ff7902dfe89583008b,5027,294,348,1303,0,0,1744,0.136
7ee720c27ce9bc60e97177a9718959ce1f19c879,572,122,66,156,0,0,14509,0.146
0656e85f4498f389d8a74704561ee1c4e0efb53d,9537,18,1702,16,1,0,4,0.147
7048fad02f3b92cf639824dacf883175f700edb9,1475,205,16285,196,3,165,163,0.168
35749b6f6a676ff17fec684485b8e4c14a8282b9,-1,-1,-1,-1,-1,-1,-1,0.179
30ad085324d49e3bb7249ad2444d0649b4f43421,4424,1000,459,1381,0,0,670,0.201
a71b3e4a80b371f52721f7e7cf85ee1f16b8a8ea,-1,-1,-1,-1,-1,-1,-1,0.203
d33eea1cb84ecff2e69fc6ac801e4b13c2fdf69f,3602,337,455,436,0,0,23,0.205
fa2ba0ac1a81b79c5110e7635eda66d5a69435dd,-1,-1,-1,-1,-1,-1,-1,0.217
899b15b40103696f93f2d3b061049abde083ea9d,-1,-1,-1,-1,-1,-1,-1,0.219
eb7a9d4c20a1333dbc57587ab68761e145bd37e5,1885,1,12882,0,2,2,44,0.227
7650c9c1483073e1f4d97f266594a1ff5ce991a8,-1,-1,-1,-1,-1,-1,-1,0.227
4f13e00d503c620122455b1c9661f012654fe956,9991,232,979,222,2,1,7,0.228
f591491c1f19b113c6b4caf437c26b6aa1f9478d,5247,9,509,25,0,0,6530,0.230
ae73c8e3b5aea9833e7d1cabc1335df683b4481f,315,30,9,85,2,120,17,0.254
