id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
c8f64082b65af2cce139bfbbb442151464d9f2b4,9415,1206,49479,1455,2,16,535,0.000
addfc6db85951cab675f9618c59494a6a2434fa6,7641,11,5373,87,4,117,101,0.000
18cb28000c5db56b3e79351232cda9136ec3fc84,6710,92,8119,216,1,0,28,0.000
75dab92b25033537a37d462e0ceeadf5fb8298b3,7439,34,19576,33,1,1,1831,0.000
583edc5b9f4973fe5a71d49b95ae6f56f6ac3cc6,8254,594,1247,732,35,1723,394,0.000
248732eb40e07967107aaeaba9cbe343d9f93ba4,8071,5,380,11,32,3298,24,0.000
95dfd9c48f605ea4796636c17fc4846f5613deb8,-1,-1,-1,-1,-1,-1,-1,0.000
44f13893ec62211a6f974a60f38d2abc327b1f53,9546,26,9713,293,1,1,130,0.000
6e49bb6f5016ad28d5987b3e1f612c538070a13a,6652,266,6673,2991,3,0,595,0.000
908eb4be7a3ec057646881ce2f2465988035e7f2,8866,1935,486,2095,1,1,66,0.000
d0b3ed9d0fa737fc5cd1335f46226b12df40b039,9056,0,7114,7,13,1417,1339,0.000
1f4142c1b661c847402046cc7fb471eb6a9690be,8869,99,1213,168,0,0,900,0.001
c19cb006464e5e1147cff055881b2314e7d7f573,7206,287,379,742,10,50,9429,0.001
29d110d08506c9857379878bc452a69f0945b6f8,6038,61,474,1754,2,23,4,0.001
b590ef4944c668048e35a63a353554658bcf625e,9057,26,1128,28,0,0,74,0.001
91b92da1b7379e1a135ad431ece7c5d2f8c865c4,9362,76,7008,432,15,193,2416,0.001
bf0528a8ba69a3852326a4f1bc7e321de383ab67,8627,72,4759,52,1,0,1937,0.001
6878fe2874ba8db1a191cae3e84f67d47ac4febf,8991,88,1856,100,12,213,1249,0.001
bb53afcb2aac6719102a51c37934ef8bce92e86e,5056,39,1807,194,1,19,70,0.001
89f054ae4cc7461e27fd534faead8c62029461d9,7494,24,13155,252,4,310,10015,0.001
55fa8ad09479d82387b9f60685aa2512a7794331,-1,-1,-1,-1,-1,-1,-1,0.001
4d4debaf74e59a46d43c25410ebbf6c0b46f6352,6296,11,1012,569,0,0,11,0.001
0ed2025d47c8048c33bf299cf84f5411630293fc,8980,5,6,74,0,0,0,0.001
50a9bd0f4dace0b0f551f105e4a47d57ff89b1d1,9238,55,2427,426,3,14,469,0.001
722de8f1d94aa2251ce2f8ec010f8e41b9c94812,-1,-1,-1,-1,-1,-1,-1,0.001
9d5414a57d697dd735d1e591f5c262d391ea0b60,3986,78,8438,228,1,0,196,0.001
60fc391ff17ae8384014e6eb938e0ebbab68fcd3,4124,47,1169,53,0,0,80,0.001
4b3290914f629c864353ceacf857039391e4c302,193,0,0,0,1,0,0,0.001
7ad5ba0d7a63a55eb6210e548e4b381b5fa058d6,7470,50,8363,1480,47,6992,1257,0.001
ece0eb6919a003de172174dbbf507e84274409aa,-1,-1,-1,-1,-1,-1,-1,0.001
90e3cda32ef8a21fd9fa2fcfdc0d299925f23b19,4591,58,1008,142,2,35,547,0.001
b96c71e09eb70ecd9328b56cfe1a1599c937ba8b,-1,-1,-1,-1,-1,-1,-1,0.001
8e9dc026a47c0f43f53627dc3e588d2671988df3,8317,75,7590,64,24,572,3811,0.001
dc66b8c0f1abc0afec47cb005bd56000d0bcc4ac,-1,-1,-1,-1,-1,-1,-1,0.001
9035fb23099c8e0e1e4d04e905d70abc498bfdcb,4343,210,2038,196,10,162,1230,0.001
4b17625a68175f18afd8d36a4c3ddcdbf3ef33d9,8488,93,14237,238,5,613,2355,0.001
811f469ee3c8d962701c66bef65631b3b5b21aab,3694,97,251,2553,7,118,546,0.001
7818bb820dca52b1e3ae5823cc9e52a8d135867f,-1,-1,-1,-1,-1,-1,-1,0.001
1475740e4915e4e5e82231ec61c461133f805572,-1,-1,-1,-1,-1,-1,-1,0.001
eacbf1be6545ee535e6b7c4e63cef6c34e167cc2,8060,46,518,57,9,20,18,0.001
ed718440702e3cc82a6cbeb4d83550cb7ea2c7d6,4100,296,705,346,0,0,53,0.001
93cff52f1d5a2c25cac441ddb62e2c529c726652,1355,1,194,63,0,0,0,0.002
c3d8bdd754556bb96ab494a386c32f6f6cae99a8,9291,8,15024,194,2,0,847,0.002
35e6e90b5ca00ecb538ad4105d6b33d0f2258bcd,7414,21,2524,24,0,0,2,0.002
6ac2593ce66570b6f8e313b61de93546ba3703ce,-1,-1,-1,-1,-1,-1,-1,0.002
1f10b66a915ea40b13804f54575c1e7eed1b5dc4,5480,40,1001,417,10,340,1131,0.002
e702ed45af80bce101deb9ad9537b8fb524a8786,7823,96,3873,474,7,465,422,0.002
3095dd934bed76895ea078224c7b4ca792354d2d,9250,42,2621,586,9,19,502,0.002
c71d71ea9c51e96f7cafa67f0367a488db1ffd78,7047,78,432,947,13,1425,633,0.002
7f3b8416b1c6f52cd63932b46d8cf50a056d0b59,4822,20,1047,2309,0,0,6,0.002
5e1df67ef1cd4b1d627511db0f8ab27ec3f2affd,8340,6,12513,15,9,377,314,0.002
ec976bbba049dd346b785321b236f376a3c63442,4162,20,3037,44,11,1172,33,0.002
dad2535b6bfc741f8ef23670baa604cc94ebc370,4206,88,1265,1086,2,2,1458,0.002
e509c45fe30535aac5f83d2937082c27eecfc11a,8958,44,2647,41,6,390,138,0.002
28a12a1c8a65ba487c2e8c21e6f31ce36bf4647c,7278,45,4761,22,3,33,296,0.002
11c2b0ac1db14683c794311f57bc6f217f2533b2,9882,35,370,51,2,5,33,0.002
dce3e6f672109735fd125133fdbc848b9424c663,1247,253,198,832,2,5,569,0.002
f140fc3dd273cf62b9ee62c158bae0800732ebe9,5742,10,286,1224,1,118,258,0.002
d9ad6358f6b75df57d66c2798c03e7a16675921e,6870,93,1333,457,4,31,568,0.002
d329abc8f9d1c4a260e7bcf5e718a513a442b0e3,1920,108,552,1468,1,14,1103,0.002
bacd3626dcb56e2c608705ea30e3e090da3f7e81,6869,23,359,2242,3,312,1431,0.002
50f07af93c35c2c03c1cba99d209280f03885c43,9298,137,912,386,3,20,0,0.002
a27914a809363486ef81505fde53033034b9e225,5770,87,9326,3062,2,1018,11,0.002
95572afe0bec0cf809665df12b9f16457871adf9,-1,-1,-1,-1,-1,-1,-1,0.003
c3f03bd98bb41f0c51b7bfef9a99b6782b247ac2,7047,79,2879,73,4,40,441,0.003
b7c974bc1b2958a349b77445b140ef9619e49878,4877,0,396,0,55,5171,105,0.003
f3968f2f81a4be51f94f8145f6a7a107905c5cdb,8546,31,1604,33,3,114,229,0.003
e5881ff413ed562674356b53b22c89d3bba2ff74,-1,-1,-1,-1,-1,-1,-1,0.003
51bee0e2c4f0ed9275d279ce152b65fae63d7a0b,6375,26,1092,42,1,1,25,0.003
7e4fd6b13d00c2f94b9560ba5d0a6de6aa37b0e7,8484,22,501,27,6,58,405,0.003
be8464fe35bab99aace5ae6963d62247869b8096,6174,180,268,2644,23,1452,95,0.003
4574ba503400c39f7a2109d0907930c492f4a368,1110,147,120,196,3,154,346,0.003
5efa5ef077e3d61128879317ac3d2be4ac0b2e00,7385,21,2261,2218,10,579,5447,0.003
