id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
515cff9dd70ec35663fc1a8726680e92d99bd12f,925,65,569,58,7,823,551,0.001
28f9c65f4eada9832362484d18953664ed0dc888,-1,-1,-1,-1,-1,-1,-1,0.002
b1391089094381f8554fd07298e376ca58d4c9f5,301,53,333,50,0,0,3429,0.002
80b7bfe72963cc025cf8e1ff751e9a97f92f23a8,1320,111,2046,113,7,1120,2082,0.002
0c0f2ef6aebc5e2627487929081a7fcb5cda80c2,213,6,61,6,0,0,101,0.003
7bea5d1deba7140a97fa49f03b0f3bb9222b0990,116,230,199,224,11,1960,589,0.004
11b1d4f1085f245a89a30ef76c9db6114d71db6c,137,3,53,2,0,0,8,0.004
4e71f16ad70d388e8c9e3bb21d0984fb070b491b,672,181,320,166,1,1,1495,0.005
7e0761fcb83f3edbcfae5770020f94d68b9668c7,407,142,115,137,3,114,456,0.006
0f701a8f5721fc6345b1d1c1ad21fa6a8b60263a,645,155,243,160,15,194,383,0.008
96eecead75fe1af6389f2309e26b0011f753b87a,800,137,374,142,7,223,677,0.009
ea3001df5624dc7b10db7e49cd11e9d37252c6a8,52,16,21,3,9,32,19,0.010
80703f0e780f4d4ccad67f9c926c462f019575c8,178,154,101,153,3,445,815,0.010
2bbb88a62d2d7582aa7fe831665f8d7729a3b5f5,73,6,54,6,8,368,240,0.013
627f7b14f199591494badbcc32cb93590635502e,-1,-1,-1,-1,-1,-1,-1,0.015
3fc165702937f172a43f1dc255f596209253fff4,757,48,742,45,14,683,2626,0.016
cd685c3cb4244bca7b1751cabccad733206c9c34,318,64,596,70,4,191,4601,0.017
95fd9ef432479e2b1d060bae875f69ced4e1576b,638,95,161,94,5,93,1729,0.020
44327cf7279726830595dab6886b5e1530d548d5,-1,-1,-1,-1,-1,-1,-1,0.020
d3702c5037ad710f95ce934a343e8205d434517c,-1,-1,-1,-1,-1,-1,-1,0.021
a49434164ab010e07e33efafc42ac94266511af2,730,222,279,216,37,1203,2784,0.024
