id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
33e6532bae93c8882ceedae2add0e3fb3abc1ffd,850,71,605,106,0,0,1426,0.000
25c70a8c3412372e46261cdfe806e9a57be064da,9997,53,2759,50,7,604,4136,0.001
5923f9cfe2b5ffdf7ad09cb003afde0602e30280,672,46,67,45,0,0,707,0.001
bf428e8aef0b48d2e466080d8a214c409d0c661f,1642,438,370,97,11,642,391,0.001
6cf94e500f1f8d4da9008f04ba7744828029bea8,1821,18,139,49,0,0,300,0.001
277b8f9e5ec54e87e017684bee879d126c0bfefe,1620,22,171,39,0,0,443,0.002
15c5e846e8777e9740adac9cb75955f6fc53c33c,8368,166,2281,313,1,189,2561,0.002
3a532c67b8ba66c6f8522826e3994235ae5ae45c,499,83,208448,81,0,0,262,0.002
f47a419e8cdecf0bd5259bf8959c29bb950de478,9904,71,13052,68,20,3954,12849,0.002
7699b64572b5d65d75ecce8007d2a94cf38dd2ba,1504,86,466,85,18,2653,1254,0.002
b1d91fa21f74d3fdc2ce9cb68fbe9e2b1f07da58,1893,8,642,8,3,117,1790,0.003
397106324eebabb813d5890f421f9ee6734b83e9,-1,-1,-1,-1,-1,-1,-1,0.003
346595a5e944b1e1ba09b57ecde9b8029f24e448,1686,20,315,35,2,9,140,0.004
921fc2603ef5c41cd2476b9ebd510a7ddbb5ea06,810,9,419,17,2,682,943,0.004
59371d2aceef1ffd7d9ec6408c0b17fb366c4f50,997,35,333,34,0,0,251,0.004
39ed58cb62e31e3fb3d69df4b1bae960972685b5,-1,-1,-1,-1,-1,-1,-1,0.007
450f979526e1916375f770e3f27c6f9dffbfcaee,1184,395,383,375,2,31,2578,0.007
f5f69f0e82132f49f9c78c26a85c8056655f3888,1808,180,400,168,5,481,302,0.010
c2e060255053597c726e0d655656fca725328d09,129,547,391,532,2,64,147,0.010
e6dd7aca6a65a4c2cbde1b22724616c66b32adb3,281,22,146,25,2,149,85,0.012
1931d7cc4298754b0a16a63eb526457294fe8d61,6593,13,4,12,0,0,3626,0.012
3b3f87d8f6b90bf757529f6b6c909091941bf740,2015,15,370,15,1,0,46,0.012
7d98a681813545e2210aad7a903140d8093785f5,5626,191,44,539,3,68,1563,0.013
705ac839696bb4262455df0cd442fc677a4335e9,468,107,139,108,0,0,205,0.013
3dac6e5763fabffb90bb7aa16d36b3b35ccfe1ef,7542,9,6999,16,5,79,261,0.014
805f2b1a3345ef6f456c88be2b8b40d715672594,-1,-1,-1,-1,-1,-1,-1,0.014
7255990e2e0fa818baa5743a548ddd0e9bda257b,1999,72,20007,69,2,364,1590,0.014
27d8cf123d75709ff5fe8c4d814f64e129b69748,804,17,171,21,0,0,1142,0.015
ca46f5308101d4bb51f05732fe05e1872e40831a,257,30,759,29,2,64,59,0.017
44b593a694f0a370629e012fe8df0a0c5dc83273,2252,82,290,76,2,148,847,0.023
46569b167857e7bed9361de0068b521aaf20aa35,8659,2,5189,3,0,0,3748,0.023
