id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
09e7426849fac0645cda389b668284165913c93a,167,69,118,67,1,0,23,0.001
a9ab56f481224e807eab6e2c8baa5e7951359905,902,168,129,119,0,0,299,0.003
656d23ab360af4dcf36b28e40c5e4f66e6a47629,261,225,220,208,1,149,59,0.019
2c2d616f1323aeefa8f58838d12294f817b7aa6a,-1,-1,-1,-1,-1,-1,-1,0.019
486e2e5077c304118f60911796c3affdcbe7c728,181,79,148,70,0,0,8,0.036
d795d672aba214f62e412a25badd48265d4cc130,-1,-1,-1,-1,-1,-1,-1,0.042
595d832b87226b698373eeedece63dbe940d0e11,-1,-1,-1,-1,-1,-1,-1,0.045
f19db7ed7d16a2bc0584d000b98558f000221a0b,-1,-1,-1,-1,-1,-1,-1,0.057
070cf06f590e4e0c63b1c6e598776b60aa88a748,409,338,172,314,7,283,255,0.065
ba8fbf489612cd1d37878981a2f9680b9e20ead1,725,502,999,496,17,876,8154,0.070
0f4033cd2a34197b056472d43c3417772d8f957c,599,1742,398,1612,39,1815,12028,0.088
e7af621c618ba2a879c126b9d943f355e48041f8,61,40,189,30,0,0,11,0.108
85a071ef56c95da3dcd293f06cda8aac84527672,1001,39,305,37,4,38,189,0.116
990c9a5f280cc47ba68bb0966ddddca3166abbeb,2385,90,13,1,23,4089,2217,0.140
578149e48e95b1a2f672bd4d2676814e505c9f1b,103,8,42,8,0,0,10,0.145
c0b85d11a079e88a5f66ef0ee2adb865e5acd6d0,567,629,250,587,17,1358,6501,0.145
fa343de5b9a70e9fb6bd1b2d8e4a9813293d8d6d,6,11,28,11,0,0,1,0.151
93b720fedb0b5711730865f6a4cd7ed5337b2423,204,46,59,42,1,0,71,0.160
10e20a956aa2208381be2aae9162f8787d92693b,-1,-1,-1,-1,-1,-1,-1,0.160
0938d3fb9bbbd606be76e5d3ebab4a021d58f28a,473,204,321,205,2,74,27,0.167
e7e6693feb8b4cc77899a88bf4d0a303bd796823,207,848,113,868,0,0,51,0.193
3e2d4a0722b54d64e908f5b1f1f4733a1da8cf1f,62,78,26,82,0,0,16,0.199
185ae8c0d48107e03d04928a17fb685c62b7d547,-1,-1,-1,-1,-1,-1,-1,0.219
e5f3b0c24c883e6a69ebdb3d61b4354b71edbbf5,69,17,18,17,0,0,70,0.238
59df01beb010b06a6dc74006a43d2043f758ca86,2118,6,357,26,1,4,280,0.240
7229472ef130b81ab51f4b11106362e4cf17f02d,115,95,117,55,0,0,10,0.252
6ff43536b8ec1984d5f2859179de5f3c0aa06f70,-1,-1,-1,-1,-1,-1,-1,0.263
47da0c7232057e1b7d79221fadfed91d0b3e976d,92,121,113,114,0,0,24,0.277
baaa65ebacf033c777720a2f7805934257aac1da,205,983,311,938,2,397,533,0.281
af144e0b6a89377557b957ab45593b25bc72e789,20,343,168,320,0,0,172,0.284
c630bdbef99c6624dce0ee0eb411f49d13baca0f,80,227,206,212,46,5,6657,0.288
2a5479617ea16c0e47d74a6534e3a845f716cdaa,271,112,52,112,0,0,14,0.291
8f2d53b6e345e9bff7fc679894648ad994cbb1b1,-1,-1,-1,-1,-1,-1,-1,0.297
b2ef4260d216dedf28dcfc929a3e28508b4675a2,131,105,166,77,3,43,2024,0.305
dd8293f2c43d3afe5a3bedb5bb8f5ad846eb2140,87,96,49,95,2,0,288,0.327
6259462a5b9c3258aac56cfea804d64d682705e6,84,392,41,373,0,0,13,0.362
c4fb1fe160ea44f2fa4a1516f21d297c276e1273,82,306,136,288,0,0,6,0.370
c5479ea1e277c0814f582ac7d092c8627194524f,-1,-1,-1,-1,-1,-1,-1,0.402
e77a17902a7c224795262b8080e04f291ce3e40b,218,86,250,202,5,247,183,0.403
8eccc447e552b1fb4a46f07beb0436dc226482e2,-1,-1,-1,-1,-1,-1,-1,0.404
9dc5063d7c44b8ed6bb59703c49a5cb757a72468,-1,873,39,562,0,0,49,0.420
849dac04d108f2b53d67388c731fb7d8c6aa0c12,95,159,71,148,1,0,1,0.463
85223b04c5af6d1685fc3f10077226adc55d43d4,2031,140,172,285,0,0,721,0.467
3f3a3291c1a3360b742f019552528842cff25ee4,30,187,155,173,0,0,409,0.495
5243fd427e55b8e9b839b918298e5061820589ef,306,206,58,165,1,20,178,0.497
98009c4b2be39eafbe4f92d921fa8ad0d349af56,67,129,36,123,0,0,13,0.497
4b82b25426150276e5ee5eadf7f68f8e3cd88430,-1,-1,-1,-1,-1,-1,-1,0.499
849095f0044f5dd57aeabcddf0305851239fb7a2,147,0,13,55,0,0,4,0.539
01ee1d6feb57603648d161685927a11400c3425d,97,232,17,223,5,5,30,0.540
60cbf3180c2f56037a4cc3918a888f2c5c64c216,-1,-1,-1,-1,-1,-1,-1,0.587
f639a75e8a6639681ad5828934066eaad3b7ceb7,9,103,33,96,0,0,25,0.602
c85df6d6f7cd48c4a68ed4abd50c0b50c0c16c8d,43,178,280,171,0,0,4,0.626
0bf4ec47ee6ea53625fef8ffd1f3fb88a4ad5631,756,47,120,33,3,33,109,0.634
a96ff32b0e87fb2fc6ef6a265c2c588bf6619b9a,132,352,131,327,1,121,38,0.658
fcbe43e5c3b7afb251f000bf9c3583348ba5d034,28,143,115,136,0,0,3,0.667
e438dd366c2a59bde90c098c55fea74b39d33c97,-1,-1,-1,-1,-1,-1,-1,0.681
77551401f21c169cf846baaac48717e3cbb7e242,-1,-1,-1,-1,-1,-1,-1,0.687
cf0ad55ba40b38295260528ddd39d03c5dcc72aa,49,0,0,30,0,0,4,0.729
5554846473e6b00bac8e0a8195fd819f5e4b829b,-1,-1,-1,-1,-1,-1,-1,0.806
e0428ee28584ccad53ec6dcfbe31383a53f97222,50,16,9,37,0,0,2,0.834
617bdefb019c4d8015e66bf9423972d939bb4e71,231,339,3,205,11,28,282,0.835
278e527a70c1fcb9a6bf92e44c1c6663cbf2cf88,386,189,4,155,0,0,32,0.839
618439dd513d7534a547a282d4ecf395ad211f02,-1,-1,-1,-1,-1,-1,-1,0.863
2f89acf6be67ece5e199424ff3b9485e542e9818,-1,-1,-1,-1,-1,-1,-1,0.864
