id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
084002e57d36833f998dc5fd706ec562f7b25dea,2530,1000,2067,268,5,285,5350,0.005
9980fd53f05d12d19c46c0ab1c7f8324079217b4,177,277,99,114,1,0,3689,0.020
3bae888d42958e460251fee727043d6d8013f1c7,-1,-1,-1,-1,-1,-1,-1,0.038
7b77af5abe091a2bb327ff70badb89c613bec5be,76,6,50,6,3,65,24,0.066
3247081959f6ca6313ade03d2e3c0df56a332530,263,202,52,93,1,0,2954,0.195
409428a6f5c80032622958322e0fa6f5483062b8,5516,180,743,441,2,0,199,0.195
e9de79cda3fab1c9887274250d4ec8a53f061cc6,447,198,210,193,0,0,63,0.217
ff580022c6590a4e7b811fba1f34e7eceef479cf,-1,-1,-1,-1,-1,-1,-1,0.225
4aab5ba3c9ef012e456edfd65e367a13768ec86f,-1,-1,-1,-1,-1,-1,-1,0.263
1d04048f61919a8364f8b182039be1b162a52ac1,16,176,30,163,1,1,35,0.267
a8882b0d053428094071e90319dc7cc1c79723b1,-1,-1,-1,-1,-1,-1,-1,0.267
a3078d05d6d7c38b5d9dcdf35483009039f54d0c,183,50,102,57,11,190,1152,0.280
7130cf6d81005fa3225205ae9b0052d925e99c41,2104,157,136,210,1,0,1186,0.282
72c9950f01a61eca56d701b25daa7e2f8c6a8756,52,9,38,6,0,0,0,0.288
d8fa1c2fc27e4c18825f056959cfcfdf958cf8e1,269,40,106,41,9,80,685,0.290
fffaf1b81b32c81a0c02f11442c6a45ce85cf844,1877,90,143,286,0,0,52,0.312
f6cc4241bc83f49e8de5aac83e4583f3e6379c6f,-1,-1,-1,-1,-1,-1,-1,0.319
19b67d961f3bfd0a50a73c90ad116c314963f114,90,181,42,116,5,126,311,0.319
3f03a79676ff31c85dcc86b43788b673d8f3aed8,34,20,14,24,1,0,226,0.335
43b66f9dc2c63dad2f14d14fd7c198a0643724ea,149,174,45,151,14,28,1055,0.361
