id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
26760fefee382786de3c282be24c452575cb87e6,477,457,277,414,10,675,11871,0.001
346595a5e944b1e1ba09b57ecde9b8029f24e448,1685,20,316,35,2,9,140,0.004
84292fd1a78521bd5c0b7d2f7ac581487bee36ae,297,82,305,82,0,0,1237,0.006
3a0974cb9f54ab7f71a05499f218353563bd6ebb,1505,72,402,97,7,758,4720,0.007
7447b9f400f9860007c61954a32d845da62fb89a,-1,-1,-1,-1,-1,-1,-1,0.007
b1c6e48e1e7b67720073cd6d754b0cbe98d9a4e1,2195,111,3825,165,1,125,1730,0.009
0e9c3280c234bcd85463648fcef00f5e9a422120,1285,8,136,10,25,755,2580,0.009
48735d86cb8df2dc03f728e354273818f30d3f0e,787,461,255,446,1,1,361,0.010
f6a4f8782b224dcd1038d4a9d363681318fcbbca,-1,-1,-1,-1,-1,-1,-1,0.014
2e672bce84c8bee01671333216e27595bd6bc1c7,885,9,46,9,0,0,1155,0.018
1cfefbdc82244e68e787903b4362c367a3e00e91,4551,21,918,269,4,130,5162,0.019
539136ca5d5b0f383777efcd45fdbcafe8017534,342,124,81,60,6,149,536,0.022
b78d9eab38b965952b9787923aa0af431eff233f,1481,340,543,326,3,560,3253,0.026
8c4e9239dee5aa80c214acdc1b695df19284bda9,951,1,2,0,0,0,42,0.032
76cd6bf513e0558a7859907bccceb5ab60e45c3e,131,24,574,23,0,0,6,0.047
984757b5f2a3498337c7f70156fcef16d0e90017,382,24,830,24,0,0,99,0.047
9bc70d726182fbf630bac1765beed6e5005ddb03,-1,-1,-1,-1,-1,-1,-1,0.049
8dd4238eb8c9bb81520fc58a74984911811b1de7,422,1000,198,372,1,22,242,0.053
43774dc32033861bdfc6f3063d53727da6390b32,139,258,259,252,1,22,86,0.056
fdab10d3a33f91e17765e3bf011511961c5084a8,400,16,71,17,1,0,6,0.061
d184a433ea2229c13a5ad10444025da5bf75eb67,-1,-1,-1,-1,-1,-1,-1,0.064
9736480aef1b1ff91a960d08cce516eb4ee97a70,79,254,68,241,0,0,296,0.066
e35ae2a3b86acbdeda48c749ad75e2c15eb546c0,657,54,1822,52,5,771,194,0.066
cd9449a6655b1a410afa5d54168aa019f2a96784,708,461,56,455,2,0,38,0.083
1447aee995c8416736e6ca96290cb1591d0e9fea,223,32,40,34,0,0,2,0.086
55cca54a001be9de737e38481ee6f34e6fae43b3,1416,524,955,231,22,496,2909,0.098
fcb59e5e6227803fbe2024d9e093e1b2a626a7fa,397,70,190,72,4,144,347,0.108
b885120a3b6e70c2c6f58fde5ac15f9bdb30cedf,422,29,60,13,0,0,63,0.109
3477fd5f6033de6bc18716858204167daa5e0af6,-1,-1,-1,-1,-1,-1,-1,0.117
e6b1d69a11992e34517a5dc50417264db561ca71,749,110,79,105,4,669,338,0.125
baa29e197c8fcde85e23d58213ab9ecdffa14eca,80,41,204,41,0,0,8,0.126
b199b517111ece9dcfd3bcd431c09629e92184eb,147,57,52,52,1,0,23,0.127
37636822906a9db29d28e72d59d9149f5a754954,131,72,336,69,0,0,24,0.128
1c92a9ecfaba4db9460de214f3fc078ff4fe69da,2609,46,585,45,0,0,124,0.138
988f320071812eb3b7c1de610aac576ffb10eada,184,37,673,35,4,194,200,0.139
7421616222c1bd4ea83724530da275ee5d0a83b4,192,108,57,102,1,1,183,0.141
d8f04cb5e42330ef90a6460aaf103763f87a30d3,343,65,759,66,1,0,39,0.148
7669e48a16f8910c8869f8901af080524ab58f42,566,141,92,145,25,2950,2122,0.153
583e08941ab41e73728709d0420b6c1059fe74bf,4386,156,723,153,18,579,462,0.179
9ade9893a7a4c49263d3dd8b5cda3d3e5ab6526a,339,358,161,334,8,239,1949,0.195
220e52c8a897ad47498c4adcc8ca4d296b31a4db,-1,-1,-1,-1,-1,-1,-1,0.198
b97d013752443cb6302b4d0c250fe0557da22be8,359,79,145,71,3,767,662,0.218
a502f5dbb3fad9929e36596a8792bfd47eb9ff72,1082,51,791,49,8,123,177,0.224
1a3bc9fc8892fa7311527f754cc086efdd7d4724,-1,104,1267,103,0,0,25,0.224
b162fc87bd876c882a4acfc42479b3bd6c24e12c,214,43,150,40,0,0,44,0.224
520d97f8d2cac7115b2c9536ea0c9ceb3f96719c,132,259,154,252,0,0,10052,0.225
fb2cf3f75ce295fa0b1e950de74c593efe9bad18,-1,-1,-1,-1,-1,-1,-1,0.226
bc6256d92e5ccf6212ed10fd01b9da0787130518,434,140,274,140,3,171,83,0.229
6d4cb62acd2d46fc5f9fcf838cd5efb32bc80e30,614,1136,368,1106,10,293,2653,0.246
