id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
bf296e2bc72a8592b83557ba94312095a9a4f11b,1787,245,6852,478,20,541,2472,0.000
b2c390c7b0821d7865c3563f80af315ff9e35f66,-1,-1,-1,-1,-1,-1,-1,0.000
192393ca2c9417ce0533c7f99c6bcfe690b7453b,795,251,3463,235,26,740,887,0.000
a68db16526d197451d215b70b3253a934252b378,565,41,338,156,2,18,147,0.000
063b1a3c9fbed3a667b8931e11238467430e7c78,163,34,184,35,25,878,484,0.000
61ed071193a5314529c3a18c36be05c2396f481f,864,330,1695,15,23,657,1611,0.000
08c9f36c25a6d09f15f4a9e96460323babde6068,1432,14,4257,15,6,487,264,0.000
4ab915e6969a15411d154416ef9e6a49a49c6f67,561,125,236,128,98,53909,937,0.000
4ac7afa2b57efabda182586f89f77a8b79ba64f3,553,196,735,186,6,253,1588,0.000
cc17de2a607b9fe473931d2213487fc328ac740f,1818,639,1028,605,8,248,786,0.000
61cf54b6f9748cf567eb62f1ef8e76c82a230031,793,215,2894,197,44,4747,16105,0.000
7df93c056b3cea77162875eec78f516b29973e26,505,72,292,73,19,1179,439,0.000
81eb4e11852b220217c2966fdd9d97fa4e6cd8ab,8131,208,2922,267,29,1500,3726,0.000
ea6c19001578e7ec625add8a42aa04620450b27b,573,105,586,120,9,1139,2228,0.000
5963cea2c26aae144cfb206ad2fcc1a3f6196476,412,5,156,5,0,0,160,0.001
ce26e3d6f878a7eb341de0d27113894a4146a6d9,2124,285,5445,257,18,267,1704,0.001
456613a582a6e6f78bbb8d0f6439ad00107edf48,824,400,320,411,12,1619,630,0.001
7c81dd503a9edbad7d6b858d2e7b58454617f720,1441,935,590,76,13,286,3081,0.001
1fa25df42af7ac037df798f73a2a692a655bfc73,266,102,67,46,8,397,817,0.002
926af4531625c21e5599363207635a15fe32bba3,137,301,103,91,63,57944,179,0.002
4dcd0e575fe8e293a6e4ad88bc4559aabaec04cf,4887,870,3324,798,17,1089,7479,0.002
9d62bb1f9b306af3843e22d2432edf4b107dfd36,902,392,11476,376,131,7245,16808,0.002
ef52039a52e78b3fd35569dcd6c77a0e7538cc35,4194,133,783,159,3,223,769,0.002
691cc9ba711754889dd06612e6be7ee31a3c83bd,-1,-1,-1,-1,-1,-1,-1,0.002
dc7b66602accb6c254b253d8036f5ff90a648d5e,655,64,197,67,34,1657,4125,0.002
5e1a031945654100040961c5156c7781e720600c,529,380,70,368,6,76,646,0.002
48971fb0af157fa874d7e349f5c5beb153c1deaf,-1,-1,-1,-1,-1,-1,-1,0.002
3d1690908ab352feb508bf4f028c00e02a3cc935,519,69,129,73,3,93,58,0.002
076c9d702032885f3e983aaf5a1789969c68a0df,1308,723,835,662,17,818,4604,0.003
49e251c94eaedb9fc1463fc866d30d1dbb8a9911,934,71,196,133,12,591,194,0.003
