id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
7f08304d726674841dcb925e941f93550812a288,859,36,87,51,0,0,1109,0.004
c0a5ed3da8d98b663f503c8c4caf42bf3b8c411f,401,46,101,53,0,0,672,0.027
8adac846acb3ea064aa57ce826f8e0bc3a94fc08,494,152,335,140,0,0,282,0.143
0771d8657b57ee8b81d055d7f426959c69ba4775,-1,-1,-1,-1,-1,-1,-1,0.224
fb38008ed29f4df155965fa35a1721f9ed236501,176,289,175,278,0,0,14,0.252
1288b5d7d2005ac208b23b129fa17ad1cf511dbf,333,971,157,952,2,0,1786,0.253
132c6921c8e0bbbefff049207c532f3f63146ac1,367,259,259,252,4,15,1742,0.272
fa880cecb2759910fb52de090d2583326ba44ccd,244,175,3586,185,0,0,6,0.274
e6c833b8fd522315e51e115853168bed94f6ac19,76,46,263,42,1,0,3,0.276
8ada40cc1927626a8894d38b6add84b8edaa1937,918,124,191,124,2,36,672,0.286
d913fd0719d5f5ee668f2437e98ad719f07c835a,76,45,27,41,1,1,42,0.295
828c48cfdaf5c668c21f819519870f5d2420b2c7,-1,-1,-1,-1,-1,-1,-1,0.302
a655e7313097e23282e87609e423ad55b973fdba,196,146,337,146,0,0,169,0.329
1f0b4a6105a5829932cf32f7f0bd52dc79380bb2,262,97,170,99,0,0,0,0.356
8cdef7233df28ddff744fe9204bd066267ef22f3,-1,-1,-1,-1,-1,-1,-1,0.369
681bad008d4a363572e534692b0063efb9050c0d,251,109,166,115,6,151,71,0.396
1a8919f709c07c79119d8ab2c3cb626b99ae0b31,39,37,110,41,0,0,5,0.396
ef3d6070d4fc40c91d654a442835c7a33dceac79,305,517,110,463,3,53,148,0.408
891154d96b11cf531285e425a71b9a562f1a38ca,89,31,94,30,0,0,2,0.515
43e89eb0e60e1dd52125467d11d779a43744c8d9,223,124,13,130,1,3,3,0.522
5481ef231e27d6c6402cf33c2c71f47493fdd7a6,-1,-1,-1,-1,-1,-1,-1,0.525
92effac9952cd36bff7374515220513ce38dcddd,57,502,240,455,9,0,493,0.533
69d1b75179579f94fce1e1b392a6abc2a26bbdad,122,154,233,150,0,0,16,0.547
84a934ed857b5ed31c5269fc58f9a3771ffe5ead,-1,-1,-1,-1,-1,-1,-1,0.626
4df6a11ea57a670e1ced9305eab08c28aef46827,-1,-1,-1,-1,-1,-1,-1,0.636
dffc530c787c80b613c857cb950920872f85ae90,-1,-1,-1,-1,-1,-1,-1,0.726
590ba4963ecb073b72051dff7aef80a8ff603ad9,40,21,21,14,1,1,147,0.751
ac463a348897c75b15c7e32a663441be9a12c71a,94,284,22,275,6,5,3,0.802
226351f9dcf5f0c903fb9611011cd1eb5f3bc03d,82,39,43,36,0,0,15,0.830
41b5d29a693854088e53b788153889889e375775,-1,-1,-1,-1,-1,-1,-1,0.833
9cff19c5c9a0fff486e1a9be79c8d177aca24158,125,76,122,73,0,0,14,0.862
503df689c042b30a86e732439af30e3d12626008,43,1,4,1,0,0,8,0.902
f11ea156f55cc3533730c942d34160b1f7d18a94,-1,-1,-1,-1,-1,-1,-1,0.915
3e8a979e8218e0263178f3528560748c32441551,14,11,2,10,0,0,2,0.940
