id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
1d83a31e4e4b2beba82bcf0d67d1e92671d00eba,312,148,232,144,3,1,928,0.004
26df2833f26d55223bfa4846a7286cc8258373f7,302,25,84,25,0,0,60,0.007
e02750e40cb073213667785fa0ef2fbee851765b,-1,-1,-1,-1,-1,-1,-1,0.008
83d077327d5edec68b8592a3498019717c7849de,23,86,143,86,0,0,8,0.029
e8ce138450a7ea3dcdb3fc8323401dc61c725ac0,955,285,480,280,47,2403,2795,0.035
2a27d7a6959037f54e8ec7b2e165c116ac7fa39f,-1,-1,-1,-1,-1,-1,-1,0.070
6495423e8e7e14c532c1541eb986b6d840a8eb7e,47,202,168,197,0,0,191,0.083
efd9e7395cbc432d70f37747f17288acb9c86d5c,-1,-1,-1,-1,-1,-1,-1,0.108
d2763091c27ace4ab661a6590dc5fc39ae74ca7e,178,171,220,165,2,7,13,0.115
0bb78e870503c6aa948c4a0afb2b5f560bc6606e,55,335,133,316,0,0,34,0.119
36b73fbcf6b6dfef3ee7077a0ab3f44b7291055a,327,293,105,285,1,0,3,0.120
ea2d6c240e6e568ae0c328f89e3c7a24d2eee223,498,447,356,427,0,0,284,0.135
ac098e7fb9a434e6a11a2cb0ecec608711b62824,412,31,66,28,3,217,190,0.137
e087f16c29c9fdb715a0ea37e7546f87dd304400,74,187,133,174,5,503,171,0.142
b1ef6dce3a1776ad8954b0ba2d30a99a4563e782,320,39,18,38,2,0,405,0.165
fa81ea5375a5401508bf62a7fb77c7aea60b5fd8,248,75,207,69,0,0,7308,0.173
89657f0a3294296a6b5c5f8cee25be1debf0295f,171,91,187,91,0,0,62,0.224
31cc2298da23da6b5d36664345311efcc7ccaad2,139,408,320,390,1,0,24,0.228
5719d220b95cb8e68591bf811928cbabfc209eb3,-1,-1,-1,-1,-1,-1,-1,0.233
e576ef30e54835ba724e0ccb439a835a4886ee46,-1,-1,-1,-1,-1,-1,-1,0.240
7ae9a3e6c99e0922bedba329944617077cd24f5a,47,215,494,205,0,0,56,0.245
910f3a47eefe22ae92222c4c4242722b01d469f8,89,26,53,23,1,0,0,0.246
a515c9ff5dfd01837195f20dfc986fa972a27a17,-1,-1,-1,-1,-1,-1,-1,0.249
8886093a91e6cc3c942439c72e64f0455da687ff,188,452,1121,442,2,60,6401,0.249
0c57eac68217cbb34a428c95a1ea5698c611210f,103,157,60,125,0,0,185,0.262
37912578d4f4104406235e392eb2da4919af77d1,85,21,36,23,3,4,20,0.264
c0768faa0d98f498b4f4bbe90d5c6dab6d58b86b,72,82,707,81,1,1,0,0.273
d87af62512663dc87f40128a523205b1c230cdf3,-1,-1,-1,-1,-1,-1,-1,0.284
07ba9993e81771555c90b933cca2d638e0d1f9af,170,77,161,72,7,1243,1053,0.290
1df3cce7689f6ccec6922677faee9269e2026caa,-1,-1,-1,-1,-1,-1,-1,0.304
1a046da6424d1fc13ad0ef15eb3b7a0a670087d1,356,27,194,11,0,0,8,0.311
891a8e01f3dafe49ceb561098a58f2568359d70e,65,18,4,18,0,0,0,0.320
909fa6ab56f5521bc9803fbab05ca306fa0da9b2,-1,-1,-1,-1,-1,-1,-1,0.325
3120d14de29804c7d62f1ca349906bed98938756,-1,-1,-1,-1,-1,-1,-1,0.338
fafc04eaa84695f55407b6a15bebe295529552d7,50,100,55,44,1,1,73,0.345
6658e0bd342abfee597eb89f6ba6d8aea602df7b,10,78,5,76,0,0,38,0.349
64926a34506857b58005e8865758a66dcecb2c5a,417,578,45,527,11,39,4811,0.357
05d5afdfac9aae66b193f141a3cf741400c8250a,996,908,179,873,24,554,793,0.388
3500303bc215c5a74d8c0e31f420057402a60970,391,87,98,25,2,10,2520,0.407
