id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
8164207199385cf84c1a54e674c7941e04328623,5478,190,1176,548,2,109,3829,0.000
d22cc7bd26808d9a19078bcc8afd959fae9daf61,-1,-1,-1,-1,-1,-1,-1,0.000
c2c6ce3f9ed12730dcd1b9c648595e168232b3a2,-1,-1,-1,-1,-1,-1,-1,0.002
0acd5d62cd0192e0a4f248f01434927623960185,-1,-1,-1,-1,-1,-1,-1,0.004
7e1d4a0fda34988a092ceb512fe4906c5134e77c,49,27,27,14,1,11,36,0.005
211a3173e7b9d2c6d73600dc8f7a8dfcad5ecf9b,325,337,93,131,0,0,344,0.005
c3081b3ec6005535e12b7029ac0d862b16d3aa81,-1,-1,-1,-1,-1,-1,-1,0.006
d98f375804926981c8f893e2299a876000cf35c4,731,16,150,15,0,0,1119,0.009
5d514ebf7a81d5b37af40d48aba9738d54561621,116,3,17,3,3,101,22,0.012
c71387a946e21f2a478fa40dec70aaadbac5c6a4,17,5,1,0,1,3,5,0.019
140e0d35eaae0c3a97ad6ab4e67bb7ff24b3cdea,222,105,461,100,3,42,55,0.020
577514f499d74080817ca61ae91249de3157e831,-1,-1,-1,-1,-1,-1,-1,0.025
4582c238466300644a7ee86547f243bac3657192,224,39,542,40,1,1,1835,0.029
f9aa284d91c7878429a84c717a6ef13006edc285,53,18,109,18,3,46,0,0.032
13e562d7d4f227bf3c39bf0b7c85b9ab1acd2819,160,173,73,181,1,1,190,0.081
79fe2aee51d00fa12e2ad90ce0ecba8656cef755,2427,38,33,44,16,755,597,0.086
4cda0ea823faa6c01580f5e174e2e185474bac23,507,89,63,59,4,64,443,0.092
11fd41f79295ee37b8ceac2af35cef35135b9cb7,59,90,267,88,0,0,7,0.108
52b677a418fff5163cf550453a5ac7057d348e06,186,188,44,41,21,234,232,0.129
d7fa74c9b8232278f65e506a2982160282ab67bc,23,-2,121,40,1,32,8457,0.129
75edb16c36c50092531484a3c7977081a868e3c4,253,141,77,124,20,27,180,0.134
f1efac3ccf4b1df70cb014d1b7de2b6fb65cc10c,139,56,22,64,0,0,3,0.143
80d3ffb6e0cdc8df4d754339ffdb0e03ea21cf34,474,96,31,95,1,57,58,0.178
6bf49445f1bf982ed29099a6ec652fee7afad24f,176,36,116,36,0,0,0,0.201
0f1d9048e94a017a721f62e49f0cb2c1c314478a,147,99,3,92,1,15,34,0.210
04da13883f6cf8572e1be77d8d7271ede91b207c,71,40,99,40,0,0,0,0.257
94517d5106f0ed46a5e12a67fb5d34dba44056d4,3068,161,427,204,3,83,1615,0.266
795a25ffef52aef796f6ce88e5ed25f1c934bb2d,157,198,120,191,1,0,36,0.282
2e1e0101d02d18ed2071cb734d7640abc8e785c1,114,87,11,76,1,0,8,0.286
82928d8c63f22ce916dc4e4fb2ae0ddf2fc52bec,86,80,169,77,1,33,11,0.298
ad3f353be36c4907ecea409feaccbf66f3a51bd5,-1,-1,-1,-1,-1,-1,-1,0.314
e2d3c4ac89806a6a664f07f037461fe6f086c355,61,8,18,10,3,1,31,0.319
992c4162c06ff7e0dbfaac5daaff26549e0d4301,3716,264,48,366,1,59,1794,0.323
1f3853d5e11d71450b1fc6d7673bd5281a0f2a60,-1,-1,-1,-1,-1,-1,-1,0.324
554ff42203d08462521ea8d073a7d8c099237699,237,479,263,456,3,1,14040,0.331
c2ab32dacab16e464124ef9f5b885eaad36dcca4,-1,-1,-1,-1,-1,-1,-1,0.333
3121a88455850f8e358142d41ccefec006c1c889,-1,-1,-1,-1,-1,-1,-1,0.336
f4eb5aebfb74d5b024f6288639de88c054dc4614,93,232,215,176,0,0,938,0.337
7dbc0c27ecefba604c86a0c7f0dd35c0bc0be91c,-1,-1,-1,-1,-1,-1,-1,0.344
3b34e76f41530e1e9454a9591fb9614073002952,60,32,56,33,0,0,3,0.351
58b2002d8ef2ada354d50437bd7defcdbd76d6f9,726,38,145,126,0,0,723,0.357
eb70c55095a9f3bfbadb42abbd328ee64f35f8fb,-1,-1,-1,-1,-1,-1,-1,0.362
e66cd62e81e02abbcb0c1983b45f3e97e2a19a5d,66,121,16,116,1,0,354,0.366
927feb05e0e87ff3af9db322df229262c8b8ee94,439,676,42,635,2,2,30,0.369
7f3788a9ead904c4957fd565a6a46ef4482863aa,75,223,9,196,2,18,26,0.378
0d4816c3c934abc6058e4947b0516fb2d82285d3,579,244,31,252,3,0,8,0.379
3a880fadfe23c81a3ee9635b4ffbe688cf3e2bc8,313,119,66,119,2,0,508,0.390
37e772dd8e146376735855d3d17ff079fc96c7c2,-1,-1,-1,-1,-1,-1,-1,0.399
c18c42132c38a213e14e36888628080203c939be,192,109,43,109,1,0,1,0.410
c9159fe0e2e0c9b2ebde8c85f2cb62567cfc9927,-1,-1,-1,-1,-1,-1,-1,0.416
5adfe9b50316e51c7f440cd0bb8ffb280add8a7c,126,17,162,17,0,0,2,0.421
d64df42680aab473570f13c245fc2fd65602897a,414,97,187,101,7,0,6,0.425
1394e5070a34c1bc4581f422b2d90d7498ff3af9,84,279,40,223,4,0,5,0.434
5d69536dd646ee926f76f2e9ec6e99da81349b58,220,168,47,160,3,2,82,0.440
0e7064e74551908e820e8c63c08ea7a32d002b99,37,66,8,20,0,0,6,0.440
fb15b57c6e4578dd265db6c396b378b95ab022b0,-1,-1,-1,-1,-1,-1,-1,0.443
0b80a27f764099e61e6685512cf12e07fa0989ec,30,55,63,39,0,0,9,0.462
ce7d73dedf4a8e832079395dd3fdd8ce3e322159,30,42,4,33,0,0,142,0.463
4e1650873fbfc6b940e579689f487dbe409414f1,-1,-1,-1,-1,-1,-1,-1,0.468
