id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
a5346c4b622bd1435f3726a922b6606638b008b4,406,131,1398,123,1,32,2265,0.000
3235f969b1989cbce8ad3e91eba0d9a57de8fe76,-1,-1,-1,-1,-1,-1,-1,0.000
ce2ac955c39d8f33ecb81a6fa994aee3067a58ee,1994,82,506,138,2,174,2907,0.000
7e17dadb4143821e0ac7b515cc47507c9026123a,-1,-1,-1,-1,-1,-1,-1,0.000
3f2d981255a17a28f1818160927fc6850647d671,318,122,929,115,0,0,689,0.000
638e04a236fc4a1f1c6cbb4e55626fe362404add,757,310,661,306,30,2079,1422,0.000
6f3e29a46b1568805a0ab529fd2cdee977556af6,1570,184,737,198,7,1024,3966,0.000
ae4aa16fb04640f364cfff77388eb1b016e1e4f4,1040,78,497,67,5,116,4314,0.000
b9f24b74be9fb0c3919a986b6e36f1851051d3e3,193,21,547,25,3,149,370,0.000
1c49498bcec8f1eb4fcba5f6f220f402cf714fd2,319,29,248,32,1,22,472,0.000
1ccce2b0c47dea02dccca6834f9f3769d9dc017c,66,114,325,57,17,360,117,0.000
ad0ebe928d180999e6364120ad78a71d73c026d0,-1,-1,-1,-1,-1,-1,-1,0.000
d418de854166b719906cde9e890a5c820e857739,913,48,418,48,2,71,1352,0.000
908321aa68b7931bbf5c0d04e19e6629cd1a8fc2,1188,68,4637,71,1,75,942,0.000
99d29c54c01664a4f439646bce68cefa8c62c6e5,976,414,557,395,35,1374,2713,0.000
39e4f6bd9d7d694e2737719f4220f6ffae76a474,4778,90,1578,185,94,7786,597,0.000
4c41c4179f369b8aab4065b075a348a44588202e,-1,-1,-1,-1,-1,-1,-1,0.000
824f205b019c6e79c0e03540a6936d442d77c65a,162,175,200,168,1,20,622,0.000
098983964f0be58bc7914bf7b27afbcbc1f8a9bd,1089,213,1559,210,5,57,7235,0.000
66df807fb99662efd8d20e89b7b5b1d883e68de7,350,93,345,86,0,0,1051,0.000
ee1346cf221b3296601ae2d1093cab2ffeafd03c,863,20,2121,20,1,38,10021,0.000
227912a7e7415d3f9f18fcd36c503668880b5d95,-1,-1,-1,-1,-1,-1,-1,0.000
6768c297e5e04ed53e5b06fe7f5de01da13b820e,452,162,193,158,1,12,356,0.000
67e745572ef65dad89188af68b24204c49822dc4,859,69,246,66,2,24,188,0.000
e60bb0b1e45936496b5b0a499af45062c06d2ca2,820,339,415,344,1,0,1005,0.000
d627b2e806394caf438a1586112121113a3e07bd,342,83,356,79,2,2,28,0.000
44f27dfcbd2b6562d8933e3bfb1f493eca30718b,669,197,369,188,5,504,2294,0.000
6eee21a5b7cc136fbaf9533abd0188157cecb567,398,358,259,337,2,44,2327,0.000
4939fae31ac36b9adcdddf4e7f48f248ca8e5f02,2249,121,1493,119,0,0,1007,0.000
9415c1be73ba76d492e1b80e904efbaecbfdb2bc,1066,131,3875,211,0,0,3334,0.000
26b2e041d5126035b80313b042e18f28e09777a9,2614,80,11199,195,1,0,3303,0.000
06c464d74311e989de6379572d43464e27c5b773,172,74,675,68,3,302,4122,0.000
948e49b200458779e4d5c2c7d7b29b3066657ada,-1,-1,-1,-1,-1,-1,-1,0.000
9172585557ef6566a44b6e5df2bf2ef62763ea54,299,169,327,165,11,562,483,0.000
033b6788a593e52d7840e226b900f810b4838d06,1781,855,589,237,22,983,2825,0.000
588afbd21ad36bb36429f1b068ba139a1ed0ef19,706,499,2452,472,13,312,1181,0.000
7479c77716ef14c34f4d0352cdb112b4cd146285,492,16,296,19,0,0,19,0.000
8a3a4c889e1185eb3938d06702a460642805b88b,808,7,24,54,0,0,2,0.000
863a5d64a05f18a499f4f27b8489c235b015bfa6,-1,-1,-1,-1,-1,-1,-1,0.000
1d4c5637f98eb65ea0ec85bc998cdb525efcf603,671,29,1917,28,2,51,87,0.000
d514b2d7f38664fd610b50fcb4d3566dcbae3cf8,1404,656,412,217,60,6534,10437,0.000
e758901b6a5c2f1ca31a1c8034506464f8e988db,995,40,235,41,28,2066,456,0.000
3267f3b80584a058fc4841f7f03f3418b8b7e191,485,254,197,244,2,61,53,0.000
ce44fe58f6340634736aff22c8a32674de9a2d67,658,248,853,280,6,294,3143,0.000
6b8657a630a1e29d084cb853366e8398e4d562bc,451,914,2278,882,18,2753,569,0.000
10a3241e1f4da93e97f9b4b4f03b5d1e06aa29cf,-1,-1,-1,-1,-1,-1,-1,0.000
30446cf0e15ff6c0e3f35418dcd01092c26265bc,920,34,107,29,15,505,2274,0.001
e92a36e721159f4a0468f658f7390c76b5b44590,627,112,1223,111,2,308,1302,0.001
2ee840cc247fceb604685c4bba0789895e15c974,1192,306,1276,110,8,465,2630,0.001
4ea7f1bb0446480bea8c8ce8d2d96fae8512b941,-1,-1,-1,-1,-1,-1,-1,0.001
001f37b29518fe9b1f99c4010f3ad949513b426d,322,93,119,90,3,149,379,0.001
49b5b1da528b818157cda60e1755d17d24ce888b,295,94,303,92,0,0,62,0.001
82c10093ecac89c8ff33ea77a080e6332faac073,-1,-1,-1,-1,-1,-1,-1,0.001
e6931d0be01ec18fa3c002e048439525acef8665,592,328,299,141,40,2597,2243,0.001
96e1bc1faca280c5abbb172dbcd22f223db1b804,66,10,27,10,13,197,317,0.001
8267eb888da461cebf2eac46ba777883d24c9e71,1172,1556,2114,1523,7,224,10225,0.001
e8ffd0fa282ed716c64627288bca3b9a7f9c04eb,376,113,61,112,8,83,909,0.001
232aea5ab9ed0ae29fa0bfac582e566ecdc9ea27,75,57,62,55,0,0,66,0.001
cd3f711f600c51bf486c23518e2d85f057536ad1,303,200,226,195,41,1600,2717,0.001
c05b148609d210332ae2d6d40a8c2c80ac2ddd79,372,266,384,151,6,108,233,0.001
3a64be0f0c3b66ce748e7b4b87e63ce1cf7fc436,117,16,38,16,0,0,5,0.001
44c2e8cacfad1e1aeb7d5f60be1234f8ac0837d4,454,31,118,30,1,0,2403,0.001
7346761623be9814e52183cb59574955563164f0,1266,672,1018,667,2,133,662,0.001
2cff2e9e02cdbd94a613317c32299ecff2a2c080,2591,1000,352,498,19,348,4925,0.001
333525b16dda4cebdc1bdb3079f5781e49b0fbc3,699,6,156,5,0,0,37,0.001
09506e3b4eb269120384394817656ce1f101de89,2066,966,925,968,1,4,319,0.001
0d4544a09158e32c6f46b58829e3a53ce4596b58,242,29,97,29,8,924,134,0.001
8f4ee71bd360fdf0d437b004b26a17394b793a05,476,45,108,51,0,0,1712,0.001
df52b1501390e3e314801304e65c6b5ffbd97249,1859,597,271,671,9,709,1979,0.001
da38464a807c58620cd6dd9d3d8c7f6faa9d8fef,354,123,183,133,78,5275,2192,0.001
8100596d1e4a490c7dd377012305da91e6f1b286,163,76,440,81,11,4306,887,0.001
1d8e513ac95354cb4bd9fe371728916d3feb9046,276,3,326,3,1,130,361,0.001
daa444f00dbe041bd39286d84a4af025a5b25adb,305,497,316,490,18,1006,4939,0.001
31bf23beeb602b3637af9e3e9659029605dfeb7e,680,162,364,156,4,34,78,0.001
d58d09f56e6cb1c737f95fce65a783a8eb58bf6c,322,124,105,114,4,123,638,0.001
8122a10392c4c1029dd60dd226cf35914302c2c9,282,165,13,36,2,29,260,0.001
69e962d0ea15976142c286051b215d9b4ee3f03a,-1,-1,-1,-1,-1,-1,-1,0.001
2d30f7cffa3b03929bf76799153e4b87e199de31,232,119,338,66,0,0,113,0.001
3b3101a2509981b793a2ae69b004a523b78c7c56,673,73,443,69,5,179,2381,0.001
3a4b45ee9be5955619cc71738baada8570243ac5,1923,72,10711,73,1,0,3444,0.001
0d28fc2006f52c19cf539ab4c1f28f94c95fef8a,1756,297,115,338,4,9,8,0.001
58c561e41246f53af83c70209f86b0ca9f626b25,122,173,70,26,19,933,584,0.001
57921dc7c24c886aec06e1ae05f392e866006f4f,274,22,115,22,5,193,708,0.001
57ff751404cd9180f84f223a7fe37b299f5fcc17,290,140,63,139,1,0,758,0.001
c9ccba7c7f7ebc1c63c37ab809f495734a31d587,407,557,573,158,8,1040,1956,0.001
ed22bb07035cd2e8aa93ee2e6405f321815b328f,946,354,830,340,4,224,1387,0.001
1cbc1e29b53e53ee979657b946bcb2da32c0f37d,731,226,237,96,19,1717,266,0.001
3fdba27a519f8bfae5dba7617fdd07392622f226,255,189,253,175,7,442,3380,0.001
af1dae6d32e786437bb8fe70311cd070a4255c40,-1,-1,-1,-1,-1,-1,-1,0.001
e35222d420c33af0624077fab4606db68abaad16,1185,2585,793,2760,5,284,521,0.001
4867f0ab599d1e8bc0520f3b4cb8909bd3aecf94,2972,390,336,384,3,307,1528,0.001
8bb9c46b082a8c1f47e6316851c2c30b1bacedc4,663,131,490,139,4,86,483,0.001
b70e33c7fabf570ce7ec1cac15f0d06339bd6ed0,623,736,76,345,1,14,620,0.001
5d69fea6dfc251237352e3d0b14a07409ba07d0f,-1,-1,-1,-1,-1,-1,-1,0.001
85cd908229f8bbc5b8ef884ac1be202abae5a02e,789,781,2783,789,14,3299,3592,0.001
6ce5d1315653c64c2942405b7741a61ac27a7578,-1,-1,-1,-1,-1,-1,-1,0.001
6751958b7bcec283ab4451cae687312faf7256a1,1590,284,751,282,4,143,2489,0.001
6f6d38de5b54bb057d8220104bd9ed732c287e25,609,83,123,98,3,146,334,0.001
80a60a7ecc0b60cf2ca858af468a9aa12cb8fd93,1683,38,547,38,0,0,1255,0.001
a4396ecc67b0f417fb4a2dde4ef2dd108f53f9f6,641,419,329,419,3,151,7318,0.001
1039c023fcb6741f78486b42dde3775a2993e2bc,607,24,75,25,0,0,29,0.001
ee39160771074b6512fe8c67cbb17e71c9e9176c,9319,661,5867,745,17,2904,9059,0.001
942e0171adebc4fa9d6f3c4ddc5c8ec2038d2c5b,259,14,132189,15,1,0,3965,0.002
f9d63bacbe1d5c84f0a857ce4e74fe4c8a733bcb,302,111,131,103,2,7,141,0.002
46919147adfade15d2f3e34918c732431be2043f,381,432,1558,418,0,0,1293,0.002
d4aa511ba11d5457ff4220c11f5b4a0a38c65898,781,249,1137,265,2,87,311,0.002
67ca1b1020b1862cb44e6818dea1e7b86f6849da,-1,-1,-1,-1,-1,-1,-1,0.002
d9bfbd9565f661e4f5c59f3aa859af074b7c4134,268,62,489,61,0,0,205,0.002
f5841811423d986401593d5f26604089e26bf092,440,370,555,198,52,4100,1461,0.002
27bec16f43f1c6197eaa8541c6ef2b31ddf22138,418,28,649,26,1,17,1731,0.002
1f220aae6867f5b5b30a46cc685c91589c1b34a6,-1,-1,-1,-1,-1,-1,-1,0.002
060fe6c17e94ea4b3b24c0e732565cd76b1b0ec2,2484,458,1163,580,5,514,2779,0.002
40f2a43f51ebbf6903f5e7ea5f84610bbae251d8,-1,-1,-1,-1,-1,-1,-1,0.002
970911562ed385268fae742cc172bd9d0eb3f0ac,279,350,403,145,41,2507,975,0.002
2b501d8c1eaa09c6a05be7a4044b6b5cb8920678,586,52,102,60,1,7,28,0.002
22666ca1dede12ce27fc72c4c6d93f4d5ef9c3b9,-1,-1,-1,-1,-1,-1,-1,0.002
f5c7d44eb12dfc7a31c2a648756162d3e379d6b0,1160,64,691,71,2,183,3936,0.002
af93cf46cbe85db77479402a449d2e338971600c,1613,168,413,237,3,72,167,0.002
736a6b46f9a86ad75868b0850cd4a20b8c356bc1,70,35,71,3,0,0,213,0.002
3a532c67b8ba66c6f8522826e3994235ae5ae45c,499,83,208448,81,0,0,262,0.002
e8e4b8c662202e80a9f03be56a64ffb748a62f18,1087,278,176,270,12,571,2090,0.002
5995532994e78db8301d9e6df8d5b5dee353ce3d,648,225,322,210,9,297,212,0.002
2d27404c853ddc765aa390a4bbd8cb19a325d6f7,586,60,254,75,15,659,2381,0.002
8af1de928ef22fd070caca575595981914b93a8f,279,103,202,101,13,266,826,0.002
70143b8ee5799b9032a875a813d8ec7debebe49a,112,12,30,11,1,3,44,0.002
0efa14148543af1351fca1625f286563f33bc6e0,110,381,171,365,7,588,4737,0.002
af75c9ce1b5e8dfecaf92dd804206e53f5535a0e,1440,323,498,366,0,0,3723,0.002
3337d0e7382c96eb1a4855139707c0a0a76dc274,1064,589,26024,161,13,321,5124,0.002
8a96f2f7f1f3571c013f9ff42893754cf8368fb6,419,262,163,257,0,0,445,0.002
06e77ab720cf84ee20b81e24036f6042eebbfc7b,375,58,295,85,17,893,1647,0.002
1e2c2f273eef24ad1cc7d6ad1d7f5319c8965155,124,58,103,52,7,379,3136,0.002
2a76ecefde4b817cf5e8d99921b463d1c398ec67,159,60,273,54,0,0,1,0.002
9e64d2b42b2effb557737724fb87aafdd8a34a2c,345,382,457,159,10,194,1867,0.002
8651711734f2f24f7504efaa97bbfc38763c8973,197,155,160,115,0,0,21,0.002
127131dedfff9245c3aafed1e5b6930655f44444,234,109,86,105,6,178,999,0.002
7abbf677e66236d4802e6c4cd2864fc51bb93bc3,1236,325,231,310,0,0,132,0.002
ae48c43067d66b7e3cae64fa75126d31ce18b5ff,563,1000,317,868,8,105,3299,0.002
9190d47704cb4bc0fca11947e00aac410ba058fa,873,67,36921,68,2,144,3476,0.002
e7f0a14d9189e79afa6f830160d114bc10357253,139,58,69,59,7,72,19,0.002
9510c2a0964776f19e1b1941c4d5aab842c09f5c,-1,-1,-1,-1,-1,-1,-1,0.003
7c391cdc0d9c65bc6b45b6d112ffe0a2f39e34c5,144,305,68,146,3,161,3635,0.003
f3f6df892ca255e8c4aa8f7fbaf16a791f82d289,-1,-1,-1,-1,-1,-1,-1,0.003
9f9d95a56ce2676a22626054729065e4b588fc9d,393,93,477,89,63,2128,792,0.003
f53d1614129c4faf1f93d50ffb506ce118823869,3809,182,690,167,0,0,1423,0.003
333ff885f089848191885cf4c138266701ee1a94,465,595,443,289,21,1794,4200,0.003
501140f5ae8bbce6c877ed224093b5155bfc4fb1,365,166,192,159,1,0,342,0.003
c3991278829a191486cca2cdd391568bc9cadbcc,2482,9,77,27,1,22,40,0.003
89a7df3736679732b5b2172b3d903695a50fe8e7,145,178,129,168,3,40,399,0.003
e2602cd17306e89e9ea01cdd17f0d54d9f860d02,1122,104,515,99,8,112,1856,0.003
56c771fc51e989efae7cd52496e98f7d59b3d9fd,1253,146,132,141,1,0,193,0.003
1957d57e330bbb87ad03be55e8f40da10822c4a9,342,103,370,101,3,326,2777,0.003
45dc6b7c4b5aea4ea07dbeb5ac69ab206dc0e816,674,301,49,96,4,63,615,0.003
6cc0eb103366c018ff8fa3a6048931a46615c735,1111,65,312,68,1,0,129,0.003
9d719c3cff0f4c2300d34e3940c4a1dfe75ef1fe,-1,-1,-1,-1,-1,-1,-1,0.003
d71d553dbf8102efad1db0545052c5a7e2a4852a,1540,985,247,1077,18,811,2581,0.003
2f820c913da2ba6a18f1339fd916b2ebc8eaa3ff,258,184,399,182,7,227,1750,0.003
a53ee9088efc7365ca37b7b5d9cec03e9c95c949,313,54,196,59,4,100,362,0.003
e4d2541a1010025920051ccef9cd1a0bb712776b,2934,133,2832,126,18,2680,5591,0.003
17d058fe9ad3e2fa284c3b292ecefb526e7389c8,-1,-1,-1,-1,-1,-1,-1,0.003
3e46e4d9e3ee854e0ada21edf76542ea29dae327,624,950,509,885,1,3,21,0.003
af9b697163a25b1ea8901e230a63457bc714f692,-1,-1,-1,-1,-1,-1,-1,0.003
ceb3469f9898f958c9d0c209c66a4056c4bcf2b0,-1,-1,-1,-1,-1,-1,-1,0.003
0e7d1f6eca203567a3f1f9b5a6ce878b68e5865b,129,37,89,32,5,81,1550,0.003
dd30761705a28f4f17b7ddf7fbf4d664efb9768e,504,106,73,84,1,23,1590,0.003
5deeb293c683a6951a714cc5ddc86cc820767bed,6544,405,299,517,0,0,4062,0.003
4ff6ea746f60906adb435ecd242505d2f8b7cc3b,780,237,228,226,6,339,655,0.003
fbd97ee82f3b839843b0bec4f53e17989ec1d323,439,592,275,568,0,0,2390,0.003
8e563d43bff8941c73dd18d4026f1eb670db5afa,512,114,73,109,10,304,1602,0.003
d9c8d711d4b1432e391ef0d0d31ce112bb39a7c2,562,254,169,151,3,273,801,0.003
8318e51a221edb6c14d28e43cc2269e6dcc09f83,-1,-1,-1,-1,-1,-1,-1,0.003
2c1d3e30a1bfde1babd36e4df2bfb9611708185d,149,157,732,148,1,16,68,0.003
6744b3bd3eae7d396fd90e231a92e8c3a9805982,288,88,196,83,5,80,165,0.004
b411fbc01e4a325ec440d223d8f6e23cb07febff,1914,259,221,256,15,1252,7334,0.004
c86c211543b3cbeb6847e083284d4b9e1941b942,583,276,344,269,7,251,1124,0.004
b817f4c8e68af8873d25a013b0b1bd11839e71bc,-1,-1,-1,-1,-1,-1,-1,0.004
e919e2205ed851422c329a1162834f78a9a89169,-1,-1,-1,-1,-1,-1,-1,0.004
ce91156b29b8d633aa99aea7d21289c2e67e586d,-1,-1,-1,-1,-1,-1,-1,0.004
98683faf244ca1cdded4b4c936613e766c333ee0,306,189,212,181,6,521,2072,0.004
da8749d1d732eabe39d85fd442ebc3e48ca60aa2,1789,366,1016,372,56,1773,6279,0.004
bf232188e5516e9ba8785fd5b296602b545ca0ac,1599,65,3030,64,3,70,5039,0.004
790395384ff0b09e84642bd4ed3fc1f75b6aae12,354,298,1514,291,2,29,2507,0.004
33e911a0861da6928e01dc3d61661e9b56ffdfde,110,604,347,271,1,4,6187,0.004
b5b6dadc33ab4428725840c18fa9eac676346b36,279,46,430,46,4,109,1488,0.004
4c6ea447dfbb650e13624486442680d2bc5cd072,90,34,15,48,1,1,48,0.004
e2347e392a10b24b2d0d763e51798290cd7dfbfc,722,15,503,22,4,175,669,0.004
452c24711badc75ad322d2ce507d70c8088a2ca1,240,53,124,58,3,91,296,0.004
cbc25d5cd56ef7bc39159c735c507579d8b3e60b,208,24,109,25,1,6,199,0.004
190ceeb4f6d1042c0e68e3042f2be19912100bb1,1086,1866,1047,1786,5,222,2875,0.004
c67143dadccdaef2268016e33405854fa7fd6da2,-1,-1,-1,-1,-1,-1,-1,0.004
075f2a4a5edd1e2dd3a87d8465c97ac0ce10556a,645,73,222,72,3,72,128,0.004
9697aefe5f5cda1754a7ec5b05bea3e796b93938,-1,-1,-1,-1,-1,-1,-1,0.004
fa5009df548fe447dd206118ca02dbb72d1b1465,231,182,182,181,7,96,845,0.004
f0bf0f739fff91d8369100c42f6aa1c5985b4f82,681,202,160,204,0,0,1616,0.004
ec5cd41d5a252c1d5b245f5e6ecf76d794f54b6f,-1,-1,-1,-1,-1,-1,-1,0.004
f7cf127ddc85c593175e46f9871eda1302d7d30d,521,184,228,194,3,69,391,0.005
9f9db154db871252c5081b21e9fbb0077c20e745,623,230,42,227,7,272,1583,0.005
91550174a46074a6464e3287604db2a88f3b6fa7,1211,345,896,334,17,6169,22417,0.005
4309d5d46d86774337a8a602c3e619a801205eb4,1912,61,855,69,9,190,524,0.005
4ddfe214348020559f3b02d90a90ccdf4f1e7dc4,124,125,148,118,0,0,206,0.005
d0bed248c0a4a455918d3a8d8ee9fcb89cfbe2cf,823,63,692,67,6,111,2587,0.005
c28134e366a064b620ebb1c9cd2f46ce862f9d91,868,353,209,356,39,1306,1563,0.005
4343fd8932e742fc367e4058339b6dbe0af46d44,1311,457,1030,439,9,521,2344,0.005
65cbb34e75d34748dc47abffab5b9bb6824b26a4,537,98,502,93,3,336,2014,0.005
7e541f36bf3f3a5f4dbd8e4cdfa570dea415efe0,626,121,76,114,4,83,215,0.005
957e069e72601b72b417c3bb7acabc18d5fcc618,1755,207,184,298,18,745,1488,0.005
09d097fa92bfe547d12d6a1ea4dcf0e730bc7363,206,38,339,36,1,39,1992,0.005
6a404d579c62b161e86f46f1a1bad85644b6a18e,1400,119,342,160,0,0,2547,0.005
c640c23c2d2fe8660419524528940b02d1ff5e7f,602,175,322,181,8,374,1567,0.005
7241309ed79ae06f9fde34cdfd61e9e39b1f9df2,1139,227,1,324,2,59,372,0.005
c947ccd26ec41652aadd9ec7b6c61c6ecea6cc14,98,226,53,221,6,53,4371,0.005
d9b5c54bc10866550e67eb4f5116e93536c053bb,637,85,187,115,2,235,2390,0.005
12255539c22b50dc2a9a938bbf069a74297fca84,1914,789,384,818,10,894,4480,0.005
