id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
bbfbb10c39f833ea61e87b02c193f85b4d85cf27,645,190,2232,175,24,971,2743,0.000
cf032610b3aded46f5ba741739038cbfc7bf5804,-1,-1,-1,-1,-1,-1,-1,0.000
73b07c7cee02dcf211124ece7f8d7467ac37e4bd,375,86,407,86,12,540,5251,0.000
a1fcfaa06cd8db79e84c27d47416e9364c7ac49b,-1,-1,-1,-1,-1,-1,-1,0.000
25e354c5a5ea22558622ae0b4e2078832744ea3d,2004,329,447,350,9,230,2540,0.000
6687d5f213f72000c2adb44670eb1b68eea404ab,1083,124,643,123,3,219,2610,0.000
057e57dbb7c7ff52ff229f9f11d4ee8f1897bb6e,1670,49,445,73,4,68,149,0.000
45a0b2c232bedf3c82b19d7f86ed032be39cdfd1,-1,-1,-1,-1,-1,-1,-1,0.000
1efbd4029456685ca3717c856e701e5c0b57727a,889,482,1838,452,13,764,12002,0.000
032b2805c1649e7932a1550cc3215c6aff10997e,1188,43,872,39,21,841,967,0.000
ce272735812799746003026e995d0c8bd11b077c,1617,79,589,78,0,0,360,0.000
b57ea58678233550a1d3c5a0d7aa43f205b6a5f2,371,63,137,10,9,396,326,0.000
b8a323d29ebb375f5eaafb590c0063e866d7ddf7,1391,128,1226,144,34,1647,1210,0.000
c22e7f6155f5db643c1baa27e9b855c2d980b6f9,1007,141,640,145,1,105,1516,0.000
ad0ebe928d180999e6364120ad78a71d73c026d0,-1,-1,-1,-1,-1,-1,-1,0.000
1581eca00ae3b44ad096b5db194f1b8a2b21843c,2668,157,2604,659,9,143,1696,0.000
39e4f6bd9d7d694e2737719f4220f6ffae76a474,4778,90,1578,185,94,7786,597,0.000
aca02209ec0dd83f28b53e87c31b6581684f332d,1353,179,519,254,7,827,1471,0.000
61ed071193a5314529c3a18c36be05c2396f481f,864,330,1695,15,23,657,1611,0.000
0a98fdf9cd0613dbd79452f93e2b136dfc541b11,1480,115,557,106,22,626,940,0.000
e21e14f75cc8175c39b0e75257cd89b945aa79db,-1,-1,-1,-1,-1,-1,-1,0.000
dfb91d723dbe0815cebd52be16b0648de86adfdf,-1,-1,-1,-1,-1,-1,-1,0.000
