id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
2e09561690ccb45f75bfd3e38f85f0885532df33,4434,25,1315,78,2,4,1045,0.002
78a35dad4388c3a6e738118af98874095399b508,6403,571,390,803,2,0,6955,0.003
09756c96de7c941816a2a55f6fda935e00ce0f1c,338,30,185,27,0,0,589,0.006
b21b3423b92491bf7fb69c7483436b10c2d74a4f,1826,30,197,27,0,0,1521,0.008
cdee8a5c52a360934a55dac920ec7eeafffd89ee,402,5,232,5,0,0,0,0.008
ceaf37c441245ca5bbb56e14e740bf123b0925e8,4433,5,358,13,1,104,1793,0.017
1c4512253a108393c3a430ee0a14979e0232b93c,365,28,486,33,0,0,0,0.022
47b088b211113997e8e0bb6f060d864ac593ffff,-1,-1,-1,-1,-1,-1,-1,0.024
26ffc29b49dfdf20b9ecd31a5f7f029aa6c0c235,214,60,464,57,3,201,108,0.029
65a94f6d7fa6e1fdf258763e053846aa14cd49d9,693,48,436,53,0,0,0,0.033
53c096c6e87b7f8fe6d3bf639381de324785f31c,652,113,1043,115,1,0,1215,0.041
cec1cf7fd5d81c0b63a51c14798333a838273941,-1,-1,-1,-1,-1,-1,-1,0.043
00df383aa30eb7b48bff0774c201a24226f3f58e,299,672,280,626,2,0,2484,0.063
ab4edc0bacc347fcf2f96c40310e1fd28bc38a2d,268,858,291,844,11,286,7550,0.068
9840ea8f60c98bf0ca720f11181c85f7fa879ac0,982,1658,340,1535,3,267,1326,0.077
d6de6d830443dcdf56e6408adc6ca857e8e2a5ea,652,49,464,45,1,246,33,0.078
094240bfe4e0b4f226109cae9e23df563df3e2ae,93,75,373,73,0,0,1,0.082
5ea428ab81d835ba9e79261b36fc89b7d6d380fd,475,274,483,287,0,0,418,0.090
11ab5287113c8b54d542d70b44437e38dcfb6ef4,-1,-1,-1,-1,-1,-1,-1,0.096
0a55a0062e4b5a571296bf6be02b16d7798a9246,4285,4,25,179,1,28,511,0.098
53514629cdcfe354721e43f2b8c2704c1de00d33,248,264,252,255,2,878,364,0.100
47b8e1ffcd6b92680b54d7d1206e52a62cc317e6,-1,-1,-1,-1,-1,-1,-1,0.112
2151628c8c720537c729a529edcd9733d271ebb2,-1,-1,-1,-1,-1,-1,-1,0.114
77239007a194f6dc1e0f958785ad6f5ee2ea50a4,26,84,519,46,0,0,1,0.118
a03d609568dc3a35907c0e719e9d972c8a08bd09,196,541,155,486,0,0,1,0.118
996caeb69117246208aaaa1d7aae0d00d44b2b94,-1,-1,-1,-1,-1,-1,-1,0.120
1ac2e58262b7e049737c33125cdc5541d142a1c9,225,216,362,250,3,0,2463,0.124
010417f6c86af683e4c5e6a8b97fe46cffc0db7b,-1,-1,-1,-1,-1,-1,-1,0.126
d176fdbfb199a604dac8b377fe0e225f828812d3,9715,739,174,94,0,0,2045,0.129
984b54d7c2b63f71f48407a41603c67138a0b3a2,98,319,981,308,9,349,37,0.131
bd5e0e3fd2bf8115164a4c0e318aa0103d9bee2b,100,57,193,56,0,0,37,0.131
e2cd870a63093720ed1c05a53daba2b541c6f05c,246,251,475,275,0,0,15,0.138
0309a114cd623d280b021a6a3e7e0ebc919702bf,202,111,277,117,0,0,7,0.140
ffdb3971168ee3251522ad4890dde9d8c76c9d54,344,166,383,162,1,0,59,0.140
165c9043fb98a99951a7acc3010053ba2f87f1b0,79,40,325,39,0,0,2,0.140
60fec6b131929041b14fb165759075e5df01b573,-1,-1,-1,-1,-1,-1,-1,0.142
52038f6804a21f8c9c5fd03a7e38a271ddc7071a,108,54,141,69,0,0,4385,0.150
