id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
d618351af7a95496cc52dee31a6923155b8cf2f4,368,376,961,207,1,0,502,0.065
24d4766e689279670509f94ef158b88ffbfcbdf5,122,15,9,15,0,0,1,0.094
34ff9a86497f7b86dd1ef8db1973207c24077af4,-1,-1,-1,-1,-1,-1,-1,0.096
7bf9b6518a9b95d0735ce5d779db92756e74ffff,-1,-1,-1,-1,-1,-1,-1,0.112
c74df88eae888a1f1ab9d2b236b1e166dc8ef2c9,258,144,469,59,0,0,120,0.114
31ebc3c2a030a8ace8930e0fc880b967a95e1816,294,11,33,12,2,1,123,0.122
78f87f8a9f8fcc7f4f4f778e042b7857dfee9c62,66,62,16,20,3,271,46,0.144
0b6f80f7ae3581d4941d4cee116e8d0280f692da,250,224,351,203,1,6,514,0.170
5e7d70f1804a71e9b1ebe12ff6d8f11062bf5154,-1,-1,-1,-1,-1,-1,-1,0.179
9a774d3c0ede9ff982aa5ad1614af95da8c41c53,-1,-1,-1,-1,-1,-1,-1,0.196
6a91c03111cb7445c7f9c9c2049e41b719259c5f,48,98,525,95,0,0,4768,0.210
95655f47a6de77a24ffe8c7303faa38b4727e1e0,179,500,378,384,2,6,4331,0.217
b9fee6942264e0766728405c9c5044bdfed9223b,1313,863,3909,817,5,387,6503,0.224
ec105fee6028323611970b143f032fa4ad16ca23,-1,-1,-1,-1,-1,-1,-1,0.229
c4abd0c626498846f110a27ba553b01858fcddaf,-1,-1,-1,-1,-1,-1,-1,0.230
253876c7cf627b646910d426b12b2710309c0daa,386,185,204,174,4,1,828,0.238
d0b3202d5aaecb0f1f1646b00a8b8453e9beb467,7540,201,1666,196,1,2,88,0.246
38a880ffe266bff1183bb7c4353d29c5643360cb,252,340,762,313,2,0,1,0.251
e1fce165146ebc264b79f9c47d06f55611cd3850,775,705,560,653,0,0,7,0.253
92fc1ce585372812bdc87b8f4de5537dd2571564,-1,-1,-1,-1,-1,-1,-1,0.263
624054b6f8ed8089e93a7cea32c2fe052d910ed2,-1,-1,-1,-1,-1,-1,-1,0.267
bc09257edbf5426c41247062c157b20671f31a98,145,84,540,76,1,0,30,0.269
84704616734471d32529cb0acd9b52108a2573ea,-1,24,426,22,0,0,11,0.271
51667b15bd27bc83e2d335465ced8785c5d42f7d,240,647,691,626,0,0,7,0.277
92b77642d3613f19e54813829074e394c17cd4cd,139,92,269,91,0,0,3,0.282
267b3767296935af3fcc72b0dd4a9d28a8c5b646,-1,-1,-1,-1,-1,-1,-1,0.285
bff02b51e9dc70717a15b2135b86518dd0d9fce7,-1,-1,-1,-1,-1,-1,-1,0.290
145cbb518c165e01c3f490c7e4e31b8583d8dfe7,257,68,251,64,1,0,4,0.294
0abc175ff5c066e1be87cbf9b49e7494806f13c2,138,186,223,183,1,0,4,0.294
9f45bdf1b34972d97f9fc89db6caf362945e3851,-1,22,592,20,1,0,4,0.295
35b48952548b3fd3393dfc504452793d13a478b3,-1,-1,-1,-1,-1,-1,-1,0.295
340e85e8dda5887532d3c60de678c6f67163d267,190,156,168,156,1,3,10,0.296
1974b89cbcb27450da3875020cc171d3e402f7f8,356,183,455,179,0,0,29,0.297
12bad980bd147747f7b33d38f7e602700ca8f905,120,42,256,39,0,0,0,0.300
49117363fa01c29f3e0a5c86fe930626a9e209b4,35,262,99,248,3,9,765,0.301
fe304ba307266cf85cde3621c3864bfd80fb0490,240,309,241,291,0,0,20,0.307
8b4ca01933715826b8adfaa9f033340ecfe58906,1593,386,26,114,2,36,1528,0.316
8922f78168b68237cba8baba863276d3e67974d6,1,0,284,0,0,0,0,0.325
ddd859e39694de70c8196846390869fe896238bd,148,276,154,224,15,0,8,0.326
55698b1f5c4480c045f0cdb33569b1c421d7fcd7,488,120,371,114,0,0,11,0.332
df30bc784d15c6ef25202840e1f81dc3f1d61578,320,0,17,1,3,29,7,0.335
87e49bc02a0cf36bc146853390e957f18822e459,71,12,95,9,0,0,1,0.336
a0e6fb4cf994e6c825996d927f2361a2e07cb23f,210,233,284,219,1,0,22,0.348
2105eb9a861b1b79f2838b4fc93d58aa4bf0acf8,188,61,202,58,0,0,4,0.350
502357a7f8ea0ea7237075777de1b5c0a7154a63,114,415,124,383,0,0,75,0.351
7c18851d99505b3c8c54720c261478bc8b0acace,-1,-1,-1,-1,-1,-1,-1,0.353
e9e510e869ba85888a4500cffa87d8178f8dd28b,150,576,346,536,0,0,45,0.360
c7b63d9f9c08c878919c84fd0baff76dfd3ee43a,-1,-1,-1,-1,-1,-1,-1,0.361
1c16f5d55c38293ffd89d94c6a2483aaa13a8988,-1,-1,-1,-1,-1,-1,-1,0.370
e2632cf9a4cc59ecd231514f4385d7f47bb63004,-1,-1,-1,-1,-1,-1,-1,0.374
ccf8e101aa15817cbc498cf22d72810851853572,258,186,418,177,0,0,20,0.375
df13c52e9733cac1efc4e66b178193963614c22e,260,249,503,239,0,0,3,0.379
14dc538e846849a926c911df731009d55da49daf,399,598,619,501,0,0,20,0.388
c5aab50e17fe5cc45784d11b279c33443825d609,378,43,356,46,2,0,125,0.392
b25705f748e6ec68c23fb1c6f168735854068698,-1,-1,-1,-1,-1,-1,-1,0.392
520ffce5dad40c238d052062d4bbe76134b792f5,194,2586,595,2232,0,0,34,0.396
cefe27f7a4ffac4b3168521ffc606b1ee97fc930,197,64,174,65,3,4,1263,0.398
f524ed52189ca275df4b9c6c13ca7c670a371f41,208,154,290,148,1,14,166,0.399
76a2381003ffa7e4091581831a1e92998a12db41,208,143,2,141,0,0,47,0.403
46db442aba9359a69de428775ba665f86ad0316f,-1,-1,-1,-1,-1,-1,-1,0.408
1a5c0e98d4b7fb13fbab3d6ebf1bd380db9e0b6e,227,454,300,433,2,0,42,0.411
2e1055160e1f5d63d5c69b2a9dc04b91e937726c,211,149,195,143,0,0,17,0.413
d43d2a0bc7028443a3b496cb4163d1347d397ec2,263,173,281,177,0,0,9,0.416
7caa551be4a6d782cd9223268470e4338d7d5337,288,87,221,86,1,0,2,0.416
7e28305e5a1eb4dabf57d9a9d3fbd83086c57aea,-1,78,204,69,0,0,3,0.421
5c1fe81a10ec7cdf606439f9468096d8eb16cce8,223,74,431,74,0,0,1,0.427
f90b7fc15915c8ed8fac9d9d7f2b84589a6111dc,49,51,14,52,1,2,92,0.456
dcc57291aafd98cd487edfb464f90ee495343635,52,69,47,66,0,0,2,0.456
93bd819a1ecf024e66b467299e49808a5a91d97f,71,1059,270,1000,1,0,7,0.457
886ac5775d452721fedf88e8b9f439f416f083a8,232,9,94,9,0,0,0,0.461
af48fc0633210eb4234bc279b92476b7e66568b5,180,616,184,428,10,12,213,0.464
1ee9d70625a003719015c85521f9d813aa477e9f,93,0,333,0,0,0,0,0.476
9294ef6d3562d3aba2070e6a5ed7c82cf4807ee5,-1,-1,-1,-1,-1,-1,-1,0.481
26e96eec53b2ed8b3dd7139508240940dd27faca,123,444,60,291,2,19,25,0.482
8d9789b761b1d3ff75f069d9ccd9685184fd2785,280,607,491,559,0,0,33,0.500
0499283e9d70992b1526c53af69da4d71f4b3ffe,-1,454,208,423,0,0,1,0.507
27a9bd3491c07fa325b93e0e52e74de207a04ab9,166,176,221,169,1,0,1,0.507
376ae78437def149433eea64dfc905613e95a889,2807,11,15,448,3,32,1224,0.508
e803e878e22b30cf2b8a2f91695f50e1de215aa1,136,109,67,104,0,0,2,0.509
cfae7050cec26cc0c544b5d2e71e240440bb7c52,3311,116,168,180,33,1742,1498,0.512
17f9ad13286977846f6108a669ca8a5c85ff2b5d,56,44,62,41,1,0,6,0.515
6f61c87018123a51d5f09dd60cc03ea976cc3f75,258,171,111,166,0,0,1,0.516
5a900e5d6f8f9468af9f407b3307cdac249cda60,11,9,7,0,0,0,17,0.524
d02216dd2a7723137211cd433f6e5c752f13f925,50,0,72,0,0,0,1,0.528
52aadc31499d8c28745b15818cccb55287635d6e,106,55,262,54,0,0,3,0.538
2b07ff9fba37f63456df5424e02a99e7013968d4,-1,-1,-1,-1,-1,-1,-1,0.544
87f71477ed874bb170cece9e17f9346c2f546ffc,235,443,520,419,0,0,39,0.558
7d88535c3eec063adc54c79ec4f1ecdc934477a5,43,65,325,64,0,0,6,0.563
96912b79513383fb11af74846879cf9bd1d4aba6,192,198,83,190,0,0,69,0.578
01fe1fc6d12908cfefa822965cc89d4579fecee2,173,16,57,15,0,0,0,0.587
a5d6388e11f6bacbf379608de35a727e3d713e95,154,266,244,257,0,0,9,0.590
86bb9ee0a7d2ce52c0a36c9def273bb79629fdae,39,121,8,112,0,0,2,0.591
ca1ec0ee363afad455e7c32b943cc498f5b87601,4423,93,323,91,3,119,43,0.598
19cdf3688c72070377f2e28682a1bc9b9dce6b0d,145,0,103,0,0,0,1,0.604
5df66bc76b914d7e3157a889c81e06445513af36,194,109,63,95,1,0,0,0.608
8822ebb00af96bf573483ec56fc9afa892a45abf,83,164,54,136,0,0,1,0.611
e35698772561e17e9d7ffcd3915acb3ba3ad2c5b,142,68,4,52,0,0,25,0.621
4583b84241eb604dba264d42af1467908a144052,2930,6,19921,6,0,0,2,0.621
031821467995c2df900a8cead9bcbe44091cd178,-1,-1,-1,-1,-1,-1,-1,0.625
24f400766096d7c705cd8c1ae15792f307f7952f,114,327,131,293,3,0,10,0.630
81d70f35fc1f7544c9f5c151cfc294175ddb415a,327,141,345,132,0,0,1,0.630
ff9c2cc5e5dee2cc40fcd3721711dd8e8d8be2cb,500,153,257,150,0,0,36,0.631
e758296207729e2c27a4bda213d7ad9a03a67255,-1,92,188,84,0,0,5,0.633
ae8da3bd47e182e248f5bd05752ea40b697db52d,4984,43,82,35,4,1058,8799,0.639
6805a4ea1d082a3e592734e80e1cdfe340cbc9c6,8556,61,5223,59,0,0,1866,0.639
886a319c692da2eebc81b96288658b01b45df4c1,50,29,203,28,0,0,0,0.639
2d0ff32fef1b63b23c3638868f7fbb44aa73fc8a,645,64,44,58,1,365,112,0.646
0661e18a3ccb627d6ceddff913e4847f4e2849a2,157,112,23,111,0,0,1,0.655
4ad27d276560cb9ba18775d719e23a8f2a849c64,2745,83,434,93,5,87,8451,0.661
f1e4ec1a7f81d976245d950479bd278a1a84ee04,363,186,219,176,0,0,137,0.671
c1cf641c549fbee3c90743ad7a5a1f11a1674bb0,3713,181,1,350,2,101,6351,0.692
141ad1d4b963140cd38601e2def81d4597cb06a1,430,85,75,78,1,0,34,0.698
8e1f46ce316453a6b18e912ff630ba153415865c,-1,-1,-1,-1,-1,-1,-1,0.706
f3d81a64c826e45964da03339c46e48abb5206f4,35,1,15,0,0,0,0,0.718
e885acc9d12fa296c216157ce960b8747a77955e,39,28,15,26,0,0,2,0.719
441b38508631ee4aa5efa5d4f3b64dcd36d6a871,47,8,8,8,0,0,4,0.719
95fc7131b0fd92ef3cc68dc63937a7683a202ffb,85,47,91,45,0,0,0,0.721
929f1349452022722d7152eec354f59fc07163da,-1,-1,-1,-1,-1,-1,-1,0.739
b08122d64e0b2ac5163005734ed4f628cb82d862,0,137,5,130,0,0,1,0.743
c9af2674fd2e6b1fda75e7091925f1bbc8306b41,263,146,135,143,1,0,12,0.760
483425e8674852e7049c3f16952922aeaa824ec8,2,36,44,35,0,0,0,0.777
0156240611d2cbc43cf8cfb955f9285e73081818,-1,-1,-1,-1,-1,-1,-1,0.780
fede332fcbe03090b251d0288d553a97098e4489,6275,49,20524,30,0,0,91,0.786
d1939cb5d175dad4395becd930e2658aa6cec0ef,8009,4,34928,44,0,0,119,0.789
67c6059170cff21e5da81dc00faddec7f2588709,9151,8,56066,3,0,0,152,0.789
1ac34ffcf97ac803ecb031743b249ae2b96b0cff,8025,2,28196,13,0,0,263,0.789
d2d131682aecb46a44a0409aebf694dab69ffed3,7528,12,20076,131,0,0,414,0.789
88a50734ffb94886dcfd73134c89f02a065faf6a,40,74,62,73,0,0,8,0.826
6f8ef3dee3c120c4f2833f63969af7e22e439123,38,8,6,8,0,0,25,0.835
f5d520a60c7013a291abb8372d25ca1a033c2e4d,98,289,97,273,3,0,29,0.841
53aee0748860b0e59330398d86d5649bf8993a2e,-1,-1,-1,-1,-1,-1,-1,0.844
253a2d97cc3f0158cb55bc00b454c3b80ebd9e7f,7,59,6,39,2,0,280,0.849
cffb321d66eeb9ea62a368bcf97dd11df333ca76,-1,-1,-1,-1,-1,-1,-1,0.857
d7960ab08132a4e824848ad302088d688787ef90,133,396,131,387,3,0,2,0.886
87b6468ffa81853592f0ef4b436b05c078b96fb8,31,3,2,2,0,0,0,0.903
cdde1088b44f42b50820298d559186ffbf2f28a6,-1,-1,-1,-1,-1,-1,-1,0.907
0ed76fba01d94c9fb11845cb70807a2f6154f708,222,31,77,31,1,5,26,0.920
7b7030d0e28aa2850f70f9f06347df3c0bd83c47,19,58,13,42,0,0,14,0.927
0c6baf7520b07cd7b00ba09826eacbda93ba914c,46,10,15,5,0,0,1,0.944
1a3ad4081bd44a1967dfd38434de8eb3c4f469c5,152,26,1,9,0,0,71,0.956
09a802b4f910576158c556f5d667139624f5bd02,202,0,26,0,0,0,1,0.959
