id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
ecd057cb0273c37c5f775ea7c6df042a8ac5d299,205,65,274,9,4,366,2307,0.004
646411410af7de1bf4c4b92a55bcd6eb97dc62b7,153,10,43,9,3,72,465,0.004
7ab4afef6b31ece4967fd882ebb4b1c9b0e96eaf,1297,340,982,330,14,174,5341,0.004
c1cba9a110793c586d9a083ab51dc264ae5ba485,270,4,44,7,5,42,199,0.008
46cc1c3a0e7230880c89b3ccf9516ee68e857f68,-1,-1,-1,-1,-1,-1,-1,0.008
9454d8155e8f4230608354337c3a15eaf387a2bc,150,87,1,81,1,28,1580,0.011
537945db9aa9786270d77302a110217d161324a1,-1,-1,-1,-1,-1,-1,-1,0.012
a93942bc98f7b489798b5d493f488e7f347ad416,276,14,100,19,2,100,359,0.013
3a18bef625526095053cf8b300f7ad43166b3850,-1,-1,-1,-1,-1,-1,-1,0.013
b72941c56fa98e43fccf5627cf0cbfe8f5d05f76,156,37,63,37,4,242,1459,0.013
239f17f965503f2340a72879ddda2cf3107c5add,-1,-1,-1,-1,-1,-1,-1,0.025
4452ea2f0a821bbc6a2634519b659e5e7f19abd0,-1,-1,-1,-1,-1,-1,-1,0.028
69b62a64d21b23416791ba788c3d541d1a7548c2,1277,41,62,43,15,659,266,0.032
136ef4e28f5699fd8c0138558d93a0b17cc9e0b7,-1,-1,-1,-1,-1,-1,-1,0.083
727f2e517c06b36e0ef55490c3c2701ad95577ec,1890,184,353,262,8,182,1179,0.132
de6db94054462a76ac3c59e65ea6c3a4c7b40e90,407,126,164,114,0,0,602,0.149
1b40524535719246562d2491850b768280e6bf1a,395,676,1308,635,0,0,13,0.154
fe6f37d7a9cfe4716f40542b47c567492a2e72e3,67,29,64,45,9,79,752,0.158
44ed5a938d64916ef02cbe5cef1a52a4d457540e,604,197,3833,191,1,6,3,0.195
c459de5bc092cd64f720a7bcd8c5920fce2378cb,391,56,148,50,7,134,18,0.211
3761bd559889a2cafc1cc0aef5516495d4aaf18c,1366,98,77,105,11,429,2187,0.213
0bcf522c0f9e8f7af98ce659a757384931ed34b7,5704,1000,4671,1196,727,56118,22825,0.237
8d3bb19f72667ac530f1c184daf1a2ccc52b5151,132,30,229,31,4,2,2,0.246
6f6f93bd785d0ce3b1e0f1f31ceaf7d0115394ed,668,365,444,341,2,0,1,0.248
5aa7b626337358d4e412da9c11596e8dcf423634,21,10,6,4,0,0,64,0.258
e768d483499655cc0ee366ae96428415960de310,2466,593,536,963,1,276,3629,0.262
17ddf4faa0b24c40566a08270ea7911222b9e6c4,717,802,104,829,3,6,8185,0.272
e062fd0d4ae0c1bff4f0d679fbc296c3369510c5,158,110,195,107,2,0,1,0.276
f528ee21c6a8ad89c1014fac4f60092541fb5208,555,1235,187,1150,0,0,39,0.282
cfe847e11919f195f7da3969312ad47c99eafd27,478,216,59,148,1,0,56,0.292
d5ecd69605563ec7bd651bc1486aa6526d24531b,97,187,156,181,0,0,102,0.300
1e7dfcbe9217fcb7b920a31ead1cdf671bb63ffa,2472,62,391,754,0,0,72,0.301
c3dd6cf0c58d43e15ac2c99148ef913f97366499,144,45,209,30,3,10,2067,0.309
f5b94046979e9856c912bad6577905d41c390724,-1,-1,-1,-1,-1,-1,-1,0.317
2fb165922e06820a9a7a0eeb8d499cb068c98fbc,662,36,0,37,0,0,3496,0.319
7d2812c82661c18db1a2440faf16a80f4f922e24,-1,-1,-1,-1,-1,-1,-1,0.323
749ab9bea412543e4e5bf0f1e87bac24e8720289,-1,-1,-1,-1,-1,-1,-1,0.340
ff3335c6d35823aa5f4e5137ba896903aa6eb898,375,59,432,40,1,0,7,0.358
95ded416b69fa8485cc2fadad6de5ac32d01ed3b,80,19,65,11,6,538,134,0.361
30b01c5467d71d765cbdbc9f85227aa7b33203b7,375,119,293,151,0,0,94,0.363
3c6c79d51306ed1bf299b0c85209b74c7163c2db,201,71,41,67,0,0,584,0.366
61a1c89646566a09a86b8777635d1ebd55bde6da,106,38,56,34,0,0,0,0.368
2f0d281d31cf5f5eb33d24b9f2659f2c4f31dd92,957,193,0,185,0,0,1,0.369
