id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
6a0a56f6434b4b2db89a9457c72623b9ffffa71c,135,15,53,13,3,26,3,0.002
9e88e79dbc59e1db798aa7d2f128dfef0146aa43,95,24,91,22,0,0,197,0.002
d016f0523bbc22ddd827558499b1247b8a50264e,142,4,41,11,10,140,101,0.003
7038a36911497b7e43e13afcd6db31478eea9ae8,2869,112,22,458,0,0,244,0.003
af49181be199e7645f91a7cfb4aa4678db2ccb4f,8069,70,1622,77,0,0,11157,0.008
f4e9d174110c2cf56df5fb3b4143b6b90e6ddde7,1432,759,1829,861,19,456,1965,0.009
6ccfa10a777b719adb4e0dcaff768ed46446fc72,-1,-1,-1,-1,-1,-1,-1,0.009
478f283d5dd63a3d943ef258f2b8aa2112da53e1,48,47,158,47,0,0,40,0.011
c60740d86cb5d2aee0ff3b92612dac6f96dcb66e,180,134,206,124,0,0,1493,0.014
6ca343e6d21ecf5299c233fcc76be76c20dbc2a4,240,87,86,79,0,0,152,0.021
7facb17ae4f990cc932d44a461da805312e2828e,-1,-1,-1,-1,-1,-1,-1,0.023
1955103fe44e96066725fd331abb823b4ad4df00,-1,-1,-1,-1,-1,-1,-1,0.024
a184507cf250b4d3ae9b358a399d6126615a0ac8,484,120,207,121,0,0,253,0.024
42c9cdd7865ba4da229250ae5393ab80592be21e,448,373,425,360,0,0,128,0.028
18b8c1e96faf91bce927076104236941db654cd3,429,95,250,94,0,0,447,0.029
4737799961c29b3aaebb15ecc1c6144bad6312b5,2328,46,265,44,5,60,338,0.029
64a1e494c66cb9a7b3840dec0bbd48c1a391f245,-1,-1,-1,-1,-1,-1,-1,0.030
05e9a6bdd1ea692d010aa358ad746a85c6386ef4,906,92,469,91,0,0,2104,0.031
0d1e8de6a6e04f6f5e3dfdc6e6068afbc3c57e79,136,38,171,37,6,174,1515,0.033
15d7015d59565f4f3ad963954bb8c9dab18dd73f,-1,-1,-1,-1,-1,-1,-1,0.033
0502083d68351ac6048b9a4fb047f14405b871de,-1,-1,-1,-1,-1,-1,-1,0.033
45cd709aa09059387d21ea70e3484aa3f3ccf278,508,124,335,129,1,0,10,0.033
ea58a2a35cae74678b00c2bf08aef3769290fdda,340,260,177,250,0,0,405,0.033
fe3e41430c03528c4f0cd7b8d754f3eecb01d68a,-1,-1,-1,-1,-1,-1,-1,0.034
3151c0cd635fb4316251a655483bbdcb0f5c54ff,-1,-1,-1,-1,-1,-1,-1,0.034
d6c7cf0b2a5be287ebb0ad52dfc6fc1a2995da6c,155,83,230,82,1,1,29,0.036
8b9839313a89a272ef1a35c01505a909c0e9f62e,-1,-1,-1,-1,-1,-1,-1,0.038
c7e1b1b390c37d36cb4bfd4db7f7e1d673fc86d3,118,215,29,147,2,76,318,0.043
e2f4449eacb31c5a4d24e19c7b2834ab3f5fb0a2,214,118,488,115,0,0,4,0.047
ffee0d174445d54cf3a5668827c8bde068a93877,130,226,88,223,2,0,527,0.047
558ec51b5cd20889e901db6a773b095f0c3728dd,790,88,138,86,0,0,11,0.051
267668cdb2a4d5d1e6c69041a0841fc5926aa765,135,27,124,26,0,0,88,0.058
6fd8141e0f2f4ab4ddf6585020487a950ba50c16,128,161,162,151,4,12,557,0.059
1f89a8617f2dca23a4c39faff3621eb756925a0d,95,129,259,108,0,0,9,0.059
966288cffd6b33487acdfbe3c375b114e6c34c41,-1,-1,-1,-1,-1,-1,-1,0.063
5f32e8fb33d8b12ceb2408441fd102d2e777e162,155,103,705,91,1,4,160,0.064
0fcb1f85c47aae0b5c10ee33ade147332c3feba2,1100,24,243,39,0,0,7,0.066
3c8443ae77f98986b60f3f0a520074133a679768,228,107,84,99,12,150,1310,0.069
0062c028e446612c2d8b1a9c6b38541dfd1b9456,301,227,192,218,1,41,69,0.073
3aa0d1334b69393bbf101845ac5b1ffbffe8f385,788,898,147,886,2,45,2313,0.075
7b28db90d4e512ae53ad363d7288555bc4165196,158,306,194,294,0,0,61,0.076
5f76cecd6edf776b4e033416eebc660106ea8ba6,-1,-1,-1,-1,-1,-1,-1,0.077
b7147103f05dd494158dc23759980379fb127f3a,54,133,646,129,0,0,28,0.080
98cd1a7cd5a52925fcc25b92dc1e28801e0b4e0e,332,62,73,61,3,0,16,0.082
f5d3a127557c7548542b1f31f74c032ae9d2897a,128,25,137,24,0,0,39,0.084
3e62244076513808aad824923dab15355f8fa8b3,170,47,156,43,1,0,22,0.085
0fcaf4a06d8efbae6746e3edf39b59676288fcce,59,50,143,49,0,0,3,0.087
c4f554c1e15832acfa2862e7c2ea99975ea09fdc,630,337,157,317,1,26,3988,0.088
9ac424f1a2919ff5664b578a8c558f265f6ae3b0,203,327,191,318,1,1,17347,0.088
f4a292b0323162ff2124b6d33e3738bc44ba3b40,-1,-1,-1,-1,-1,-1,-1,0.090
360b12f5a7b4867442942bcdd9db288225a8a44d,633,172,333,164,0,0,2481,0.095
74df9c9ef24d0c54a3ec81728dae611a6528d21b,-1,-1,-1,-1,-1,-1,-1,0.095
b33e862d34d55e72a2ebd1b97ec1547202064dd9,-1,-1,-1,-1,-1,-1,-1,0.098
75226bd6b7b23e95b3e341de677ded1b76ffc7f2,109,51,114,48,0,0,5,0.103
c03515312817ba40e4a58dbf7827de9e0e985e97,193,80,133,78,1,0,11,0.108
9088ff4f20d3e9d7d8a1abfe9354e6dec2269449,-1,-1,-1,-1,-1,-1,-1,0.110
4e2ad1bf088a6675667d6f93e5525b7f5c3e8c2d,109,43,49,41,2,5,399,0.114
a3c9f24b09c30ee090ef8f88fe7ab3189dfed20f,90,104,184,98,0,0,746,0.115
d2f8dfb0fa26a34f33aaf4d1180a26e8146a90d3,118,119,195,109,1,0,9,0.116
60a4f53c6ded535e17f2359cb0ac1c90bc34ce88,-1,-1,-1,-1,-1,-1,-1,0.117
cd64962a4146e40248578d1c16f35ae4be1e42fe,182,80,49,76,0,0,592,0.122
62e8c4add365bdc29aa3f0419c953e5e5f8efb5a,914,74,486,71,21,317,278,0.126
e9ff6373905d80e17005394cb0e778ac2172e413,39,83,2036,76,0,0,2,0.135
9490a3d043e536546481a58de78273ab0459cf02,182,28,75,31,1,5,42,0.135
1a04561a4b79db9c6dd12688838a97adfd9f433d,263,259,635,251,0,0,20,0.143
589491e02a65fcc716b715eabcff9e6cf92d7363,6201,214,633,322,14,186,2276,0.149
fa28dd74f045b7b522f41cb43e77334bcf5133f3,253,191,429,301,9,756,984,0.151
c80ba05197ac527121dce46d53dfe581d43e73ee,423,482,190,444,0,0,20,0.159
237fda699909baec2c5688532fad46c26099eee9,276,28,223,28,0,0,7,0.161
970fdad346b4663b22b60f174f2d7d561c5fb413,742,174,69333,167,3,34,126,0.161
ee566bcc228bf9b9ce73706a7ebb74166be3f5d7,172,61,250,59,0,0,170,0.162
6e636f106b2a77efae932a7f33cc784a3e266044,446,82,102,82,5,199,760,0.164
eee66f6034dee492338b28b7d7c4487fb1305910,131,146,149,143,9,118,144,0.164
9cebff06a3571e7df6c2774b26a474181222002d,121,1,3,18,1,0,14,0.166
d8e80e189f6ac6bb65f97113e556a03d95f6c786,0,29,81,28,0,0,9,0.168
e544a70ac5b1f9b48ae20517aac66d32a8aeaaef,1520,11,45,11,1,9,484,0.168
4eff76be9af26525bb33b558c3fa3d619d812a63,63,212,161,193,2,5,15,0.171
5d8826cb20f030df5f89f7075ed84f8bbbabf076,-1,-1,-1,-1,-1,-1,-1,0.171
a5f6bb42536f2b2c46a3f45a8ccce38c99492b57,208,112,99,105,2,2,184,0.172
89bbf68159a390b965addd73560537fc1f0eab10,97,108,232,105,0,0,79,0.178
2e6d6fe436464a1afeefb7b44d316d6215ff892a,91,332,166,222,3,59,3507,0.190
4dbec49979e9579fea28e3ad34785dc4eb6a2af9,63,5,50,6,0,0,0,0.202
5b00345cfdab7f263e7c7ace391f3a211c8ff56a,172,72,288,71,2,9,299,0.206
b2f734eb4fdd3765ad376c34c346b28bbbeb094f,699,277,348,305,4,115,708,0.220
70cfb13bf513702840a0b9e8db8e4ea56e3d3b8b,211,1,681,1,0,0,0,0.221
b3b537f25081575eaa3cfbc2a6ea463ddfcfa1ca,554,56,116,61,0,0,877,0.227
098aa2eb53a5d767a6fea968d8d4812f97ab53f6,77,40,63,38,3,12,168,0.227
4b4a1014139e51a6ff6d2f73552b1b87e5b3aac8,256,46,41,43,3,0,82,0.234
24fb497bda0cb05cd712fe21c48fba3117b6606c,154,74,199,71,0,0,22,0.236
41c58afce437aae11808481b1ac75349b739f8fc,237,51,122,51,1,40,328,0.247
894a099d493faeffdc281d89352a7f6ac44da48f,124,10,82,9,0,0,3,0.251
ec603626806842e4e8ae6ce43bbdc936a3bb317c,182,116,160,107,1,0,39,0.251
989dbcee98bd51ad4af13035f237ee494339bdbc,118,75,139,71,1,1,28,0.253
3f96ab0fc36da8f97bf5513ce0184178ba230f78,560,54,47,72,1,33,8,0.254
0661045f75923cb93242901183b86bb60596c176,365,1225,291,1173,7,235,10367,0.255
e8a52bcdcfbf9ec9a355d9055586b9519123c1e5,92,56,0,53,0,0,17,0.256
0ec38e9ffdbc269dbdf36aaa3b322a8055803b01,-1,-1,-1,-1,-1,-1,-1,0.264
a0667ce0edd5bf5f434db0e50363e81c8f9c1d4b,-1,-1,-1,-1,-1,-1,-1,0.268
37989c2c8d266720f0c441c5d603957cd863ff18,113,92,143,88,1,7,3,0.269
12922119c6f43e98fc88a4ea01f016a87642e7dd,-1,-1,-1,-1,-1,-1,-1,0.271
7ea707b735f62d7e2d7861eb4454aba20ae922f3,-1,-1,-1,-1,-1,-1,-1,0.271
f8eb2f29b7f24032f8da05903ebddc19e6362546,140,241,46,233,2,0,87,0.278
4ee8f836b2d74d46bffce7b8817155d97a322058,137,16,88,15,2,0,13,0.286
bc65ace65afd28477a22a6f1304c93662545aeac,-1,-1,-1,-1,-1,-1,-1,0.291
bfa87e810036578646cbd6e96aa8e371cd8720f1,95,155,108,149,2,43,13996,0.296
189dbaff37013008bd07e10d04d6b884be3cb67d,802,828,222,566,1,0,301,0.297
f258ec8705cefee428e80a8f5877523288b07613,131,358,1060,342,4,1,1009,0.300
51fabd9683a4635349c5846760f2be999840acf7,391,134,94,130,4,25,7,0.303
0befc75ac3ba866e4a3ec5d96f60aaa09a0183da,265,80,231,81,0,0,202,0.306
a59174bbc7ad5ac9cc5f8674afae633958aa26be,625,79,196,79,0,0,40,0.307
c2b38c8bf047c655a2a2f79e472b9b254b1c31aa,-1,-1,-1,-1,-1,-1,-1,0.309
c01351b1dcaf43449fe059a3d5ebfd20211fe918,74,52,1070,13,2,0,2,0.339
36968b948c48d6508a1639bd7fddd35af2ff2ba7,-1,-1,-1,-1,-1,-1,-1,0.351
7f6616d5852861f1dab70af9554866880c351b88,137,42,21,48,6,200,109,0.358
2b299b0624fe4fe20fbb4efc8b9939ae7440c2c7,264,68,311,61,2,9,86,0.361
411256a4d65ad6a1bfac95460983b23b791cc2a4,214,41,59,43,0,0,3,0.365
ba6358716973c5ab39c14060e4339c566c7bb639,111,46,63,46,0,0,16,0.366
5a52c2f21a2bc1f9afef8e80130885add8664bd9,168,28,36,31,0,0,8,0.372
0e52534a0186e50e5eeab0ff14e6256dc38bd195,185,111,163,63,0,0,57,0.375
d216cf47f15467ab60462753b9c1270314f7d93f,202,61,26,40,0,0,40,0.375
aa752053bba51916fc9f2a899df5237ff75695ac,-1,-1,-1,-1,-1,-1,-1,0.382
e1d31d54a5a02daae62981bdaa9d4ca089e778ca,255,117,202,107,1,0,96,0.382
8596195180d2620f4ecf60ec2129a7653d1f5d62,44,11,164,9,0,0,656,0.384
b9f6324bb770ba5c9f85afdd7b280bf22c2bf224,-1,-1,-1,-1,-1,-1,-1,0.386
58786a7768457a33e416c57b7249a8b3967fbbfa,356,57,0,208,0,0,12,0.400
5450c38c0778eb7dd91e7e0eb0964c44c800c016,59,52,57,49,1,49,20,0.401
861b1da588c801202cfc84027412634f5c3e0789,244,206,227,162,0,0,3,0.402
7610671ded2a043dfd7f11f2b27cf9d0068b92bd,2483,21,50,1278,0,0,38,0.412
8c1414a658356e713d492520dab5dae3e9366456,176,26,47,27,3,215,67,0.417
82c9ba8177af45a4e3f546ee057ad740773c9d69,160,97,191,92,0,0,17,0.429
fa9409c93764ab11e32740d57d03a976d62b974b,287,57,97,54,2,50,28,0.432
429909ba8b2e044d0faf103676d5a67f27c7af38,313,104,160,64,0,0,619,0.435
ab0d85af6cf677e334ae549db69f86e606a1c40e,121,4,56,4,0,0,0,0.437
63cb4a335c54ee5224823ad6a38803356b36bf62,87,90,64,89,0,0,0,0.452
3a4cbfc774862e87777c0b1e5c899e2ff183cba0,140,-2,35,2,1,73,23,0.455
935a4f770b22840b8e48ce5fac160f917a23699f,-1,978,114,937,5,584,4,0.465
cc5d7434952f06dc3f38d10ec730921495382818,-1,-1,-1,-1,-1,-1,-1,0.474
c270e36774e6a8d8e97e167a7fb47ede19076580,307,7,1499,395,0,0,27,0.475
f1979ee41fd07d585b882acbde9bf07e87effbbc,-1,-1,-1,-1,-1,-1,-1,0.507
6c9d337cf0c940e077176d157c4f016c5493b0b3,9994,78,18939,60,5,309,2727,0.514
030ceb368ace62a21830319ed99ee534084749e6,199,250,51,129,1,7,250,0.514
4a8f690357cee3b721fb0334dcb25bf8f6a2cee5,1762,11,218,104,1,50,65,0.514
dfde1bf11aa471c7f53b5c215220758e42554d3b,-1,-1,-1,-1,-1,-1,-1,0.518
422d8f0a1b7469e26a5783bb1e55e963867aa612,111,91,14,52,0,0,10,0.520
f0a2fc1dbdaa040aa9f7800a2382bfc39ea054ad,9,41,15,33,2,0,1,0.522
c528ba55b383b8ac60997f75789da5a3aa396e4c,56,20,73,20,0,0,17,0.523
061db265c4d845b1f5121b41a9add8cd2a3979e3,116,65,8,57,0,0,44,0.538
ed2bd33b6ce049f5ef52f57920c764a90a73ae7d,-1,-1,-1,-1,-1,-1,-1,0.538
f84ceb1dcb94e4d6cef5a446d3d8d3b5a3732218,227,211,114,121,1,0,7,0.541
35e6efc716580f22bdaa8166193c3c31e38f0ae6,1007,7,63,174,0,0,44,0.545
1bc6f2345f3f5e28e3899defbbdd3719fd4c3081,-1,-1,-1,-1,-1,-1,-1,0.550
badc6d6eab888e5a4848c93e4e0ec614ee702290,98,90,42,85,0,0,102,0.551
6a433da7dbb4417dce848889065c9c054ea9d998,86,50,85,50,0,0,5,0.553
6e99d93e2aa056dee413a930a9810d56ea323d14,149,245,25,185,1,0,229,0.569
