id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
ea711c79976a1b9f0a1e4c8f8143f1f57c0bf3a6,-1,-1,-1,-1,-1,-1,-1,0.001
3a4b45ee9be5955619cc71738baada8570243ac5,1923,72,10711,73,1,0,3444,0.001
32c2a72848a68579b4194eeacc88067b039eb3e0,151,6,25,6,1,10,64,0.003
76bc996747b302b4140ecc09138ed7a1f402b604,512,33,38,34,0,0,1299,0.003
5960465e5f4bf3d3560007f98a43108362bb162b,2466,29,245,29,3,169,1866,0.003
e65f3e7b3a0559c8851cc9418ee364d93b71ab5f,251,26,36,29,7,183,66,0.003
f39778c385a0cfd0f3f4585d5709923164757d38,1850,3,112,2,0,0,113,0.004
ff68331cb18d9c6bdb43ee2e78c0bd516cda762f,309,84,144,29,9,248,784,0.004
9952bdbc625bc3f1a4f52377066b9615a90d694d,589,46,11,27,9,366,37,0.005
d8970f95b81413c5f88ebe1fecfcb725801ee3a8,1006,82,220,74,0,0,883,0.006
6e8b6d641b4543ce99f6a36d755f62f028c9a0e4,536,190,290,179,1,0,166,0.011
2d9a1bb71f094e390651a348836132b9dddfeb24,208,135,340,126,3,85,461,0.012
8cd3e0d4ab3c0b8862d6f352e5ff04bb1fcfc033,167,73,71,37,0,0,0,0.012
5a716fda8f33b34e5ef5d62cfb64891394052cdb,3228,105,2607,96,24,519,3013,0.015
3e47adefa454b703cc14c095fc34ef21bc05dcb8,2919,41,269,16,3,85,218,0.016
053af434a365733296169b0bd2e2a3b684a3eeb0,200,158,280,151,1,41,238,0.025
4fcfe468a9c8c329888d07ab51a41255ce6c5424,960,-2,327,37,1,5,1075,0.027
a8a57e93241c9a51a2c114ca81180c7c7433a65b,580,220,208,126,4,74,226,0.027
f7db65c61abff23b1d15ecd0deccc9258720f4c0,166,48,919,46,0,0,617,0.028
a8a7a7c86c48dbfd12ce614fcb7a4d8ecd2c67d5,520,70,235,69,0,0,155,0.028
0f355ba19056533616e3e92e0c64277f09f66e47,1224,90,33,96,133,16306,4611,0.032
127add9fd29ca3fbbea5f7e04680f22901426537,-1,-1,-1,-1,-1,-1,-1,0.035
f040082c6dc523bcd569cd712bfd38e330c96a37,-1,-1,-1,-1,-1,-1,-1,0.043
aa40a0089f91a5c475ead0ae85ecd022b5cb5059,966,348,192,196,1,0,54,0.044
8d44d8be5e0e50098fbe3c1c2a120a31f5675845,622,63,129,58,1,2,581,0.048
5bbbe06e71b510062a67824e326f08cfc99b85be,259,35,124,35,0,0,6,0.048
9f8e349844dd1bc1ab1b2c91991b2d130791064d,-1,-1,-1,-1,-1,-1,-1,0.052
04d551670c8bb0d716822d7d2da1517ea3b63bd6,303,33,221,33,0,0,22,0.058
ad84d9345e5f4e8e9255cdd918125f5cd2b01c26,271,44,142,44,0,0,4,0.059
deb7f5fe01ac524004f6b06093687135d6041138,1262,168,148,169,6,306,101,0.060
769d34a1e10e1d1a90632cfa40df0fd35d782cc4,191,415,72,393,1,0,0,0.064
5f1eaf5ec915b4457a1a1e5622819e17279d3cde,865,10,104,14,0,0,249,0.066
bb952447261feba6ef5d9e00422a4010a38992b3,492,360,128,198,0,0,2057,0.066
a930797fc3afcd9b1d692cfdff4b11f4aae44680,-1,49,86,47,0,0,8,0.067
de4fc8f64f569bce19d13ef567cfeb172b14c096,733,81,549,78,2,30,52,0.069
b4e80ee112311f55687534adb5539b05530dd2a5,173,57,132,54,1,5,8,0.069
03694e4dc5b0cf7af92c9463d6a3d3138b032f37,358,106,183,58,3,56,60,0.072
351da4103aed466fa6f7e14a4e4fe1c382727e9d,140,61,17,57,1,0,65,0.073
0f0aa03337f06a17d0f52a95d35381b4419d460f,357,22,117,24,0,0,2,0.074
f6fe2918cab4847d9dff25f785b3ec007c84b48a,790,118,373,117,0,0,2018,0.076
574ef98380d5168b591d2a7c694fa18acfa581a3,52,1,23,37,1,0,1,0.078
9d9833853c53def567abf96b5e7a9513563d9d2d,365,159,369,154,0,0,36,0.078
f3a197069742ae2933ef6f36a4e3eae28ba3774a,280,43,96,31,1,0,44,0.079
e4394b34fe8d7b7d0c0c37605d872f180d109eda,284,110,185,105,1,0,11,0.079
3fcd0e4c202557ce85cbc262e0bac7bb9aac2a88,492,204,306,112,8,483,2930,0.079
ee9aec9c78078cd7c688f807ab8e942e91161368,297,140,343,133,0,0,345,0.082
412fd738df35ff4f38551a2db420167df2456ed6,222,24,138,8,0,0,875,0.088
ae9142eb14bae96af9c2a072b693b0a5c718e563,279,70,193,69,0,0,5,0.090
011091be318caea4e93caf299baba08331d22bc2,302,43,173,43,1,0,2,0.091
436185953cd6a6536d62b71dcf4a692fcf941d6d,463,132,67,127,0,0,113,0.093
b242b34f167c8e9df77403f726052742844a51b4,1742,364,65,329,1,0,70,0.096
72024cd1adf46993c8829d0b19da00307f662896,494,155,65,83,0,0,199,0.098
1162a797b1b9e5b2481af12cb97a56521060962f,-1,-1,-1,-1,-1,-1,-1,0.099
144848d60c6426a20d0d4e00a0ad575474100270,553,41,61,43,1,12,730,0.099
341f5cc963823776d26a8b3aca85ffa34f52eeb2,294,688,173,578,1,0,1203,0.100
e6e309f37d9ff536c4d4c62e88432d0dc52a80ec,156,187,115,181,0,0,6,0.100
bc3f19668f3b386bde5e9f8dce4ed389c7a6860c,-1,-1,-1,-1,-1,-1,-1,0.101
e77aa63d8abc93aeb4c28d7fa14348cb9099e4b8,560,118,235,122,1,0,273,0.101
8dea4eff0ce7f9a5fe36273623786739c992390b,103,70,110,66,0,0,1,0.102
0ecc650ea46fdd87aa059f81db2915ecabe4ab9f,207,24,144,21,0,0,6,0.105
352b2957beb0442b2d62f5b63efbf595ad189062,163,165,277,159,1,0,0,0.106
b0292d06edd0587d06c6522395ea8eb8b3d7f781,330,23,277,21,0,0,21,0.106
919979110400968984cba56ef11602a20c8f6c0f,-1,-1,-1,-1,-1,-1,-1,0.109
e6d000e56373a5a343dfbb0ec95165b4bf737337,430,316,935,278,0,0,124,0.109
624acd6e2ab79bb099a2b3bea3480859ccce2ce9,319,172,78,165,2,0,0,0.110
d8c64b241a3b5b2d4baa4382e58ec4e3060d0472,219,22,0,22,1,9,1,0.111
4030f06d865862e0fc2e2902fe0b926ebb27072f,355,223,113,217,2,3,111,0.111
57614b0e23dae6745bd4b43ae45f7558e2161886,532,335,426,326,9,37,1093,0.114
0c05be0641f58842e80e9abf29385b36531424c6,165,93,46,50,0,0,3,0.114
c08819bf2cb70cd89bd806c44c82ffd77aa1a65b,262,79,151,77,0,0,11,0.115
9b01d3b3f958e92e21afd03d229611650b893834,228,40,165,38,3,0,14,0.116
5a55d9837ab4168f1fc69edab12a7ace60d68940,978,96,142,96,0,0,1095,0.116
0f16b035f6fe956999a537c548ac58c7414b5213,-1,-1,-1,-1,-1,-1,-1,0.118
13cfba4be2874ae5210b9994a9a617f871a0c33f,-1,-1,-1,-1,-1,-1,-1,0.119
31fd1f277d6f1feac1619549327a8c1379e91cd6,250,222,77,224,1,0,37,0.120
9cb77d719e511c614c62e1219941560a511cf284,133,34,12,33,0,0,6,0.120
00ee43532796665b24af783c6ae0f18a6d2e17d0,332,0,117,0,1,4,3727,0.121
44e5f3d8b694216d6fb4956f0e7ad8050a8ed177,969,53,445,53,0,0,171,0.123
d9c6bad847b9a553d91552faaa8698e4ea2b2af2,-1,-1,-1,-1,-1,-1,-1,0.123
be94a3b935015729d2855913543f18ba13daa8c5,-1,-1,-1,-1,-1,-1,-1,0.124
ae667a31b46e08e53f9308e44420fbf9186b817b,189,15,80,13,0,0,0,0.125
63da9f30583b5486458b83a6dd492ce26ed72804,-1,-1,-1,-1,-1,-1,-1,0.126
4390ab1efaf2d82c91b413f302ec414b240a502c,206,90,86,91,0,0,2,0.126
080a30e193c4f00ef353a4ee35484ac413f19956,204,68,57,69,0,0,1,0.128
ebf932e86a74443a5aef49a89280f4e8a0f3e6a5,449,96,80,97,0,0,49,0.129
ebfc9da91088a6c2f3002710aebe560d7fc05057,-1,-1,-1,-1,-1,-1,-1,0.131
83e9d9ef7c52cff9ad9cb3b407bc6e5dbf212ad6,363,191,159,189,0,0,104,0.132
0b8e54635506e4b77dc6a519627399bc81fa0204,125,13,41,14,0,0,15,0.133
bd4888c546ce6797576db6e99015fc6e4189a17c,661,183,119,199,1,0,605,0.135
a5a1bf009267ad9d0996ecb228adab8734b56ba6,359,53,160,52,0,0,0,0.136
e92445765489cb2161cbccde2414fcd8b452c57f,499,218,177,208,5,1,161,0.138
5190446c2a00beef4bd7f00efe9d6af8c02c19da,522,227,581,186,0,0,60,0.140
e2574c69104fbe52c8de1c27bcff81df90606a7e,-1,-1,-1,-1,-1,-1,-1,0.140
7858af2db700a843f556f0bc5234b8bb3f99df39,306,39,153,40,0,0,58,0.141
97a2c0ab1a52a9a76a3b175928509234cb82f6e3,346,140,27,158,0,0,456,0.142
fe99eca4c71e27c4aab0b7d89050f1fac660bcd4,523,262,103,248,3,0,71,0.143
cb6d98249e66cc4e9585da7867d2cd325afe1ac8,368,77,377,71,0,0,7,0.143
cdd020548b79b36630d4b7615d00d994c99f36f8,534,159,138,154,0,0,44,0.143
5632e6affa74e8f9cb822d84d8615269154d6f66,4174,275,647,267,7,231,5334,0.144
c4dcead3858b580ca086f820afbded1a9ecbde04,104,39,19,37,0,0,9,0.145
5e62ee1e5f681aa5e6c47bc9efc91aad6e844c75,291,149,372,148,1,2,2,0.145
