id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
01a7009ee35638d551680cc11cc4adafdc753156,249,83,307,78,2,56,422,0.002
18f4a724274ae949c0636501d291ed713d3ca041,261,18,123,18,1,3,426,0.004
c97d478d76a5cb8c36868701d73e8831f2538da1,475,95,220,26,2,15,1639,0.004
40ee4020bd8e069c147341a52578fd3106b0c2df,1057,283,6182,268,4,219,81,0.004
0027affe59d2fc54c74d8b4a13cf312250c0590f,1000,67,178,66,2,32,72,0.004
25040c9af604358d86eb7ec5f618c99c244a3b12,131,41,76,40,0,0,2,0.006
8b73e6d576012d3932f2894ec39e3fa4cb21342f,3668,131,743,145,10,2034,7251,0.008
a229a95ad9cbc396ad7d4efd1500eccdfe0fa531,616,47,508,392,2,37,362,0.010
4f1690de0bd8ae02209cd25a791c24c4507454c7,793,88,195,97,2,3,770,0.010
c0ac78e7eaa4d37b518701e244cc23a7157f3621,-1,-1,-1,-1,-1,-1,-1,0.011
cd13241425db4a94ddfe8e2b20e0203a6484e5b3,122,9,1229,9,1,91,203,0.011
c925de61a948ce3b549160c03a255e5dbfc5b327,-1,-1,-1,-1,-1,-1,-1,0.013
00400be2df188ea54d6dc5b14fa77bb4a6429039,-1,-1,-1,-1,-1,-1,-1,0.013
0592a2657e770cba7eb674140b6c317af9e6736b,91,77,53,47,0,0,520,0.014
a4a89d06c51ec6881b06006d6fd4f3ba5bfd4b4d,-1,-1,-1,-1,-1,-1,-1,0.015
96027bda6df2511b06587884a29ed11b54bbd43a,671,35,167,34,0,0,20,0.015
8168d9cbed66ee2f900c601d27fd03d96b86ebb0,100,115,123,105,0,0,68,0.015
bb66a53a9646b87646d72f52b74fe4112c120c8e,736,163,258,163,1,1,416,0.016
7950185639b763959beb3055ac78a6421515d5ef,-1,-1,-1,-1,-1,-1,-1,0.017
bd875074fb857c764a004df06566a017a141c733,-1,-1,-1,-1,-1,-1,-1,0.019
e0e8a5b76e3b3cd761f25d71ac47f3fbff69e1f9,4184,9,382,9,0,0,94,0.019
02e77ea3709ed9dd61261170c308142ac9a05e04,749,191,60,120,19,477,2580,0.022
2875f93798b40898e422fe863b5c983d0e4d0817,8541,1087,116,1150,7,136,1461,0.023
d56d9b5470089f42c3837cab6c448b15af36f4f1,205,48,245,42,1,13,15,0.023
33b15a4974c41f60d0cf9a4d1f5942ba9b4defc7,108,6,19,9,2,31,44,0.023
5c10672e9d3b7e5b8163582474ea58d7831db5f1,5988,53,1210,52,2,5,2735,0.025
14e495afa5c0b5e8b15141b98bbfc63b54872db4,-1,-1,-1,-1,-1,-1,-1,0.025
50a286ddce8efe4597c34a50498358f55c94cdc6,459,744,222,122,23,698,4082,0.027
2d5a66e1a41f69eca8834ed92adb907c574db373,75,167,102,116,1,0,270,0.030
2d6d5835356cea6866d92931c2bd71129b842de5,223,68,270,64,3,85,122,0.030
0883fca934781b4cfc4bce5b4e184958556e0fe1,1759,502,2873,464,11,3560,2270,0.031
b052dec949b1c89743974833a27da1512f9012e9,-1,-1,-1,-1,-1,-1,-1,0.032
8a904512f61b7ed4d4a69f19c159c9017c59837e,239,89,144,85,0,0,121,0.032
e67bd6449204025070f6271cb51157595c0da507,3789,425,819,482,8,1152,4014,0.033
be53c6b6880efe1d5e3100935b875d16df7d1865,117,45,245,29,1,81,31,0.033
9860fce625741ecfac1eb9eb3caf546994876507,48,184,237,170,0,0,76,0.038
349d1626c9de69f575d4c292446f784ab162076a,47,29,28,4,3,4,29,0.043
8045635f83504eee3b598ec6f69848056b7d54f9,392,653,937,607,0,0,999,0.043
c4413586fe19b142d3d304ba7e15b6b50a112869,204,37,63,52,3,11,309,0.044
56f5cb612142aae82a6595582e116f1a67c4a2eb,215,607,409,512,0,0,5,0.044
44d0222fb87527638d1620af2069cd610f2798e6,13,289,123,276,0,0,3194,0.045
c6222fcf46167dece24253c2086b1319e6b6a72e,5180,249,294,1230,2,248,1304,0.045
d8544a42d6cc80835e430c96e4674b7472d57e46,99,321,332,301,2,1,199,0.045
108611c263b7021d35bfacf2ccffa63ae2806343,1127,380,538,352,12,218,1179,0.045
696635d05716263c2e72dc42ac3bf8683c9c27ec,-1,-1,-1,-1,-1,-1,-1,0.046
f6cf86a9cd848463ac61cd498601658bf45a99da,154,286,36,199,12,2151,1052,0.049
7c471d3424f17b92e3a22f69746d43d67224a384,102,236,586,229,0,0,32,0.053
c6a2f17a033207dcea3e5eca01becc0155fd25bb,574,5,283,5,0,0,11841,0.054
9a0b5cd4be45bab27c69ce20dd4eff140393ac11,151,211,273,192,3,33,7449,0.054
5b00d7720572aad30e16c1408d8a032a2f5ae10e,-1,-1,-1,-1,-1,-1,-1,0.057
f54ae174d59b8448d4ed2e94c59ae23178ad0873,2411,50,137,48,0,0,1227,0.060
0d9d6b73bc91306a5f6e2b2370bba3d3c26869b4,-1,-1,-1,-1,-1,-1,-1,0.062
dab80060e3c9fbdcd080b6a0cf298c85026ec3b5,2968,12,21,332,0,0,87,0.063
