id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
7a1ccfac97db9b9a788fc1cba9b08c2f16dd4732,144,68,136,64,9,245,436,0.000
19b8739f8c8192de7dc60040053514bc4f5c8376,650,73,409,66,1,289,656,0.000
fd72763966dd253d75e6db6544c9bb0cbc58a60a,2279,71,757,76,0,0,207,0.000
bcaf5789b07eeefdddae942e379e0de5b89f130c,1860,131,818,204,2,26,834,0.001
fde0e60ca75078447bcf35b77ac96e6ebabe35e5,-1,-1,-1,-1,-1,-1,-1,0.001
0c1f8b273bcf404d3b72fcba71d2531edd6c49a5,1913,63,32,64,0,0,537,0.001
f74ccb3dcb92c75d46caf8d1d2b3d595b75e9aaf,213,16,65,13,1,22,133,0.001
85fa20d404764f6dfe846733ad9ad3db9c573dfa,1769,86,1570,80,0,0,5534,0.002
df58b417b60572a7255c5bab5c8c97672ab0c654,3849,91,0,117,8,1548,15593,0.002
c46a44c356792a5dfac808a8bad501adc85e30f2,47,181,274,98,4,129,739,0.002
1d13ca5d4abecf853d3f590fa7343a93a302f4f9,556,4,0,0,7,581,4,0.002
e03c8d42e35031f68f47ddcf77e0746b200c251a,-1,-1,-1,-1,-1,-1,-1,0.002
9b7f2d8b88d4c6379a878562b293368b74f84885,206,25,50,30,2,94,39,0.002
accff4b25897a20bd8cc5bf33e1dfc24deefd1a1,1250,154,96,209,0,0,1120,0.002
30eb0288dbf266b11067018e4142aa5b3c8fb5fc,63,68,191,63,1,0,3,0.003
4281679038759b493bd1474a6255469af061140e,2385,135,72,139,1,4,583,0.003
1e3e4a757426d0cf5525045a9f7e19c1cbf1ea97,240,9,92,9,0,0,14,0.003
0bf29f4356939655a8e267a7fc5ac23d1fb749ba,-1,-1,-1,-1,-1,-1,-1,0.003
06a1bca5af58887d2f946e88ad1e5342213cdf3b,595,309,347,319,22,900,452,0.004
83a64e03d92d7c549aaa29ccae12a3e93bf05d1f,72,3,9,5,1,1,3,0.005
0f18f7b6f0359d7441258c05b803b4c880c95d96,-1,-1,-1,-1,-1,-1,-1,0.005
3d9b3afecd909bf3ae9f9b233dfbe257b2d73ca4,-1,-1,-1,-1,-1,-1,-1,0.007
f1db7c532983eda664c86468bc119461113c7de4,343,32,178,31,2,150,2597,0.007
e0042e960c6f9ac0434bed73f15409819c7c6184,374,47,82,40,1,16,224,0.007
d8a5d4e97dea873867a21143acd08511a355a189,9736,45,2979,46,3,155,3723,0.009
8b16dcc942a6ccd5e337b9f7ffeca8b70f969b59,276,15,77,16,0,0,2076,0.010
8a3cfbd4e48e38b069c3a91b79a6b58a039858f9,-1,-1,-1,-1,-1,-1,-1,0.013
2e30e2002adacd41cf0891954e39c1442191fcb3,5018,51,2061,1142,3,134,1052,0.015
0b801d5dd911a06fc0c0a7e70596afbf91b8202f,139,56,297,55,10,778,1275,0.020
5c9ec0009ab5d2e4226d8ea579aa097cdc60f42b,2193,37,288,24,5,167,2154,0.022
fd6d07894a8052dedd59d1748649aa37c20f6c7d,127,48,2,49,2,4,22,0.022
7f380c34c2e7dec147b28ee6e334ea42d7d3e92b,8058,31,4506,29,7,227,1680,0.028
a771e64a280fdeaef26f7ad4cee34d318256abc9,-1,-1,-1,-1,-1,-1,-1,0.030
d34fabad5baf2a9e4b3b3751eeba12fdc784be69,793,8,855,323,0,0,35,0.032
8ebb7fc0e84aae02e3261aea9c63a6f3511cd0c8,178,36,302,42,2,2,15,0.035
11d05432f2874da98a7bf30decf6666a864a1596,65,43,27,33,2,177,1454,0.038
d81c594a679401af18cb0eaeb2738a1ccf5f2efa,357,4,115,4,6,42,405,0.041
e38a2943e5dcbd3509bf05674727892a55d839e6,148,169,35,88,0,0,21,0.051
d8fda133654346874d739017c7fc1b1d6f18a499,8854,248,5731,290,12,425,417,0.054
23657e4ad690ba8cf48fc60f8036f8745100e968,87,39,24,37,14,1035,444,0.059
83b271c70ccfb3b6ee2d713e03fca3a283419077,454,393,224,509,0,0,1914,0.061
932688494f92ec6c1c3fa2cc982fc9177f762418,64,179,13,53,0,0,628,0.068
9a98a3b5e98fa371f0268e78a9325b242b86bdff,224,27,202,30,8,952,998,0.069
1eccfe3fd95fed3a041c0e55090d89b7bb5e1d3a,905,753,131,235,2,91,1179,0.072
244a3debd02469a4dad2ad0587e772e5868761e1,912,878,87,193,7,315,1645,0.072
