id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
f4a000ae02a7d82e0c16f63f3b9abd9e1d3c912e,2394,41,2949,458,4,220,1627,0.002
13c214a7977357a7e548e67f1703f1458855d045,1767,21,323,18,2,60,616,0.004
4f81152eb39867f22256858831809896d7f80cf4,1624,190,720,206,1,27,2,0.004
f257155f3a78a2d0ea3fb7873a7b403f05b51b2d,-1,-1,-1,-1,-1,-1,-1,0.004
5408835ba2531c3e8a6534506137e0ef266147ec,7034,1000,2870,483,0,0,1775,0.004
5ea450c610d2fb606065c759dfd51d4daead68d7,8116,32,3166,473,1,36,4630,0.005
5637700cdba4bc49f9cbf16c70c7a5f3d7b84099,477,1693,733,1607,3,113,5650,0.010
80b675fe7df159714bba55b5d3a6c8edc95efd2d,4624,76,982,779,3,27,3500,0.012
79b8c861da3079ae8931e381d1da80544fd1f99a,-1,-1,-1,-1,-1,-1,-1,0.012
a40bf13f7fd1cb9ba4d52ad5bc8e54e555f0ee91,175,181,405,172,0,0,287,0.014
6d2ca9c5dcac00f4176af9fa67a0850d9c2ba49c,1077,107,755,105,6,300,379,0.021
e46fd2594df76391f33b5f7cad796587fd4bcc76,4200,30,1085,30,4,204,1730,0.023
2991871e999bbb73b82e6ebe7295b5502910076e,2362,86,272,204,3,237,2157,0.026
750be1d342998beb10c77622ccf9530745f8f5e6,3489,177,851,420,50,6158,3878,0.027
4f006c425faf3dd744c4987bb86084217b6306c8,2764,16,2840,23,19,7326,2669,0.028
89de5c41331c38223d1805d474f652fb29cfd4c5,255,15,316,15,0,0,60,0.030
c105a9c07004b457071223eab06e2f95ccfa1fc2,1768,149,197,199,2,4,784,0.031
4a5b0fac0caedf06dd8b7c916bb29ef1aa1b92f0,-1,-1,-1,-1,-1,-1,-1,0.039
e1c07cb8ccb3e2dc5d3f590b381e144f49b89115,873,256,1873,244,1,1,6264,0.041
c54dadd79d4ac7e369b49c8c3af4855d7a4eb463,654,98,716,93,7,660,1867,0.043
ae643f7bd5baeabf36a3c23810e0760c992d260d,290,24,15,24,1,19,659,0.044
3116f44ff0d7b3da7919b57840d61d9b061b927d,1305,33,646,32,1,11,421,0.045
c9a2ab764608156ee76671547e273853b45a18ca,169,72,276,69,2,0,11,0.052
6d8fcadd8e94e4b64573b3bbddf8deaa16e38d6d,66,4,110,1,0,0,358,0.053
f6659632361cd9cda0ecbc05dda72151acce9f38,771,90,300,100,1,86,3466,0.064
9078efdae315cd3efc2ea06108fe405fa260faf9,4893,220,1282,208,14,293,537,0.071
4059a4e50d963eb9d9243d94ffca6061d5fb38aa,714,5,6,5,0,0,12,0.072
c72a18bf0467058c2e3a0f002fb20e73463cfb99,211,670,316,566,0,0,4,0.073
7595bb36c01d8709465c1049788f4e86ac1f2a18,3070,331,2267,355,0,0,2790,0.075
3db057ca57c5ad6a1028ec272fe7175a35d70b61,1283,137,37,133,2,61,78,0.075
6c0f0142c109bb08999c709a9e7dc209246b4d6d,147,112,996,110,0,0,13,0.077
