id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
0047b9e4e69941cd9a5d924dae94255636c24b07,269,86,655,95,0,0,5705,0.000
0d4917c835876c7e0ff1a93771ba979fa494f98d,220,94,104,90,1,20,3758,0.019
5169405c2bcaca5465fe069fc12ddc8261ca3c88,171,19,1000,18,1,3,0,0.019
e3047b5f76ca5affbfb7386e62157f4e35ef678d,268,191,266,185,3,58,259,0.019
b0de43263f23dbdd8141085c7fa39f4ecc96e43c,256,149,160,37,5,85,1918,0.021
563eace1ffc0d73882c760be62fdd354da659245,101,199,131,26,0,0,13,0.025
4a47ff5806d22765b68e57d619660d3fc92cdf07,169,75,1469,76,1,124,647,0.028
7f9d254a08750701977dc9e5567e1c1317e4bbfd,5003,689,732,315,4,277,1078,0.032
bb6c864cb9fe3ec3b330e1a2cbc7e53ca31f55b5,166,2,50,0,9,471,149,0.033
b6620a4406988fc85c19b7f7e3c90e5ead4cc863,8399,356,388,733,14,4149,1762,0.033
79b21e7ff043b63a028874183cd54b648104060d,255,30,275,35,3,49,348,0.038
45697601642446c0bd47e2be65659ec8535db0a3,118,4,78,4,2,4,123,0.039
76eab9b5b43b32df989bae841c919f935939872e,116,7,45,8,2,22,573,0.041
b55939605d9180b8e54f6e569b84f294f21f7c8b,538,586,494,554,1,64,3043,0.044
8fce14d5e9fecb8108c389de6f51d29d9a624abb,-1,-1,-1,-1,-1,-1,-1,0.047
4bd4122dce90de935d56829d123cf346ef2768f8,-1,-1,-1,-1,-1,-1,-1,0.048
9b4fa518064bfeec1876caa37c9bcaa2b8564fbe,108,17,294,17,1,26,109,0.048
a675d88584393d78fbe06d7738cbc0d43b5e747e,849,330,292,310,0,0,1750,0.048
bfd14c3cfe9b18a0aa9165f49cdc4ec4f09da841,235,65,177,79,0,0,13,0.049
3dee5a41c1e106f4230a86a23cc5a1acd682b5c4,392,19,127,21,14,189,26,0.051
7dc62bbd9ad173222df5c02e6d5b034a52b1af7c,533,290,418,270,3,51,80,0.051
b8c702b596daed21a8b549489d41d0eb222efa5b,97,130,268,113,1,13,439,0.055
7a9b9c067b875bca2fe563b0edc4504d1e232cdb,-1,-1,-1,-1,-1,-1,-1,0.056
1c8eb5c993bb6d3c49c752486dd4cf1ae496ce73,-1,-1,-1,-1,-1,-1,-1,0.057
c5592fef8c260dd7dadfc097d5e4706511563ac8,231,182,247,176,7,115,218,0.057
17850886081916b983623aad4eb4d2c56e4435f4,-1,-1,-1,-1,-1,-1,-1,0.061
b3a3100c8cd1355486f4c0bbb1f96dae7875dbca,115,164,52,177,3,0,364,0.063
8c362233276c3ba37d7f8c5e81dfde55d54ec62c,577,74,831,84,0,0,928,0.080
fb5ae8ac5ac5d9b8878fdb7adeb3f6531fedca7e,80,122,14,18,6,257,418,0.084
e3d4cfaf106d4667b695e1e97733fcd25446ec5d,183,161,100,150,7,102,736,0.086
25071e4f7e55b60abc295ba6c640a7879491bc72,166,62,123,59,0,0,3,0.086
57325e0f686e29212b6fa0599314c14354ba260b,598,163,343,165,6,813,2233,0.086
b95d71e23326a5941f5431f426cb361d8f60e87e,112,171,32,136,0,0,1149,0.091
c56701978f2745da41a9d9773e33d366accaebfb,449,499,282,473,0,0,1758,0.091
b4dfc14c80fd1d90a4cff041bc416beba9a4e556,-1,-1,-1,-1,-1,-1,-1,0.093
6b325cb69a40e2dca48e1349dad2121a2a84b541,424,753,328,465,0,0,4,0.094
3da96589e49bc5c4886f2538118345aa4bf8c29c,113,24,25,27,3,27,181,0.096
f3ef417862d642aa30874cd3370559cc24d1137f,269,38,234,39,2,0,702,0.098
1d8aa68363839df93a8cebc41705151dd254813a,85,95,357,68,12,322,3679,0.102
e766f1f2fad582c091c38d8f22d86afb57599029,131,257,118,245,5,89,1679,0.103
f0a1ab905a4c9572b9131bede1480d10f44f5953,783,130,657,128,3,0,513,0.103
b6e872f75d59bc587bac84a41842582f4e5abdc4,0,6,25,5,0,0,3,0.108
2d65657e99b03378f91fac4e512cb213ff095bb5,459,72,540,76,1,18,25,0.109
1d9a7d9f3c809f24bd25705caaabb10df466e71c,577,155,538,156,1,3,1629,0.113
cef041b8c7cef112355b5c818e9051762a139b09,166,81,11,30,6,13,45,0.117
9a96797a24e180bbdfcaa3406340290519a9c536,307,175,147,160,3,116,529,0.119
420c886c1e39b90e7b693a9ae1d2e4b861cb260c,298,21,50,127,15,81,556,0.120
1c513a1875c5671214ae564df931a6c460874afe,96,122,251,123,2,21,658,0.122
7c53548a6f21d2b822fc893a5a738f85c541f7be,-1,-1,-1,-1,-1,-1,-1,0.124
c04096708b8252968f22c3bc6bf1de1713a7a70b,61,113,161,109,0,0,29,0.128
8ae6f174d132d97fd9a2448d948b02a4e8ae4cbd,333,-2,588,484,1,0,4,0.129
515bf7b026c72704483be0274f4ea49fce20b540,242,232,218,229,0,0,141,0.131
9f42789e4a1dadcd88748e26bca25e6a099c0956,76,20,51,19,0,0,0,0.132
41b17fffc51ffd6593e2198dfd429e834e950563,615,79,124,97,6,1,178,0.133
fe047b03ba8497fbd62a21b6c67e89e881f710c1,151,50,131,46,8,161,143,0.134
af02305216d1423d9e429a2e08c7eeca8da646c1,182,212,92,200,1,64,429,0.135
6a5af438cb497a13eac0ae00dee8fdf36c89992d,341,84,15,77,1,0,335,0.137
affef284c6e51cde5742d0a12059c9af5f2ca92d,155,50,404,49,0,0,0,0.141
3065a397a064a3b195899ed42b1673a0cd3b1f04,258,84,1020,88,0,0,9,0.141
8df0acc6e3a6be5d877dbc40381d31f1f7ecf17f,253,66,307,63,1,5,31,0.143
ab3b004c80787c16e5bcce8ccdf1b3f0119a57b8,-1,-1,-1,-1,-1,-1,-1,0.143
01caa9eca3cd1e830299f190232a3d24cb3e17d4,367,74,137,79,6,104,507,0.155
956ccdc4decd302da1db9c95d33416c4ca2ad2d6,98,100,436,95,2,4,24,0.156
beecbb0ebf6285b093f483387a4d6e0b39e51be6,108,4,104,6,1,69,640,0.158
77d8ad13084775a57cc9da8c9a605e83b6069f56,52,10,38,10,0,0,1407,0.162
c3b590f55e93708b6e17da13e3e5452459155c9a,257,151,502,136,1,101,1189,0.162
095d19a1a0ac2b109309a053ccb5dc7979759023,221,167,311,152,0,0,26,0.166
91ea578f7b32937f58dc4cf72eb3d2a3ae8daa65,229,120,235,81,13,355,676,0.166
d6938b3886d7776c22d77c6e63255c2261c6ca03,193,46,231,44,4,289,1953,0.168
af50994a19287c9edd6c849eb154e6e1bffc2bf2,-1,-1,-1,-1,-1,-1,-1,0.168
3ef0e1d88022a3009bb65fd206916980cead7e47,282,92,67,46,3,25,150,0.169
7056a4a4955758926c6fc688222028fa57efb823,176,31,282,27,3,2,12,0.171
655ba34dbf1fcfae0f3e1efba73f4b3dfe62184e,283,697,401,614,0,0,2667,0.183
7cfa38f78b67b1229c0020613e2acba8748a3060,-1,-1,-1,-1,-1,-1,-1,0.192
957a556b54770bc3d66b753d74f098c4da417bcd,-1,-1,-1,-1,-1,-1,-1,0.194
1cbc766a1118a9d2d5465565f360a464371fa648,489,254,320,235,0,0,343,0.198
c4be0da1bf622a10a668346e4ee528cf2e9f55f5,372,136,508,130,3,38,395,0.198
a6d98a867e6e9d605c92e52b04d79058b6374777,17,0,7,0,3,0,17,0.199
e485ceb0ddeb731f18804d763ca89e94329f1ba4,-1,-1,-1,-1,-1,-1,-1,0.200
7494f668b89fcc2d79ef226ddcc357d6fce72d36,266,105,327,105,1,59,24,0.200
c6d666168e25a8c5905957e04459053cadf7a444,356,111,371,108,0,0,286,0.208
71da677160067591a1e22d4a10722de062046c0b,532,560,304,501,2,9,3233,0.215
dda472bd22d8a84e888a1a89af601abe62db873d,153,110,34,99,9,326,1102,0.215
05e6928eb8f151f6a97e2ea61f74284db0e87f6f,927,1145,1006,1024,3,121,3302,0.220
b753da1e751d8b2556e9661af814caf03c2651c9,108,22,124,22,20,39,293,0.220
6d1b6158af82ac029546b320358450cbcfae8f73,397,579,317,538,1,4,124,0.221
875fcb535bb61924b762df90d641affb7bfac843,107,397,326,340,1,9,397,0.222
d7434bfaade658923b319128c2a3bc9af733e141,-1,-1,-1,-1,-1,-1,-1,0.222
d0ee1f4ac1a62ce2496014a1fdb7619d13867a26,23,10,12,9,0,0,69,0.224
a368c395b7afb06bcf32f889a55a0d679ffbefff,-1,-1,-1,-1,-1,-1,-1,0.224
51bd673d83e4d662232422dd3e192e0ed6a7a60c,-1,-1,-1,-1,-1,-1,-1,0.224
cd818ce998b8148852568c31280b58a1624392d0,190,25,527,21,1,6,99,0.225
30661ff538681f24df86cb8abdf56705edaf8376,469,225,52,217,4,52,1142,0.226
aa6a7aaaf84c2da48fafbaecbc9dd96697616325,36,44,66,41,17,585,251,0.227
f5f01237d0e718e46e8d694a2162dd0ba336405a,42,146,265,140,2,20,1348,0.228
b1f7a622040f1061cb90b5a14e01a6497390ea64,-1,-1,-1,-1,-1,-1,-1,0.228
8688001ad426aa567ecd9480763e56c10f6853fb,76,28,136,28,0,0,21,0.229
f8a9cfc9fab01ee5a5fd8149c084e0191a0cc501,120,68,791,68,1,0,13,0.230
0486ede1d9fdce4ded6fe414da003c00b1e705b9,-1,-1,-1,-1,-1,-1,-1,0.236
081ed672b24ed20a5f1dcbf228ce9f0a6375c108,384,135,211,139,3,21,8676,0.246
06ef47afaa5904233c00a8f3fff757d07d256974,161,69,137,68,1,1,560,0.249
ae0a0f2f32f75e8348cc21759de09dbff581576a,-1,-1,-1,-1,-1,-1,-1,0.250
359bf5686e04c46b7ca7b69b6e6853a362da257e,154,29,257,27,0,0,1537,0.251
f117c92eb9f5faf1cf7301b06c3a13456fdab374,132,223,31,209,16,0,18,0.254
4f585cb6d83493d6e00608c799d84607cb12b969,80,129,289,122,0,0,14,0.254
35c7b7e1639cf9f1bc613ff2b91f50bbd86139e3,276,108,320,97,1,0,61,0.254
e7ea65121c141996505330f1a7c0abd74c8f9f68,252,165,189,150,8,0,1373,0.255
2ea59e2c5773043bef736e91b64e962bfe4f2da2,220,4,11,7,0,0,68,0.256
662ff1305a19572333644930acca560cc409d5e0,41,30,37,21,0,0,44,0.256
3a8786bce080a0e9660906a92a7f1e0d2d5c5ffa,177,30,59,38,0,0,232,0.258
33917028c01cedea6d68a5948a6981113467979d,201,173,316,140,10,357,178,0.258
81b94aa2d915913847e2f4f9ede62b97e3586b05,75,31,254,26,1,0,0,0.262
8597fbc63f63894721c638dbd1fc786b0570ff59,174,25,0,48,7,89,260,0.264
9556f257d6b628d18631884176eaed41bed78234,182,1,249,80,0,0,1,0.264
928cee17498ab4166f34bee989b231c04cf3226c,-1,-1,-1,-1,-1,-1,-1,0.265
9bcee11405226e66b4400bd1ad02f28eeeb6ca76,335,147,61,140,0,0,802,0.267
2728975ae415ed3f7d17767db3618187b4b148e5,15,2,4,2,0,0,60,0.268
94590fb56bd76894bca2341cfa9835a051383e42,-1,-1,-1,-1,-1,-1,-1,0.270
2547e0804431f0f6aa8e81c83ba1eb81c61c1289,-1,-1,-1,-1,-1,-1,-1,0.271
209b9d562b4b4a474a772b95c2d93d782061a9f7,81,241,118,218,4,16,16,0.277
3a1cb09a506cbf845af310931ffe8449550291cd,158,144,363,126,0,0,42,0.283
2ea414a83fdb131c1dbec75c3dfc948bfba79b2f,46,134,189,115,1,0,27,0.285
c3cd9d32d9017daa28c3eaf92508d65739c8f4ac,288,151,330,126,3,80,2454,0.294
76a49eacb6120b3c0ac47f188991a38b3cd0e39f,172,745,199,657,0,0,25,0.302
5c20cbe78be85b8fd2fb14ac765a6c6d80567c5a,100,197,125,188,0,0,4,0.303
ac8a4480543b978ffd2067b3bdc32d4024a4a567,604,86,178,73,0,0,3,0.307
4f2008de9eeb59be38e1d1a2b0c7a239d13b17ea,107,130,50,126,0,0,5,0.329
bb9cc2d81edffc63926e6162d5e987f18a0fb718,173,20,111,19,8,128,79,0.330
6900e5ea53612f47bb8bc7dec57cef3a8c33191c,-1,-1,-1,-1,-1,-1,-1,0.340
ab60876acad6f5f0c0516dc56f0758221dd95508,-1,-1,-1,-1,-1,-1,-1,0.342
0cbd760be4425fe15633db7ac282d16be9436e54,116,377,90,360,2,21,3069,0.343
5ab580615cce1f6b3d5c86f7208ac7c8707d36a0,-1,-1,-1,-1,-1,-1,-1,0.348
02e0b6ed3e6098854e66e4158910e04d52e14c34,251,107,181,105,0,0,138,0.351
798e67a1559338b02711ef6e9ea234949c824229,115,270,110,270,2,1,477,0.352
f3e444b6dc917ee31c815a3c7fd9ca48ac14b4ae,326,58,23,54,10,10,147,0.353
5b0069ed34cb6cea2011ad4a3496edcc29b6ae75,-1,-1,-1,-1,-1,-1,-1,0.356
4e4be3fbaab307cd2349354aa476cafd7f3b19d1,1137,39,2746,38,2,2,80,0.361
b4a55a6138b43b0e8116bbe9f4e7c817c2c9c0d4,19,10,6,17,4,1,0,0.369
5e4660919283253906ded8a0ff630547404dfe91,-1,-1,-1,-1,-1,-1,-1,0.372
990909e96396d4e2ad8dd99f5602ca4f4f4f9957,-1,-1,-1,-1,-1,-1,-1,0.373
14bc975c5d5ee0f9f1087aa4cda8d5513512d6ca,53,41,2,45,1,21,61,0.379
785af5d3d81622ee07f1ffaab4511c4fec549a8e,125,106,49,126,0,0,939,0.386
18e55d4fc74a1030742c9683427a555efd415435,50,80,32,72,1,0,112,0.406
73423f79c77236eeeab208bd2c9d5ad90a3c4c2e,13,3,3,2,0,0,5,0.412
e9faf0c6f3ae44fb55afca1529d4a0395ba5df66,70,55,40,53,7,6,1,0.422
2b4341a58d38535177a7a0126a164486441af8f9,124,196,33,186,1,33,339,0.423
bb28f25b2696952438d636b01ebf8198d4d6a453,2073,302,320,300,1,0,1138,0.435
9cdd7ee99e1ceb79007275f953a0ed30006d1a63,222,120,100,110,0,0,1236,0.443
8dbefa2e4e0d7004686c8a4048773099fa2b2895,63,357,79,336,0,0,1,0.445
1974bbbd61d4d77c382e0c4c4e1db412db43f98a,84,209,10,138,1,13,271,0.446
92502b5616bb3cd3934e4573159dc378c8cb823e,-1,-1,-1,-1,-1,-1,-1,0.454
be058401f6f8e4fbef0a401868a956d5650fa96c,86,28,7,9,0,0,78,0.458
b1a4172ad510455d80fd21c8416b3b4181883db1,50,30,8,12,1,18,24,0.471
