id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
36cb68692c08cac05ca293644f6a2cc5d920d453,1603,35,4304,31,0,0,2355,0.000
a451a77f18c3c16d98b16280303a3b0a47974b0b,125,104,68,55,0,0,213,0.000
73e961c6e14b235bbdc263cd980f480a6040849e,931,506,530,2,0,0,2041,0.001
38ac3416456007b2b000862c9842faf33acb1555,110,68,130,76,1,1,5661,0.001
b185cc5d963057176a5e0e2c6c23c85f6eead955,163,101,276,94,3,33,3,0.001
f4e28159bd7b4f72033645ba358b44f279030958,-1,-1,-1,-1,-1,-1,-1,0.001
37144584906e999cc0473ae8c5461f9487664af1,438,18,63,19,1,0,2,0.001
19a87e2bbb323717f5436390334f2b0cd651edc5,106,5,52,5,1,0,1,0.001
172f57734da09d2e969877a893af6fc89791478b,1497,588,180,60,4,103,1905,0.001
008e5d6412a862ac9e13c6b46f52b00570aa2f44,1543,373,709,644,3,65,148,0.001
9eaa2323e7599ef91a02d481eb4a526b19122951,-1,-1,-1,-1,-1,-1,-1,0.002
54df1057dd85cce172de4de2ed9510c8fbe83364,730,44,126,44,1,59,948,0.002
67ab6752b97f8ba8ae8b66aff07bed35294cf1c1,98,49,100,49,8,136,45,0.002
2f4cc46ac60e3f67031b07b6e2a7ee01aedd9d78,1866,476,1178,538,0,0,2349,0.002
4355db6d0d5939b57951949670aabde9d6782f16,127,30,115,29,0,0,171,0.002
5720f0aa2533f0c397016e0a3f19b024f965464a,456,114,381,113,1,39,296,0.003
5fcc970a3c0526555a5de543f3d6da2e03ab6961,149,132,142,55,10,146,20,0.003
db45b8680456e88ea6a049c68fc8b22be9bbe6b9,277,140,577,143,2,1,2183,0.004
c0a9e6956317bcfd869c69742dc31434e7f4eb3a,325,139,257,141,2,106,141,0.005
f4a71a1edde568e79e5abba52644fde2cb059558,351,178,188,173,0,0,158,0.005
627466810d5a396d11d53b26226bcffb881ddc08,71,45,83,38,0,0,163,0.006
1b39f5782bf4d242ee64b0be2c53901b678c1614,234,46,77,50,17,1681,615,0.006
9e570854d2bb96c5c808cfd302983af96a29696f,34,11,7,11,4,72,36,0.007
efbd7d697ef2b043c40ad58210f53bb1e620c211,72,0,46,1,0,0,310,0.007
eca2d1c26ea3fb4ed4ed85b80481fad8aa0eea46,1230,167,666,169,5,165,237,0.007
a13e3b958ca45d77becfa66d22dd3cd9eed9c0b6,175,55,193,51,0,0,2,0.008
206ee7f2d4eed498ce5862ce2ba82accfda94871,208,23,118,23,16,755,483,0.008
bd4499239577b0fb2a21dec2c15000728a5d7843,222,110,272,106,0,0,168,0.008
6b9ac6f2d7a0c30a50a12b6684d1e33c04ee352e,-1,-1,-1,-1,-1,-1,-1,0.009
ac1f1f30d5eda5b289afd40bed1562660dc295f0,138,160,281,153,3,4,5749,0.009
364f4c87441897cd836826c2c4ecb8d8b38f142e,-1,-1,-1,-1,-1,-1,-1,0.009
23ac6af300a0237495d686d1277e810d792bdef7,103,290,245,284,0,0,4,0.009
10f7be676f48db701dc0e27cc8c5dbd4b859787c,-1,-1,-1,-1,-1,-1,-1,0.009
320caaf485538f6677dc938be2c45a4c0f14f527,85,20,92,18,0,0,1,0.010
ab6b4e45edd95c492a6d7af7e8bfbd6416662f8e,-1,-1,-1,-1,-1,-1,-1,0.011
6dd9c63dcab5f54042bd5fbe049aee533d951073,245,255,99,139,6,395,4453,0.011
69b60ce0d4f5fc9e56a64aa76655d0b872edc5e3,3715,156,3360,471,9,1097,2398,0.011
1623c96357f6bd7a8c5e01b27868570bd6605a8e,97,98,164,94,3,544,3,0.012
de40e40340088852cf75fdea37a8779ef2bf50d5,-1,-1,-1,-1,-1,-1,-1,0.012
98a18c32b3916bb275c92f5cfaf0142c04b05a67,350,307,402,93,76,15921,799,0.012
17943180a46d4ec4c20ff6b5f8f6667782bebde2,146,2,312,2,0,0,2,0.013
45a5cce713767715ec08a4a0ff55828872c3b73b,146,68,112,72,2,30,1676,0.013
291db4771c5ab7911dfa638342a479efcb555c1b,492,61,94,31,3,21,647,0.015
89051125eea2a0d0783a79624611c3aaf0f3fa00,338,46,332,45,1,302,471,0.016
550667a2b12d813d9c671bdba435f5d2bd859b1a,211,38,114,37,0,0,455,0.017
ea7dd5f3d0ffb259cfca1515416ba01c58151d07,-1,-1,-1,-1,-1,-1,-1,0.017
7fd851b86f411635711a048cced4874b1929cb38,74,8,839,5,0,0,604,0.019
f22a7c6df5a3836470a6025bfcf6fff9347c946a,445,39,499,48,0,0,695,0.020
271851ee1076f508922ecca0a987ac6d401ffa74,417,89,4,54,0,0,8,0.024
2c871c5885d0b51fb710d53f50830486b17f80ae,81,107,168,101,1,32,89,0.025
9d69cf64e9e7d3d95984d3ac31608fda14294f81,168,202,362,191,1,0,0,0.027
9e239b77bff436204a9fb26f0cdab2073f974966,255,86,260,85,1,56,112,0.028
c32d476d530bae0ffee6936b99b285ffe44c9147,260,680,239,656,2,1,3242,0.028
167a36bcf0f6ec54a7d8ce6dbebd6108889c05ba,593,242,463,215,0,0,361,0.029
f7d49456ba3d2e62163b895ab0d61f3eab43355d,-1,-1,-1,-1,-1,-1,-1,0.029
a700673a8f92103135b2ed4b112e50a1649eabce,244,108,93,108,1,98,406,0.032
d349d9253bea04d7d2944465a4f3b6358329f174,171,294,214,313,12,268,494,0.032
aafc714137af6418961853e23f98760aa198b4a7,821,81,161,83,0,0,204,0.032
3a38518f089cb6b8c7a0f082dded73d34aabf123,466,239,307,227,2,34,90,0.033
fa8b92d97437348ada3af3e919ad267c4a0450b1,-1,-1,-1,-1,-1,-1,-1,0.034
bbb11a38f2621d12f09cb5f35b0ae0ff795eeb89,481,543,663,521,3,163,1732,0.035
88f1917bd2f83e7b9c9b60fd1760bb9839fdea87,227,156,142,154,0,0,446,0.036
c39b7f95e14f717ab7ebe98f9a1abeef02a91dc8,82,88,208,83,0,0,21,0.036
849268f6235acddd358f70d493e42068efb6461d,-1,-1,-1,-1,-1,-1,-1,0.036
dbcbfaf164683df4b247be5ccc14d442a75d9f69,69,7,111,8,0,0,2,0.037
6cfd5f96927031114952c03fb3130fe3c4be8eaf,-1,-1,-1,-1,-1,-1,-1,0.040
532b0cd16dce8d3c7c74bec0210225040f4bec01,402,55,599,53,1,0,156,0.041
b45220cd27bd246d0ac02ee9146381cf86d305e6,400,169,67,155,0,0,120,0.043
8d681cb3694e05189e961694d4c9a2a302545bcf,315,237,161,231,0,0,244,0.044
9bf602899fe96a69327fc9ac1454d081927042c6,-1,-1,-1,-1,-1,-1,-1,0.044
c11d8d740a21501c0fea1b8c995fe5aeae11085e,241,59,520,51,2,33,4859,0.045
fd04035ee385248b20032f272ceb8a90d1122a18,311,30,413,28,3,61,868,0.047
9c3bd4f16d6865c573941ea31217171e86ad84b1,92,109,139,108,0,0,8,0.047
9c2fee290d2ce5619e304a43e668f9bc1649e961,1989,456,707,497,26,1644,1698,0.047
f43b96234ee96eb57da6482479df335a900f568e,77,97,265,95,1,9,85,0.048
eddc1db17729133c7af49bea56c1b6d4d6767bb4,363,265,1186,247,6,226,5629,0.051
ac73f12703e74daec28cff4a35a0bc800eaac834,-1,-1,-1,-1,-1,-1,-1,0.052
f7bd2360f6939ffa95f23c21f980be89675bb129,1208,139,340,177,1,0,1039,0.052
b988f7c1f2e204429de6784e0d1a3297e81c0fa4,85,10,148,10,1,0,1,0.053
42a9b9c91e48411ec496a1665b11a63ea23da211,132,40,150,37,1,16,19,0.054
ead118d190ac89b282f0338ac582dd7014e6c421,-1,-1,-1,-1,-1,-1,-1,0.054
0b3fd28542aa954ab9a117148a3f5a7c264f78ea,214,67,261,64,1,0,301,0.055
11dae1d79e918a99f4d296d4a2c88af640703795,74,48,206,51,0,0,261,0.055
d053712faa070f127e953b29f4378456ab96a7de,346,256,106,249,1,44,18,0.056
42f98b0caf46ae210199fbb9e3a266d2a1793746,280,202,212,193,0,0,242,0.057
6f3c7b178bb59fa01d5032bbdd69805f5b41d184,303,101,261,92,1,2,13,0.058
8353b3ee1f882477ad0433d9c5da5ee4fedb083f,-1,-1,-1,-1,-1,-1,-1,0.058
b56d7386c53fff4e0046dc2465639f525ada0ff4,200,102,155,104,3,75,2159,0.059
4867b7dbc68f61de79f09a2dc17540363a2eedc3,-1,-1,-1,-1,-1,-1,-1,0.059
4b82295e39af31fa2f2fe6a8005fa9dfcc389e62,113,42,219,41,0,0,6,0.061
57a5350850ed5aa0a4915f240779691ca4a9a74e,883,496,230,468,0,0,798,0.061
1a974529fe8d6540269818a6cd87570a3da26b61,325,313,285,297,4,81,1402,0.061
ca7fbe336d79cf2d568669d0f475841704b5d670,537,147,513,140,1,0,946,0.063
97334c5591d1e710f67f627d55245e04be2ff867,475,151,295,145,16,893,2547,0.064
7cd10249d170a15106d3d5760a7e7b22348bab44,-1,-1,-1,-1,-1,-1,-1,0.065
2f537ca2807ae3081dc0dba502b8739c43b617e5,127,81,89,76,0,0,8,0.065
e7f43b66a28589a47d15214fe907abf2dead8e0a,-1,-1,-1,-1,-1,-1,-1,0.067
1956af838511f68e229ff65dd5e30d3a6c0777fc,419,251,263,69,3,73,1129,0.068
ed3be6de28fef5e9a655ca877497d80d0c04bff5,176,50,66,48,0,0,2,0.070
5dcc0d7061475ccecad5e4e42f674216aace24ad,285,15,323,12,0,0,4,0.076
f5ecf562d93754c4703ae045bf7f6775a2b24f5d,349,336,55,317,0,0,4089,0.076
5596d3c82f42bbb69aede223ec137298967a3412,239,90,440,85,0,0,72,0.077
2c4588dc3ecd7dee267447557d461aedf990f370,99,10,55,11,0,0,12,0.082
0eec902230cc949d316c422cf4d362cd2a7589a4,56,9,38,8,2,0,2,0.083
9bdfc1f2c17a980789571c0ac4027fc95674c881,146,44,115,44,1,16,28,0.084
131f63437c735e5196d43fca7191df62ca1b27e5,211,48,154,47,1,78,76,0.084
7560485c15f760d7f769c78e4c2ac018601898cb,-1,-1,-1,-1,-1,-1,-1,0.087
1406bd151791dcd1f0d492cf49c3f447d30b8379,299,13,181,12,19,494,183,0.087
98f4ca4661122621819df24c971d799c4a842345,558,234,110,231,9,352,268,0.091
cf8ea7b3b9a8a5269801a24daa6361304dacb2a2,101,687,86,663,14,186,6695,0.092
8855ed46eb3476ecf2a8db88dc1d67eff8406224,355,137,173,130,0,0,51,0.096
abe0c30fc03318613b9ed1e6dd6f0a1854ac9321,-1,-1,-1,-1,-1,-1,-1,0.096
b7fcc7f7c6a891fc017266455dcdb703e5ca7f75,208,146,301,134,0,0,452,0.097
b8fd80de17441c056dcfe0977bca7aee353d548e,-1,-1,-1,-1,-1,-1,-1,0.098
2988b7a1665f679a98aeb5d2cb77b677a678f3d9,598,79,139,76,4,125,121,0.099
fd8c3a08776a134d99f4ef1fc8c742ac6276e187,300,34,215,37,0,0,156,0.101
392e79077de46a370212c501dad314a1090128f2,178,61,294,61,2,154,258,0.102
09caf9179c622ece8010e69ebcaea3d62acb88bd,-1,-1,-1,-1,-1,-1,-1,0.103
4c084d03a601c130276707dee13d1fd82361ea9a,-1,-1,-1,-1,-1,-1,-1,0.111
8197fd6d9e9f7b05a4b47889db506d01738207cd,-1,-1,-1,-1,-1,-1,-1,0.121
011ab24d50d210d7e8c673e48caf60576de13b4d,102,63,49,58,0,0,1,0.126
ed38a41b88f95fc98688310b19aabbd438a13d5f,392,428,450,394,1,4,90,0.135
c79da99d9f17657e5e1459a92de32d3fde75518d,366,64,99,91,1,5,172,0.137
c2ab49cf3742b081f9cec80b615503e5fef8d760,-1,-1,-1,-1,-1,-1,-1,0.140
1d1b0e15854c1777f85a9931d5df27eacb3e01a4,-1,-1,-1,-1,-1,-1,-1,0.142
cf4a655ca6d3cdc1e833f8d7dd0c47d5d9dcfefe,-1,-1,-1,-1,-1,-1,-1,0.147
b54b12a2dfe6539b14c007bfc2cc563b05c66fb6,668,131,179,123,7,54,599,0.151
55b7b8f486eff76a2620d76e62dfe9eb4c3805fa,59,67,41,10,18,2128,44,0.156
2accf0886920234e00de332b409642011dc81fb3,541,62,331,61,8,437,259,0.157
2b84b000b437a8b8082e6a4e9d413a0f43b469cd,170,138,168,134,2,368,85,0.160
0efa4d13e7ccaa04cd1b32362b8f2784b2643e94,-1,-1,-1,-1,-1,-1,-1,0.160
536d85750bb23319a62bd17b8d445cbe9ffd698a,111,41,184,38,10,473,2693,0.163
21feb11bc185f85d7f0c6c7923e53b89aa1ebe67,287,300,463,284,1,0,272,0.164
a27fdc093a3e2f7eb4d00126d9280ae6b812ff97,142,0,125,0,0,0,6,0.165
99dcbd4fd11835aed89e295a2c8532616f609fb9,209,75,123,74,7,212,75,0.166
48c212a3d87d55b8b2f97aa3220cdd7f91a95eaf,-1,-1,-1,-1,-1,-1,-1,0.169
dd25a9f7d98b6bf893478ed0df03e753e3db29a8,-1,-1,-1,-1,-1,-1,-1,0.170
273f0d63cec2ed55a7c4199113421e514914a854,-1,-1,-1,-1,-1,-1,-1,0.185
171dd85e2721b37274e7f1eb8307318ad97891ab,96,39,96,38,1,0,27,0.189
a3799019a2c3887638d12201cb8e482e4dcdb20c,598,17,176,18,0,0,9,0.194
a30192b925d5a35963827c81ad919eca348a1d87,441,111,183,105,1,0,175,0.198
4c78e39347d9eee87b45aa7a98d69690c35ef90a,-1,-1,-1,-1,-1,-1,-1,0.215
658e06cdbec820c59fa08f3c83bdb42048046f48,68,55,257,52,1,25,3308,0.216
2a36a3bbc27d74fad6f09ff6aa025096b0d80a24,-1,-1,-1,-1,-1,-1,-1,0.216
35bbe09c499d18241d8cf966ed2a7ad66e1a49e5,-1,-1,-1,-1,-1,-1,-1,0.220
7e167250d4c6a465b96b4093a46801b1c924e7fb,232,143,335,141,1,48,101,0.223
babf3c3b2778c83426f26533570d500a7019453b,-1,-1,-1,-1,-1,-1,-1,0.224
0bd98e9535138e6be3dc7f5e989f48bd9a14d3d2,431,783,414,719,12,98,808,0.230
