id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
9425b84078140b48759923cd80b3a3ee3aa15dbc,1288,294,70786,33,6,466,1346,0.000
b8eac3fbeae9aab9ad93db697b3e6f7769dee2f7,697,68,2921,65,5,272,449,0.000
6a8e535ffee3bf5be1310bfb0a5553f4332526a2,-1,-1,-1,-1,-1,-1,-1,0.000
1ad21020933a4296f5d22f8a016a4623da1f37b7,-1,-1,-1,-1,-1,-1,-1,0.000
110e83e0134c683d04e15c1e0514fea9083b2121,847,73,719,71,11,247,124,0.000
53ac0a366c148ae03cf7a5f1516e954d744e16a6,571,52,2008,62,15,512,295,0.000
836271f9843422ee7210843b757a27bf0c7b130c,719,39,701,37,0,0,966,0.000
317ad6a106bea959ed4225fa1fb71f7c27c59158,-1,-1,-1,-1,-1,-1,-1,0.000
b57eea9732e15c5e8833898347b88bd6d5d6c5be,768,9,111,15,5,208,1348,0.000
83b9c308b636b7ac3977bbc6f79676b946187b9e,630,60,448,61,25,923,1244,0.000
ba37a3c6ff6213e9d6fcd25eef0d79fc802db5bf,951,38,501,44,25,1889,1623,0.000
d3658e287b483e516117aab6e4ca3c97ac3f7894,92,1,336,0,0,0,4,0.000
2f352d3ce373f4795f67eead4b288ce60916b5a5,481,11,130,14,0,0,25,0.000
bf444d5eaaa03286880b9532eedbdf375bf2cd01,474,21,674,20,6,613,664,0.000
d9ea97f7e555d9910b8e48017ef1c6abf50420c7,367,13,472,16,28,2280,1570,0.000
1d98e6b5ca21ec55b689639d1fc6b40efbc84984,832,144,748,137,3,53,2323,0.000
0831b172e84af7c223a015d012433686963861e1,827,152,1938,141,2,179,1856,0.000
0ef7fdb57a9be4415d47922d5cae4763efadee0c,304,0,237,0,10,734,308,0.000
575b1af115e031649400c6dbda5605f5fdb79747,476,60,2543,57,0,0,945,0.000
0a62f59c8717b3972b512ed56d0313c3dd120076,301,106,170,106,8,423,5,0.000
eaa1dbe5e24d42f10dfa8052e180741194f04d99,648,153,1146,148,9,339,867,0.000
fb0c55b188a21b5b4c846a94147b9858e13e1d42,684,58,583,9,0,0,590,0.000
4a3fac94ffd3b015ba3016d6f8b2f04c1e883825,1394,105,4336,106,15,1034,3324,0.000
7777769f8430c9cff044ee71851d55c60145a85b,382,83,368,78,4,119,608,0.000
552069eed615b3f8174a8d53d89fdecf5c154e39,2352,2144,8004,2134,17,751,4751,0.000
86a1d44ea7f3a241f8dcd1db6574cadafd8e541d,1263,9,561,9,5,298,4733,0.000
ee7f92ae69360d664c0a2eb783f9fab13f26ec5a,527,25,234,22,4,146,503,0.000
24f5095cd69fdf38b4caa5a21d27bcf6e665c221,396,45,347,44,1,29,671,0.000
d5e5471dc893cdd89c592b68e664af05b4184d63,344,30,55,5,1,2,72,0.000
f6dff8da13c6c1d6e59074697c75b5c0219b8116,7695,5,1177,1,5,97,8318,0.000
beec824c2aa51a54fdeaac558847979f751574be,-1,-1,-1,-1,-1,-1,-1,0.000
f89e951271151b1ac31fa5365fde38d0da89df66,663,225,793,223,0,0,627,0.000
f1b461e3ce703e708d9054069c3c00042a267a04,510,0,28,4,0,0,84,0.000
54f30227a7313aad55cc9ffa760bf3d5d94e5c9c,-1,-1,-1,-1,-1,-1,-1,0.000
c90417e9be7b783d067ad8c651d628a823f47d84,879,13,118,14,21,1061,992,0.000
008d95f5ef81f643be5ac239981082f895f626d6,983,42,286,40,1,91,387,0.000
10105b495826722828af501b8cafaaa2b7e3043b,2093,199,1032,177,10,316,9158,0.000
d7bca005c5c1074a7ed1ee630ce9e6049a950d70,844,305,542,95,3,165,950,0.000
3b73edea0814f8bc0a74d97c11c3655f7a1083f5,677,55,127,54,10,255,920,0.000
517dcde9f6b54f1c826d785ab2bad1e69b60905e,-1,-1,-1,-1,-1,-1,-1,0.000
d418de854166b719906cde9e890a5c820e857739,914,48,418,48,2,71,1352,0.000
3a2dd1c76ba7ffe8dc72856b7db2e2a74d7d06d0,2531,35,13677,55,3,68,5195,0.000
57163fff5673cf6b8710142f789729f772683e69,574,60,1051,63,7,442,3891,0.000
d87fe6a0710c823333ee98c8effdf444a3134788,-1,-1,-1,-1,-1,-1,-1,0.000
0f26382bf33c0ec10fb6aba8000760cf38a50d15,2267,431,848,472,86,4489,5399,0.000
f0c24d1eb22f700f1be48f9e9d9f44d7f766c209,-1,-1,-1,-1,-1,-1,-1,0.000
6cc18d834160af5f72f58c49139a1852ee18ec95,202,82,996,84,6,553,433,0.000
317aabb2a9ab970fd7f32ef4e74293a8f556632f,323,25,125,27,12,383,115,0.000
1084b5edf109b02172b550a46f0dd78c8524a243,1685,214,4036,251,4,27,1087,0.000
7e1f6949208b203c7db15baf77ae89cd8d238dc2,195,0,4,0,8,198,99,0.000
2e36215fc41c1b21afaf77022655de3b60a0c1f0,872,72,776,71,2,14,845,0.000
