id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
2b9e7423f121993a41a55eabe0de5b488c6c1b36,-1,-1,-1,-1,-1,-1,-1,0.000
2d34429318996e82cc171ae1813381c0ad257aa0,576,108,746,103,3,40,1577,0.000
049ea7459e80ec8cbfe98df812ee09350a01d029,1850,1010,4978,947,12,534,6765,0.000
1f155ad62bece9509e17c2e129c11b9860314571,764,30,843,29,33,2472,3732,0.000
355b2018a42e1a2753ff8b715b681b5450af35ac,655,339,545,334,8,263,3448,0.000
26539f58e592cb8738df78c982d56569749c2344,199,172,451,168,12,225,1293,0.000
0a439d4de9f2f6bbf79daa29ba6ec628dd0c5e40,2292,71,620,95,46,3770,2248,0.000
62147ae6c14abae9f6fce28ff1e9c4ecf5f59412,1673,140,477,163,24,596,1465,0.000
130678c5d1ecca7c37873e33e6a8c6a400b64949,-1,-1,-1,-1,-1,-1,-1,0.000
e3f7270385329d3adf97e0cfd46779719f707eb0,213,269,384,263,3,1090,5129,0.001
c13069a09d0f34ef33139bc6d9505a072c5f6923,-1,-1,-1,-1,-1,-1,-1,0.001
1f6f406df53673a20215697ba03f4873787f42f0,624,200,341,190,1,9,9915,0.001
a7e02ca864b438504b55664d97a4ebeb0697330e,60,23,62,22,0,0,299,0.001
e72d942b8770868c1bcc3d6f7900d5551b1014db,671,287,458,292,3,70,1866,0.001
6b255855dec697c92f2ad203fcf5c9ffad2b0230,1234,1,0,1,4,21,2606,0.001
8115381c9feccce18ca4e8d89c5fc28647870ec1,1369,1000,330,224,18,366,7448,0.001
ea1fd7a795f68e0cbea4c9b3985f96ee4f7f21c4,167,311,115,294,19,6007,4460,0.001
8dcb130d0b7ac5c37ec011762abd03388de397ca,205,39,166,38,4,4,1605,0.001
4c0ec49118c570d70433551ac2a54f7aba28b638,5230,1,6739,1,1,110,467,0.001
ce3c7b69513fe3e376c43084b3fa6065e8879ac4,153,20,238,20,0,0,375,0.001
349ef646a4819663bd86edaf87db2054b0ce13f4,473,61,270,61,6,237,2716,0.001
84b5c7f26f89ae7066d92444e8ebeabfb624f7a5,4436,831,4348,2657,60,4730,1630,0.001
54b87d4515905c89e06558d02c198d1e5ed98336,758,1000,321,402,69,11680,3031,0.001
36392f5377f480dcd5c767eb2e73f068a9d78f5c,753,186,450,181,1,31,931,0.002
