id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
831559e7dda4a2c712998a3542112f2f93de16d5,1014,383,751,364,3,48,1120,0.001
b2d37c8e0315533635cb2ee29685ae33aa796e8f,-1,-1,-1,-1,-1,-1,-1,0.004
88cde61514cc5fe022716efb4039f7c48f04c2b1,-1,-1,-1,-1,-1,-1,-1,0.004
23f2fa015abeaacc480e9c804213832117432d19,1069,131,550,155,0,0,407,0.009
c79e5964fa8583b5359d886847238242a6da859b,746,29,345,29,1,0,205,0.010
df21fb189ffc8340561632f99afe5e93740603f6,-1,-1,-1,-1,-1,-1,-1,0.013
f9e6ece8819a34a259bc76cdddad6e370d884601,271,9,44,9,1,41,1,0.015
2b18ebfb5053bbdf4396b6163edb791ac5741138,175,55,111,54,0,0,20,0.015
c21866676f0061ea5f0280e8657c591c2528835d,-1,-1,-1,-1,-1,-1,-1,0.018
0d601d4950c1721b71b9e3860d7ef3d151d68bcb,6477,118,705,189,4,40,1327,0.019
571959e6a55e3a61b9aad0bf870d6c3de27ce572,-1,-1,-1,-1,-1,-1,-1,0.020
9212718abf976c0a1b2d952d228fccf529ff2000,193,15,0,15,1,4,6,0.029
b458d5962201684fa272eec3af6bfa043f020f33,-1,-1,-1,-1,-1,-1,-1,0.031
9d0747c5c3256c8ec0b12ec22afa4ac43ade100b,-1,-1,-1,-1,-1,-1,-1,0.032
dc5ebfbe3740c2c83100d2a8a759143f360be53d,452,52,133,52,3,143,3434,0.034
9b151a0687e59368fbd36d872df5d95f3a80824c,7628,93,1712,137,1,21,4788,0.035
e680c7c0b49d1a0d1387df19e8be1f5e220f7f64,170,89,215,67,1,43,0,0.036
eaa2394f03bb0d0d3c828964dfb7fabacec39492,-1,-1,-1,-1,-1,-1,-1,0.037
f330270d3c2d558a8bd4ce28e0959afd32af9603,189,12,133,13,1,0,36,0.041
168c8210823de297035020da8205d8b36d7049e6,7825,30,2204,55,1,27,1078,0.041
8558f7127df124699f9b438b1d4cdc1580c1cefd,-1,-1,-1,-1,-1,-1,-1,0.050
a1ecd42bc178d571918d1a7d71955b191625091e,49,154,156,150,0,0,35,0.052
86f0f867c305b588dbc9d5e10503f0342d90c5ae,-1,-1,-1,-1,-1,-1,-1,0.052
aec6e593ddf9b0826d6d0a95c3952c2d7f8908e6,-1,-1,-1,-1,-1,-1,-1,0.054
e90d9dbe1b63b59ad2e82bd313dc5b0e2e33a316,233,80,122,64,0,0,213,0.055
b8a33b6fa1e8fc45109e5c3034143569dbb28ad1,7541,281,1023,649,1,311,203866,0.064
d285889e63452e89d1723082b1953c1d195bf1da,244,189,146,249,10,22,739,0.076
03f1944189833d41c29244b978ce856d1c94e4de,-1,-1,-1,-1,-1,-1,-1,0.076
5db751060b3d19ee11762544c5c55b55f37d89cd,533,347,385,898,2,5,67,0.077
52ca3a881913ffd59623fc665c866ce732046ecc,-1,-1,-1,-1,-1,-1,-1,0.079
57b32920b06581bcc4d75a826146669f057e8d88,-1,-1,-1,-1,-1,-1,-1,0.081
b156e3ceb36429ea5221b6d8b2ca187b9892c18b,95,251,239,237,0,0,2576,0.083
9c13b5226e0eb31dab3f64692a28523a59bba71c,1056,249,551,246,0,0,10131,0.085
db7769010c9043379ebf7d24abc9d9e8dff6646e,420,43,210,41,0,0,80,0.086
77b3a38aa80431d7cfe89be4c8a3c6268c29cbfd,-1,-1,-1,-1,-1,-1,-1,0.088
2d178511f4072e428041d7b707e670dcad9be0b9,587,74,95,30,7,104,110,0.090
ad89b782aa508a24a5f232130d427d1f7377841a,2412,137,770,130,2,0,265,0.097
4f24dd1e375c48c54e379764a1e75d3824c58704,100,150,204,141,0,0,1,0.100
bdd49d8cc6797b86e22211517ba8d8ec25805924,1995,129,10,226,2,71,557,0.103
