id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
be98de0a81b6c3da535e04e4d6fc34f2d843820a,4153,10,121,6,0,0,71,0.020
709a28697132199881b73f206fc6664fadb75992,-1,-1,-1,-1,-1,-1,-1,0.056
25d6a69609ee98275e6380e0a6ff829a3adc0e74,391,379,264,364,0,0,1743,0.066
8be7fe7d886d81afc8178576f17ff30b2ba21e67,220,230,195,211,0,0,2,0.119
b4d9134b4f289a19c4af314cccc5f4608a56c611,-1,-1,-1,-1,-1,-1,-1,0.158
e7a28902447d25f2f996a9887471747b79ecb933,147,6,1229,6,0,0,0,0.170
be9640615433fc7e3354ba19c0837a2fdf54af8d,275,428,214,362,0,0,5,0.176
10a351cb9edf2d450b7eee8ae9789d2a99b958b8,337,285,455,257,1,0,10,0.202
219aa18f5224a7ddf661852403f91beab79b1c4d,384,63,240,75,0,0,29,0.210
8ecbd2735584c6b91b236f801b27d857fe0fdc2c,105,54,155,50,0,0,0,0.215
a9f8d78cdd04c0044ebe5e36219212569a96b967,321,90,456,80,0,0,36,0.217
efd819f11644ac4bd3758ffa1f1f97e076264756,167,99,236,93,0,0,121,0.217
39dd51b51b572591271a964d68eaf32fa9281b2b,-1,74,837,74,0,0,1,0.218
33b0d8b6ca6092a107f2ba6ddefa7e8d16b26a8d,517,660,1839,707,1,0,1007,0.220
6311e24f38d1ab7e57b2e79aeaca9c600693dd13,155,289,360,259,0,0,2,0.221
f8763649da15ff6cdb1f59307cdc94e5f5c8d392,-1,-1,-1,-1,-1,-1,-1,0.226
957b18a151558e6a62d5c0fc3adcc18066dd96c9,114,76,312,76,1,0,11,0.227
c9c9da4876e79c9ca0d2c6695446a0a9bd6f2e8a,144,27,475,27,34,0,3593,0.233
6000b79e83d612af2840a0c60f190ef123f77bda,97,396,235,370,1,0,3,0.249
b5c8c07f6b47cc26de54551d8c6144df033cd3c8,-1,-1,-1,-1,-1,-1,-1,0.259
a525fc1ef9c141ada8706a54262feeeaf83ef1e7,426,263,267,242,0,0,125,0.263
15ae2770e52952bfe414555944eb82155d309961,212,130,321,119,4,0,5,0.270
1c30ac0bbf5a1d6bb3983c340ab75f3d5693528a,-1,-1,-1,-1,-1,-1,-1,0.271
8e45d74564a821610cc14536403bc58820f15e7d,6267,1162,1,1027,0,0,9,0.272
dba10a20447578933643cd85395a97b8e33b8202,536,1000,575,615,10,0,8,0.301
ce825bdd84d62deed468fde6d87c7a13be39e3e9,222,74,255,68,0,0,1,0.306
eb9263e229bf39d30183f06ca489a4c2d028fc7b,1211,168,272,161,0,0,5,0.314
425f456cceeebbb69f60bac4b29511e3f3b6112f,184,100,288,93,0,0,3,0.321
3462d212f8fd81fac4c1b13ed54457142b4c2e91,2234,189,156,195,2,0,107,0.349
fedffd7ddec3a56f90b37398a4cc31bb36e6de80,3544,101,924,69,0,0,85,0.369
8d8f37dcbbcf7436b296b6ec36aa6ab568b3cba5,-1,-1,-1,-1,-1,-1,-1,0.384
2b87355b1491ebbf5316e6fafcd5309067cd2c81,-1,36,313,35,1,0,1,0.403
ca7fd9be787341491a03111241e63780a6b31419,-1,-1,-1,-1,-1,-1,-1,0.405
0cee90840feaccaac99e105a78dfed5517f4fd9f,-1,-1,-1,-1,-1,-1,-1,0.425
034f3eb7590fca94f5465025ed6827c0c65671b3,2621,16,719,150,0,0,0,0.445
1957cf477bc71c88a2bf70e15feae6ff77050fce,-1,-1,-1,-1,-1,-1,-1,0.480
8a1bc9e8a6ae48d5b534d6fb232f52969f8b1481,518,242,207,180,1,0,35,0.482
fc67bf6b915117488edf9734d062344872f83d16,616,382,141,432,0,0,0,0.523
e3a237413f40f50112f9cf9bd837cb2d983a9581,5607,860,1490,2547,0,0,8,0.524
4c2b177dc75ea7b6d357c85286d01416ce65573f,1809,501,685,459,2,0,58,0.529
49ece63bfac6b1f067a9d8aa175a2c752c358ddb,111,120,160,80,0,0,1,0.533
3dc57ac277e79ee6bfb5a7c4cc0c17ea48169cb8,65,76,303,75,0,0,2,0.544
8b1148e7d338ecf2adb0842d95e86999410b0cf6,9998,268,1543,253,0,0,5486,0.586
dc958b9f6f5eaf2a21cb6604025fa94aedb31e6b,579,187,155,178,1,0,47,0.628
293c40304babfaa0b6866c117bca4cc5028dd613,-1,-1,-1,-1,-1,-1,-1,0.628
61a59adb2f98a9866a5380784ddcf59a19b8f468,719,36,358,36,1,0,170,0.653
44a7a09ef3b1977cbfdb9726e8027b568ac711b5,-1,-1,-1,-1,-1,-1,-1,0.681
cd4e026d532a5e34b08ab2b00a2d64fd5f201169,429,10,79,206,0,0,4,0.706
961a25879dd17e548d12aeebbddbbb1ce7406fdc,69,15,10,14,0,0,9,0.708
50e8f1c7f839c4d2fe73c1d15eb6091de7a52f50,46,9,19,10,0,0,0,0.795
f6a677471f3e033de75caa452b6db32bac9fb5da,-1,-1,-1,-1,-1,-1,-1,0.811
3dbcc204b78579ef8fa769da365fb22a02459381,-1,-1,-1,-1,-1,-1,-1,0.864
b275295790439b390ddbfceb2fea06c181e8816b,-1,-1,-1,-1,-1,-1,-1,0.878
4bdf71dd4281eeee88268b0174c0e5779d4e1cef,-1,-1,-1,-1,-1,-1,-1,0.954
