id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
74781d5afe38282184e118994fe4c2b989f8bef2,1554,1,1590,5,0,0,23,0.006
460d19a334614d30ce660939e5c6a18aa3181c16,879,56,65,26,1,9,70,0.009
2947a9f1ff2d30b77f3b4e9c08f39e42cd46471f,5620,194,4698,991,0,0,1032,0.011
a62afb13c936793de5dd491f34ea39d49e72b3c9,6680,928,5519,615,12,142,597,0.012
de6763bd788dfcb8d668011af7c559a6c5214ea0,-1,-1,-1,-1,-1,-1,-1,0.012
a648432dd9d4f84468bdd978bc4a8e20cbf0ec76,1287,210,302,239,1,0,1096,0.016
9d21be9733a30b2b529656f6b376f1191f4c0984,8781,1000,3916,842,35,3703,7861,0.018
621cd666752a82c02c486a995ed7b2bba2abc93b,254,88,152,85,0,0,5,0.020
a620bc99fce1dd5ab78a8ceb651de6c890f221ab,305,164,331,158,1,78,1664,0.024
9cd19df2b06b9e704e6359c49507c9402e9e3a17,1322,151,292,207,0,0,221,0.025
457fe76ac9ebb778cf14c913d9fa99e04ac70bcc,7691,243,2023,150,4,2,116,0.025
6c1334bcd619e593a31304dde2f5094ccbc6c52a,470,60,237,59,0,0,149,0.026
8620864f2071ea7a7fa13b43459d417dcd5ed415,-1,-1,-1,-1,-1,-1,-1,0.028
eebd41cab397e345b874041b5f317444b7a44f4f,208,37,284,39,0,0,14,0.032
ef22c577036ba9e48638f1b1f1a7d60b50ee09fe,9689,8,4664,13,0,0,97,0.033
744b1d884f79d2bc051ea287e7de3a8f1f43bcb1,7398,68,4673,215,1,0,99,0.036
b8ad6789beba530049a3b8f122f3f22723c4b1e9,205,53,250,52,4,71,1,0.038
374efa5025e65e298b6f5248101829a557632eb5,-1,-1,-1,-1,-1,-1,-1,0.040
856c02ca462240b56c8420a17d59ae836df16da5,-1,-1,-1,-1,-1,-1,-1,0.044
1ca8ac8c48954666a96646dc49320bf59fa6b45c,690,85,336,102,3,23,955,0.044
e126c977df326109ffbfa11b3ac77fdfcdeb8f92,-1,-1,-1,-1,-1,-1,-1,0.044
44c1a8647d7ef4e25d585ed46778339553c6aa49,263,130,497,111,0,0,1520,0.049
3be9ec0e90c15efe5a52dbe8eee78d8d31410dfd,621,156,735,162,4,105,640,0.049
dddc1df8926743067ddb0063bd6ae8d725230722,753,115,298,120,1,0,788,0.051
b416a75f32209f6bbe795875b62d9bf507f0605e,-1,-1,-1,-1,-1,-1,-1,0.053
2e5fd8c06efc44ac00db08bd8f39d8eba08dd999,307,75,56,69,4,68,336,0.055
b323c5bc338803ebd421e2d7115e157359488f8f,322,83,270,81,8,94,19,0.056
54139bec5230297ce9afa91d7b10452d850f680a,-1,-1,-1,-1,-1,-1,-1,0.057
a0cd6b69f957e994ec380b4187a169753f75eb30,-1,-1,-1,-1,-1,-1,-1,0.058
df018d09e826a0192602bc6cb29842c58e0b1e48,486,304,357,93,2,50,247,0.058
52a2488eebdf15efbd86bf0df49dbb6a0376d77a,389,17,64,28,0,0,121,0.061
5fb5afdd0090699b0c565fc842a9e5c29d305801,321,13,38,20,0,0,47,0.063
bdfbfa16f8bc3cebd30fea90d8c71aa33b3c09e1,-1,-1,-1,-1,-1,-1,-1,0.063
1dfa5108ea3c64a50f87ae2861424f256b3862c4,242,783,263,725,0,0,9,0.066
b9ab31d4a0bbacc46828cae7a3c1c9497c22809c,208,117,59,115,1,0,174,0.066
ea1a3195324663d0e767148f8af5533d9a0ba255,-1,-1,-1,-1,-1,-1,-1,0.080
2235e10a7d31bafbcd339d1c6bd5f580b2d093aa,4236,7,111,39,1,0,26,0.081
f9b741dc442974923614ffc4b967e605f2e1beac,284,377,566,334,0,0,46,0.082
e060613a8317073104103da431c8acdf949a26fe,487,143,665,167,1,0,350,0.090
9d2b99973af3af49a8e16e605afda83012351c98,-1,-1,-1,-1,-1,-1,-1,0.091
804490ddcd8c913ab7dbeef57380e6ea9d8f7f6f,202,70,551,69,0,0,576,0.094
a296db7455dbb10d4bf037673a4623d370152e8d,325,51,164,9,1,15,88,0.095
5e0fb21b658dfd962c36f308270584e04f29f282,1081,12,84,29,10,2382,131,0.096
2f926e90f182a417c3e60a6f76955455ad884242,-1,-1,-1,-1,-1,-1,-1,0.097
2d095958a0cc04162a8b0b036b80954341fc7a48,-1,-1,-1,-1,-1,-1,-1,0.097
8bf5b764243eb269b3fe7efc6376c3070ed658fe,687,21,171,30,19,1354,436,0.101
3b8bce7b4783c89070d6d05b4ad7e81e24b5eef1,-1,-1,-1,-1,-1,-1,-1,0.101
a1d89bcb381a716f2719e4534c70fa12d6d5fd6d,4150,19,17093,20,0,0,53,0.104
eef6f7080ea9171b6a97143b9490d62e30b92172,-1,-1,-1,-1,-1,-1,-1,0.104
9eac04cdef649a55fdff9279759cde2dd0f51733,509,267,210,261,18,218,1847,0.105
e170f1f45741bd7f1ee6bff925568b0859a72bdf,-1,-1,-1,-1,-1,-1,-1,0.107
054009858dbdaf94a0c15995018bb37242f911ac,249,119,820,129,0,0,480,0.108
1ba71efc59feff9522ee5e27a522b08397fcc4ad,971,125,241,131,2,107,458,0.110
0d0b9bd4ace129c6bf38b5c88a2d34c89484c7c9,246,282,199,271,0,0,23,0.110
2a17f2ded43a7c655a7782444a43dd607b943647,140,61,237,64,0,0,348,0.115
48ef05e86b001f7ad5da1227594ae3b8dfc91859,267,23,358,20,0,0,2,0.117
90e8a481c41dc4b67b4c8c84e203905375632cd4,161,20,52,22,0,0,32,0.117
691247e63c2eecaa2dd903c9a5009dd01d925fdb,-1,-1,-1,-1,-1,-1,-1,0.118
4e30895d2e2d84a0673e35c95906b714828ffb85,193,74,197,70,3,48,5,0.119
5502786c86702dd9430afab5d7c74e956a8869bf,923,283,406,292,1,0,988,0.119
4aa0305ef87377fa39eb702be064f804f05ba3f3,652,426,506,400,13,719,998,0.120
6a5df75ef3b92fd134a2241a0441aadfe2497495,192,3,60,6,0,0,0,0.120
1db07485c45bab64f972e088eb736ad0deb3281c,-1,-1,-1,-1,-1,-1,-1,0.121
e824d8ed7e3f7ec009e5afa9380c828cb0460835,438,37,201,15,3,69,244,0.121
208b851507aea85549fb4ab408c0c78298c66608,-1,-1,-1,-1,-1,-1,-1,0.122
42c09f56c8e7da93acd0b3bddfaca4b833c95418,281,0,72,9,0,0,18,0.125
3c9aebc954ba23a42f046117a069352d08d701d3,-1,-1,-1,-1,-1,-1,-1,0.127
ccd5b960844c011ca0d7f2513c81abc0fca14d17,863,105,130,90,1,4,180,0.128
c5e3373e9e52a8f3049b37a687e08923560922de,379,75,378,73,0,0,1,0.128
8f9f6cb31086a9bab750129e3ad1131b41972a8e,-1,-1,-1,-1,-1,-1,-1,0.130
4a3453d63fe2bf9ad1857b6068f03e38be363319,997,74,342,73,0,0,340,0.130
9e43924bbabd2287c5069f80f2455db5dbb8e2c6,456,31,149,32,4,0,1203,0.133
b1f3dfdfc53592545dcae283b3d3f5d2f6b5c9db,652,141,617,122,1,0,185,0.147
ef46f8e080ba5093cf9c4ece5afd47670abbd0cb,647,468,13448,434,0,0,5894,0.147
3d09b0745ae8aaa4cd2c12a075f62f32f7601705,508,284,112,271,2,143,327,0.150
6f32f1b561f1998963190486b646e7ba750531ff,644,31,37,45,0,0,189,0.155
63890f822762d523f1402a7fa701aa97962d32a6,757,54,393,49,0,0,44,0.155
9e8b9efc6d9218cdd0e87b95c5af5cfdc95cb328,381,262,641,247,2,0,18,0.155
a0edd7e5976eb8bedd7cd87c1dd8743dff523b01,321,7,106,14,6,15,11,0.165
901db6de524823315d5758c6ef237b8a2440efcf,5868,138,215,1469,10,394,103,0.166
b730e18c72ae5b2c071af41c309fc8c430ed0165,299,168,155,176,2,92,334,0.168
b44b47b116066a91cc0f0b816fd4a2d8d8a8145b,4843,150,7741,141,0,0,5137,0.168
