id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
c1b61074868451676079b05cc3cce77325245538,628,18,803,18,9,812,1797,0.000
2f245f8ccdaced647ec1122e352f37ef97566a49,4348,30,421,374,0,0,2148,0.001
8a26c4c46a5e6752a5bb744537bc477457abb28a,234,66,294,79,1,0,8,0.002
f48805dd99066327434c04d97f13000d0f93feb0,-1,-1,-1,-1,-1,-1,-1,0.003
df6e4289aa305bc33e298b86403517dd233ab436,600,662,751,617,3,93,1850,0.003
b125db13774186caa397fa5452b0f8add76b0e15,318,180,419,176,0,0,622,0.003
bf8cae61d4443916b0f9319df8a6d5fc688aafdc,3568,63,114,191,2,7,3420,0.003
08e500c1be3201826516ab1a9aef45aad91206c9,1026,456,786,462,7,339,1412,0.004
78745dcb085115aa3724874f1fb76f65fd9f4738,-1,-1,-1,-1,-1,-1,-1,0.004
e8a63aa79f57922ae67310e290318d555f4104bf,6689,65,123,229,0,0,970,0.004
104b411c0ab7f6532b006c28e4a814958fd692eb,-1,-1,-1,-1,-1,-1,-1,0.004
7cb63480478bfc6bafe035b658fccf2520172820,1644,406,1709,390,2,199,2260,0.005
a7a7079e6ef27e5578d9dc4ac81bf0772bf08f93,4919,45,326,111,3,37,1177,0.005
dd86d2f9de0f827c643de11d21886440b42c4bfc,3325,241,5291,223,1,119,268,0.005
db2508d7ae5128579e73c357d9399b4c86e3bf6e,4015,61,150,161,0,0,516,0.007
a70a4093a61ddc5d1d2524f04f27d7a11d5be17e,-1,-1,-1,-1,-1,-1,-1,0.007
01ba2a727de1ae159cdb4d293cb2436ff6bb5051,-1,-1,-1,-1,-1,-1,-1,0.007
276acffbce20967896d2bab71d112ef3d5acf12f,1222,17,266,18,0,0,0,0.007
3f9791bc442f77444764b1c0ebdf7b577d19e448,-1,-1,-1,-1,-1,-1,-1,0.007
1c737f4c1583f82a549d3c8107a1b6b9d6cdf0f6,363,67,107,73,1,0,40,0.007
5db8b763939698766c458c7d1b4156f2d2edf699,451,93,139,91,3,73,812,0.008
dee6c53dd17fd4ac0b788780615ec4ae201dd81e,178,76,148,76,0,0,902,0.008
05fa21cac95b5ffca49473982f5fa838357965b4,2243,0,528,0,4,204,734,0.008
7daeae178441fbd3c0dbc3163994e1c832657b3d,244,56,68,55,2,105,386,0.009
