id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
cfcc4a50577a68bf7abec6bbe7eb55c8e64dedeb,872,676,60,165,12,17,3602,0.044
3d1620f3ef689a6c5223d9db08aff204641c6f28,366,57,172,52,2,7,32,0.048
3add03ca67bb563c3fdd268ad4f2046738cdb9e5,548,30,217,32,1,0,113,0.059
6602f8f0cfee636fcbe15a3e5f0009c2c8208294,-1,-1,-1,-1,-1,-1,-1,0.061
72c1231b5229a751d0f4d5999c1728c4c5cc7b84,527,87,590,88,0,0,504,0.065
ff3342157df363bf6cfc2b413d24cf1999dbbb39,-1,-1,-1,-1,-1,-1,-1,0.066
05ec91379f6b80e305b6f1240aa6aa5b22a28410,-1,-1,-1,-1,-1,-1,-1,0.074
c11a67bf76b9ad33acf917eb58c96029f144796e,1416,313,66,368,11,37,2007,0.074
03c35d4a267740b859416d6037cc89afb0f814fe,382,225,83,199,12,414,348,0.092
53fb2fc84f04cce969454c2c25ba8a6b7fbede08,1378,187,544,193,0,0,4,0.104
d9dfc65dea4005f08ea1fc9f927aa38ff89ce29b,35,17,528,15,0,0,14,0.106
7ad6c3bb813e47b28f68c0c1385e7e19ed6d0890,317,70,141,65,0,0,554,0.116
f53a2b316ff8dff2f6434b9361612eb55aab0395,1251,559,526,612,2,6,1019,0.122
ad7d38f205c4d95edd3e1f114c1823a4a87f1d9b,-1,-1,-1,-1,-1,-1,-1,0.142
c595ceec1059ddeb09ef79d3a6a5392642ed8423,449,58,321,60,0,0,307,0.146
70ae1c38d413891e990dc905994f942d62f94f17,178,123,379,110,1,5,0,0.154
1fec5accc380a1a2b9881fbca674bf58a7e5470a,-1,-1,-1,-1,-1,-1,-1,0.158
49bb53713b598697a3f236b622fcedecea134d6c,160,122,452,119,0,0,16,0.158
9b19953a66d2315d1c807f74654ee4b673a4eb02,131,100,286,71,0,0,0,0.166
e869214d00415434e26a2423d5fb2b79cac8c23f,-1,-1,-1,-1,-1,-1,-1,0.169
ecbb96c7a51f3004e01764f156828f659c2b466e,-1,-1,-1,-1,-1,-1,-1,0.170
02133857f7681ef3292a602b22ca3000a2c4c8d1,243,316,449,309,1,0,3,0.174
b8f7ad8c81464149ad13bea6f5ff98c643963cb8,563,87,373,80,0,0,1069,0.176
b3632453a58f848f7d3f90ed2947f738c54aa36e,226,50,605,47,0,0,4,0.188
bbeeadcb54d93007aa115cd07c281303a690cd34,348,359,974,358,0,0,22,0.203
c04f6f688474c165a813ac9c98597e2807ab107e,-1,-1,-1,-1,-1,-1,-1,0.205
cdb897a7a3c83703c20b9a3bebbb7f09cbf1148d,398,153,244,79,5,47,44,0.217
9d0c029a709c9e853de7cb99540ddf966fdefea3,309,545,1272,441,0,0,65,0.220
b3308b74ad06a4f84d5a3f9ae1ed4cef488eb559,-1,-1,-1,-1,-1,-1,-1,0.226
