id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
a5c96e104b57c2cad97fd4c1a3993c0784afc56f,-1,-1,-1,-1,-1,-1,-1,0.003
7ad50e6a2936c0a4a249ab9b384035d2e9317deb,218,63,54,77,7,62,393,0.003
4ffbd29c68ccb8124cd213cc3aae27372ff2fc8d,116,23,113,25,2,144,219,0.009
176c8bbacf1888706870e3f9418bb0fa0f972d41,-1,-1,-1,-1,-1,-1,-1,0.013
3274bc7289fd29eff47ffa5696e98720a5e29dab,-1,-1,-1,-1,-1,-1,-1,0.023
c3b9167b45458bf7972a65289ee1eb7723ec7a05,194,125,97,121,0,0,372,0.029
5340df8729f3b6fd62bd7b803aa4305f34ec5202,1955,16,336,67,1,7,24,0.030
3515c3fa87c26adf1cdd3ba0ca1a0a7c75dddf87,-1,-1,-1,-1,-1,-1,-1,0.032
05ecf417d9d8ce76d9952af8ff8e10552eb641c7,238,23,259,27,7,358,269,0.036
028345a1f3cdedf30f9d8f5be321e33876896a8a,434,2,81,2,0,0,69,0.039
31f3852e9271e1496fdd0e8c6b7b0057c7a0f647,253,84,345,84,0,0,970,0.039
7c8038e3513aa1503a0c42b06cabdd8a05ae767b,380,15,313,13,0,0,0,0.040
4dcaaaeb6a4ad6b2d938106b62c9c6f016524ad0,315,74,424,70,2,0,586,0.042
7313d24690022b3766edaef70cd2b0f964064ebd,2156,136,732,1105,0,0,2365,0.042
2a58031727afc05b7875d7b9720d9c0bd166aaf7,136,258,138,249,10,763,1348,0.044
ee3fb711764df89dd671828e0585a87d1deb2d4b,-1,-1,-1,-1,-1,-1,-1,0.051
c00cd691178f0dd5e8229d37c0ff56e0fa3a7a89,352,117,244,101,0,0,177,0.056
f074669eef0fc15c76bf0e431c568980f73ef000,651,131,145,125,5,55,142,0.059
f47474914b34e2adb327cf09d6cb932503d3e9a3,333,124,118,119,0,0,17,0.059
3603581e383f56d2d11e914de012f1433be4fecb,-1,-1,-1,-1,-1,-1,-1,0.060
dfc98e639d4674af3af637532687cc120aefb55b,156,89,285,82,1,0,2,0.061
06f7aac36b56581124e58969cfc5040e447b5025,170,4,105,4,0,0,3,0.064
7c83827d8bf83d0b344c2fa625f7f54421229ab1,347,154,162,49,0,0,691,0.069
682cebe523e5daa3f218859c6a8f649c7184acd7,655,107,178,98,3,3,31,0.070
f22e8ff3ef3973d0edecdeaf02f6d40957c5c048,-1,-1,-1,-1,-1,-1,-1,0.074
0a624e0aed45737116557398b7b9002d2db616df,-1,-1,-1,-1,-1,-1,-1,0.074
78f40c6d647081dc0a4c43096b057094c671054e,-1,-1,-1,-1,-1,-1,-1,0.079
0e935d0b7c7968d7adf87e6cd7007055f9781385,-1,-1,-1,-1,-1,-1,-1,0.079
c10902b7807e7e5c685003526d7a4d429dbf6731,-1,27,292,27,0,0,0,0.084
6a4d8a420916358fd229c7e10cd0d4c8ad5a7c57,74,31,37,27,0,0,4,0.084
98b4acc0abd7c1c03dba60eb36f6dc21f9980d37,369,74,188,46,10,87,731,0.085
fa48950f0107d08842c8a1e58cfcc17a5538305c,505,42,45,54,5,58,69,0.088
38f4af210f4246589938d14b92a876f75a05170c,-1,-1,-1,-1,-1,-1,-1,0.091
aba659abf72be188015e9fcf8acb561d41aa4292,250,94,222,68,3,79,888,0.091
