id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
8b1003bf8700342c19c92ad5c13b277f9e69c871,209,1,50,12,4,98,42,0.012
3ad9b157008f1e11cc6952b021b130324aefa87e,125,111,99,109,2,22,199,0.017
3af774fcc252dcb63b6e95f64a604cf6ea252d3d,100,28,70,29,0,0,47,0.035
b333896f99ec77de2436ee73d94b302fd25ae9bb,367,108,67,103,18,438,227,0.105
dc5c73239e6736735e81b6719729d7d0e2d52c82,201,73,44,40,0,0,165,0.109
ccad20734ece0a6a6b2c5e7dd6814c697f324b67,123,31,289,31,3,0,1134,0.116
647a6c75466c85c1ab7f6f6d4ee0d22d595989b7,134,484,91,514,5,107,118,0.147
7623343ea1b3b82bb81d4813459e8ca9e0270b9f,-1,-1,-1,-1,-1,-1,-1,0.437
9048d347cbbeaadb29f53af0368b7b54aefd8031,1562,618,395,772,5,97,162,0.505
0b9a290a742b7f6f3d8701a7676aeca176ab0cb7,98,8,10,20,1,1,19,0.522
a6dc7f7f61381926dd5085e8fef8f29ea195ed29,116,54,161,47,2,2,26,0.567
f8c477199031f3a482daf6cf2dd56f5bb91e42ff,-1,-1,-1,-1,-1,-1,-1,0.608
3f48f238875606f4d11397ce0f583514ccce3ec7,409,43,25,81,1,0,30,0.615
528af4ed709a772c0be4527953b6e5824e5003a8,71,24,11,25,0,0,7,0.769
2e11691c63cc47d7bfc9c8217ae28719e7793865,102,21,31,22,3,3,6,0.789
c8e1e593434b8cbb42424494e5026a47310c159b,-1,-1,-1,-1,-1,-1,-1,0.816
c51c3fc54dc9a2c8d9265466539f24b91e544845,48,24,19,33,0,0,80,0.834
4eab1bffb2010a5660c5eae5fef665173bf295e4,90,14,17,22,1,0,13,0.839
57eeaefae4294f4b28d700a560437b1a58735d38,-1,-1,-1,-1,-1,-1,-1,0.860
68b68a5303152a26e677e287d20e12b257f7a4eb,137,22,19,14,1,0,55,0.869
6d1776e34fbdeb9ecfc5acc9c1056b855f6029eb,62,223,106,328,3,0,5,0.891
520336d4b324d08fc621e5a496bb824dfb3b39a3,82,20,15,15,0,0,10,0.897
a737868b0021d19050818cf7eb6ab5a8dc5ca86c,101,11,15,19,0,0,2,0.898
08d82b337ae955701dc01268d8e4644f84647c91,-1,-1,-1,-1,-1,-1,-1,0.913
71f13cc301f64e76565b21cb64c2b6e1ae22a6b6,17,0,1,4,0,0,1,0.921
