id_of_friend_hashed,friends_count,groups_count,followers_count,subscriptions_count,albums_count,photos_count,posts_count,how_old_is_account
6feb686e0795d495f65b15681bc082ae1e0cc2a1,7725,1000,2035,921,11,294,12184,0.000
b4df56df2c61dc3e0407d56cb72b2424a8de482a,-1,-1,-1,-1,-1,-1,-1,0.032
01a4ae2678b2400f1fcdcedfd5bb2f43b177e05b,849,54,774,52,5,8,5280,0.038
3b5c8b4cbd0637c49079af2ebefa55bba0dc88cf,982,80,10,225,1,0,1,0.046
f26b0c6153bcfab3de514bffc7e62a66e4b5de3b,638,264,261,252,1,7,9,0.071
2e0c2ca52d7711c709213621dd75583dfcc8ade8,-1,-1,-1,-1,-1,-1,-1,0.093
4599f6b9086825e3cb9c4d4f06b258b0d2fc27b5,-1,-1,-1,-1,-1,-1,-1,0.099
0c92a4d56f47d0a0d1a0b5e10b7de9b8204a7689,161,43,242,39,0,0,2,0.108
5a10ab3877e5c9f1507ec24afa0902ac38ea9b5a,138,11,227,10,1,17,39,0.113
640b03a23aa019918dc2c2b5ec942d5cb2536d98,511,110,1071,61,3,57,961,0.124
7d1ed848fef89afccee765bd5e3d8e14e7e76e6d,1656,18,350,483,4,136,628,0.146
a54d6b2891966ec7cacb2eec0cb67597981a98ee,509,58,266,55,0,0,11,0.160
02e41bf2c26e3a6b0b78d1ff07b375b6b83fc32b,468,368,460,337,0,0,448,0.177
1ca94ff667de8c731f00d4cc03a603c161343195,896,121,243,118,3,486,711,0.177
ab7ccb519934b7428891da3782dd6ee288282467,189,150,304,138,1,0,1,0.200
dd55ae6b4fdc8dfb56f432410913e7c892ba8d1e,1616,108,325,334,10,286,638,0.206
968a228d4ef9ee44b1d4cea188dcab62d1f62048,309,230,177,206,9,0,14,0.217
551946b03064d43b34e86200847e8e4b85e822b5,197,32,321,32,0,0,439,0.227
1124543c532eda6c81794077753abc8d5255e3aa,239,29,334,27,0,0,26,0.235
9d6a98b242c19fdc27a437493d1a1feb4cc43f47,1015,227,273,205,28,410,19,0.235
95b9a1cda9b5cea2e9c14c005d5a75dfeda6874d,73,42,543,42,0,0,3,0.236
08c8fb8d6661bc264e460cac8184bab9c8a00dce,2629,310,850,393,2,26,6720,0.240
868ec2528eaf3fb150257ca49970bd3c1d7e5d0c,336,13,47,13,2,15,40,0.248
907e112701616cb58f1e5ed67e455195934f6696,297,55,70,72,1,66,102,0.257
f4fbcc76fc417b3beee7595f4c2b3093a5ed1e65,-1,-1,-1,-1,-1,-1,-1,0.260
6a7b6806585b8864d56d87e24f8684aa344a1d47,277,326,481,275,1,0,1,0.274
96dae3ff4bea375392b1f2b3391ea976a6d2b4a0,152,221,174,39,1,1,282,0.274
fe38b181a79d04c65455f74990fa62195c472ae8,80,86,179,84,0,0,903,0.276
